-1:48:15 | ThePlatinumCan: 待機
22:15 | tkhnoman: ah, furikuri ka
22:18 | .sandrio: FLCL was good
22:23 | GrassHopperMouse: FLCL is very popular in the west, I didn't see it though.
22:47 | Chloro [クロロ]: Fooly cooly! FLCL OST is great too
22:49 | VampirkoO: FLCL good, seen only first one
22:56 | Arcterion: I like pillows. They're soft and comfy.
23:09 | ThePlatinumCan: MadoMagi is great~
23:12 | ユーネ: madoka ♥️
23:14 | GrassHopperMouse: Who's your favorite mahou shoujou?
23:17 | Arcterion: Madoka ❤
23:19 | Cameron Clarke: madoka is good
23:20 | GrassHopperMouse: Mami san represent
23:23 | hustler one: yeah, madoka
23:25 | フェットチーネ: Who is your favorite character in Madoka?
23:29 | gyroninja: That's what I know it by
23:39 | Theblekedet: Nice
23:40 | Sunspots: madoka is fun
23:44 | hustler one: Homura is the best, clearly
23:44 | Rise Iri: h o m u r a
23:46 | OverMagnet: ／人◕ ‿‿ ◕人＼
23:50 | desushow: Kyoko best girl
24:07 | GrassHopperMouse: ow, everyone forgets about homura 
24:07 | Arcterion: People really lose their heads over Mami.
24:09 | GrassHopperMouse: 🥲
24:16 | GrassHopperMouse: Just like the anime
24:21 | Qはるけん: homura
24:30 | フェットチーネ: Why Sayaka
25:10 | .sandrio: I wasn't a big fan of Madoka Magica but its alright
25:20 | nicenature:  ／人◕ ‿ ‿ ◕人＼ 「being meguca is suffering」
25:24 | Arcterion: Madoka basically started the whole "edgy magical girl" trend of the past 10 years or so.
25:36 | hustler one: ／人◕ ‿‿ ◕人＼
25:36 | desushow: Sayaka is great too
25:36 | GrassHopperMouse: Sayaka is a close second for me after Mami.
25:45 | ユーネ: my favourite is homura
26:03 | Sunspots: she looks like a hero character
27:13 | sion antara: cute
27:27 | chang og: madoka is god
27:39 | .sandrio: Sayaka is very motivated and proactive, I liked Kyouko more though
28:20 | tkhnoman: kyon
28:24 | Sunspots: classic
28:25 | Cameron Clarke: haruhi is a classic
28:28 | pakkanen: Haruhi and Endless-8
28:31 | Outwith: Yes
28:32 | .sandrio: KYON KUN DENWA
28:33 | Chloro [クロロ]: Haruhi is very popular here lol
28:33 | ThePlatinumCan: Of course, another classic
28:33 | Theblekedet: Yes, I love that anime.
28:34 | desushow: Haruhi is pretty good
28:34 | nicenature: can you do the dance?
28:34 | Arcterion: Haruhi is great, but Endless 8 sucked.
28:45 | ユーネ: Haruhi Suzumiya was my first anime
28:49 | OverMagnet: Wah, she's got all the good taste
28:59 | hustler one: endless 8
29:01 | Ukitsu2: Endless 8 is a classic.
29:03 | Cameron Clarke: endless 8 is a pleb filter 
29:03 | ユーネ: kawaii
29:10 | OverMagnet: endless suffering
29:25 | .sandrio: 3d debut will be the haruhi dance
29:26 | chang og: kyomu ...ti-n
29:29 | ユーネ: dancing bear! ♥️
29:54 | OverMagnet: pleb=plebian
30:05 | nicenature: I can it → I can do it.
30:11 | Ukitsu2: "Plebian filter" is a meme
30:13 | Idle Bear: pleb = plebeian = commoner
30:14 | Arcterion: Pleb = plebeian = commoner/peasant
30:57 | GrassHopperMouse: I was on the phone for a few minutes and I come back to you guys teaching her these stuff.
31:06 | gyroninja: You are on Nihongo to Eigo
31:16 | nicenature: pleb = 平面
31:18 | na no: こんひよ　くまちゃん
31:28 | GrassHopperMouse: anyone who defends endless 8 is a contrarian
31:30 | Cameron Clarke: a pleb is someone who can't appreciate good art like endless 8
31:31 | Sunspots: ざこどもの濾過見たい
31:34 | GrassHopperMouse: I can't stomach another kyon kun denwa
31:43 | nicenature: 平民*
31:44 | hustler one: its slang
31:47 | Cameron Clarke: lol
32:03 | .sandrio: oh peasant is noumin, not heimin? my japanese is rusty
32:46 | na no: hiyo!!
32:48 | na no: konhiyo!
33:23 | 実験: 初見殺し的な？
33:33 | na no: shes anotehr vtuber she says konhiyo shes cute like you
33:33 | Ukitsu2: Plebian (or peasant) means "not knowledgeable" about anime in this case, it's a 4chan meme.
34:03 | OverMagnet: www
34:23 | GrassHopperMouse: 222 subs!
34:33 | ユーネ: OHADAYO
34:35 | GrassHopperMouse: 🎉
34:39 | ThePlatinumCan: OK
34:46 | chang og: ohadayo-
34:51 | Arthur C.: OHADAYO!
34:53 | pakkanen: Oha-day-o?
34:58 | VampirkoO: おはだよ！
35:00 | hustler one: ok です
35:03 | desushow: OHADAYO
35:05 | Sunspots: おはだよ～
35:05 | na no: おはだよ
35:19 | .sandrio: おはっくま
35:31 | Nero: kondayo
35:34 | GrassHopperMouse: "dayo" is like "innit" in England
35:37 | GrassHopperMouse: I... think.
35:37 | Qはるけん: おはだよ
35:57 | GrassHopperMouse: exclamation
35:59 | ThePlatinumCan: Just cute addition
36:00 | ユーネ: interesting-dayo
36:15 | Friendly: pain peko
36:17 | Theblekedet: "...,right?" maybe
36:17 | hustler one: understandable-dayo
36:44 | OverMagnet: くまだよ
36:49 | Outwith: @GrassHopperMouse ね would probably be a closer comparison I think?
36:54 | GrassHopperMouse: "innit" is England slang, it's spelled "isn't it"
36:56 | .sandrio: innit is a contraction of "isn't it"
36:57 | Arcterion: "Innit" is short for "isn't it", but basically acts as a filler word.
37:02 | GrassHopperMouse: "isn't it" said quickly would be "innit"
37:10 | Ninjaguy Dan: Innit is slang for "isn't it?"
37:11 | hustler one: British slang for "isn't it"
37:27 | Ninjaguy Dan: ex: This food is great, innit?
37:34 | na no: おねいがいします！！おはだよ
37:37 | Ukitsu2: I've never heard of "innit" before, either xD
37:52 | Nero: But what if it's not morning? Do I use kondayo?
38:06 | Arthur C.: Innit? Never heard of it either
38:09 | Sunspots: innit means ...isn't it? which is different. dayo is more similar to 'it is you know' so "it is morning you know" something like that
38:09 | nicenature: perfect
38:14 | OverMagnet: Nice!
38:14 | Idle Bear: Reminds me of a Canadian "eh"
38:30 | pakkanen: In Brittish English, you hear "mate" a lot after sentences
38:35 | GrassHopperMouse: yeah, "dayo" actually be more like the candian "eh" or an American "y'know"
38:42 | OverMagnet: かんぺき！
38:44 | GrassHopperMouse: It doesn't mean anything, like you said.
39:05 | .sandrio: well it's an expression that adds a bit of soul to a sentence without adding value
39:07 | Nero: ok
39:09 | GrassHopperMouse: It's morning if you just woke up 💪💪💪
39:10 | Ninjaguy Dan: Grasshopper is right, dayo is a lot like how canadians add "eh" at the end of sentences
39:13 | フェットチーネ: Makes sense
39:26 | Cameron Clarke: I'm gonna start saying goodmorning at night too, thank you beatani
39:41 | nicenature: it's best to wake up at night time and sleep when the sun rises.
39:50 | hustler one: Are bears nocturnal ?
39:57 | Sunspots: perfect canadian pronunciation, sasuga bear
40:01 | Syrup: every day is morning in XP world
40:02 | na no: "eh" is more like "ne" in japanese
40:17 | .sandrio: ye good olde xp pseudo lawn
40:19 | na no: "innit" is also more like "ne" in japanese
40:39 | Cameron Clarke: XP world is locked in at 11am 
41:12 | .sandrio: "cheered me up"/"encouraged me"
41:19 | GrassHopperMouse: "your words cheered me up"
41:27 | Sunspots: 👍
41:44 | Ukitsu2: Even if it's like 23:41 in Japan, right?
41:53 | Theblekedet: Right!
41:53 | Chloro [クロロ]: So Beatani doesn't sleep? ww
42:17 | Arcterion: Sleep is for the weak~
42:47 | pakkanen: I could watch this all night
42:51 | GrassHopperMouse: Beatani lives in a windows XP that is always left on
42:53 | Cameron Clarke: based
42:57 | Ninjaguy Dan: lol
43:03 | chang og: its neet
43:07 | OverMagnet: WWW
43:08 | nicenature: understood
43:12 | na no: kumagai, what are your favorite video games?
43:12 | Chloro [クロロ]: lol
43:14 | ThePlatinumCan: ww
43:20 | Sunspots: extremely based
43:29 | nicenature: efficient bear hibernation
43:32 | OverMagnet: Me too...
43:35 | .sandrio: basado
43:54 | .sandrio: zzzZZZzz
43:58 | pakkanen: Beatani have you think of any stream schedule? Are you planning to stream morning, afternoon or evening (JST)?
44:00 | Chloro [クロロ]: ( ˘ω˘)ｽﾔｧ
44:04 | Theblekedet: 💤
44:09 | na no: 🐻
44:14 | Qはるけん: 💤
44:21 | Cameron Clarke: which slay the spire character do you play most often?
44:26 | Ninjaguy Dan: crash bandicoot!
44:28 | ユーネ: Beatani is a gamer
44:44 | GrassHopperMouse: whoa
44:54 | ThePlatinumCan: What a fantastic taste in games~
45:07 | ユーネ: very cool games!
45:09 | Arthur C.: Mother? Nice. 😎
45:11 | .sandrio: Slay the Spire is a really good stream game, its very fun to theorycraft along with whoever is playing
45:19 | GrassHopperMouse: So your favorite genres are RPGs and platformers?
45:22 | OverMagnet: Wao!
45:55 | na no: you have good taste in video games. どうも！！
45:57 | Theblekedet: a lot of RPGs
46:05 | ユーネ: RPG Bear 🐻
46:11 | Ukitsu2: "ar pe she" :D
46:24 | GrassHopperMouse: A platformer is a game with platforms, a platform is a surface you jump on
46:26 | Chloro [クロロ]: platmorfers is like Mario or sonic
46:27 | フェットチーネ: platformer = games like Crash Bandicoot
46:27 | GrassHopperMouse: kind of like super mario
46:36 | GrassHopperMouse: or crash bandicoot
46:50 | ユーネ: kawaii
46:58 | ThePlatinumCan: かわいい
46:58 | Chloro [クロロ]: かわいい
47:02 | 実験: Congratration on over 200 subscribers!
47:05 | ThePlatinumCan: Yes
47:06 | nicenature: yes
47:11 | GrassHopperMouse: yes, kirby is a platformer
47:11 | OverMagnet: プラットフォーム・ゲーム（英:platform game）は、コンピュータゲームのジャンルの一つ。キャラクターをジャンプさせて足場から足場に跳び移ったり、障害物を跳び越えたりして進むゲームをいう。ジャンピングパズル、フリーランニングとも呼ばれる。
47:12 | Ninjaguy Dan: kirby is a platformer yes
47:16 | tkhnoman: yes
47:53 | GrassHopperMouse: You prefer retro games to new games?
47:58 | Idle Bear: Have you played any other "rouge lite games", like slay the spire?
48:16 | gyroninja: 8 8 8 8 8
48:22 | OverMagnet: 👏👏👏
48:23 | ユーネ: 8888888
48:23 | フェットチーネ: Congrats!
48:24 | Arcterion: Speaking of RPGs, have you ever played Dragon Age: Origins? 
48:25 | ThePlatinumCan: Congratulations!
48:28 | VampirkoO: 8888
48:31 | Mew: Study partners
48:32 | Ninjaguy Dan: 888888
48:36 | Arthur C.: 8888
48:36 | pakkanen: 200 is jsut begining
48:38 | OverMagnet: おめでとう！
48:40 | Theblekedet: Congratulations Beatani!
48:44 | Chloro [クロロ]: Congrats!!
48:50 | desushow: 👏👏👏
48:54 | ユーネ: Beatani is famous
48:55 | Sunspots: cant bear itwww
48:57 | GrassHopperMouse: 🎊🎊🎉🎉🎊🎊🎉🎉
49:00 | Stray Wolf: congratulations
49:02 | Sunspots: well deserved 👏👏👏
49:12 | Chloro [クロロ]: No, koreha genjitsu dayo
49:19 | Kebab: Congratulations cute bear! おめでとう!
49:22 | Cameron Clarke: 🍻
49:29 | Ninjaguy Dan: this is just the start, beatani! congratulations 8888
49:35 | Theblekedet: This isn't a dream, innit? lol
49:45 | chang og: 🐻🍀
49:45 | ThePlatinumCan: 🍀
49:50 | ユーネ: wwwwww
49:53 | Arcterion: I guess your visit to _a certain website_ really paid off, huh? 😀 
49:53 | nicenature: cute
49:56 | OverMagnet: 🎊おめでとうBeatani!🎊
50:00 | ユーネ: 🐻☘️
50:06 | GrassHopperMouse: kyun
50:06 | Stray Wolf: clever girl 
50:07 | VampirkoO: 🍀
50:07 | Sunspots: よつばたすかる
50:19 | Theblekedet: www
50:20 | Arthur C.: Looking forward for more! 🐻☘️❤
50:24 | ユーネ: Beatani kawaii
50:59 | Mew: 🍀🍀🍀
51:04 | ユーネ: 🐻🍀
51:11 | D3bugged: 🍀 love
51:18 | pakkanen: 🍀
51:31 | Kebab: 🍀
51:32 | desushow: 🍀
51:41 | Chloro [クロロ]: 🍀
51:43 | chang og: it's "NUKUMORITY"
51:49 | ThePlatinumCan: 🍀🐻🍀
52:08 | VampirkoO: JST evening is nice
52:09 | フェットチーネ: Maybe make a poll
52:19 | Arthur C.: This time is OK
52:20 | GrassHopperMouse: The same time as today is comfortable for me
52:21 | OverMagnet: Stream whenever you like!
52:30 | Arcterion: Evening/night streams will get you a lot of European and American viewers.
52:42 | Cameron Clarke: I think evening in america is the best time for english streams
52:49 | Chloro [クロロ]: Morning or night is good, but it depends on your sleep schedules too
52:54 | pakkanen: Beartani, right now there is people all around the world watching your stream
53:09 | GrassHopperMouse: oh wow, I forgot it's almost midnight in Japan
53:10 | gyroninja: 5am to 8pm JST is nice
53:24 | ユーネ: it is midday for me wwwww
53:25 | Theblekedet: same time as today's start or an hour earlier is good for me
53:44 | Sunspots: based bear
54:29 | Ninjaguy Dan: i'll be sure to turn on notifications on youtube and twitter!
54:30 | GrassHopperMouse: Do whenever you are comfortable
54:42 | GrassHopperMouse: As long as you don't get sick of us
54:49 | hustler one: twice a week is fine
54:57 | Mew: :yougotthis::yougotthis:
55:00 | Nero: During the weekends?
55:01 | Arthur C.: Do what's best for you. 
55:05 | Chloro [クロロ]: Ok!
55:05 | Outwith: That sounds good
55:06 | ThePlatinumCan: Sure, do it when you have a time to do so.
55:08 | Theblekedet: twice a week sounds good
55:09 | OverMagnet: That's is okay!
55:10 | VampirkoO: Ok!
55:26 | Sunspots: 大丈夫よ
56:04 | .sandrio: 🐻🐻🐻
56:14 | nicenature: we want to see you play your favorite games
56:23 | Mew: What do you find fun?
56:34 | ユーネ: do what you think is cute and funny!
56:35 | GrassHopperMouse: games are always an easy option
56:37 | Cameron Clarke: slay the spire!
56:41 | hustler one: Zatsudans are good 
56:45 | ThePlatinumCan: Gaming streams of your favourite games, karaoke, zatsudan~
56:45 | .sandrio: Gaming is always fun but since you said you like making music, karaoke would be fun
56:57 | Kebab: play your favourite RPGs
57:02 | Sunspots: whatever you have fun playing is good for me
57:03 | Theblekedet: Yeah, show us your favorite games!
57:16 | Cameron Clarke: karaoke streams are always fun
57:17 | OverMagnet: うんうん
57:25 | hustler one: Do you play slay the spire in Japanese or English
57:27 | chang og: animal crossing!
57:31 | nicenature: yep, that's the English name
57:34 | Mew: Yeah it's called animal crossing in the west it's weird don't worry aobut it
57:34 | david johnston: play do slay the spire its so fun!
57:38 | GrassHopperMouse: The best streams are the one where the streamer has fun!
57:39 | Ninjaguy Dan: i really enjoy watching games like animal crossing/story of seasons
57:43 | Ninjaguy Dan: its very comfy
57:44 | gyroninja: You can stream in Japanese or English. Either is good for me.
57:44 | Chloro [クロロ]: Yeah, it's localisation thing
57:56 | .sandrio: literally translated doubutsu no mori would be "animal forest" but they translated the title differently
57:59 | Mew: So you can capture Switch Footage from Windows XP?
58:17 | Theblekedet: Do you like making music Beartani?
58:27 | ユーネ: おk
58:40 | pakkanen: We watch your streams no matter what language you use
58:51 | OverMagnet: おｋおｋ
59:09 | フェットチーネ: たまたま日本語でもいいと思うよ
59:12 | Chloro [クロロ]: Ok, that's fine!
59:20 | GrassHopperMouse: English would be easier for those of us who don't speak Japanese, but you have viewers who don't speak English as well.
59:26 | OverMagnet: 日本語でおｋ
59:28 | OverMagnet: ｗｗｗ
59:32 | Idle Bear: If the game supports it English subtitle with Japanese voice is fine too.
59:35 | ユーネ: tanoshii
1:00:10 | Mew: 西の方ではよく名前のジョークを言います。crossingは、より良い形質を得るために花や動物を交配させることを意味します。
1:00:29 | Stray Wolf: えいご、じょうずですね
1:00:35 | .sandrio: 日本語が少しわかります。 関係なく見ようと思います
1:00:45 | ユーネ: wwwwww
1:00:51 | ThePlatinumCan: GameCube!
1:00:52 | ユーネ: retro bear
1:00:53 | Ninjaguy Dan: gamecube is a very good console
1:00:54 | Mew: Amazing! 
1:00:55 | VampirkoO: www
1:01:00 | Nero: She's a gamecuber
1:01:00 | chang og: i want to listen to your song
1:01:01 | Mew: Retro Bear amazing
1:01:03 | gyroninja: Yes, I know gamecube
1:01:04 | Cameron Clarke: holy based
1:01:07 | Chloro [クロロ]: 日本ニキも配信楽しく欲しいだから大丈夫です!
1:01:08 | Kyle: Nice!
1:01:11 | SpaceCrab: GameCube is amazing
1:01:13 | hustler one: gamecube wow
1:01:18 | 実験: LMAO（ ＝ 大草原不可避）
1:01:19 | .sandrio: retrobear!
1:01:25 | OverMagnet: Nice
1:01:31 | Theblekedet: Damn you are a retro bear
1:01:34 | Stray Wolf: PC is fine for games 
1:01:43 | Ninjaguy Dan: i do like ninjas, my name is supposed to sound like Ninja Gaiden
1:01:45 | SpaceCrab: Do you like smash bros DX(melee)?
1:02:06 | GrassHopperMouse: Ninja Gaiden is something like Ninja Ryukenden in Japanese
1:02:11 | Mew: :yougotthis::yougotthis:
1:02:19 | ThePlatinumCan: What is your favourite GameCube game?
1:02:41 | Sunspots: i miss ninja gaiden, black was a great game
1:03:06 | GrassHopperMouse: proper idol!
1:03:14 | nicenature: it was very cute
1:03:15 | gyroninja: Yes, I like it
1:03:16 | OverMagnet: Can Beatani sing?
1:03:16 | Theblekedet: Cool! Maybe Composing stream then?
1:03:17 | ThePlatinumCan: Yes, it's really nice ^^
1:03:20 | Cameron Clarke: yes your song was great! I'd love to hear more
1:03:21 | Ninjaguy Dan: i like it a lot
1:03:22 | フェットチーネ: Yes!
1:03:27 | Sunspots: it was great
1:03:28 | .sandrio: I was about to sat the best gamecube game was hybrid heaven but then i remembered it was an n64 game...
1:03:30 | ユーネ: your song is very cute!
1:03:30 | GrassHopperMouse: wait, IS IT AN ORIGINAL SONG??
1:03:31 | Theblekedet: Yes, I like it!
1:03:42 | .sandrio: the ending is cute!
1:03:44 | Chloro [クロロ]: It was very cute!
1:03:51 | ThePlatinumCan: 🎶🎵🎶
1:03:54 | VampirkoO: It's cute!
1:03:58 | OverMagnet: Ah.
1:04:07 | Stray Wolf: 👏👏👏👏
1:04:09 | hustler one: Will you have karaoke streams?
1:04:09 | Kyle: Cute!
1:04:15 | gyroninja: Cool
1:04:21 | chang og: urchin seven love
1:04:23 | GrassHopperMouse: wow!
1:04:30 | OverMagnet: Talented!
1:04:36 | VampirkoO: Wow that's great!
1:04:40 | Ninjaguy Dan: I'd love to hear karaoke!
1:04:44 | GrassHopperMouse: YES
1:04:45 | Theblekedet: Amazing. You can stream yourself making music if you want!
1:04:49 | hustler one: YES
1:04:49 | Cameron Clarke: karaoke yes
1:04:51 | gyroninja: I like utawaku streams
1:04:59 | .sandrio: Your singing is good so I think karaoke would be very nice!
1:05:01 | ThePlatinumCan: Yes, please do karaoke streams!
1:05:03 | OverMagnet: Of course!
1:05:04 | Theblekedet: I'd watch you karaoke
1:05:09 | Ninjaguy Dan: What songs do you like to sing along to, Beatani?
1:05:28 | ThePlatinumCan: The Beatles ❤ 
1:05:34 | Mew: Cultured Bear
1:05:41 | Theblekedet: :o
1:05:46 | Sunspots: cultured bear indeed
1:05:52 | Outwith: Karaoke is good, music can be enjoyed even by those that do not understand the language
1:06:21 | chang og: How many urchin do you like?
1:06:24 | nicenature: yes, loan woard
1:06:26 | Mew: Borrowed word from Japanese yes
1:06:30 | ユーネ: karaoke is from Japan www
1:06:31 | Outwith: Yes
1:06:35 | OverMagnet: Karaoke
1:06:37 | .sandrio: yes, karaoke is also the english word
1:06:40 | GrassHopperMouse: We were always told Karaoke is a Japanese word
1:07:39 | hustler one: Uni? the food?
1:08:00 | .sandrio: uni is delicious
1:08:14 | ユーネ: kawaii
1:08:22 | Mew: :virtualhug::virtualhug:
1:08:28 | nicenature: 👏👏
1:08:31 | Stray Wolf: Haruhi \o/ 
1:08:33 | Kyle: 👏👏👏
1:08:34 | ThePlatinumCan: 👏👏
1:08:35 | GrassHopperMouse: oh, this reminds me the anime conventions I went to when I was 13.
1:08:36 | Sunspots: かわいい
1:08:37 | hustler one: haruhi 
1:08:38 | GrassHopperMouse: this dance, man.
1:08:39 | Theblekedet: 👏👏👏👏👏
1:08:46 | Chloro [クロロ]: 👏👏👏
1:08:50 | OverMagnet: ❤❤❤
1:08:51 | hustler one: hare hare yukai is popular in english
1:08:52 | Stray Wolf: I love Haruhi... 
1:08:54 | GrassHopperMouse: of course we know hare hare yukai!
1:08:58 | .sandrio: 👏👏👏
1:08:59 | Theblekedet: So catchy
1:09:00 | ThePlatinumCan: I like 'God knows'
1:09:01 | Stray Wolf: 👏👏👏👏
1:09:05 | ユーネ: big草
1:09:15 | Ninjaguy Dan: its a very very popular song and dance in the west
1:09:23 | Alexander Holzer: hare hare yukai was a HUGE meme back when Haruhi came out
1:09:28 | .sandrio: haruhi in general got very popular in the west
1:09:33 | nicenature: yep, we know
1:09:33 | gyroninja: Yes, I know
1:09:35 | GrassHopperMouse: absolutely
1:09:35 | ユーネ: lucky star is very cute and funny show
1:09:35 | Outwith: Yes
1:09:35 | hustler one: Lucky star is based
1:09:39 | Ninjaguy Dan: we do know!
1:09:40 | フェットチーネ: Yesss
1:09:44 | Chloro [クロロ]: motteke sailor fuku! very cute song
1:09:45 | .sandrio: yes!
1:09:51 | OverMagnet: Yep
1:09:52 | D3bugged: yes
1:09:55 | GrassHopperMouse: I think the things that are popular in the west aren't different to the anime popular in Japan
1:09:57 | Ninjaguy Dan: lucky star and haruhi both exploded in popularity in the west
1:09:57 | Sunspots: lucky star was also a big hit in the west
1:09:58 | hustler one: Chocolate coronet.....
1:09:59 | Mew: timotei timotei
1:10:00 | Stray Wolf: Out of Touch
1:10:02 | Jinhao: lucky star!
1:10:03 | .sandrio: darlin darlin freeze!
1:10:06 | Jinhao: very cute!
1:10:15 | GrassHopperMouse: cultured
1:10:33 | david johnston: lucky star is very cute and funny as well
1:10:42 | ThePlatinumCan: Yes, a lot
1:10:48 | GrassHopperMouse: we also know the term "otaku"
1:10:49 | フェットチーネ: Yes anime is life
1:10:50 | Ninjaguy Dan: geeky anime is great yes
1:10:55 | .sandrio: i dont like the word geeky but yes i guess, hahaha
1:10:58 | nicenature: otaku is understood on the english internet
1:11:02 | GrassHopperMouse: in the west "otaku" is a word specifically to people who like anime.
1:11:04 | VampirkoO: Yes!
1:11:13 | ユーネ: very nice
1:11:25 | chang og: so cute🐻
1:11:35 | Mew: Nico Nico Douga :elbowcough:
1:11:37 | フェットチーネ: ClariS songs are great
1:11:57 | hustler one: You can us the word 'Otaku' in english
