-1:30:17 | Voltage: 🍀🐻‍❄️ 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀
2:11 | Kaiser Kebab: YAH!
2:12 | A A: Yabadabado
2:13 | 92Pesonen: Ohadayo!
2:14 | Rye Mountain: OHADAYO!
2:15 | Tachi: Ohadayo!
2:15 | Shippo: there she is
2:16 | Idle Bear: 🐻‍❄️🍀OHAdayo~!
2:16 | hohoemikuma: OHAdayo!!
2:16 | MagariteIs NotButter: YAH!
2:16 | Verijero: ohadayo
2:16 | Shippo: let's go
2:17 | Megiddo: Ohadayo~ mutede
2:17 | O5060403: Ohadayo~!
2:18 | SpaceTalon: hello!
2:19 | Einaer: ohadayo
2:19 | Nasty Yukari: Ohadayoooooo~~~!
2:19 | Chloro [クロロ]: Ohadayo!
2:19 | XeniVari: おはだよ！
2:20 | Inaba: yah
2:20 | Zhnigo: muted bear
2:21 | BasedBug: Muted?
2:24 | gyroninja: ohadayo
2:25 | coba cobra: mute!?
2:26 | Kemonomimi: Ohadayo 
2:27 | 92Pesonen: You are muted?
2:27 | Margrave: Yah!
2:28 | Megiddo: mime bear
2:28 | Hanabi: ohadayo
2:28 | Ekigo: Ohadayo!
2:28 | SpaceTalon: mute bear
2:29 | TomHate: ohadayo!
2:30 | Kyle: Wait for it...
2:31 | Badilla: おはだよう
2:31 | Orange Princess: OHADAYO
2:33 | Jackku Chan: Quiet bear!
2:33 | TWAIN: muted bear
2:33 | RBZE7: Ohadayoooo !
2:34 | Idle Bear: Muted??
2:34 | Aggressive Quack: ohadayo
2:36 | A A: mic mute
2:36 | Rye Mountain: Cant hear
2:37 | Fettuccine フェットチーネ: Osodayo~!
2:38 | stuffed idiot: おはだよ
2:39 | BasedBug: This is why we watch
2:40 | 92Pesonen: 🔇
2:41 | Peer: Ohadayo!
2:41 | DeltaRazero: (Cute and funny bear)
2:43 | TWAIN: 🔇
2:45 | Monster hmc: muted
2:45 | Megiddo: kikoenai
2:46 | Nasty Yukari: Psychic communication bear!
2:47 | Eika: mic muted ww
2:47 | OutRanged TV: Ohadayo!
2:48 | Sheep: hello bea
2:51 | coba cobra: cute and funny
2:51 | VampirkoO: Mic muted
2:51 | Peer: Cute and muted bear
2:54 | hohoemikuma: telepathic bear
2:55 | L0rdJ0n3Z: ohadayo
2:55 | Zhnigo: I can't believe bea has lost her voice...
2:56 | stuffed idiot: wouldn't be a beatani stream without some starting scuff
2:56 | Jackku Chan: It wouldn't be the same without some tech difficulties
2:56 | Aggressive Quack: muted it seems
2:57 | O5060403: Microphone is muted, we can't hear you Beatani
3:02 | SpaceTalon: AAAAAAAAAAAA
3:03 | Orange Princess: mute and cute
3:07 | Orange Princess: mute and cute
3:08 | TWAIN: 聞こえない
3:08 | coba cobra: sasuga bear
3:09 | Kyle: OHAdayo~!
3:09 | Kaiser Kebab: it is not even 3 minutes and stream is already kino 
3:10 | Nasty Yukari: Back!
3:11 | BasedBug: Ohadayo!
3:11 | Jackku Chan: Kitaaa
3:14 | TWAIN: 聞こえる
3:14 | VampirkoO: Ohadayo!
3:15 | SpaceTalon: hello 🙋 
3:16 | gyroninja: There we go
3:16 | TomHate: gg
3:17 | CantDood: yah
3:18 | Voltage: ohadayo based bear
3:18 | Rye Mountain: Ohadayo
3:18 | Shippo: ohadayo
3:19 | hohoemikuma: good!
3:21 | Jackku Chan: Ohadayoo
3:21 | Mister Eko: aaaaaaaaaaaaaaaaaaaaaaah she's ok
3:21 | Megiddo: Ohadayo~
3:22 | Peer: ohadayo!
3:26 | Aggressive Quack: she got her voice back, based!
3:26 | O5060403: Ohadayooo!
3:29 | Dick Smith: Ohadayo
3:30 | Nasty Yukari: Ohadayoooo!
3:30 | Monster hmc: Ohadayo
3:30 | A A: Hello
3:31 | Kofi: ohadayo
3:33 | TWAIN: ohadayo
3:33 | Orange Princess: ahhh beatani voice
3:33 | Badilla: おはだよ
3:34 | Arcus crundelic: ohadayo
3:34 | CantDood: ohadaio
3:36 | coba cobra: ohadayo~~~
3:38 | Aggressive Quack: howdy!
3:40 | Sheep: yes
3:42 | max r: Ohadayo! 
3:52 | Jackku Chan: Silly Bear
3:55 | Nasty Yukari: It's 6am here
3:55 | max r: I am working! But, I work from home. Don't call me a NEET, please.
3:55 | Kaiser Kebab: Kawaaaaaaiii
4:00 | Tachi: 11 am for me
4:00 | BasedBug: 10 AM dad over here
4:03 | Megiddo: 9 in the morning here
4:03 | gyroninja: I stayed up to 7am for this
4:03 | hohoemikuma: nocturnal bear
4:04 | coba cobra: sleepy bear?
4:05 | Rye Mountain: It's a very nice time for us in Europe
4:08 | Sheep: this is a nice time for europe
4:08 | Verijero: 11 am
4:09 | Eika: slaying the spire
4:09 | Monster hmc: 4om
4:10 | Voltage: strong bear is never sleepy
4:13 | BasedBug: Currently working and watching you!
4:14 | Zhnigo: watching a cute and funny bear
4:14 | Jackku Chan: It's 5PM here, relaxing time
4:14 | Nasty Yukari: I'm >just waking up
4:18 | Hanabi: it's 9 AM here
4:18 | david johnston: 3pm dad here
4:18 | Fettuccine フェットチーネ: Finishing work
4:19 | Chloro [クロロ]: I'm just just chilling in my bed
4:20 | Original Japes: gooooood morning
4:21 | O5060403: I just got back from work, so now I can rest watching Beatani
4:22 | stuffed idiot: just got bullied by a cat and woke up
4:22 | Voltage: 5pm
4:23 | パナナナダ: やっと you are streaming at a normal time
4:23 | Kemonomimi: Past your bedtime 
4:24 | Badilla: Getting ready for work
4:25 | Orange Princess: asian timezone
4:27 | Kyle: 7 AM
4:30 | Rye Mountain: 16:05 here
4:30 | Zhnigo: 5 pm here, prime time
4:31 | TWAIN: 5 PM
4:31 | OutRanged TV: At work right now
4:32 | Peer: 5 pm
4:33 | CantDood: 8am waking up
4:35 | Dick Smith: 10pm cute and funny bear
4:36 | hohoemikuma: woke up
4:36 | MagariteIs NotButter: 9pm
4:39 | Idle Bear: 10 am. Working right now 
4:39 | max r: 10 AM
4:46 | Theblekedet: 21pm here
4:50 | Jackku Chan: You work you lose
4:53 | Aggressive Quack: 10am for me
4:57 | RBZE7: 4pm, perfect
5:05 | BasedBug: Based Merchandise?
5:17 | Zhnigo: music a bit too loud?
5:20 | Kaiser Kebab: Okay
5:22 | Nasty Yukari: Alright, we're listening
5:26 | Rye Mountain: Sounds based
5:30 | coba cobra: 👀
5:34 | Voltage: anyone who hasn’t subscribe, SUBSCRIBEEE
5:36 | Megiddo: merchandising bear
5:36 | O5060403: Business bear
5:45 | A A: Yes good pronunciation.
5:52 | Mastigos Wilkins: good day Bea
5:54 | Hanabi: you're pronouncing it right, you can use "merch" for short
5:59 | Voltage: you can say merch for short bea
6:01 | Nasty Yukari: We understand
6:01 | Aggressive Quack: big kuma busnius
6:03 | Jackku Chan: Otaku goods...!
6:05 | hohoemikuma: limited bear goods
6:12 | Sheep: used p...
6:16 | Dick Smith: Shrewd Businessbear
6:19 | O5060403: Bearcoin stonks raising
6:26 | O5060403: rising*
6:27 | thelastshinobi56: Ohadayo!
6:28 | Dick Smith: I kneel bear-sama
6:31 | Aggressive Quack: can we buy bear stocks?
6:35 | Ikxi: ohhh I'm able to watch a bit!!
6:37 | スヌープさん: Hi Beatani, hi everyone
6:37 | Rye Mountain: Merch is short for merchandise and is easier to say
6:49 | Karambol: Hello cute and funny bear!
6:52 | OutRanged TV: I need to invest in Bearcoin
6:55 | (Verified, Moderator) Streamlabs: BasedBug just tipped $5.00 dayo!
7:02 | max r: like redbubble or pixivfactory?
7:16 | max r: @BasedBug I don't think that will work
7:23 | Fettuccine フェットチーネ: I want Nukumolity Mug
7:24 | Voltage: i think tees
7:29 | Voltage: teespring
7:29 | Aggressive Quack: Beartani shirts would be based
7:38 | Jackku Chan: Beatani t-shirt! Beatani hats! Beatani pillows!
7:47 | Orange Princess: beatani teddy bear
7:51 | BasedBug: @max r It's worth a shot, pray for me
7:55 | Transcendental_ColonThree: Ohadayooo
8:05 | max r: redbubble is more western company but they do the same thing
8:05 | Jackku Chan: Beatanis teddy boyfriend!
8:06 | Megiddo: and my favorite, Beatani flamethrower... kids are gonna love this one
8:15 | スヌープさん: She's planning to release merch? Naisu ^_^
8:15 | Nasty Yukari: Sweater!
8:20 | O5060403: Beatani teddy bear sounds based
8:21 | Mastigos Wilkins: keychain would be preferable
8:25 | Fettuccine フェットチーネ: Nukumolity mug!
8:30 | Verijero: something simple like cups may be good for starting
8:31 | Oliver Meloche: hat would be good 
8:34 | Aggressive Quack: dakimakara
8:35 | Ikxi: I probably can't buy merch right now, but maybe
8:36 | Alfa Ayed: ここはカイガイニキが多い
8:36 | Hanabi: I think these sites usually sell things like shirts, mugs, stickers etc.
8:37 | Verijero: mug i mean
8:39 | Jackku Chan: Cups are cute
8:44 | TWAIN: keychain would work
8:45 | Rye Mountain: Something small
8:47 | BasedBug: Clothing sounds nice! Maybe posters or cups?
8:48 | Ikxi: but maybe pody pillow
8:50 | Megiddo: I'd like a tapestry/wallscroll
8:51 | SpaceTalon: !!!! Make sure that to check where shipping will be viable !!!!
8:54 | Dick Smith: I would buy a keychain
8:57 | max r: i want a mug with cute and funny 🦀 
8:57 | Nasty Yukari: Oh, key chains and pins too, for those occasions I need to hide my full power level
9:01 | Ikxi: key chain is always cute!
9:01 | Inaba: keychains would be perfect for starting out
9:02 | Tachi: A mug would be nice
9:04 | Aggressive Quack: body pillow would be based
9:07 | hohoemikuma: mousepad?
9:09 | CantDood: choker sounds good
9:16 | Fettuccine フェットチーネ: Simple is best
9:20 | A A: Make a cute logo and a cute sidekick mascot.
9:20 | Kemonomimi: Mousepad
9:22 | O5060403: Mugs, keychains, and tshirts are usually good starting points
9:26 | Verijero: oppai mousepad obviously
9:27 | Nasty Yukari: Mousepad!! It'll be easy since it can be completely flat
9:32 | BasedBug: You should add a clover to your design, make it simple!
9:39 | Chloro [クロロ]: Keychains is a good start imo
9:51 | Jackku Chan: Simple is best
9:55 | Transcendental_ColonThree: Acryllic stand or keychain.
9:55 | Shippo: keychains would be great
9:59 | Shippo: everyone likes them
9:59 | Rye Mountain: Yes simple design is good
10:06 | Fettuccine フェットチーネ: べあたにならもえでもOK！
10:09 | Megiddo: bear wants us to hide our power levels, cute
10:18 | Chloro [クロロ]: I wouldn't mind Moe Beatani shirts tho ww
10:24 | Mastigos Wilkins: for me its keychain #1
10:26 | YakoffShmirnoff: drift slaps
10:31 | Fettuccine フェットチーネ: えっちでもいい！
10:33 | Jackku Chan: We're not some gross otakus after all, only cool and simple merch.
10:40 | BasedBug: Beatani-themed weights, so we can work out
10:41 | TheHighestNativeGod: hello! i'm in class but i'll try to be there
10:45 | max r: acrylic stands are kind of lame, don't listen to that guy lol
10:53 | Zhnigo: mug with a print of smug bear holding a mug
10:55 | O5060403: Coaster could be cute
10:56 | Ikxi: keychain I could buy if not too expensive shipping!
11:03 | Kyle: I agree, keychains are good
11:04 | Tachi: Coffee mug
11:13 | Jackku Chan: Beatani themed hot-air balloon
11:28 | TheHighestNativeGod: I think posters are nice
11:28 | max r: keychain / mug is best
11:29 | Zhnigo: coaster is gud
11:34 | MagariteIs NotButter: dumbbells cover?
11:42 | Oliver Meloche: coffee mug plus coaster 
11:44 | Zhnigo: how about fridge magnet though
11:48 | BasedBug: I could definitely use a coaster!
11:50 | Nasty Yukari: Mug with clover and Bea face silhouette
11:52 | imalittle cupcake: Why didn't Youtube alert me aaaaaaaa
11:57 | Shippo: magnets are also a great idea
11:58 | Xayn: I'd love a full original drawing as a poster.
11:59 | Zhnigo: to stick bea's drawing onto the fridge with
12:02 | Fettuccine フェットチーネ: How about enamel pins?
12:03 | Shippo: everyone has a fridge
12:05 | Verijero: dakimakura for the goslingbros
12:10 | O5060403: Maybe some pins?
12:11 | Ikxi: cute bea chan head or chibi key chain :3
12:13 | YakoffShmirnoff: stickers are always nice
12:15 | MagariteIs NotButter: dumbbells are weight for workout
12:17 | Megiddo: please understand bear does not do sports/physical activity
12:18 | Shippo: and with magnets, we can print your picture and put it on the fridge
12:21 | BasedBug: Beatani-themed exercise equipment
12:23 | TheHighestNativeGod: stickers, definitely!
12:24 | Nasty Yukari: Dumbbell? Exercise? 
12:26 | Sjamsjam: I would like to buy Beatani herself
12:28 | Jackku Chan: Beatani 25kg weights for Olympic Beatani workouts
12:31 | MagariteIs NotButter: 鉄アレイ
12:33 | TheHighestNativeGod: make sure they don't peel off easily though
12:35 | Verijero: danberu
12:40 | Chloro [クロロ]: dumbbells is the one you use for work out
12:51 | max r: stop lying dad, you don't go to the gym
12:55 | Aggressive Quack: yes we need dumbbell covers
12:56 | Rye Mountain: Are dads strong enough to use dumbbels?
12:56 | Megiddo: how heavy are the dumbells Beatani lifts?
12:58 | Tachi: lol
13:02 | YakoffShmirnoff: nobody gonna buy dumbbell cover
13:02 | Aggressive Quack: awww
13:03 | BasedBug: We need to work out!
13:04 | Sheep: lol
13:04 | Nasty Yukari: We have bodybuilder dads here, damn...
13:07 | Hanabi: whatever you sell just keep in mind these kinds of stores tend to all use templates so it'd have to work in a circular/square shape and not something more specific
13:10 | Original Japes: i would carry that weight
13:11 | Kemonomimi: Lol
13:11 | Zhnigo: based calisthenics bear
13:11 | Chloro [クロロ]: lmao
13:12 | Badilla: ngmi
13:15 | Jackku Chan: Beatani hates sports..!
13:20 | Transcendental_ColonThree: Beatani towel 💦
13:21 | Orange Princess: beatani clone
13:22 | Aggressive Quack: id buy the whole stock
13:24 | Nasty Yukari: How will we ever compete? Oh wait exercise sucks nevermind
13:32 | Jackku Chan: Uwoo a towel is a great idea
13:37 | Alfa Ayed: 抱き枕
13:52 | O5060403: Enamel pins would also be nice
13:53 | imalittle cupcake: #1 dad mug? 
13:56 | Zhnigo: fridge magnet!
13:58 | Megiddo: keychain
13:58 | david johnston: ohhh id agree on a towel
14:00 | BasedBug: Coasters!
14:00 | Shippo: keychains! magnets!
14:04 | Verijero: pins for bags
14:06 | Rye Mountain: Fridge magnet would be nice
14:14 | Aggressive Quack: body pillow? though dunno how hard that is
14:18 | hohoemikuma: acrylic standees would be a nice decoration
14:23 | Shippo: stands are great
14:25 | max r: Stands are lame....
14:31 | Sheep: agree
14:32 | Shippo: stands are figures but in 2D
14:34 | Xayn: I'd buy a stand.
14:34 | Shippo: they're great
14:39 | BasedBug: The duality of man
14:40 | Transcendental_ColonThree: poor man PVC figurines, I like them
14:40 | TheHighestNativeGod: not a fan of body pillows or stands myself
14:42 | Verijero: pins are small and simple, should be a pretty good choice
14:42 | Fettuccine フェットチーネ: You look at it when you're feeling sad
14:45 | YakoffShmirnoff: agree, stands kinda lame
14:48 | Xayn: As long as they're cheap
14:51 | Orange Princess: id like beatani jacket/hoodie but too troublesome
14:52 | TheHighestNativeGod: pins are nice!
14:52 | Vic Kyorlo: i honestly don't like acrylic stands, they're kinda... boring
14:52 | CantDood: life-size?
14:53 | Mastigos Wilkins: 2d picture printed on acrylic stand
14:59 | Zhnigo: STANDO POWA
15:04 | Nasty Yukari: That'd be great to decorate my room, for those of us with small rooms I guess?
15:07 | Xayn: I mean a figure would be great, but let's be realistic
15:08 | Hanabi: I think they're just meant to look pretty on a shelf. not my thing but I know some people really like them
15:10 | BasedBug: You want to get rich? Beatani Saltrock lamp
15:22 | Rye Mountain: fridge magnet so I can have my daughters drawing on the fridge
15:23 | hohoemikuma: mousepad?
15:27 | Vic Kyorlo: it's just 2d art, mighit as well be a poster 
15:28 | TWAIN: nice handwriting
15:31 | O5060403: Beatani pet rocks!
15:35 | david johnston: if its an acrylic stand that could be used to set your phone on while charging that would be nice
15:38 | Shippo: fridge magnets are a great idea
15:45 | Shippo: i'll continue shilling them
15:45 | Verijero: lewd
15:50 | TheCanti: Putting Kumagai on the fridge
15:51 | max r: How expensive is PixivFactory shipping to overseas? Would it be better to suggest a platform like Redbubble, since most of us are not in Japan ?
15:52 | Rye Mountain: Beatani pet rock!
15:58 | TheHighestNativeGod: beatani shaped rocks!
15:58 | hohoemikuma: on myself 草
15:59 | Aggressive Quack: Beartani themed phonecase
16:01 | Jackku Chan: Oh hell yeah Beatani pet rocks 
16:01 | Sheep: blessed laugh
16:05 | BasedBug: Yes!
16:13 | Margrave: lol
16:15 | O5060403: 草
16:17 | Rye Mountain: I would unironically but beatani pet rock
16:21 | Ark K.: ohadayooo
16:22 | Chloro [クロロ]: lol
16:24 | Fettuccine フェットチーネ: We can peropero it
16:24 | TheHighestNativeGod: okay i have class, it was nice being here for a bit! thank you for your stream!
16:24 | Alfa Ayed: that's... rock
16:25 | Rye Mountain: buy*
16:27 | Idle Bear: Beatani fluffy slippers
16:29 | Shippo: looks like beatani potato
16:33 | Nasty Yukari: We can throw them at sports peopl
16:35 | Aggressive Quack: stocks
16:40 | Voltage: lick rocks from bear
17:00 | TWAIN: no rock shall remain unperoperod
17:01 | Jackku Chan: Tastes like a bag of coins mm
17:04 | BasedBug: Is this still merchandise?
17:07 | LordAziki: Cute girls are temporary, pet rocks are forever.
17:25 | Sheep: not healthy
17:34 | Aggressive Quack: Beartani rocks? your gon
17:37 | Ark K.: what about pet bear?
17:38 | Jackku Chan: Beatani has never tasted pet rocks!?
17:38 | Zhnigo: like salt
17:39 | thelastshinobi56: like rocks
17:41 | Chloro [クロロ]: It probably tastes like minerals
17:43 | O5060403: Rocks taste like rock
17:47 | 77Yuja_: rock awesome taste
17:49 | Arcterion: Bodypillow covers. 👍
17:49 | Voltage: we would get to taste bear tho!?
17:52 | Zhnigo: like rock salt
17:53 | Aggressive Quack: like a rock
17:53 | Shippo: it's salty
17:53 | Ikxi: wallets for all the giftcards that need to be peropero-ed?
17:55 | O5060403: Unless it's a salt rock, then it's salty
18:00 | max r: If you can escape XP hill, pick a stone off the ground and lick it
18:07 | Kemonomimi: Like gravel 
18:17 | BasedBug: You should add coasters!
18:29 | imalittle cupcake: Keychain is a cute idea, my daughter can keep all my keys safe
18:30 | O5060403: Coasters and enamel pins would also be nice!
18:39 | Voltage: cup coasters is a good idea
18:47 | Voltage: based business bear
18:51 | Jackku Chan: I still think that towels would be nice.
19:02 | Zhnigo: size 5XL please
19:09 | imalittle cupcake: But I have to wash it...
19:12 | Nasty Yukari: What's the t-shirt design going to be like?
19:14 | Hanabi: it might be a good idea to make a more generic T-shirt design as well as a more specific one
19:18 | Tachi: Tshirt with peropero Bea
19:19 | Sheep: beatani tank top
19:22 | BasedBug: @Zhnigo Fit for a king
19:33 | Voltage: what a deal
19:34 | 77Yuja_: no wash?
19:41 | Megiddo: hmmm
19:42 | O5060403: 5? Why not 7?
19:44 | Badilla: why would you neets be carrying keys?
19:44 | TheCanti: 5 T-shirts?!
19:45 | Shippo: nice
19:51 | Nasty Yukari: I will always wear it, no need to wash it since we're smelly NEETs that don't go out
19:52 | max r: Picture of a crab, says cute and funny under it~~
19:53 | Des Dichado: our daughter is such a good salesperson
19:54 | Tachi: Okay 10
19:59 | imalittle cupcake: That sales pitch is working on me dads...
19:59 | Zhnigo: one to wear, one to display, one spare
20:05 | 77Yuja_: rest at home in beatani shirt
20:06 | Aggressive Quack: welp looks like I'm buying 5 shirts now
20:08 | Peer: "You should buy 5 t-shirts or die" - Beatani Chisato, 2021
20:11 | BasedBug: Being a dad is full-time job!
20:23 | RBZE7: I'll buy 300 and make a mattress with it
20:33 | max r: I am not a NEET 👿
20:42 | imalittle cupcake: I wear a track suit at home
20:44 | thelastshinobi56: giant 155m Beatani t-shirt
20:45 | Zhnigo: loaded question
20:50 | Sheep: I do
20:53 | O5060403: Yeah, I wear loose clothes
20:55 | Rye Mountain: I wear tracksuit as well
20:57 | Ark K.: i wanna wear beatani tshirt at home
21:08 | Zhnigo: life size 155m bea dakimakura
21:15 | max r: lol-- maybe
21:15 | Fettuccine フェットチーネ: Lol
21:17 | Monkberry Moon: I'll wear them while lifting 
21:17 | Eika: its cold!
21:22 | ノイド: what do bears wear at home?
21:24 | thelastshinobi56: in the summer no
21:26 | Jackku Chan: BORN TO YAH / WORLD IS XP HILL / Dad them all 2021 / I am bear girl / 410,757,864,530 DEAD DOGS
21:30 | yak deculture: What about business necktie for dads
21:31 | MagariteIs NotButter: beatani undies for weekends then?
21:33 | TWAIN: tracksuits are top comfy
21:37 | Sheep: I wear pajamas all day everyday
21:38 | imalittle cupcake: Naked weekends?
21:45 | Ark K.: really?
21:48 | max r: beatani is naked right now
21:53 | Nasty Yukari: Jeezas!
21:54 | BasedBug: Yooo naked at home let's go
21:57 | Jackku Chan: Even in winter!?
21:57 | Fettuccine フェットチーネ: Based
22:00 | Zhnigo: do you wear clothes on XP hill though?
22:01 | VampirkoO: I just wear a robe at home
22:02 | A A: I'm naked now honestly.
22:03 | Aggressive Quack: based
22:09 | Sheep: do you beatani?
22:13 | YakoffShmirnoff: naked or do you mean room wear?
22:15 | thelastshinobi56: my chest hair needs fresh air
22:15 | Jackku Chan: Japanese people Kimoi...
22:15 | imalittle cupcake: Naked under the kotatsu...
22:19 | Ikxi: I just wear comfortable clothes at home
22:21 | Ark K.: are you naked?
22:21 | Nasty Yukari: Beatani put something on right now, this is embarrassing
22:26 | Chloro [クロロ]: Zenra is the only way
22:29 | Rye Mountain: It's 15 celsius in my home right now, would be cold with no clothes
22:30 | max r: i'm running away from naked dad
22:38 | O5060403: I wish Europe had kotatsus
22:40 | Cake Cheese: Good Evening
22:47 | YakoffShmirnoff: eeehhhh? naruhodo
22:53 | BasedBug: Buncha naked dads in the chat
22:57 | Original Japes: what kind of merchandise would nudists even buy? wristbands?
22:59 | Aggressive Quack: gotta show off are abs bros
23:00 | TWAIN: under our clothes we are all naked
23:04 | max r: We have been thinking about getting a kotatsu for my apartment for a long time... I should just do it
23:04 | Fettuccine フェットチーネ: cute
23:12 | Verijero: bears dont wear clothes though
23:17 | BasedBug: "Naked dads are not dangerous"
23:24 | CantDood: my japanese doujins were true
23:24 | ChefHART: kumaaa
23:39 | Rye Mountain: True bears usually don't wear clothes at home
23:45 | Ark K.: that's a nice info
23:47 | Sombrero: Cute!
23:52 | thelastshinobi56: iconic peropero image on T-shirt
23:53 | (Verified, Moderator) Streamlabs: 05060403 just tipped $5.00 dayo!
23:58 | Aggressive Quack: the shirts gotta have based in japanese somewhere on it
23:58 | Jackku Chan: Naked dads are useless because they don't buy t-shirts
24:01 | max r: #1 DAD tee shirt
24:17 | meat: just your face!
24:18 | imalittle cupcake: With Beatani 24/7!
24:22 | ChefHART: cute clover ber tshirt
24:26 | Voltage: bear licking design?
24:30 | Ark K.: beatani smile
24:32 | hohoemikuma: bear peropero honey
24:33 | Nasty Yukari: Just Bea's face is fine
24:38 | thelastshinobi56: just the fang
24:42 | Zhnigo: subtle gamer clothing
24:53 | O5060403: A "Yah!" shirt would be cute, I think.
24:55 | meat: yes yes
25:03 | SpaceTalon: simple == good
25:04 | Rob G.: we need something to hide our powerlevel. 
25:05 | CantDood: cute
25:05 | meat: subtle otaku merch is good!
25:07 | BasedBug: "Why yes, I do play Slay the Spire, how can you tell?"
25:08 | Inaba: cute
25:11 | max r: You don't want a shirt of a naked dad ?!
25:11 | Sheep: I think just having an anime girl on it makes it an otaku tshirt
25:11 | Nasty Yukari: We can hide our power levels
25:14 | Vic Kyorlo: hide your power level
25:17 | thelastshinobi56: we can find our power levels from the normies
25:19 | Rob G.: power level
25:19 | Ark K.: ah yes
25:20 | ChefHART: pero pero shirt
25:31 | thelastshinobi56: hide*
25:33 | Hanabi: hiding your power level is for the weak
25:34 | Aggressive Quack: yes we need a shirt to repel normies
25:53 | Jackku Chan: Cute, instant classic.
25:56 | Rye Mountain: Anti-normie spray
25:58 | Tachi: I like this
26:01 | Inaba: this is good
26:01 | imalittle cupcake: oh my god that's cute
26:06 | YakoffShmirnoff: cute
26:06 | Sheep: looks already good
26:11 | Voltage: pretty cloverrrr
26:15 | meat: very cute
26:18 | Kaiser Kebab: That's so cuteee
26:20 | Ark K.: that's cute
26:25 | thelastshinobi56: 10/10
26:26 | O5060403: Are you ashamed of your daughter that you would hide your power levels?
26:31 | BasedBug: That's good!
26:50 | Rob G.: I'm taking the whole stock
26:50 | TheCanti: I shall purchase this right away
26:50 | Monkberry Moon: I love your drawings
26:54 | Transcendental_ColonThree: I like the idea!
27:05 | BasedBug: Improv draw stream!
27:11 | Jackku Chan: Everyone in my family will have one.
27:12 | thelastshinobi56: Yah
27:15 | Rye Mountain: Very cute!
