-1:47:10 | (New member) Shippo: □
1:12 | (New member) hohoemikuma: :_kita: 
1:14 | Indago: 8PM bros where
1:15 | (New member) nona: Any BST bros?
1:18 | (New member) Moeniki: :_oha::_dayo::_kita:
1:22 | SpaceTalon: hello based department?
1:25 | (New member) Hikimouto: :_sprdo::_sprdo:
1:26 | (New member) Zaszz: □ chat
1:27 | (New member) Stray Wolf: 7pm here 
1:32 | (New member) Idle Bear: 8pm here
1:33 | (New member) Stray Wolf: :_kita::_kita::_kita:
1:40 | (New member) imalittle cupcake: 3am but I'm here for my daughter
1:42 | (New member) BasedBug: EST bros unite
1:44 | dreamcaster786: 8pm
1:48 | (New member) CantDood: :_kita:
1:57 | (New member) Zia: :_yah:
1:58 | (New member) Shippo: :_oha::_dayo:
2:01 | BearintheWoods: EST gang
2:02 | (New member) Hanabi: CSTchads where we at
2:09 | Indago: EST, EST! 
2:10 | (New member) Theblekedet: :_oha::_dayo:□:_bea:
2:13 | (New member) Antonio Badilla: :_oha::_dayo:
2:13 | (New member) BasedBug: OHADAYO!
2:14 | (New member) Mister Eko: :_oha::_dayo::_sprdo:?
2:15 | (New member) ThePlatinumCan: :_oha::_dayo:
2:15 | (New member) Rye Mountain: :_oha::_dayo:
2:17 | (New member) max r: :_oha::_dayo:
2:18 | (New member) フェットチーネ: :_oha::_dayo:
2:19 | (New member) Idle Bear: Ohadayo!
2:19 | (New member) gyroninja: :_oha::_dayo:
2:19 | (New member) Matthew: :_oha::_dayo:
2:20 | (New member) Megiddo: Ohadayo~
2:20 | (New member) Ekigo: :_oha::_dayo:
2:23 | (New member) Margrave: :_oha::_dayo::_yah::_sprdo:
2:24 | (New member) Nanashi: :_oha::_dayo::_sprdo:
2:24 | (New member) Stray Wolf: Ohadayo!
2:25 | (New member) Fake Name: CST here
2:25 | Sheep: ohadayo~~~
2:26 | stuffed idiot: おはだよ！
2:26 | (New member) Hanabi: :_oha::_dayo:
2:28 | (New member) Tachi: :_oha::_dayo::_kita:
2:28 | (New member) ThatVidyaGuy: :_oha::_dayo:
2:30 | (New member) Hikimouto: :_sprdo::_sprdo::_sprdo:
2:30 | (New member) Stray Wolf: :_oha::_dayo::_sprdo:
2:31 | (New member) Canna: Ohadayo! 
2:32 | (New member) Zaszz: :_dayo::_oha:
2:32 | (New member) Kofi: :_oha::_dayo:
2:33 | (New member) BasedBug: Good morning!
2:36 | (New member) CommanderMichael: :_yah::_bea::_bea::_sprdo:
2:36 | (New member) Zhnigo: what did she mean by that
2:37 | (New member) The Flesh Is Weak: :_sprdo::_sprdo::_sprdo:
2:38 | A A: Spin the wheel.
2:38 | (New member) Kyle: :_oha::_dayo:
2:39 | (New member) Simón: :_oha::_dayo:
2:40 | (New member) Mister Eko: surprise utawaku :_sprdo:
2:41 | (New member) RBZE7: Ohadayo !
2:42 | (New member) Zhnigo: "pekora sus"?
2:42 | (New member) Karren Taleb: I LOVE MY DAUGHTER
2:45 | Indago: Heyo! 
2:47 | (New member) CommanderMichael: Ohadayo~~~~
2:47 | (New member) ThePlatinumCan: :_oha::_dayo:
2:49 | (New member) Ekusupuroshon: SPIN
2:49 | (New member) Moeniki: :_oha::_dayo:
2:50 | (New member) Karren Taleb: :_yah::_yah::_yah::_yah::_yah::_yah::_kita::_kita::_kita:
2:50 | SpaceTalon: 😀 
2:50 | (New member) Nasty Yukari: ohadayo!
2:52 | (New member) Antonio Badilla: :_oha::_dayo:
2:56 | (New member) The Flesh Is Weak: :_oha::_dayo::_sprdo:
2:57 | (New member) Zhnigo: :_oha::_dayo:
2:57 | (New member) max r: :_sprdo::_sprdo::_sprdo:
2:58 | (New member) Theblekedet: :_oha::_dayo:□:_bea:
2:58 | (New member) imalittle cupcake: Ohadayo!
2:59 | BearintheWoods: Betting on Red!
2:59 | (New member) Steven Frati: :_oha::_dayo:
3:01 | A A: Better after RFA.
3:02 | Sheep: great :D
3:02 | (New member) Karren Taleb: OHADAYO BEATANI!!!!!
3:03 | (New member) Shippo: good!
3:05 | (New member) Theblekedet: I'm good
3:06 | (New member) Stray Wolf: I'm fine 
3:06 | (New member) CantDood: that's a lot of topics
3:10 | (New member) Megiddo: doing well, just finished work for today
3:12 | (New member) Moeniki: I'm cooking dinner right now
3:13 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: Good morning Beatani! I'm good, its 20:03 here.
3:15 | (New member) Stray Wolf: good morning Beatani 
3:16 | (New member) CommanderMichael: 8 am here
3:17 | (New member) Matthew: Too early
3:18 | (New member) Theblekedet: 7 am here
3:20 | (New member) The Flesh Is Weak: just finished work
3:23 | BearintheWoods: 8 pm here
3:24 | (New member) Zhnigo: 3 am here
3:26 | (New member) Mister Eko: 2 am
3:26 | Sheep: good to hear
3:28 | (New member) Kofi: 7pm
3:28 | (New member) Idle Bear: 9 am? Time for pancakes
3:30 | (New member) BasedBug: 8 PM on the East Coast
3:30 | (New member) RBZE7: 2 am
3:30 | eeo: (good if you're a neet)
3:31 | (New member) Kyle: 5 PM
3:33 | Anashti Sola-Ui: Early bear-d
3:34 | stuffed idiot: 7pm here
3:35 | (New member) ThatVidyaGuy: 7pm here
3:37 | (New member) Tachi: 9pm
3:40 | (New member) フェットチーネ: morning
3:41 | (New member) imalittle cupcake: Up all night for bear
3:42 | (New member) ThePlatinumCan: It's 2AM, so I'll be only for a few minutes. Good morning,□bear!
3:43 | (New member) Canna: 7pm 
3:45 | (New member) Zia: It's the night in Europe, but it's a worthwhile sacrifice
3:52 | Jarrels: 10am
3:52 | (New member) anonEDM: 5pm
3:57 | (New member) Nasty Yukari: sorry not doxxing my timezone
3:58 | (New member) Megiddo: search history!
4:03 | (New member) BasedBug: I like how one of the recent searches was "Topic roulette funny"
4:06 | (New member) Mister Eko: yab
4:14 | (New member) Zia: 👀
4:17 | (New member) Margrave: You already did by saying the time
4:19 | Ark K.: ohadayo
4:21 | (New member) Karren Taleb: Checking DMs on stream!
4:32 | (New member) LassesAffar: It's 2AM, so I'll be watching the entire stream. Good morning, bear!
4:35 | (New member) Ekusupuroshon: Doxx??
4:35 | (New member) フェットチーネ: lol
4:36 | (New member) VampirkoO: ohadayo!
4:40 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: @Nasty Yukari Okay PST boi
4:48 | A A: The stream won't be archived.
4:54 | (New member) ThePlatinumCan: Based Lasses
5:04 | BearintheWoods: Topic Gacha
5:04 | (New member) Megiddo: same idea in general
5:04 | (New member) Zhnigo: RULEDD :_sprdo:
5:04 | (New member) Tachi: Hey as long as it works
5:06 | (New member) nona: Bros her recent searches were for pregnancy symptoms..
5:07 | (New member) Karren Taleb: :_sprdo:
5:08 | (New member) CantDood: it's ok
5:10 | (New member) Mister Eko: LIES :_sprdo:
5:11 | (New member) Matthew: We've been lied to
5:13 | (New member) Theblekedet: gambling bear...
5:13 | (New member) RBZE7: false advertisement ? cya 
5:14 | (New member) Antonio Badilla: dropped
5:17 | (New member) Margrave: Slot topic. lol
5:21 | (New member) Stray Wolf: if it works it works 
5:27 | (New member) ThePlatinumCan: Someone's cheating...
5:27 | (New member) Antonio Badilla: bye
5:31 | stuffed idiot: I can't believe we've been lied to like this...
5:43 | A A: She wants to impregnate us.
5:45 | Sheep: rip mic
5:47 | (New member) The Flesh Is Weak: rate the stream
5:49 | (New member) BasedBug: These slots are proof my current reps aren't good enough
5:52 | (New member) Mister Eko: I'm sure it will be ok 
5:58 | (New member) Megiddo: Chocosen has one of them
5:58 | (New member) Zia: You could pretend the japanese say anything and most people will believe
6:06 | Ark K.: beatani, why is listener chan so cute?
6:12 | BearintheWoods: time for SSR roll
6:17 | (New member) Theblekedet: thanks
6:20 | (New member) Zia: how do we trust you're not making up the translation tho 👀
6:25 | (New member) Xayn: Forcing dads to do their reps
6:36 | (New member) Tachi: Find
6:36 | (New member) Megiddo: she's testing our jp reps
6:40 | (New member) RBZE7: No need to translate, we all did our reps and are perfectly fluent in japanese now
6:45 | (New member) BasedBug: Viewer-submitted questions would have been a lot of "interesting" choices
6:47 | (New member) RBZE7: right dads ?
6:53 | (New member) Margrave: My phone auto translates so it's fine. 
6:54 | (New member) CommanderMichael: beatani, it's "I can't find a good english roulette"
7:01 | (New member) imalittle cupcake: Based bokukko bear
7:05 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: 'I couldn't find what I was looking for in English' ?
7:13 | (New member) CantDood: I'm N99 no worries
7:24 | (New member) Mister Eko: say it on japanese if you need to
7:28 | (New member) Verijero: ohadayo
7:45 | (New member) Megiddo: I saw LINE in there
7:46 | (New member) Moeniki: 日本語でいい
7:48 | (New member) Zia: Everyone knows Japanese it's fine
7:49 | (New member) Hanabi: watch this roulette be a yab machine
7:52 | (New member) max r: Taking advantage of EOP listeners
8:07 | (New member) Mister Eko: sure
8:11 | stuffed idiot: that's the exciting part
8:18 | (New member) Tachi: No
8:18 | (New member) Karren Taleb: :_yah:
8:20 | (New member) Zia: 2min stream !
8:24 | (New member) Nasty Yukari: im so gonna call you out if you fake the translations
8:26 | (New member) Theblekedet: what
8:26 | (New member) Karren Taleb: No!!!!!
8:26 | (New member) BasedBug: This stream will be one question long
8:28 | (New member) クラガリ葉月: Sounds like cheating.
8:28 | (New member) Stray Wolf: :_sprdo:
8:29 | Yamoyashi: morning beadani
8:30 | (New member) Mister Eko: RTA FAKE ROULETTE ZATSUDAN:_sprdo:
8:30 | (New member) Fake Name: Oh no
8:31 | (New member) ThatVidyaGuy: 2 second sctream
8:33 | stuffed idiot: SCAMMED
8:35 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: RTA
8:36 | (New member) Antonio Badilla: :_sprdo:
8:36 | (New member) Stray Wolf: RTA
8:46 | (New member) Zia: Speedrun
8:47 | (New member) ThePlatinumCan: Cheating bear
8:50 | (New member) Megiddo: sure, zatsudan finishes and you get back to RFA lol
8:52 | (New member) CantDood: :_sprdo:
8:57 | Sheep: the final yab is coming
8:57 | (New member) クラガリ葉月: Part of the fun is yab questions
9:00 | (New member) The Flesh Is Weak: Hand rating
9:12 | (New member) Shippo: :_sprdo:
9:13 | (New member) anonEDM: :_sprdo: 
9:14 | (New member) BasedBug: HAND CHECK
9:19 | (New member) max r: Come on dad, you like ring fit that much?!
9:19 | (New member) Theblekedet: :_sprdo:
9:20 | (New member) Zia: Yes, everyone likes exercice
9:22 | (New member) Megiddo: maybe :_sprdo:
9:24 | (New member) Mister Eko: We like being healthy!
9:29 | Dame Yen: RFA is good for hand exercises
9:31 | AtomicBanana 55: We all love exercise
9:32 | Ark K.: i want to see robotani again
9:34 | A A: RFA is justice.
9:35 | *$5.00* Fumo Gaming: Hey
9:36 | (New member) BasedBug: Oh here we go..
9:40 | (New member) Zia: Being healthy is important yes
9:41 | (New member) Fake Name: I like questions MOR
9:42 | stuffed idiot: dads like to get sweaty
9:43 | (New member) Canna: Physic fitness is important 
9:43 | (New member) CantDood: i love ringfit streams
9:44 | (New member) Moeniki: I love exercise
9:45 | (New member) nona: Healthy dads
9:45 | (Verified, Moderator) Streamlabs: Fumo Ran just superchatted $5.00!
9:49 | (New member) CommanderMichael: oh yes, I like RFA. It's totally good.
9:51 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: I want to see Beatani get healthier
9:55 | (New member) Mister Eko: wait, what about sports?
9:58 | (New member) クラガリ葉月: No escape, kuma
9:59 | (New member) Zia: We just like exercise
10:00 | eeo: It's fun to watch people suffer🙂
10:00 | (New member) BasedBug: Watching people exercise is good motivation!
10:03 | (New member) skrong: it's good exercise
10:04 | AtomicBanana 55: I want to see you get healthier
10:07 | (New member) Shippo: I don't love Ring Fit that much, it makes me TIRED
10:10 | (New member) Kofi: exercise is fun!!!!
10:21 | Ark K.: it's for hand exercise
10:24 | (New member) Karren Taleb: Crazy dads
10:25 | (New member) Sneed Feed: let's get physical 
10:32 | (New member) Theblekedet: let's goooo
10:34 | (New member) The Flesh Is Weak: I don't:_sprdo:
10:35 | (New member) Antonio Badilla: I want a strong daughter
10:37 | Horror: lmao i heard that 
10:37 | (New member) Tachi: That's not what you said
10:38 | (New member) BasedBug: She's stalling!
10:40 | (New member) LassesAffar: Dad is english for キモオタ
10:42 | Dame Yen: kimo wota = nice listener? 🤔
10:43 | (New member) ThePlatinumCan: lol
10:51 | Fumo Gaming: become stronger
10:52 | stuffed idiot: hmmm 🤔
10:57 | (New member) Tachi: :_sprdo:
10:58 | (New member) Theblekedet: OI
11:00 | (New member) Zia: Don''t think we couldn't hear that
11:05 | (New member) CantDood: eehh
11:05 | (Owner) Beatani Ch. 熊谷ちさと: https://streamlabs.com/kumagaichisato/tip
11:09 | (New member) Mister Eko: I-i understood that...
11:09 | No Body: I love seeing you improve live on stream for us! It makes me so happy! lol
11:11 | (New member) Theblekedet: I HEAR THAT KUSOBEAR
11:20 | (New member) ThatVidyaGuy: I understood enough of that.
11:22 | stuffed idiot: this kusogaki...
11:24 | (New member) BasedBug: Is she trying to influence us to donate?
11:25 | (Verified, Moderator) Streamlabs: max just tipped $5.00 dayo!
11:30 | (New member) ThePlatinumCan: Oi
11:33 | (New member) クラガリ葉月: Quit stalling
11:34 | (New member) Nasty Yukari: this fugging guma
11:35 | (New member) Margrave: On with the show! :_yah:
11:37 | (New member) Mister Eko: My anime reps are good enough for this
11:40 | Durbov: i feel like im being bullied in another language..
11:42 | Ark K.: did beatani just insult listener san?
11:45 | (New member) skrong: wakata...
12:03 | (New member) LassesAffar: Being nice in english while abusing us in japanese... kusoguma...
12:04 | (New member) Nasty Yukari: we did Beatani. we did
12:06 | (New member) Moeniki: KSGK...
12:07 | AtomicBanana 55: Beatani forgot that we're cultured 🤣
12:08 | Sheep: lol
12:08 | (New member) Theblekedet: I did my reps
12:10 | (New member) Megiddo: anime watching reps
12:11 | (New member) Zhnigo: gusogagi :_sprdo:
12:14 | Ansat: nihongo jouzu
12:16 | (New member) Ludd: dad his reps.. kono kusogaki...
12:18 | (New member) max r: too many years of watching japanese exercise videos....
12:18 | stuffed idiot: can't lie to us
12:18 | (New member) Shippo: we've been nihongo jouzu'd again dads...
12:19 | (New member) Canna: We share a hivemind 
12:20 | (New member) CommanderMichael: those japanese reps are paying off
12:21 | (New member) RBZE7: coco teached me..
12:25 | (New member) Zia: We are all fluent in Japanese ofc
12:25 | (New member) Moeniki: 毎日日本語を勉強する
12:25 | (New member) The Flesh Is Weak: did reps and took meds
12:25 | (New member) Xayn: This is the power of being JOUZU
12:25 | (New member) Mister Eko: jouzu
12:27 | (New member) ThePlatinumCan: We're doing our Japanese reps.
12:28 | (New member) billy joe【liar】: すごいクソくま
12:29 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: 👀□
12:29 | (New member) Stray Wolf: I have watched over too many anime series for my own good 
12:35 | (New member) Nasty Yukari: you nihongo jouzu'd us
12:35 | (New member) anonEDM: Thin book learning paid off
12:39 | (New member) Tachi: We did our reps
12:39 | (New member) Zhnigo: we got nihongo jouzu'd...
12:41 | Blank: Me who who took 3 semesters and still can’t under stand unko 0.0
12:50 | (New member) Margrave: I have no language skills..
12:52 | (New member) Megiddo: lmao
12:54 | (New member) Shippo: does Bea know about nihongo jouzuing?
12:55 | stuffed idiot: we're all actually japanese pretending to be english speakers
12:55 | (New member) クラガリ葉月: You're still stalling. Stop it. Roulette.
12:56 | (New member) Zia: Learning realistic japanese with animes!
12:57 | (New member) Theblekedet: heh
12:57 | (New member) ThePlatinumCan: Ehhhhh
12:57 | (New member) CommanderMichael: doing yer reps are rewarding
13:02 | (New member) Nasty Yukari: We were pretending to be retarded and to not understand
13:04 | Ark K.: kimo ota..?
13:09 | Grilly :l: round and round and round it goes
13:11 | (New member) Stray Wolf: kimota
13:12 | (New member) CantDood: I'm learning insults listening to Bea at least
13:14 | (New member) The Flesh Is Weak: IKZ:_sprdo:
13:15 | (New member) Stray Wolf: lol 
13:17 | (New member) Margrave: ikuzo!!
13:18 | A A: LETS GOOOOOOOOOO
13:21 | .sandrio: I went to japan to learn japanese, stayed at a uni in fukushima for half a year
13:23 | Fumo Gaming: I must learn
13:24 | (New member) ThePlatinumCan: I k z
13:24 | (New member) Zhnigo: LETSGOOOO
13:24 | (New member) Stray Wolf: IKZ
13:33 | Sheep: RATE THE STREAM KEK
13:37 | 邪悪な狼: getting Nihongo Jouzu'd in English, keep it up
13:40 | (New member) クラガリ葉月: RTA
13:48 | (New member) Stray Wolf: 👀
13:52 | (New member) Ludd: IKZ
14:10 | (New member) Mister Eko: This one is going to hurt
14:16 | (New member) Mastigos Wilkins: good morning, day, evening!
14:16 | AtomicBanana 55: lol
14:18 | (New member) Megiddo: yes confess love
14:22 | VerticalCloud: good word
14:22 | (New member) max r: I love you, bear daughter
14:23 | (New member) LassesAffar: Beatani will answer this easily, she has lots of love experience
14:23 | No Body: yep
14:24 | (New member) Zhnigo: uh oh
14:27 | (New member) BasedBug: Hahahah so many hearts will break
14:27 | (New member) ThePlatinumCan: Yes
14:29 | (New member) Xayn: Confesses to you, yes
14:30 | (New member) billy joe【liar】: Yeah confess 
14:31 | (New member) Stray Wolf: confession 
14:31 | (New member) Sneed Feed: ....
14:32 | Ark K.: confess love
14:34 | (New member) The Flesh Is Weak: confess sins
14:34 | stuffed idiot: NTR them is only answer
14:35 | (New member) Zhnigo: instant yab
14:40 | (New member) Hanabi: the great gosling massacre continues
14:43 | (New member) CantDood: very good first question
14:45 | (New member) Mister Eko: lol
14:46 | AtomicBanana 55: Confesses
14:50 | Ark K.: yab
14:51 | (New member) BasedBug: So, uh, stream over?
14:54 | (New member) Sneed Feed: [image of ryan gosling lying down on a staircase]
14:57 | (New member) CommanderMichael: denied!
14:59 | No Body: Rejoice Beatani!
15:00 | (New member) Mister Eko: Narrator's voice: it was all yab
15:05 | (New member) Stray Wolf: Rate the stream
15:11 | (New member) Mastigos Wilkins: yabe, 250814 dead gosling 
15:22 | stuffed idiot: fastest stream yet?
15:23 | (New member) BasedBug: [chairs rattling]
15:24 | (New member) Theblekedet: Rate it
15:24 | (New member) Megiddo: I love you, Beatani!
15:27 | AtomicBanana 55: Lies
15:28 | (New member) billy joe【liar】: The answer is NTR
15:30 | (New member) Canna: Bea bea
15:31 | (New member) Moeniki: RTA
15:31 | Sheep: ahaha
15:31 | (New member) Steven Frati: Okay stream over!
15:31 | (New member) Theblekedet: :_bea::_bea:
15:32 | (New member) Ludd: RTA World record?
15:32 | (New member) CommanderMichael: speedrun stream
15:32 | (New member) Mastigos Wilkins: ntr/10
15:33 | (New member) Margrave: Kusokuma....
15:33 | (New member) Mister Eko: RATE THE STREAN
15:34 | (New member) Steven Frati: Good job everyone!
15:34 | (New member) CantDood: SAY IT
15:34 | Majical: oh ok
15:34 | (New member) The Flesh Is Weak: :_bea::_bea:
15:36 | (New member) Shippo: :_bea::_bea:
15:36 | (New member) ThatVidyaGuy: :_bea::_bea:
15:36 | (New member) Sol Codguy: bea bea!
15:36 | (New member) クラガリ葉月: :_bea::_bea:
15:36 | (New member) Matthew: :_bea::_bea:
15:37 | (New member) ThePlatinumCan: RTA
15:38 | (New member) Rye Mountain: Great stream, beabea
15:38 | stuffed idiot: WORLD RECORD
15:39 | (New member) LoneRanger25: :_bea::_bea:
15:40 | (New member) Zia: What about no
15:41 | (New member) Steven Frati: :_bea::_bea:
15:41 | (New member) gyroninja: :_bea::_bea:
15:41 | (New member) BasedBug: Sleeping at 9?
15:43 | (New member) Theblekedet: kuso/10
15:44 | (New member) Kyle: :_bea::_bea:
15:44 | (New member) ThePlatinumCan: :_bea::_bea:
15:44 | (New member) anonEDM: :_bea::_bea:
15:44 | (New member) Stray Wolf: 10/10
15:45 | (New member) Tachi: :_bea::_bea:
15:46 | (New member) Zhnigo: bea bea...
15:47 | (New member) Mastigos Wilkins: but I jsut got here...
15:47 | (New member) Sneed Feed: lel
15:47 | (New member) Hanabi: :_bea::_bea:
15:47 | (New member) CommanderMichael: :_bea: :_bea: 
15:48 | (New member) Moeniki: :_bea::_bea:
15:49 | (New member) Zhnigo: rate the stream?
15:51 | BearintheWoods: Stream RTA👋👋👋
15:51 | (New member) Ludd: :_bea::_bea:
15:52 | (New member) nona: Thanks for the stream!
15:52 | (New member) imalittle cupcake: Beatani.... :sprdo:
15:52 | (New member) Idle Bear: :_bea::_bea:
15:53 | (New member) anonEDM: We learned so much!
15:56 | LadyCaitlin0429: Bea noooooo
15:56 | (New member) Tachi: Rate the stream
15:57 | Joe: streaming any%
16:03 | (New member) Moeniki: ( ˘ω˘)ｽﾔｧ
16:04 | (New member) gyroninja: zzzzzzzzz
16:09 | (New member) Steven Frati: overturned chair/10
16:10 | Melon47: new record
16:15 | (New member) ThePlatinumCan: Impossible!
16:16 | (New member) BasedBug: WHO IS (YOU)?
16:19 | (New member) The Flesh Is Weak: 360° and walk away
16:21 | (New member) Megiddo: Who is (you)
16:22 | (New member) CantDood: lies
16:22 | (New member) Zhnigo: ouch
16:22 | eeo: dare?
16:22 | (New member) Canna: Ouch
16:25 | (New member) billy joe【liar】: You can say "Thank you"
16:25 | (New member) gyroninja: □□□
16:27 | (New member) Tachi: Who is (you)
16:29 | Melon47: its a hard question for sure.
16:30 | (New member) Theblekedet: who is (you)
16:31 | (New member) LoneRanger25: Who is (You)?
16:32 | (New member) Moeniki: Who is (you)?
16:32 | (New member) Stray Wolf: *chair clattering* 
16:33 | knull: that hurts
16:33 | (New member) CantDood: who is (You)
16:34 | (New member) ThePlatinumCan: Who is (you)
16:35 | No Body: shots fired
16:37 | Ark K.: i say "KIMOI"
16:41 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: "Who's this cringe normie?", Beatani probably
16:42 | AtomicBanana 55: Oof
16:42 | (New member) CommanderMichael: Who is (you)..... THE END
16:49 | (New member) Sneed Feed: who is (you)
16:50 | BearintheWoods: At least you can talk. Who are you?
16:51 | (New member) Simón: lol
16:52 | AtomicBanana 55: Fair enough
16:53 | (New member) BasedBug: Everybody asks "who is you", nobody asks "how is you"
16:54 | Sheep: lmao
16:57 | (New member) Sneed Feed: kimoi...
17:06 | (New member) LassesAffar: who is (you), kimoota-kun?
17:13 | Avery Standridge: Bear got out of bed and chose violence 
17:14 | (New member) Stray Wolf: "kimochi warui"
17:26 | (New member) The Flesh Is Weak: him?
17:29 | (New member) Zhnigo: how is (you), beatani?
17:38 | (New member) BasedBug: Sounds like a bad twitter DM
17:38 | No Body: it's a live or let live world out there
17:40 | (New member) LassesAffar: what if it's a girl?
17:41 | (New member) ThatVidyaGuy: Who is (You)
17:44 | (New member) Fake Name: Courage
17:46 | (New member) クラガリ葉月: 貴様誰?
17:57 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: New life, who dis
18:11 | (New member) Mister Eko: FRIENDS IS ENOUGH :_sprdo:
18:22 | (New member) max r: What would you say if hiroshimoot confessed to you?
18:23 | stuffed idiot: friendzoned...
18:26 | (New member) The Flesh Is Weak: 🦀:_sprdo:
18:27 | (New member) BasedBug: FRIEND!
18:31 | (New member) ThePlatinumCan: :_sprdo:
18:31 | Melon47: well, I know I wouldn't lie for their sake.
18:32 | Sheep: better than nothing
18:33 | No Body: that's harsh
18:39 | Shotblur: cute and funny beatani
18:44 | (New member) Megiddo: ouch
18:48 | (New member) CommanderMichael: BUSTED
18:51 | (New member) Tachi: My friendlist is full!
18:52 | (New member) Zhnigo: shut down by the bear
18:55 | (New member) Idle Bear: lots of dads
18:56 | (New member) CantDood: not even friends, brutal
18:59 | (New member) Fake Name: Ouch
19:02 | (New member) Ludd: 🦀:_kita:
19:03 | (New member) Matthew: Pain :_sprdo:
19:04 | Ark K.: wow, brutal
19:07 | (New member) ThePlatinumCan: Understandable, have a nice day
19:08 | (New member) Theblekedet: sayonara
19:08 | (New member) クラガリ葉月: F
19:11 | (New member) Margrave: :_kita:
19:13 | (New member) JackOfAllBlades [VTuber] [Clipper] [Pogger]: F
19:15 | (New member) Sneed Feed: abayo'd forever...
19:15 | (New member) skrong: ABAYO
19:15 | (New member) CommanderMichael: F
19:16 | (New member) Sol Codguy: □
19:16 | (New member) Moeniki: Goodbye forever Beatani
19:19 | (New member) BasedBug: Dozens of Goslings throwing their chairs in anger
19:20 | (New member) Zhnigo: getting MAULED
19:20 | (New member) Rye Mountain: F
19:23 | (New member) Margrave: Ja ne
19:25 | Melon47: Bear has no time for normies
19:26 | (New member) anonEDM: 🔫Goodbye forever :_sprdo:
19:29 | (New member) Fake Name: See you never again!
19:30 | (New member) Mastigos Wilkins: this
19:31 | stuffed idiot: based
19:31 | Bazaru Z: Not even a friendzone, but complete destruction
19:35 | Majical: wat
19:38 | (New member) LoneRanger25: Grim
19:39 | (New member) Mister Eko: GUMA.... :_sprdo:
19:39 | (New member) Zia: That's radical
