-3:18 | (New member) LassesAffar: 30????
0:44 | (New member) AnomalousRaven: :_oha::_dayo::_away:
0:44 | (New member) Big Gold: :_oha::_dayo:
0:44 | (New member) david johnston: :_uooooohh:
0:45 | cycochaos2: cave bear?
0:45 | (New member) Idle Bear: Ohadayo!
0:47 | (New member) Kyle: :_oha::_dayo:
0:48 | (New member) Margrave: :_yah::_sprdo:
0:48 | (New member) Lazm: :_love::_oha:
0:49 | (New member) Mechanized Doge: :_oha::_dayo:
0:50 | (New member) ユーネ: :_oha::_dayo:
0:51 | (New member) Jackku Chan: She was too hungry for the intro
0:51 | Cringe Broker: ohadayo
0:52 | (New member) Ekusupuroshon: :_oha::_dayo::_oha::_dayo::_oha::_dayo::_oha::_dayo::_oha::_dayo:
0:53 | (New member) Voltage: GOOOD MRNING HAPPY BIRTHDAYYYYY:_oha::_dayo::_oha::_dayo::_oha::_dayo::_oha::_dayo:
0:55 | (New member) max r: cute and reverberating bear
0:56 | Hakuangh: Ohadayo
0:56 | (New member) ユーネ: :_love::_love::_love:
0:58 | (New member) Steven Frati: :_love::_love::_love:
0:58 | (New member) Jackku Chan: Beatani.. Ate the intro!?
0:58 | (New member) Lodowa Wrozka: happy birthday :_listener:
0:58 | (New member) Luginov: a good wakeup
0:59 | (New member) billy joe【liar】: :_listener::_listener::_listener:
1:00 | IDアスウィンド: masih jam enam dah live kak?
1:03 | (New member) Theblekedet: nee mic?
1:04 | (New member) BasedBug: She just wants to eat, I can't blame her
1:06 | (New member) Moeniki: Happy Birthday:_uooooohh::_uooooohh:
1:07 | (New member) ThatVidyaGuy: Happy Birthday Beatani!
1:08 | Sheep: nice nice
1:12 | Arcus crundelic: ohadayo
1:15 | (New member) Suukotto Funsha: Happy Birthday Bea:_love:
1:17 | (New member) max r: Happy Birthday, Bea!:_love:
1:21 | (New member) Margrave: HAPPY birthday! :_listener:
1:22 | (New member) Rye Mountain: Happy birthday !
1:23 | (New member) Mister Eko: happy birthdaaaaay
1:23 | (New member) Canna: Happy birthday! 
1:23 | (New member) BasedBug: Happy Birthday!
1:24 | (New member) 77Yuja_: Happy birthday
1:24 | (New member) Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🎉🎉🎉🎉happy birthday!
1:24 | (New member) Stray Wolf: happy birthday
1:25 | (New member) RussianAnimeBot: Happy Birthday
1:28 | Sheep: happy birthday!!
1:29 | (New member) gyroninja: Happy Birthday!
1:29 | (New member) XenMaster220: Happy Birthday:_kita::_kita:
1:30 | (New member) Tachi: :_love::_love:
1:30 | (New member) Jackku Chan: Beatani is old!
1:30 | (New member) Ark K.: oh right
1:31 | (New member) ユーネ: omedetou:_love:
1:31 | (New member) Kyle: Happy birthday!
1:31 | (New member) Idle Bear: Happy Birthday!
1:32 | (New member) Zia: So old...
1:32 | Cringe Broker: happy birthday
1:32 | cycochaos2: They grow up so fast...
1:32 | (New member) Steven Frati: :_kita: Happy birthday bear! 
1:32 | (New member) Ekusupuroshon: Cake Bear...
1:33 | (New member) Zeng: Happy Birthday!
1:33 | (New member) Ekigo: Happy Bday Bea!!
1:34 | (New member) LassesAffar: Happy!! Birthday!!
1:34 | (New member) Canna: Hag love! 
1:34 | (New member) Luginov: happy birthday :_sprdo:
1:35 | (New member) Lazm: 25-years-old bear
1:35 | Ada Zane: happy birthday beatani
1:36 | Arcus crundelic: happy birthday
1:36 | (New member) Shippo: from 105 to 37, sasuga youtube
1:37 | stuffed idiot: happy birthday!
1:37 | (New member) Peer: Happy Birthday!
1:37 | SpaceTalon: 🐻‍❄🍀🐻‍❄🍀Happy Birthday Bea🍀🐻‍❄🍀🐻‍❄🍀🐻‍❄
1:38 | (New member) Mechanized Doge: お誕生日おめでとう！
1:38 | (New member) Megiddo: Happy cake day~
1:38 | (New member) XenMaster220: :_lightstick::_love::_lightstick:
1:39 | (New member) Tachi: Happy birthday!
1:39 | (New member) Ark K.: HAPPY BIRTHDAY BEA
1:40 | (New member) Moeniki: 25 years old うおおおおおおおおおお:_uooooohh::_uooooohh::_uooooohh::_uooooohh:
1:40 | (New member) BasedBug: Join the 25-or-older club
1:41 | (New member) Randel Shurker: Happy Birthday, Beatani
1:42 | (New member) Riptide Maurader: Happy Birthday
1:42 | (New member) anonEDM: Tanjoubi omedetou!
1:44 | (New member) Kazoo: happy bearthday
1:45 | (New member) ThePlatinumCan: 誕生日おめでとう！！！
1:46 | (New member) Theblekedet: 🎈🎈🎈Happy Birthday!!🎈🎈🎈
1:46 | (New member) david johnston: Happy Bear-thday!
1:48 | (New member) billy joe【liar】: Happy Birthday!
1:48 | (New member) Margrave: 25:_uooooohh::_uooooohh::_uooooohh:
1:52 | (New member) Ekusupuroshon: Lolicon Deta!
1:52 | (New member) Ark K.: bea is a hag now
1:52 | (New member) Randel Shurker: Enjoy being a Christmas Cake from here on out!
1:57 | (New member) Zia: :_away:
1:57 | (New member) anonEDM: Forever cute and funny
1:59 | (New member) Jackku Chan: Loli age for sure!
2:02 | (New member) Lazm: :_uooooohh:You are now Oji-san with the rest of us:_uooooohh:
2:04 | (New member) anonEDM: ok bye
2:05 | (New member) Ekusupuroshon: Zia:_away:
2:06 | (New member) Big Gold: :_lightstick::_love::_lightstick:
2:07 | SpaceTalon: lolicon AWAY
2:07 | (New member) Antonio Badilla: おはだよ
2:07 | (New member) Steven Frati: Christmas Cake :_uooooohh:
2:08 | cycochaos2: Boomer bear
2:09 | (New member) Lazm: No
2:10 | (New member) Jackku Chan: 2500000 year old loli!
2:11 | (New member) LassesAffar: i am home
2:12 | (New member) david johnston: lolicon :_away:
2:12 | (New member) 77Yuja_: not like this...
2:12 | (New member) nona: Goodbye
2:12 | (New member) Zia: Time to unsubscribe :_pain:
2:13 | (New member) Shippo: :_away:
2:13 | (New member) Stray Wolf: lolicon :_away:
2:13 | Cyshio: Lolicon AWAY
2:14 | (New member) max r: lolicon:_away:
2:15 | (New member) Moeniki: :_away::_away:
2:15 | (New member) BasedBug: When will she start oji-posting?
2:16 | (New member) Zhnigo: rorikon :_away:
2:17 | SpaceTalon: Bea is MATURE now
2:18 | (New member) Tachi: :_away:
2:19 | TheTarkus: This is home
2:19 | Ada Zane: Lolicons away
2:20 | (New member) ThePlatinumCan: lolicon :_away:
2:21 | (New member) AnomalousRaven: :_uooooohh::_uooooohh::_uooooohh:
2:22 | (New member) Stray Wolf: LOLICON :_away:
2:22 | (New member) Margrave: You are now an Ojisan..
2:23 | (New member) Mastigos Wilkins: ohadayo
2:25 | (New member) Ark K.: Hag love
2:27 | (New member) Canna: :_uooooohh::_uooooohh::_uooooohh:
2:30 | (New member) RussianAnimeBot: :_away:
2:30 | (New member) Mechanized Doge: 生日快樂！:_sprdo:
2:31 | (New member) Voltage: :_away::_away::_away::_away::_away::_away:
2:32 | (New member) Einaer: :_away::_away:
2:32 | (New member) anonEDM: hag love
2:34 | (New member) Ekusupuroshon: Kurimasi keki Beatan...
2:34 | (New member) ユーネ: :_uooooohh::_uooooohh::_uooooohh:
2:35 | (New member) Antonio Badilla: happy birthday
2:39 | (New member) Voltage: :_away::_away::_away::_away:
2:39 | Stalgondo: Happy Birthday!
2:39 | (New member) RussianAnimeBot: hagtani
2:44 | cycochaos2: reject Loli, embrace HAG
2:45 | (New member) Megiddo: Only Beatani is allowed to be a lolicon
2:49 | (New member) Tianfang's Adventures: :_love: happy birthday ya
2:49 | (New member) billy joe【liar】: We ojicons now
2:50 | (New member) ユーネ: Christmas Cake...
2:53 | (New member) Mechanized Doge: HYPE
2:57 | Denied: happy birthday
2:57 | sleepy: Happy birthday and good morning!!
3:05 | (New member) Peer: Bea is older than usual today
3:06 | (New member) Ludd: Brekkie hype
3:10 | (New member) max r: who sent a pic of an empty table
3:23 | (New member) Megiddo: that's a lot of breakfasts
3:23 | (New member) XenMaster220: 40....:_pain:
3:24 | (New member) RussianAnimeBot: lol
3:25 | (New member) BasedBug: That's over a month of breakfasts, you all better get ready
3:29 | (New member) Kazoo: 40
3:31 | (New member) Mechanized Doge: 長い配信になるわ
3:34 | (New member) Mister Eko: how many cake burgers? 
3:37 | (New member) Mastigos Wilkins: christmas cake is delicious 
3:39 | sleepy: 40, that's all of us...
3:41 | Sheep: reasonable number
3:42 | TheHighestNativeGod: OHADAYO
3:50 | (New member) Theblekedet: Bea can live for another month ...
3:59 | (New member) david johnston: you will have a large variety of meals available now!
4:03 | (New member) Margrave: There better be one of stacked burgers.
4:23 | (New member) The Flesh Is Weak: ADHD...
4:27 | (New member) The Flesh Is Weak: :_sprdo:
4:33 | bread: hewwo
4:37 | (New member) Mechanized Doge: ユーチューブのコミュニティのところ
4:37 | Sheep: you lost the pics? lol
4:42 | (New member) Kazoo: :buffering:
4:45 | (New member) Theblekedet: :_yab:
4:48 | (New member) Tianfang's Adventures: oh no
4:50 | Fridge Fridge: 100 eggs for breakfast
4:51 | (New member) Margrave: :_listener:...
4:51 | Mr.Lightning_Bolt 34: Hello
4:54 | (New member) Lazm: we should send them again?
4:54 | (New member) Moeniki: :_pain:
4:55 | (New member) Ekusupuroshon: Dojikko Bear...
4:55 | (New member) billy joe【liar】: :_meds::_handreps:
4:56 | (New member) TheTarkus: Welcome to For My Family!
4:56 | (New member) The Flesh Is Weak: :_meds::_away:
4:57 | (New member) Mister Eko: beatani... your breakfast contest reps...
4:59 | (New member) Lodowa Wrozka: :_mug:
4:59 | (New member) ThatVidyaGuy: BEATANI LOST EVERYTHING LETS GOOOO
5:01 | (New member) Mechanized Doge: あんたのコミュニティに入れたじゃん
5:01 | (New member) Firstname Lastname: Bea...
5:03 | cycochaos2: breakfast is cancelled
5:03 | TheHighestNativeGod: Happy birthday beatani!
5:04 | (New member) Kazoo: :_sprdo::_away:
5:05 | (New member) OverMagnet: :_yah::_oha::_dayo::_bea::_bea:
5:06 | sleepy: where's my breakfast beatani...
5:06 | (New member) Theblekedet: :_yab:
5:14 | (New member) Zhnigo: my daughter is as irresponsible as i am
5:16 | (New member) Voltage: :_chihiro::_chihiro::_chihiro::_chihiro::_chihiro:
5:20 | (New member) Ekusupuroshon: this bear...
5:34 | (New member) Margrave: :_pain:
5:34 | (New member) Mastigos Wilkins: excel sheet office work
5:35 | (New member) ユーネ: kusa
5:38 | Sheep: nice
5:40 | (New member) billy joe【liar】: lmao
5:40 | (New member) Jackku Chan: I'm hungry....
5:43 | (New member) BasedBug: 64?
5:50 | (New member) billy joe【liar】: :_love::_away:
5:53 | (New member) Suukotto Funsha: That's a lot of breakfast
5:53 | (New member) Shippo: sasuga...
5:54 | (New member) Zeng: 46
5:54 | (New member) Mastigos Wilkins: 5 to go
5:54 | (New member) Zia: Too many to eat
5:56 | (New member) The Flesh Is Weak: :_sprdo:sugoi
6:01 | (New member) BasedBug: So, two months of breakfast. Wow
6:02 | (New member) nona: But theres only 43 watching
6:03 | (New member) Kazoo: 5 too short
6:03 | (New member) OverMagnet: :_yab::_away:
6:03 | (New member) gyroninja: すごい:_yah:
6:06 | (New member) Tachi: :_yab:
6:07 | (New member) TheTarkus: spoilers bea...
6:07 | (New member) Ekusupuroshon: :_yab::_yab::_yab::_yab::_yab:
6:07 | (New member) Mister Eko: that's a good banana
6:12 | (New member) BasedBug: I'm seeing some winners!
6:12 | (New member) The Flesh Is Weak: :_yab:
6:14 | (New member) Andrew: lol 
6:15 | (New member) Margrave: :_yab::_away::_away:
6:17 | (New member) RussianAnimeBot: :_yab::_yab::_yab::_yab:
6:17 | (New member) david johnston: cute...
6:20 | (New member) Jackku Chan: Where's my axe? I'm hungryyyy
6:22 | (New member) Mastigos Wilkins: bea...
6:22 | (New member) Moeniki: :_yab:
6:22 | Sheep: YAB
6:22 | (New member) Shippo: spoilers!
6:23 | (New member) Tianfang's Adventures: :_yah:
6:24 | (New member) Margrave: DONT LOOK
6:25 | (New member) LassesAffar: turn off adblock dads!
6:25 | (New member) Zhnigo: tasteful banana
6:27 | sleepy: >oatmeal 
6:28 | (New member) Lodowa Wrozka: :_sprdo:
6:28 | (New member) Rye Mountain: Banana with coffee lmao
6:30 | (New member) Mastigos Wilkins: :_listener:
6:32 | (New member) ThatVidyaGuy: Spoilers!
6:32 | (New member) Margrave: Oh I see mine..
6:33 | (New member) BasedBug: Lots of bananas, that's really good!
6:33 | (New member) Momiji Channel: :_sprdo:
6:34 | (New member) Mister Eko: I can't believe this:_mug:
6:35 | (New member) The Flesh Is Weak: sorted from Best to Worst?
6:38 | (New member) OverMagnet: 46
6:48 | (New member) ユーネ: spoiled...
6:48 | (New member) Mechanized Doge: 後で「voidtools」の「everything」と言うアプリをダウンロードした方がいい。どこに入れたファイルがちゃんとドライブ全体探せる。
6:50 | (New member) Antonio Badilla: all oatmeals
6:51 | (New member) TheTarkus: banana + shake is based
6:54 | (New member) Randel Shurker: WE SEE "EM, RUN DADS!
6:55 | (New member) OverMagnet: Number reps...
6:55 | (New member) Ekusupuroshon: Looks like dads like to eat bananas
6:56 | (New member) LassesAffar: Banana with coffee, that's the wrong kind of banoffee
6:56 | (New member) Ludd: Based banana breakfast
6:57 | SpaceTalon: It should be first from the left 
7:00 | (New member) Kazoo: reject lunch, return to breakfast
7:01 | (New member) Ark K.: >excel
7:05 | (New member) Mastigos Wilkins: wait I actually did cook something
7:21 | (Verified, Moderator) Streamlabs: Sех just tipped $3.00 dayo!
7:25 | (New member) Mister Eko: PowerPointKuma...
7:27 | (New member) BasedBug: Based Sex
7:27 | (New member) Megiddo: Difficult for a bear to use Microsoft Office
7:31 | (New member) Tianfang's Adventures: She's really good with excel 
7:33 | (New member) The Flesh Is Weak: secsu:_away:
7:36 | (New member) Mastigos Wilkins: aloe...
7:37 | (New member) OverMagnet: PPB!
7:38 | (New member) david johnston: sasuga sex
7:39 | (New member) Kazoo: has she forgot how to use a computer
7:40 | (New member) Zhnigo: sekkusu-san...
7:43 | (New member) Shippo: sasuga OL
7:44 | (New member) XenMaster220: Secusu...:_listener:
7:45 | (New member) Tianfang's Adventures: Excel Bear
7:47 | Sheep: ceo...
7:55 | (New member) Tachi: :_listener:
8:00 | (New member) Ludd: sasuga sekusu san
8:04 | (New member) The Flesh Is Weak: :_chihiro::_sprdo:
8:08 | (New member) Ekusupuroshon: sekusu...
8:12 | (New member) Lazm: "Thank you, sex."
8:13 | (New member) Ark K.: sekkusu arigato
8:14 | (New member) RussianAnimeBot: thank you sekusu san
8:14 | (New member) OverMagnet: :_yab::_yab::_yab:
8:16 | (New member) TheTarkus: :_chihiro:sekusu...
8:16 | TheHighestNativeGod: sekkusu-san....
8:18 | (New member) Shippo: :_chihiro::_love:
8:20 | (New member) Moeniki: :_yab:
8:21 | Denied: sekusu
8:22 | (New member) Jackku Chan: BREAKFAST SEX :_uooooohh::_uooooohh::_uooooohh:
8:24 | stuffed idiot: sekkusu-san...
8:25 | (New member) BasedBug: Thank you Based Sex
8:27 | (New member) Mastigos Wilkins: thanks you seksu from bea...
8:29 | (New member) david johnston: :_uooooohh::_uooooohh::_uooooohh:sex:_uooooohh::_uooooohh::_uooooohh:
8:29 | (New member) ThatVidyaGuy: :_yab::_yab::_yab:
8:31 | (New member) Mister Eko: Sex is always among us...
8:33 | bejad007: selamat ulang tahun sayang
8:36 | (New member) Moeniki: sex for breakfast:_love:
8:38 | (New member) Voltage: seksu
8:38 | (New member) Stray Wolf: his real name is TAKESHI
8:41 | (New member) ユーネ: :_sprdo:
8:44 | (New member) Firstname Lastname: shy dads...
8:49 | (New member) Mister Eko: or maybe some dads are just shy
8:50 | (New member) Stray Wolf: but he became sex
8:51 | (New member) max r: foolish!
8:52 | (New member) Zhnigo: secsu was ejected :_away:
9:00 | (New member) BasedBug: Takeshi..
9:02 | (New member) Kazoo: she was finally donated sex
9:04 | (New member) Mister Eko: IKZ
9:04 | (New member) Ekusupuroshon: Let's go!
9:05 | sleepy: let's eat!
9:05 | (New member) Steven Frati: Expose the shy dads for their own good.
9:06 | (New member) The Flesh Is Weak: mother's day maybe
9:16 | (New member) Margrave: Lets do this! :_sprdo:
9:16 | Ada Zane: takeshi omae
9:19 | (New member) Zhnigo: bea is surprised we actually eat
9:30 | Denied: why
9:40 | Sheep: I'm sure the banana with the mug took effort
9:44 | (New member) Shippo: let's go
9:46 | (New member) Zia: We are not useless Neets like Beatani...
9:47 | (New member) ThePlatinumCan: lol, my cooking 'skill'...
9:47 | (New member) nona: She's surprised at our abilities to pull pictures from the internet
9:50 | (New member) Ekusupuroshon: IKZ
9:54 | Cringe Broker: y-yeah, I definitely made it myself haha
9:55 | (New member) Rye Mountain: Her expectations of us were so low...
9:57 | (New member) Canna: Some of us care about what we eat 
9:59 | (New member) Ekusupuroshon: Zia:_away::_away:
10:00 | (New member) ピーン祭り: 草
10:00 | (New member) Jackku Chan: Yep we can make all kinds of food
10:01 | (New member) Voltage: men are supposed to be fueled by raw testosterone 
10:01 | (New member) RussianAnimeBot: lol
10:05 | (New member) Moeniki: I hope next year is a lunch or dinner contest
10:05 | (New member) max r: pain
10:06 | (New member) ユーネ: :_sprdo::_sprdo::_sprdo:
10:06 | (New member) ThatVidyaGuy: A dad has to know how to cook.
10:07 | (New member) Mister Eko: dads are experts at everything
10:07 | (New member) Margrave: :_pain:
10:09 | (New member) Antonio Badilla: delicious? so this is the fashion contest?
10:13 | (New member) BasedBug: Us dads need to have one big cookout
10:14 | (New member) Big Gold: :_pain:
10:24 | (New member) Moon Runes: What's up Bear
10:25 | (New member) Kazoo: AI generated breakfast pics
10:29 | (New member) Canna: You're invited to the BBQ 
10:30 | (New member) Moon Runes: How's it going this morning?
10:31 | Börk Börk: Did you want someone to send you some haachama cooking?
10:37 | (New member) Stray Wolf: I didn't send because breakfasts are not my specialty 
10:41 | sleepy: oh no she's gonna mog us
10:43 | (New member) Mister Eko: it's going to be a burger cake isn't it
10:45 | (New member) max r: grass from the xp hill
10:45 | (New member) Jackku Chan: When making my breakfast meal, I make sure the carbohydrate content is just right, with the focus on long-lasting carbs instead of fast glucose-based things like cereal or white bread. 
10:46 | (New member) Theblekedet: dads cookout sounds great
10:54 | (New member) Lazm: I just want to grill for my baby girl bear.
10:55 | (New member) Moeniki: I can't believe Beatani rigged the contest so that she wins
10:58 | (New member) Ark K.: my breakfast is just cereal
11:00 | (New member) Momiji Channel: I wanted to do both but I was able to make good breakfast at least.
11:00 | (New member) gyroninja: Her entry is probably in the yes column
11:02 | (New member) Kazoo: a bowl of frosted flakes would be exciting
11:07 | (New member) Sleep: dads rule da world
11:07 | (New member) Mechanized Doge: >we have nutritionists here
11:09 | (New member) The Flesh Is Weak: :_sprdo:
11:11 | (New member) Mister Eko: OPENING HYPE
11:11 | Sheep: gonna be salmon
11:14 | (New member) The Flesh Is Weak: RATE
11:16 | (New member) Mastigos Wilkins: bye bye bea
11:17 | (New member) RussianAnimeBot: beatani eating grass and dirt from xp hill
11:17 | cycochaos2: A raw seal for breakfast
11:18 | sleepy: bea bea
11:19 | (New member) max r: :_lightstick::_chihiro:
11:21 | (New member) Zeng: I love watching the opening!
11:22 | (New member) Ekusupuroshon: OP
11:23 | (New member) Theblekedet: :_bea::_bea:
11:23 | (New member) Shippo: :_oha::_dayo:
11:24 | (New member) BasedBug: It should be good!
11:24 | (New member) Mister Eko: RATE THE OPENING
11:24 | (New member) Momiji Channel: :_sprdo:
11:26 | stuffed idiot: based OP
11:27 | (New member) XenMaster220: uuuuh? Timeloop bros?
11:28 | (New member) Ekusupuroshon: :_lightstick::_chihiro::_lightstick:
11:28 | (New member) Lazm: I've been keto for 18 months. What is a carb?
11:30 | (New member) Zhnigo: rate the stream...
11:30 | (New member) Moon Runes: >greentext on Youtube Bruh
11:34 | (New member) Antonio Badilla: seal and coke
11:37 | (New member) Momiji Channel: :_oha::_dayo::_chihiro:
11:37 | TheHighestNativeGod: 25/10
11:40 | (New member) Stray Wolf: beatani your streaming reps... 
11:40 | (New member) The Flesh Is Weak: :_mug:/10
11:41 | (New member) RussianAnimeBot: :_yah:
11:42 | (New member) Ekusupuroshon: RATE IT...
11:43 | (New member) Canna: :_lightstick::_sprdo::_lightstick:
11:44 | (New member) Tianfang's Adventures: ha ha time for bear.
11:45 | SpaceTalon: Based :DDDDD
11:45 | (New member) Tianfang's Adventures: again.
11:49 | (New member) max r: :_sprdo:
11:53 | (New member) Theblekedet: :_yab:/10
11:56 | (New member) Zeng: :_lightstick::_love::_lightstick:
12:03 | (New member) Kazoo: 2 toast/3 pancakes
12:03 | (New member) ユーネ: :_sprdo:
12:05 | (New member) Suukotto Funsha: Breakfast/10
12:05 | (New member) ThatVidyaGuy: r8 the stream boys
12:06 | (New member) CantDood: おめでとう Happy birthday! Thought I was late but the party's just starting!
12:07 | (New member) ThePlatinumCan: Opening LOVE
12:08 | (New member) Ekusupuroshon: :_uooooohh:/:_love:
12:16 | (New member) Moon Runes: bear/10
12:16 | (New member) anonEDM: :_chihiro: / :_listener:
12:17 | (New member) ThatVidyaGuy: 0 breakfast pictures/10
12:20 | (New member) Lodowa Wrozka: :_meds::_away:/10
12:27 | (New member) LassesAffar: :_uooooohh:
12:29 | DZ VW: my breakfast is a packet of peanuts
12:31 | darukaru: expired Latvian MRE/10
12:35 | (New member) TheTarkus: cute / funny
12:36 | (New member) BasedBug: 64 breakfasts..
12:46 | (New member) Zhnigo: :_lightstick::_sprdo::_lightstick: 
12:48 | (New member) Lazm: Can't wait to see the additions to the vtuber wiki for this one.
12:55 | (New member) ユーネ: :_yah:/10
12:57 | (New member) Ekusupuroshon: Steve eating rotten food/10
12:59 | (New member) Moon Runes: :_lightstick::_lightstick:
