-28:26 | XeniVari: 待機🐻‍❄🍀
3:03 | Peer: nice beats
3:18 | Zhnigo: super laggy for me
3:39 | ユーネ / Yuune: loving the beat though
3:46 | TWAIN: :buffering: again
3:50 | Mechanized Doge: :buffering:
3:52 | Atomized Atomizer: NIce 
3:52 | XeniVari: Laggy for everyone, looks like.
4:00 | Mechanized Doge: so it's not just me eh
4:01 | 92Pesonen: what could be causing this lag? too high bitrate set on OBS? 🤔
4:17 | Shippo: 🐻‍❄:buffering:
4:21 | Mechanized Doge: and here I thought Canadian internet was bad
4:27 | Raziel: It adds to the 2004 nostalgia
4:30 | O5060403: :buffering:
4:32 | Hanabi: I'm no tech guru but if it's a consistent problem for only beatani and not YT as a whole then it probably is something OBS related
4:38 | (Owner) Beatani Ch. 熊谷ちさと: OMG
4:39 | Margrave: :buffering:
5:01 | MBmasher: hi
5:05 | Atomized Atomizer: Lag every now and then
5:18 | TWAIN: ohadayo
5:20 | Megiddo: Ohadayo~
5:21 | MBmasher: ohadayo
5:21 | Verijero: ohadayo
5:21 | Meneltir: おはだよ
5:22 | Rye Mountain: Ohadayo!
5:22 | 92Pesonen: Ohadayo!
5:22 | Nasty Yukari: Ohadayo~~!
5:23 | Kyle: OHAdayo~!
5:23 | imalittle cupcake: Ohdayooo!
5:24 | Raziel: hey
5:24 | Stray Wolf: ohadayo 
5:25 | Hanabi: ohadayo
5:25 | Mechanized Doge: ohadayo...
5:26 | Suukotto Funsha: Ohadayo!
5:26 | Atomized Atomizer: Ohadayooo
5:26 | Zeng: ohadayo!
5:26 | HashSlash: Ohadayo
5:27 | XeniVari: Ohadayo!
5:27 | Margrave: Ohadayo
5:27 | ユーネ / Yuune: ohadayo
5:27 | Jackku Chan: Ohadayoo
5:28 | Antonio Badilla: Ohadayo
5:29 | CantDood: ohadayo
5:32 | ユーネ / Yuune: laggy bear
5:32 | gyroninja: ohadayo
5:32 | Tachi: Oh noo
5:33 | Stray Wolf: the stream is a bit laggy 
5:35 | Zhnigo: ohadayo
5:36 | Peer: Ohadayo
5:37 | cycochaos2: 1fps bear
5:38 | MBmasher: ppt bear
5:38 | Jackku Chan: Wow It's a powerpoint presentation today!
5:39 | Mew: 2fps bear
5:39 | thelastshinobi56: Ohadayo 
5:40 | HeavyD: ohadayo!
5:40 | TWAIN: 1 fps bear
5:44 | Verijero: 1 fps
5:50 | imalittle cupcake: Very laggy, yah
5:50 | Zhnigo: 1\2 fps
5:51 | Tachi: OBS settings maybe
5:53 | XeniVari: Slideshow.
5:54 | Gleb Rumyantsev: Based slideshow
5:54 | Verijero: sound is fine but the image is really laggy
5:58 | Mechanized Doge: PowerPoint presentation stream...
5:59 | Meneltir: 0.2 FPS bear
6:00 | (Owner) Beatani Ch. 熊谷ちさと: I think I have a problem with OBS!
6:01 | Ekusupuroshon: No....
6:08 | MBmasher: this happens when i accidentally open obs twice lol
6:12 | imalittle cupcake: Tech dads, please help
6:27 | Jackku Chan: 6000 is normally fine
6:32 | imalittle cupcake: That looked better for a moment
6:34 | Jackku Chan: Beatani are you downloading something?
6:34 | TWAIN: 144p bear
6:44 | destructself: hELLO Beatani
6:54 | (Owner) Beatani Ch. 熊谷ちさと: CPU usage 17% with OBS
6:55 | Verijero: she upgraded her internet recently so i dont think that sthe problem
6:58 | Verijero: 17% is pretty good, must be youtube or the OBS
7:11 | Mechanized Doge: do you guys think her PC specs may be an issue?
7:27 | Megiddo: looks good?
7:28 | destructself: there we go
7:30 | destructself: smooth
7:33 | O5060403: 144p bear
7:35 | destructself: no audio
7:35 | Canna: Much better 
7:36 | Voltage: may be fixed
7:37 | .sandrio: is NVEnc still the best option? I'm not completely up to date as my hardware is outdated
7:37 | MBmasher: yay!
7:38 | ユーネ / Yuune: aaa
7:41 | Jackku Chan: Oh hey it works
7:43 | destructself: yes
7:44 | destructself: fixed
7:44 | TWAIN: smooth bear
7:44 | ユーネ / Yuune: looks good
7:46 | Tachi: Yes!
7:46 | destructself: ❤
7:46 | 92Pesonen: its working!
7:47 | Zhnigo: seems fixed yes
7:48 | Verijero: hello
7:48 | HashSlash: Smooth?
7:48 | Suukotto Funsha: Ah, it's working now
7:48 | Jackku Chan: NVENC works for me
7:49 | XeniVari: We're good!
7:49 | RueTobas: welcome back
7:51 | Akka Oni: Ah, there we go! Much better!
7:51 | Zhnigo: ohadayo-
7:53 | Hanabi: there we go
7:54 | cycochaos2: yes
7:54 | Ekusupuroshon: BEAAAAR
7:54 | O5060403: Much better now
7:55 | Rye Mountain: Works good now
7:55 | Jackku Chan: It's niice
7:56 | thelastshinobi56: Hello now it's good
7:56 | Nasty Yukari: In all her 360p glory! Ohadayoo!!
7:57 | Tianfang's Adventures: We're good
7:57 | TWAIN: it is nice!
7:58 | Raziel: better
7:58 | ワースト: It's nice
7:59 | Voltage: HIUI BEARRRR
7:59 | Jackku Chan: We can hear you
8:00 | Zeng: perfect
8:01 | 92Pesonen: Audio is good!½
8:02 | TWAIN: we hear you
8:03 | ユーネ / Yuune: YATTA!
8:03 | Zhnigo: audio ok
8:03 | Peer: smooth bear!
8:04 | Rye Mountain: Audio works now
8:06 | Peer: yah!
8:07 | Akka Oni: Hearing you loud and clear!
8:07 | imalittle cupcake: My daughter looks so great in motion
8:09 | Mechanized Doge: smooth...
8:09 | .sandrio: audio and video fine now
8:09 | Tianfang's Adventures: I can hear audio
8:10 | ユーネ / Yuune: おk
8:12 | Atomized Atomizer: It's good now
8:13 | Stray Wolf: it's working now
8:13 | Canna: Audio is fine 
8:14 | 77Yuja_: yea!
8:15 | Jackku Chan: Your voice is music 
8:17 | Stray Wolf: finally 
8:17 | HashSlash: Very nice!
8:19 | destructself: Our Cute Daughter Bear
8:20 | CantDood: looks good now
8:20 | imalittle cupcake: Ohadayo!
8:20 | Ekusupuroshon: Beaaaaaaaaaaaaar
8:21 | Axem YT: yes
8:22 | Atomized Atomizer: audio video OK
8:23 | ユーネ / Yuune: や!
8:27 | Peer: its great!
8:27 | Verijero: looking good
8:28 | Shippo: ohadayo, it's fine
8:30 | max r: ohadayo~!
8:31 | 92Pesonen: What was the cause of the problem? 
8:33 | imalittle cupcake: It's working!
8:37 | Hanabi: don't apologize for having problems, it's not your fault
8:37 | Tachi: Ohadayo!
8:40 | Akka Oni: Alright! Now back to the game!
8:43 | Ysoseerius: Ohadayo
8:49 | Jackku Chan: It was using Software encoding instead of the GPU, I think
8:49 | imalittle cupcake: All we need to hear is your voice anyway
8:52 | ユーネ / Yuune: I really like your new intro!
9:04 | Peer: smart bear
9:13 | CPTpurrfect: hello bros, hello beatani
9:14 | Mechanized Doge: sorry? the only sorry I accept is that you don't call me a kid for liking Qoo. 😏
9:15 | CPTpurrfect: how are you?
9:26 | Jackku Chan: Are you dropping frames now? You can probably raise the bitrate a bit.
9:27 | White Wyvern: Ohadayo~
9:28 | Rye Mountain: Ohadayo
9:31 | O5060403: More like good evening for me
9:31 | thelastshinobi56: Ohadayo!!
9:33 | Nue Houjuu: x264 is cpu encoding and it has high cpu usage
9:36 | CPTpurrfect: wish you would stream earlier x'D it's 23:35 for me
9:39 | O5060403: But ohadayo!
9:58 | imalittle cupcake: Ohadayo~
10:02 | HashSlash: Sometimes I wonder if I'm the only dad who can genuinely say Ohadayo...
10:06 | I like the spikeman: I LOVE THIS BEAR
10:07 | .sandrio: 直った = fixed (in this context)
10:11 | Mechanized Doge: やろうじゃないか
10:12 | Akka Oni: What did we do last time? Just the junkyard?
10:15 | Rye Mountain: Did you make the music in the opening waiting screen yourself?
10:22 | Megiddo: @CPTpurrfect and it's 7:35 for her
10:26 | thelastshinobi56: true
10:29 | MBmasher: its 9am here 
10:43 | Nasty Yukari: Let's スタート!
10:50 | Mechanized Doge: 6:36pm here
10:52 | HashSlash: MBSmasher, fellow Aussie?
10:53 | Verijero: pikuniku
10:54 | max r: i'm here to find the 🥬 !
10:55 | Mew: ohadayo
10:57 | Jackku Chan: 1AM dad bros
11:02 | O5060403: 11pm is painful
11:10 | Voltage: 1:37 am for me
11:10 | O5060403: Also clocks moving back and hour
11:12 | thelastshinobi56: Basil?
11:12 | Akka Oni: Oh right, the mixtape.
11:14 | Zhnigo: music loud / voice quiet
11:16 | Verijero: 19:37 here
11:17 | O5060403: an*
11:20 | Verijero: perfect time
11:25 | I like the spikeman: ERP now Beatani👉👈
11:26 | Nasty Yukari: Best buy?
11:28 | Shippo: please make the music more quiet
11:31 | .sandrio: 23:30 gang
11:38 | imalittle cupcake: music loud
11:42 | Mechanized Doge: comfy Toronto/NYC hours...
11:42 | Nasty Yukari: Ohhh, not that best buy, I need to finish my coffee
12:01 | Stray Wolf: 5:37 pm here
12:08 | Akka Oni: A little louder
12:09 | Nero: ohadayo
12:12 | thelastshinobi56: <<< GO GO GO >>>
12:12 | Zhnigo: perfect
12:21 | TWAIN: 00:38 here
12:21 | Akka Oni: That's fine
12:22 | Verijero: yes
12:31 | imalittle cupcake: No it's good now
12:36 | Rye Mountain: It's good
12:38 | .sandrio: balance is nice now
12:39 | TWAIN: dst starting in 3 hours as well
12:40 | Ekusupuroshon: It's perfect
12:48 | james heller: perfect now
12:58 | Stray Wolf: ahoy 
12:59 | webm aristocrat: perfect
13:00 | MBmasher: omg i love this part
13:00 | max r: he is trying to find the one piece
13:04 | Ekusupuroshon: Ahoy!
13:10 | Jackku Chan: It's not really a job, more like an occupation.
13:12 | Zeng: yes ahoy
13:13 | Mew: :yougotthis::yougotthis: ahoy
13:17 | Mechanized Doge: Ahoy!
13:20 | Raziel: Space Teddy
13:23 | I like the spikeman: AHOY!
13:23 | .sandrio: ahoy!
13:24 | Nasty Yukari: Yep
13:25 | thelastshinobi56: Pirate bear
13:32 | O5060403: Ahoy!
13:33 | Zhnigo: overseas sexy bears
13:36 | Mechanized Doge: XP hill pirate...
13:37 | Akka Oni: LOL
13:37 | thelastshinobi56: hahaha
13:38 | Jackku Chan: Yab
13:39 | Stray Wolf: oh no 
13:40 | Verijero: nothing like a touhou mixtape for saturday evenings
13:40 | Mew: :elbowcough:
13:42 | Verijero: we know
13:43 | max r: 🙃🙃🙃
13:43 | Ekusupuroshon: No...
13:44 | HashSlash: Ahoydayo
13:44 | Tachi: Yab!
13:46 | Suukotto Funsha: Lol
13:46 | Stray Wolf: yab
13:46 | Rye Mountain: oh no
13:52 | Ante: 😳
13:55 | White Wyvern: senchou is bad influence
13:56 | Akka Oni: Beatani no!!!
13:57 | Raziel: perfect imitation
14:03 | thelastshinobi56: peropero senchou?
14:05 | 77Yuja_: R-18 Pirate
14:05 | Jackku Chan: Ohh nooo
14:08 | Shippo: oh no
14:11 | Nasty Yukari: Bad influence senchou...
14:12 | Atomized Atomizer: beatani wheezing is cute
14:13 | cycochaos2: Bear is Ichimin?
14:25 | I like the spikeman: BEATANI NOOO bad bear! 
14:25 | Jackku Chan: No more watching Vtubers for Beatani! Bad influence!
14:30 | Akka Oni: ?
14:33 | Verijero: mura mura bear
14:35 | Ekusupuroshon: Oh?
14:38 | imalittle cupcake: What kind of things is she teaching to our daughter?
14:47 | TWAIN: ventriloquist bear
14:50 | Nasty Yukari: tururu
14:52 | I like the spikeman: Her real voice!!!!!!!!!!!
14:57 | Ekusupuroshon: YAB
15:10 | Absolute Link: i JUST got here, i missed a senchou reference?? gonna have to watch the archive
15:15 | Mechanized Doge: ベアタニってカセットテープからの時代ですよね
15:21 | るむ: I heard something disconnect, was it the camera?
15:26 | Akka Oni: Floating because you're in space
15:28 | Verijero: how can she talk with the mouth close?
15:36 | D3bugged: hi Beatani
15:41 | thelastshinobi56: yeah something disconnected
15:48 | Rye Mountain: @Absolute Link she said THE line
15:53 | imalittle cupcake: Unlucky day
15:53 | CantDood: now the camera lol
15:54 | Akka Oni: Technical problems: the stream
15:57 | Voltage: it was a minute ago
15:57 | max r: i really want a beatani smug emote
15:58 | Mew: Telepathic bear!
15:59 | Canna: Bugs are invading xp hill 
16:02 | Ekusupuroshon: Use the loading screen to avoid yabs
16:06 | Jackku Chan: Beatani is a problem child!
16:07 | TWAIN: [screams internally]
16:10 | thelastshinobi56: We can see the settings
16:13 | Mechanized Doge: time to recommend her a new webcam...
16:14 | 92Pesonen: I heard USB disconnect earlier
16:20 | Nasty Yukari: She's looking at me...
16:25 | max r: frozen bear
16:26 | I like the spikeman: OH
16:26 | Nasty Yukari: Sorry bros
16:29 | Verijero: she is looking at my soul
16:30 | Akka Oni: Camera is not connect?
16:30 | Jackku Chan: Naze.. 
16:31 | thelastshinobi56: yeah something disconnects
16:36 | Antonio Badilla: Zen bear
16:38 | Tachi: Restart avatar?
16:39 | Hanabi: that windows sound probably means the webcam disconnected
16:40 | max r: :usb:
16:43 | Raziel: yare yare daze
16:45 | Tianfang's Adventures: Iced bear
16:46 | Mechanized Doge: >I have no mouth and I must scream
16:52 | Akka Oni: OK!
16:54 | Stray Wolf: but you're a polar bear how can you freeze? 
16:55 | imalittle cupcake: Looking our daughter in the eyes...
16:56 | Verijero: there we go
16:56 | 92Pesonen: !
16:56 | Jackku Chan: Nice, what is that, Bluetooth?
16:58 | Absolute Link: woohoo! much better
17:01 | thelastshinobi56: We can see the settings on screen
17:01 | Tachi: There!
17:02 | Mechanized Doge: おかえり!
17:03 | max r: your overlay
17:05 | I like the spikeman: I LOVE THIS BEAR!
17:06 | Verijero: senchou is cursed
17:06 | destructself: beatani is a ventriolquist
17:11 | destructself: such a talented daughter
17:13 | max r: 👍
17:20 | Voltage: staring into my soul
17:27 | thelastshinobi56: 😆
17:27 | Absolute Link: that is true
17:32 | ユーネ / Yuune: beautiful bear
17:37 | Ekusupuroshon: Please avoid camera yabs
17:49 | I like the spikeman: dare i say funny and cute?
17:49 | Verijero: yandere bear with her fixed gaze
17:51 | Nasty Yukari: We forgive you always
17:54 | I like the spikeman: CUTEEEEEEEEEEEE
17:55 | Nasty Yukari: Just be careful
18:41 | max r: 🚀🏴‍☠
18:47 | Akka Oni: guyrl
18:54 | Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀🍀
18:56 | I like the spikeman: Aubrey is a cute too!
19:21 | imalittle cupcake: Thank you based bokukko bear
19:32 | 92Pesonen: Do you still remember the emotion chart? 😀😞😡
19:35 | I like the spikeman: 🐻‍❄
19:52 | I like the spikeman: Sad > mad > happy right?
20:05 | TWAIN: is this bgm gachi
20:20 | I like the spikeman: o i was way off
20:28 | 92Pesonen: I hope you are correct! 
20:31 | Mechanized Doge: I am the space boyfriend.
20:33 | るむ: happy beats angry, angry beats sad, sad beats happy
20:35 | thelastshinobi56: What's wrong with Kel
20:52 | I like the spikeman: KEL
20:55 | Verijero:  ʕ； •`ᴥ•´ʔ_旦~~
21:11 | Jackku Chan: Is he standing on the bed with shoes on?
21:13 | max r: 🎵🐻‍❄🎵
21:13 | .sandrio: there are also more extreme versions of the emotions, right? like sad to depressed and angry to enraged?
21:15 | Jackku Chan: Geez
21:16 | Eika: 🎶 cool boss fight music 🎶
21:35 | Absolute Link: this game is so dramatic lol
21:49 | HashSlash: Also the emotions arent just a basic RPS system, they also work as buffs/debuffs
22:15 | Zhnigo: savage
22:29 | I like the spikeman: BEAR IS KING HERE
22:52 | Jackku Chan: Dads could still beat him up
23:04 | Jackku Chan: If they felt like it
23:50 | Nasty Yukari: Bear can win easily with her 150 meter buff
23:51 | imalittle cupcake: For our daughter we'll fight anyone
24:07 | Verijero: cool drawing
24:07 | Akka Oni: Just summon us and we will get it done!
24:08 | MBmasher: oh no hes hot
24:23 | Jackku Chan: Oh
24:29 | Jackku Chan: He's got bandaids over his heart because he's heartbroken
24:44 | Akka Oni: Wow, I didn't notice that
25:04 | Zeng: nice detail
25:05 | Nasty Yukari: So deep
25:09 | Verijero:  ᕕʕ •ₒ• ʔ୨ jamming to the music
25:34 | Atomized Atomizer: clever
25:37 | max r: i didn't notice it too..
25:52 | thelastshinobi56: kill the bishonen alien
26:19 | Akka Oni: Captain Bishounen
27:13 | White Wyvern: 😠
27:33 | 92Pesonen: True, however!
27:35 | Akka Oni: Also, something the game doesn't tell you: There are two levels of emotion. You can be happier, or more sad or angry
27:35 | Nasty Yukari: 😡 
27:35 | Glave-San: You can win Cute bear
27:41 | Jackku Chan: Placate = Calm me down
27:47 | Antonio Badilla: E X boyfriend lol
27:48 | max r: 😠
27:50 | MBmasher: omori has 3 levels 
27:52 | 92Pesonen: forever angry! 😡
28:01 | Fake Name: We're all just pissed
28:06 | TWAIN: 😠
28:14 | Zeng: lets all be angry together
28:22 | Zeng: 😠
28:23 | Hanabi: what a bunch of violent youths
28:51 | imalittle cupcake: At least our daughter isn't angry...
28:51 | HashSlash: 😡😡😡😡
28:57 | Akka Oni: 😤
28:58 | 92Pesonen: You can make angry even angrier
29:21 | cybornanc: ANGER 😡😡
29:32 | Ysoseerius: GRRRR
29:33 | Mechanized Doge: no mercy!
29:33 | james heller: furious bear
29:38 | Fake Name: 💢💢😠😠
29:42 | thelastshinobi56: happy bear
29:46 | Mew: Table smash
29:47 | Absolute Link: very sweet bear
29:47 | Akka Oni: Same
29:49 | Jackku Chan: That's what all angry people say 😡
29:56 | TWAIN: honeylike bear
29:59 | Collin: this music slaps
30:12 | cybornanc: Sweet bear and angry bear are both good.
30:16 | Zhnigo: people that are wrong on the internet
30:23 | thelastshinobi56: Dogs
30:23 | Akka Oni: What makes me angry?
30:29 | Mew: BEING HUNGRY
30:30 | Hanabi: my boss
30:30 | imalittle cupcake: People being wrong on the internet 
30:31 | Jackku Chan: High taxes make me angry.
30:31 | .sandrio: customers at work
30:33 | Fake Name: People that are wrong on the internet
30:36 | Absolute Link: technology not working right, makes me angry
30:44 | Verijero: my govermnent
30:46 | cybornanc: youtube not working.
30:49 | TWAIN: people being wrong on the internet
30:54 | Canna: Big pharma 
30:54 | ayy lmao: society
30:54 | Tachi: Slow internet
30:54 | Kyle: People who use the turning lane for passing
31:10 | Collin: are you actually playing this on windows xp?
31:19 | Atomized Atomizer: laggy internet
31:21 | Jackku Chan: Uhh it's not a turning lane it's a speeding lane
31:22 | HashSlash: using twitter yet I do it anyway
31:31 | Akka Oni: 誤解による対立は、私を怒らせます。
31:46 | Rye Mountain: I can't remeber last time i was angry
31:48 | imalittle cupcake: Bear makes me stop being sad and angry, though
31:58 | thelastshinobi56: Cheer up Beatani
32:02 | Nasty Yukari: Losing in touhou
32:10 | Akka Oni: Not a lot makes me angry though
32:25 | Absolute Link: not me, i love paying taxes
32:25 | Megiddo: expensive?
32:31 | Akka Oni: Oh, also difficult video games
32:44 | Mechanized Doge: I hate the IRS. (tax revenue agency)
32:52 | ayy lmao: society makes me angry
33:01 | 77Yuja_: buy a train
33:01 | Nasty Yukari: I love when the government owes me money
33:09 | Megiddo: so 25-30% income tax?
33:23 | Rye Mountain: 44% tax in my country, it's really high
33:28 | imalittle cupcake: I usually get tax returns so that's fun
33:28 | SpaceTalon: i am angry when I forget something
33:31 | Jackku Chan: Your money Beatani goes to the old people in Japan.
33:37 | Nasty Yukari: oh shoot
33:37 | 92Pesonen: Omori will always survive one lethal hit
33:37 | Verijero: la sociedad is truly evil
33:39 | SpaceTalon: even worse if I dont rember hwta 😆
33:48 | Jackku Chan: Nice
33:49 | TWAIN: ripip toast-kun
33:49 | Fake Name: Taxation is theft
33:52 | Suukotto Funsha: Nice
34:00 | Voltage: bear is stronger
34:12 | Akka Oni: Missed a few message?
34:22 | thelastshinobi56: libeartarian
34:43 | SquiddlyWinx: Don't pay your taxes, folks
35:01 | Jackku Chan: So Net earnings and Earnings after Costs
35:02 | TWAIN: gross income and net income?
35:15 | Absolute Link: in english we often call face value wage "gross" and take home wage "net"
35:20 | imalittle cupcake: Bear daughter fixes us too...
35:22 | Nasty Yukari: cured
35:23 | Nasty Yukari: ?
35:30 | .sandrio: I only take home about 61%
35:41 | Jackku Chan: Gross and net is a good distinction
35:43 | max r: accountantbros....
36:01 | Jackku Chan: The solution is to not work and get NEET benefits so you get 100% home!
36:08 | TWAIN: 55%...
36:11 | HashSlash: You guys are speaking math
36:18 | Rye Mountain: If you add up all the different taxes an average swedish person pays than 44% of the wage goes to tax in the end.
36:26 | Absolute Link: my take home is about 75%, i must be poor
36:32 | Zeng: his heart is broken and also Omori stabbed him
36:39 | Mechanized Doge: this stream is now about filing taxes lol
36:45 | Akka Oni: I wish. But being a NEET really isn't that fun
36:52 | Absolute Link: lmao pluto escaped
36:54 | Voltage: 💜❤️💜❤️❤️❤️ 999
36:56 | Jackku Chan: Rye, are you accounting for additional taxes on purchases of goods and services? It's probably way higher than 44%.
37:00 | Nasty Yukari: Uhh what?
37:01 | Atomized Atomizer: not pluto!
37:04 | ayy lmao: imagine paying taxes
37:09 | TWAIN: it's okay pluto is no longer a planet
37:13 | Jackku Chan: Remember that you're taxed twice, first on earnings and second on purchases.
37:19 | Nasty Yukari: Pluto isn't even a planet...
37:24 | Akka Oni: What planet? Pluto is not one.
37:37 | Hanabi: pluto is a planet don't listen to those scientists that say otherwise
37:45 | imalittle cupcake: Pluto will always be a planet in my heart...
37:47 | Zhnigo: I have an old encyclopedia that still says pluto has no satellites
37:48 | max r: pluto is a problem child
38:00 | max r: is pluto a fruit or vege ?
38:07 | Jackku Chan: Pluto is whatever Pluto wants to be
38:07 | SpartanChief: Pluto is a dwarf planet bros, don't fight.
38:16 | Verijero: a dog
38:42 | max r: snocone = frozen desert brand name
38:42 | Ekusupuroshon: Ice cream
38:48 | Hanabi: snow cones are like shaved ice, I think
38:50 | Verijero: problably another boomer joke
38:50 | max r: it is like flavored ice 
38:52 | Suukotto Funsha: Sno Cones are Shaved Ice
38:59 | Voltage: Sno cones=shaved ice with flavor
39:03 | HashSlash: Yeah its shaved ice on a paper cone
39:12 | Sunspots: Pace boy
39:15 | Ukitsu2: Not only Pluto, we have many planetoids/dwarfs in our Star System now.
39:29 | .sandrio: yes, snocones = かき氷
39:30 | Don L: snow cone = かき氷
39:36 | max r: ice cream has milk, snocone is just ice
39:55 | Sunspots: yup 
39:56 | るむ: sno-cones = snow cones = (changed spelling for the game). かき氷
40:00 | Collin: have a great stream, beatani, i must go to sleep
40:06 | max r: yes, that's right
40:51 | Zhnigo: yes there is 
40:54 | coba cobra: bear > sleep
41:09 | Sunspots: Bear said watch stream or die
41:11 | imalittle cupcake: You can still dream about Beatani
41:21 | (Verified, Moderator) Streamlabs: max just tipped $5.00 dayo!
41:22 | thelastshinobi56: my heart can't take it
41:26 | Hanabi: I can't always watch a stream but that's what archives are for
41:31 | Mechanized Doge: I thought it was shaved ice
41:36 | Zeng: maybe Basil is on Pluto
41:39 | Rye Mountain: My university records the lessons so it is no problem to follow beatani standard time for me.
41:51 | Sunspots: See? She said it again
42:04 | Absolute Link: so watch stream always
42:04 | Absolute Link: got it
42:05 | Jackku Chan: But Rye, your live participation and professor interaction creds..
42:14 | max r: Beatani Standard Time
42:22 | imalittle cupcake: Dads...my heart...
42:33 | Sunspots: Can relate, I'm here forever too...
42:34 | TWAIN: dadbros... our daughter is too good for us
42:39 | Rye Mountain: @Jackku Chan no such thing here
42:42 | Voltage: BST always best times
42:48 | Mechanized Doge: 仕事終わったのでゴロゴロ配信見ています。
42:58 | .sandrio: Ive got two weeks off IKZ
43:09 | Jackku Chan: That's the joke, you're in an assembly line uni.
43:15 | Jackku Chan: Many such cases!
43:31 | Sunspots: Good job out there
43:32 | Mew: Oh man... it's "! Good Job
43:37 | るむ: maybe you should interact with the earth there
43:41 | Jackku Chan: But where's Basil..?
43:51 | Mechanized Doge: thank you for your hard work
44:01 | Mechanized Doge: 多分
44:09 | Tachi: What was that shadow figure lol
44:14 | Jackku Chan: Detour = Alternative path
