-57:41 | Cherry dude: you better behave youtube
25:57 | Rob G.: because he is sad 😞 
26:01 | Ekusupuroshon: Watermerlon?
26:04 | Akka Oni: Just keep in mind for now
26:09 | Meneltir: obvious metaphor is obvious
26:16 | BasedBug: WATAME-lon
26:18 | ellescer: Watermelon+milk=mustard gas
26:34 | max r: party and beatani's house! let's goooo
26:36 | Verijero: yeah i never played this and that metaphor was pretty obvious
27:13 | Nasty Yukari: Yeah, it's "me/"
27:19 | SkysNotTheLimit: Yesterday was not a party, what about today?
27:41 | max r: if beatani is streaming, it's a party 🎉
27:51 | Verijero: beatani is gonna invite us to party in japan? nice
27:58 | HashSlash: Every stream's a party
28:05 | Nasty Yukari: Picnic with bea...
28:05 | pakkanen: It's party tonight?
28:08 | MiiMuu: party time?
28:11 | Aggressive Quack: Every day is a party 🥳
28:18 | Verijero: wholesome pikuniku with bea...
28:19 | Jessica: Every day is party 🎉
28:19 | BasedBug: Party in Brazil?
28:34 | pakkanen: But I heard something about party
28:36 | Aggressive Quack: Party time!
28:46 | Mew: :yougotthis::yougotthis::virtualhug:
28:53 | Kemonomimi: Dad loves to party
28:59 | MiiMuu: dads want to party though
29:03 | Akka Oni: Why not say hi to everyone?
29:11 | HashSlash: nii-chans and dads are always partying
29:16 | Mew: SHAWN
29:33 | Kyle: Busy bear
29:34 | Mew: 🍵Take it slow
29:40 | Verijero: dont step on snek
29:41 | Ekusupuroshon: clovers?
29:57 | ノイド: stay home!
30:04 | MiiMuu: doing puzzles outside is puzzling
30:06 | max r: 500pc beatani puzzle
30:58 | Verijero: the more the merrier = better if we are more
31:03 | Mew: Say it's only me
31:11 | SkysNotTheLimit: Youtube is a little sick?
31:15 | ellescer: Nah
31:16 | HashSlash: Happened to me too but we're back now
31:19 | CantDood: yt is dying for me as well
31:19 | Rivicen: Ohadayo Beatani!
31:20 | Verijero: it freezed for 5 secs but is fine now
31:20 | Nasty Yukari: It buffered for a second 
31:22 | CommanderMichael: even mine as well
31:24 | MiiMuu: I got a little buffering but it's fine now
31:24 | Ain't It: Youtube nooo!
31:27 | SkysNotTheLimit: We're good now
31:27 | Aggressive Quack: Alright kings, get your muskets
31:28 | Monster hmc: its back for me
31:28 | Ekusupuroshon: Why is Youtube like this?
31:29 | Rob G.: 👌here
31:29 | Akka Oni: It's okay now
31:31 | MazingerRed: Fine now
31:32 | Verijero: ohadayo
31:33 | Megiddo: Can confirm in 144p bear is still cute and funny
31:33 | Nasty Yukari: It's not that bad on my end tbh
31:37 | Rye Mountain: it was only 2 secounds, is no problem now
31:41 | Theblekedet: Ohadayo!
31:43 | Kemonomimi: It was only a second 
31:54 | Absolute Link: lolol
31:54 | Aggressive Quack: 360p gang here
31:59 | cycochaos2: more on
32:09 | Megiddo: aho~
32:10 | Nasty Yukari: Friggin' morans
32:14 | Rivicen: Moron, Stupid, Idiot, Dummy
32:15 | max r: baka
32:32 | cycochaos2: moron = stupid person
32:43 | Monster hmc: moaron
32:45 | るむ: Good riddance is a phrase.
32:49 | Verijero: is that the jew from yuyu kakusho?
32:50 | Nasty Yukari: riddance = get rid of
32:54 | Rivicen: Good riddance = I am glad he is gone
32:54 | Des Dichado: good riddance = I'm glad to be rid of this person
32:56 | Megiddo: "good riddance" (glad he/she left)
32:57 | HashSlash: Good riddance, like its good that theyre gone
33:05 | Akka Oni: Good riddance is like... "better that he's not here"
33:35 | MiiMuu: aren't bears good at hiding?
33:54 | Verijero: cunnybros...
33:58 | Aggressive Quack: Sneaky bear
34:16 | Ekusupuroshon: maggots lmao
34:38 | Stray Wolf: it works fine for me 
34:41 | Suukotto Funsha: Stealthy bear going to win easy
34:46 | Verijero: stro
35:06 | CommanderMichael: pronouncing R can be difficult
35:38 | Ekusupuroshon: Bad luck bear...
36:14 | Verijero: tederbol
36:23 | Rivicen: Your english is great! It must have been difficult. After 2 weeks, I am still struggling with hiragana.
36:30 | Kemonomimi: It’s a playground thing
36:36 | HashSlash: Sounds good to me, keep at it!
37:06 | MiiMuu: sniff them out!
37:15 | SkysNotTheLimit: Bear is Master Detective
37:17 | Zeng: Kel is a good friend
37:21 | Aggressive Quack: These kids are masters of stealth
37:25 | Akka Oni: What a great friend
37:34 | Ekusupuroshon: Reminds me of the happy days... year ago...
37:54 | Cecil 1: Thanks for the blessing smug bear 🙏
37:55 | Verijero: the pixelart oozes SOUL
37:58 | estratos13: Kel nice frind
38:18 | HashSlash: notorious candy
38:24 | Rivicen: Yum, $5 gift card
38:29 | Megiddo: cute
38:32 | max r: peropero the gift card
38:46 | MBmasher: hi beatani, im in class but i couldnt miss this
38:49 | Rivicen: Notorious candy will now be my rapper name
39:11 | Verijero: weird hamtaro
39:19 | Zeng: Mr Saturn
39:21 | Megiddo: seems like what?
39:24 | CommanderMichael: aaaaaa
39:28 | Aggressive Quack: I love her sound effects
39:30 | kevzor: cute and funny aaaaaaaa
39:31 | Megiddo: oh from Mother?
39:39 | Verijero: was that a mandragora?
39:43 | estratos13: it looks like a Puri puri
39:44 | SkysNotTheLimit: Ahhhh
39:45 | kevzor: mr saturn!
40:00 | HashSlash: The sprout moles are basically the Mr Saturns of this game, theyre great
40:11 | Rob G.: thicc boi 
40:12 | Antonio Badilla: Mr Satan?
40:38 | Verijero: kek that oni there
40:41 | estratos13: like sadaco lol
40:52 | estratos13: sadako*
41:12 | max r: big dad
41:14 | Verijero: bea luring us to the van...
41:34 | HashSlash: I hope the van has notorious candy
41:36 | ellescer: Damn 
41:45 | HashSlash: Did the stream die?
41:52 | max r: stream is fine 
41:56 | Akka Oni: Hero is down there, "exercising".
42:13 | Eduardo: tatakae
42:17 | HashSlash: Weird I got an error that said it wasnt available at 720p, is fine now
42:48 | Mew: wvuoumm o
43:14 | Ekusupuroshon: Eien banana
43:17 | Mew: 永遠の馬場 
43:19 | Megiddo: forever banana
43:23 | るむ: 意味なし
43:23 | Ain't It: It is eternal banana
43:24 | Raziel: Banana is eternal
43:29 | Suukotto Funsha: Eternal Banana, sounds powerful
43:32 | Zeng: eternal banana
43:40 | Moeniki: It's a silly phrase
43:46 | Ekusupuroshon: Spin the banana
43:50 | Megiddo: mogumogu~
44:06 | Mew: If you eat the eternal banana does a new one appear?
44:29 | (Verified, Moderator) Streamlabs: John_Paul_2 just tipped $5.56 dayo!
44:52 | Kyle: Did you talk to Hero?
44:56 | max r: betani is lost bear
44:58 | Des Dichado: These friends are good at hiding.
45:00 | Akka Oni: Do you want more help?
45:20 | Akka Oni: Bottom left corner
45:28 | max r: check bottom left
45:47 | Aggressive Quack: bottom left
47:16 | Akka Oni: Now for the last two!
47:20 | max r: sus
47:27 | Absolute Link: nice find
47:46 | Aggressive Quack: Detective Bear
47:58 | SkysNotTheLimit: Victory!
48:03 | max r: cute
48:08 | Nasty Yukari: purururupurupuru
48:09 | Ekusupuroshon: Bossu?
48:20 | Verijero: aaaaaaaa
48:37 | CantDood: bangs is 2 cool
48:38 | Stray Wolf: Bun
48:49 | Aggressive Quack: Based AND Strong
48:52 | Verijero: powerful bear
48:57 | Ekusupuroshon: Tsuyoi bear
49:03 | Akka Oni: Aren't we missing someone...?
49:03 | MiiMuu: cirnobear!
49:06 | Meneltir: The winner is you
49:06 | Jessica: Based
49:27 | SkysNotTheLimit: Find Brazil!
49:38 | Ekusupuroshon: Basil sus
49:38 | max r: where is brasil?!
49:52 | aux: come to basil
50:00 | Mags Durandal: It begins
50:04 | Ekusupuroshon: ah
50:08 | Verijero: lmao
50:09 | monkeynohito: You're pronouncing Basil right
50:13 | Aggressive Quack: b-b-b-boss time!
50:32 | Ekusupuroshon: Bad touch Stranger danfer
51:14 | Absolute Link: lol
51:21 | MiiMuu: the laugh of boss sort of sounds like kefka from final fantasy 6
51:39 | max r: beatani is the final boss
51:48 | Akka Oni: Oh! Our first boss
51:49 | CantDood: oh nice boss fight
51:50 | Zeng: really cool battle screen
51:50 | kevzor: poor boss
51:56 | Ekusupuroshon: Fight! Kill!
51:59 | SkysNotTheLimit: Fight! Strong bear!
51:59 | HashSlash: Save Basil!!
52:07 | MiiMuu: beat him up!
52:11 | Akka Oni: Let's get used to fighting
52:15 | Aggressive Quack: kick his butt!
52:21 | Verijero: kefka was a good boss
52:24 | Ekusupuroshon: Violence yeah!!!
52:25 | Mags Durandal: You are right, he is pitiful.
52:40 | Mew: Awww he really pitiful 
53:13 | Alazur: Beatani uses Paw Slash
53:21 | max r: 🐾
53:27 | Verijero: foe = enemy
53:28 | Aggressive Quack: Benevolent Bear 👼
53:30 | Mew: 悲しい 
53:39 | Megiddo: status effect
53:45 | HashSlash: Sad is a status that buffs defense
53:45 | Suukotto Funsha: a status effect I think
53:52 | Akka Oni: Sad... like the emotion. かなし
53:55 | max r: emotion skill = status effect. the game will teach you soon.
53:58 | Chloro [クロロ]: I think it's a debuff?
54:16 | Aggressive Quack: yee the game will teach you the status soon
54:23 | Silverion: Emotions are status effects, they work like じゃんけん
54:34 | CantDood: oh you can inflict status effects on allies too
54:43 | Aggressive Quack: oh no
54:53 | Arcterion: This game works with a rock-paper-scissors system for emotions.
54:53 | Megiddo: actual toast
54:55 | SkysNotTheLimit: UH OH
54:56 | Zeng: too strong
54:58 | Neo: you can do it !
54:58 | max r: you became bread
55:05 | Verijero: KA KA KA KACHI DAZE
55:08 | MiiMuu: totally toast!
55:08 | Suukotto Funsha: Oh no
55:09 | Ekusupuroshon: I refuse
55:10 | max r: 🍞
55:15 | Stray Wolf: toast = dead 
55:20 | Mags Durandal: It'll be okay! You can do it!
55:21 | Silverion: Omori can hold on at 1HP once per battle
55:22 | Chloro [クロロ]: Toast!?
55:25 | max r: when we die, we become toast
55:27 | Aggressive Quack: Bear too strong to fall
55:38 | estratos13: Bread?
55:38 | Nasty Yukari: 一生懸命!
55:40 | Des Dichado: 💪🐻‍❄
55:41 | Mew: It's a pun, english people say "you're toast" when you get defeated 
55:46 | Arcterion: Toast is a joke, it means 'defeated' in slang.
55:51 | Ekusupuroshon: Yummy Yummy Friends
55:51 | SkysNotTheLimit: Don't eat your friends!
55:52 | Suukotto Funsha: Bear too strong
55:55 | MiiMuu: add some butter and they'll feel better!
55:55 | Akka Oni: It's a play on word. "You're toast" is another way to say "you're dead".
56:00 | Nasty Yukari: Mogu mogu friends
56:05 | Hanabi: "toast" can be slang for getting beat up
56:06 | Aggressive Quack: oh well till she learns how to revive a ally
56:18 | Akka Oni: In this case they literally became toast.
56:44 | Arcterion: Omori is strong because he's the main character, obviously. 😛
56:53 | Akka Oni: Because he's sad boi
56:55 | Silverion: This game has a lot of English wordplay so it's going to be fun watching Beatani learn all of it
56:55 | Ekusupuroshon: Bad friends get the punch
57:15 | Sunspots: nice sfx
57:15 | るむ: 主人公だから
57:29 | Meneltir: Tsundere boss
57:43 | kevzor: tsundere boss
57:45 | Aggressive Quack: b-baka
57:45 | Arcterion: Oh, and when fighting enemies, Happy beats Angry, Angry beats Sad, Sad beats Happy. This will be very useful later in the game and during boss battles.
57:50 | Ekusupuroshon: Tree cosplay
57:53 | Verijero: is beatani tsundere?
58:00 | Mew: what a load of ボロニアソーセージ 
58:20 | MiiMuu: tsundere girls are best
58:25 | max r: Let's go beatani house! 🎉
58:36 | Verijero: good taste
58:45 | Aggressive Quack: Party time!
58:58 | kevzor: beatani is deredere!
59:14 | Ekusupuroshon: It's not like I like the bear or anything... 
59:14 | Akka Oni: Yes, looks like an item shop
59:47 | SkysNotTheLimit: The game said she can save near a picnic basket or something, right?
1:00:24 | HashSlash: Yeah you can only save at picnics
1:00:35 | Aggressive Quack: yee
1:00:53 | Ekusupuroshon: A pokemon?
1:00:59 | Silverion: Saving at picnic baskets is pretty fitting for a bear
1:01:07 | Verijero: mandragora
1:01:08 | MiiMuu: it's cute though!
1:01:36 | Mew: It's the nene hololive fanbase
1:01:43 | BasedBug: Look at this dood
1:02:04 | Ekusupuroshon: look at the top of his head
1:02:06 | Verijero: oddish!
1:02:12 | Silverion: He angy
1:02:15 | max r: hurt it!
1:02:17 | Canna: Looks like Beatani 
1:02:17 | Zeng: it is cute
1:02:24 | Aggressive Quack: angy plant
1:02:25 | MiiMuu: it looks like nazonokusa from pokemon
1:02:26 | Mew: 🐱🐱
1:02:26 | Ekusupuroshon: Kill it!!!
1:02:26 | Theblekedet: looks like a slime
1:02:37 | Stray Wolf: he does look like a pokemon 
1:02:51 | Verijero: what a ferocious bear
1:02:57 | Akka Oni: Angry increases attack, lowers defence
1:02:57 | coba cobra: perfect win
1:02:58 | (Verified, Moderator) Streamlabs: Anonymous_Dad just tipped $2.50 dayo!
1:02:59 | SkysNotTheLimit: No toast this time!
1:03:00 | HashSlash: Theyre basically what if Mr Saturn was a slime enemy
1:03:01 | Mew: 🌿☠
1:03:04 | Ekusupuroshon: Exp yeah!!! Farming time
1:03:13 | Aggressive Quack: Anon based dad
1:03:49 | Lyrical Curry: Hi Bea
1:03:55 | Zeng: neat foes and neet friends
1:04:00 | Ekusupuroshon: A bestiary basically
1:04:32 | Ekusupuroshon: Ugly haha 
1:04:35 | coba cobra: pokedex
1:04:40 | Mew: >it smells like dirty laundry
1:04:42 | MiiMuu: I want to squish it
1:04:59 | Silverion: stinky sprout mole
1:05:01 | Mew: Poor bear these words
1:05:04 | awarmcomfybed: I couldn't join so far because I was in a meeting, hope our daughter is enjoying the game!
1:05:04 | Kemonomimi: Smelly lol
1:05:20 | Ekusupuroshon: Let's eat it
1:05:21 | Akka Oni: Beatani speedrunning the tutorial
1:05:44 | Absolute Link: this game seems like good english practice, for your advanced level
1:05:49 | Monolith Guy: People actually pay attention to tutorials?
1:05:51 | SkysNotTheLimit: These status effects are pretty cool
1:05:56 | Akka Oni: Happy increases critical chance, lowers hit rate.
1:05:58 | Arcterion: I love this game's music, not gonna lie.
1:06:21 | Akka Oni: Yeah, the music slaps
1:06:45 | SkysNotTheLimit: Ohh a combat triangle
1:06:45 | Arcterion: 'Clams' is also slang, by the way. It's a bit outdated though.
1:06:55 | Mew: Happy beats! 
1:06:58 | MiiMuu: you got it!
1:06:58 | Verijero: happy > angry, angry > sad, sad > happy
1:07:10 | Ekusupuroshon: Steamed clams
1:07:11 | Silverion: It's rock-paper-scissors, but they have side effects too
1:07:13 | Aggressive Quack: based hero
1:07:31 | Hanabi: sounds pretty RPS/janken to me
1:07:48 | Aggressive Quack: doesnt sadness also ignore defense?
1:07:58 | Ekusupuroshon: saisho wa gu
1:08:04 | Mew: Why does sad make you fast?
1:08:06 | Zlayer: janken -> rock paper scissors
1:08:26 | Akka Oni: Sadness increases defence. It also does some damage to Juice instead of Heart
1:08:39 | Mew: 😥
1:08:41 | Akka Oni: It reduces attack though
1:08:50 | Rob G.: 😢
1:09:05 | SkysNotTheLimit: Oh no, my juice
1:09:19 | MiiMuu: I want to なでなで the sprout mole
1:09:44 | Mew: The music is surprisingly good 
1:09:56 | Akka Oni: This system becomes important later
1:10:22 | Rob G.: the weak should fear the strong
1:10:23 | Ekusupuroshon: Don't worry bear, just rip and tear
1:10:23 | Brandon21: it's the cute and funny bear!
1:10:25 | Akka Oni: Omocat hired some great composers for this game
1:10:55 | Verijero: my gyaru bear cant be this cute...
1:10:55 | Terra: BearNom
1:10:57 | Rob G.: lol that sfx
1:10:58 | max r: can't tell the difference between game music and beatani sounds...
1:11:18 | Rob G.: ^
1:11:21 | Arcterion: Mari ❤
1:11:52 | Ekusupuroshon: You have to believe bro
1:12:06 | Silverion: Mari is the best sister
1:12:07 | ノイド: i want to marry mari!
1:12:09 | max r: 🍭
1:12:09 | SkysNotTheLimit: uh oh
1:12:18 | kevzor: marry mari!
1:12:19 | SkysNotTheLimit: Artists, get to work
1:12:20 | Zlayer: i'll marry you instead ok
1:12:22 | Terra: she just went and licked mari
1:12:23 | Absolute Link: marry mari
1:12:29 | Aggressive Quack: Oh no were losing kings ;;
1:12:33 | max sleepy fox: ᶘ ᵒᴥᵒᶅ
1:12:35 | MiiMuu: mari x beatani!
1:12:35 | ellescer: Lol
1:12:35 | dice: choroi
1:12:40 | Nasty Yukari: Marry mary merrily
1:12:46 | Akka Oni: I wish I had a sister like her
1:12:53 | ellescer: Bro’s we’ve been ntr’d
1:12:55 | Rob G.: don't worry it came through 😆
1:12:59 | MiiMuu: as dads we must support this marriage
1:13:02 | るむ: 「Forvo」って知ってますか？それを使って単語のネイティブ発音の録音を貰うことできます。かなり便利と思います。
1:13:11 | Rob G.: Mari has my blessing
1:13:22 | Canna: Can't believe our daughter is getting married already 
