-1:34:58 | (New member) ThePlatinumCan: :_sprdo:
6:56 | (New member) Hanabi: :_oha::_dayo:
6:58 | (New member) Zhnigo: muffled xp sounds
6:58 | (New member) Stray Wolf: controller? 
6:59 | (New member) XenMaster220: ??
6:59 | SpaceTalon: aaaaaaaaaaa?
6:59 | stuffed idiot: based scuffed start
7:00 | (New member) XenMaster220: ??
7:01 | (New member) Megiddo: controller no work?
7:01 | (New member) Tachi: kek
7:03 | (New member) Luginov: controller onegai..
7:03 | (New member) BasedBug: Good start so far
7:04 | (New member) Margrave: Pain...
7:04 | (New member) Mister Eko: the controller?
7:06 | (New member) CommanderMichael: *windows noises*
7:06 | (New member) RueTobas: We should escape to the one place that hasn't been corrupted by capitalism. SPACE
7:08 | (New member) Tachi: Happens to me too
7:08 | (New member) Idle Bear: controller/10
7:08 | Question Box: mouse bad
7:08 | (New member) RussianAnimeBot: lol
7:11 | (New member) Mister Eko: pc gaming, everyone
7:16 | (New member) sleepypwns: Bea...
7:22 | Mizuki Arisu: cute
7:30 | darukaru: planets AWAY
7:33 | (New member) Megiddo: sleepy kuma
7:33 | (New member) Ekusupuroshon: sleepy bear
7:33 | (New member) Firstname Lastname: Your sleep reps....
7:37 | (New member) RussianAnimeBot: capitalism doesnt sleep
7:37 | ciapaty ciapacz: Don't be sleepy
7:39 | coba cobra: good night zzz
8:01 | (New member) XenMaster220: This is going to be a good stream.:_nukutea::_nukutea:
8:02 | (New member) max r: only 29,642pix to go
8:08 | (New member) BasedBug: It's really funny when she's too tired to speak English
8:09 | (New member) Stray Wolf: and you need 30000 pix
8:14 | Sleep: this is just real life..
8:15 | (New member) RueTobas: this game is surprisingly fun to watch
8:16 | (New member) TWAIN: yoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyoyo
8:21 | (New member) Megiddo: better do some dungeon diving
8:23 | (New member) Voltage: sleepy bear best bear
8:33 | SpaceTalon: you only need to dectuple your pix
8:45 | (New member) Zhnigo: sleepy kuma is comfy
8:45 | (New member) TWAIN: buy high sell low, capitalism ho!
9:02 | (New member) Zhnigo: your mouse cursor reps...
9:18 | (New member) RussianAnimeBot: gummi beatani
9:20 | (New member) Ark K.: cursorchama
9:25 | (New member) LapanNaxela: are you doing dungeon too or just shop?
9:32 | (New member) Moon Runes: :_kita:
9:36 | stuffed idiot: cute mouse cursor
9:43 | (New member) Megiddo: too late for dungeon today
9:49 | (New member) Megiddo: and tomorrow it's closed I think
9:50 | (New member) Zeng: sell the cursor
10:41 | (New member) ThatVidyaGuy: Sell Tear
10:56 | (New member) TWAIN: sell the fairy!
10:57 | JackRedstonia: Beatani has a cute (and funny) voice! First stream and loving it already.
10:57 | FBI SURVALENCE: uo
11:09 | (New member) Zhnigo: put fairy on the window display
11:10 | (New member) Tachi: :_sprdo:
11:13 | Axiis: S H O T A
11:17 | (New member) max r: risuna chan (male)
11:18 | (New member) anonEDM: shotamage
11:23 | (New member) Ark K.: S H O T A peropero
11:24 | JackRedstonia: shota...
11:24 | (New member) The Flesh Is Weak: newcoomer
11:25 | Mizuki Arisu: ochinchin land...
11:26 | (New member) Megiddo: yep newcomer
11:29 | (New member) Zia: 👀
11:29 | paiza: shota
11:37 | (New member) david johnston: oh no shota run your not safe!
11:46 | (New member) max r: hey that is not very nice
11:49 | Sleep: can these people really
11:49 | (New member) max r: kuso shota
11:51 | (New member) Rye Mountain: A rich snob...
11:52 | (New member) Firstname Lastname: :_kita:
11:54 | darukaru: rude shota
11:57 | (New member) Zhnigo: :_kita:
11:58 | (New member) Mister Eko: she is fully awake now
11:58 | (New member) No Body: hes a brat
12:02 | (New member) XenMaster220: :_kita:
12:03 | (New member) CommanderMichael: >she likes the shota voice :_sprdo: 
12:10 | (New member) Ekusupuroshon: Kusogaki...
12:12 | JackRedstonia: this brrat shota...
12:12 | (New member) The Flesh Is Weak: gaki...
12:14 | (New member) Megiddo: striding, like a strong walk
12:18 | (New member) CommanderMichael: beatani the shotacon :_sprdo: 
12:18 | (New member) TWAIN: based shota
12:22 | (New member) david johnston: this brat...
12:30 | stuffed idiot: time to bully the shota
12:31 | (New member) ThatVidyaGuy: Sell this kusogaki
12:32 | (New member) Ark K.: cheeky
12:33 | (New member) max r: cheeki breeki
12:36 | (New member) BasedBug: Saucy lmao
12:37 | paiza: cheeky
12:38 | (New member) Zia: cheeky brat yes
12:39 | (New member) Megiddo: lmao synonyms
12:40 | (New member) Ark K.: mesugaki
12:42 | (New member) Zhnigo: cheeki breeki
12:43 | (New member) ThatVidyaGuy: cheeky brat
12:43 | (New member) Tuffee: cheeky little shit
12:43 | Axiis: shes enjoying this a little too much lol
12:43 | (New member) RussianAnimeBot: cheeky brat
12:44 | (New member) CommanderMichael: cheeky breeki
12:44 | (New member) Ekusupuroshon: cheeky brat!
12:45 | (New member) Rob G.: cheeky is best
12:49 | (New member) billy joe【liar】: That's Bea's type
12:53 | (New member) RussianAnimeBot: sell sell sell
12:54 | darukaru: Saucy lad
12:54 | paiza: cheeky shota boi
12:59 | (New member) TWAIN: power of bea
12:59 | (New member) The Flesh Is Weak: time to make his belly big
13:00 | (New member) XenMaster220: Silly and wild Brat
13:00 | (New member) gyroninja: lol
13:01 | (New member) Zhnigo: this is the bea I know
13:05 | (New member) Tachi: "Power"
13:08 | (New member) Raziel: umm
13:11 | Sleep: what
13:11 | (New member) Zia: ah...
13:13 | (New member) max r: peroperopero
13:13 | (New member) RussianAnimeBot: what
13:13 | Axiis: what
13:14 | (New member) Firstname Lastname: !?
13:14 | (New member) 77Yuja_: wow
13:14 | (New member) Luginov: pregnant power :_sprdo:
13:15 | (New member) TWAIN: pregnant power?
13:15 | (New member) Ekusupuroshon: your what!!!!?
13:16 | stuffed idiot: the power of true love
13:16 | (New member) ThatVidyaGuy: ???
13:19 | (New member) Stray Wolf: pregnat power? 
13:23 | (New member) Rob G.: 👀
13:24 | (New member) Zed: ah
13:24 | (New member) Zeng: :_sprdo:
13:34 | (New member) Stray Wolf: rrats?
13:34 | (New member) max r: ahhh, the pregante power.
13:40 | (New member) Mister Eko: that's an actual Stand power...
13:41 | (New member) RussianAnimeBot: she wants to impregnate the shota
13:41 | (New member) Megiddo: when loli meets shota
13:47 | (New member) Ekusupuroshon: RRats are too powerful now
13:51 | (New member) BasedBug: Remote kid looking for equipment?
13:53 | Trazen4: He's definitely an idiot kid
13:53 | (New member) Zia: If he's too cheeky, punish him with unwanted pregnancy
13:58 | (New member) Firstname Lastname: kusogaki
14:00 | (New member) max r: take a look in the mirror, remote kid!
14:00 | (New member) TWAIN: femlets btfo
14:08 | (New member) Idle Bear: Shota looking for balon
14:10 | (New member) RussianAnimeBot: lol
14:11 | (New member) paiza: Welcome to For Emote Kids!
14:15 | (New member) CommanderMichael: shota: i would like to speak to the manager :_sprdo: 
14:18 | rev: slurp
14:19 | (New member) Ekusupuroshon: sip
14:20 | (New member) Rye Mountain: Remote kid is in danger
14:25 | (New member) BasedBug: Drinking AMSR
14:27 | (New member) max r: hey konata remote kid
14:27 | (New member) paiza: :_sprdo::_sprdo::_sprdo::_sprdo:
14:39 | (New member) Rye Mountain: Pardun?
14:42 | (New member) Ekusupuroshon: pardun?
14:43 | (New member) The Flesh Is Weak: pardun?
14:45 | (New member) Firstname Lastname: Pardun?
14:46 | (New member) Herbie Cucumber: uoh.....
14:51 | (New member) CommanderMichael: >pardun
14:57 | JackRedstonia: uoh!
14:59 | rev: kusocheeki
15:02 | (New member) RussianAnimeBot: pardun
15:05 | (New member) Zhnigo: fujimi! furofushi! pregnanto powah!
15:07 | (New member) Mister Eko: what a cheeky brat *sips*
15:09 | (New member) anonEDM: Pardun
15:18 | (New member) paiza: me
15:28 | (New member) paiza: :_sprdo:
15:28 | (New member) Ark K.: new words yay
15:30 | (New member) Firstname Lastname: big sips
15:31 | (New member) Mister Eko: owner
15:36 | (New member) max r: it means owner 
15:37 | (New member) ThatVidyaGuy: The owner of a business
15:38 | (New member) ZVN: It means the owner of the shop
15:38 | MonquSurtonpif: owner
15:39 | (New member) Zhnigo: proprietor = store owner
15:45 | (New member) XenMaster220: store owner
15:45 | (New member) Margrave: Owner
15:51 | darukaru: Propagation?
15:55 | (New member) Ark K.: pro pry ator
16:01 | Trazen4: Fancy word for business owner
16:04 | (New member) Xayn: 店長
16:06 | (New member) CommanderMichael: PRO-PRAYE-TOR
16:06 | Axiis: thats correc
16:07 | (New member) RussianAnimeBot: good
16:09 | (New member) Raziel: "You're talking a lot of crap for someone in impregnation distance, boy." *sips*
16:11 | (New member) The Flesh Is Weak: CEO 
16:11 | Sheep: ye
16:15 | (New member) paiza: capitalism words
16:33 | (New member) Mister Eko: eng reps let's goooo
16:40 | (New member) CommanderMichael: business owner, manager, boss, etc. etc.
16:43 | (New member) Ark K.: beatani, are (you) shotacon?
16:44 | (New member) TWAIN: cute bear doing english reps
16:46 | (New member) LapanNaxela: A good game to teach Bea more english
16:49 | (New member) RussianAnimeBot: lmao
16:49 | (New member) Tachi: :_sprdo:
16:51 | (New member) ZVN: lmfao
16:51 | Axiis: YAB
16:53 | (New member) Ekusupuroshon: Bea is scary now...
16:55 | (New member) 77Yuja_: enter store for goods leave with pregnancy...
16:56 | (New member) WizJR W: scary bear
16:57 | MonquSurtonpif: puropayataaaaa
16:57 | (New member) Zhnigo: kuma...
16:58 | (New member) paiza: caillou get pregant
16:58 | (New member) Margrave: lol
17:00 | (New member) RussianAnimeBot: be preganant
17:04 | (New member) BasedBug: Shotaboy, run as fast as you can
17:10 | (New member) RussianAnimeBot: its the latest yab
17:15 | Question Box: CAILLOU HATE
17:18 | (New member) paiza: be pragent
17:19 | (New member) CommanderMichael: bea is approaching horny mode :_sprdo: 
17:19 | (New member) Margrave: Run boy run!
17:21 | (New member) Rye Mountain: Oh no he is in danger
17:23 | (New member) Mister Eko: foolish kuma, you can't get pregnant a shota (male)
17:27 | (New member) Tuffee: leave that pure boy alone
17:30 | (New member) Ekusupuroshon: Kowai
17:30 | (New member) ThatVidyaGuy: I left to grab coffee and came back to this. I'm scared dads
17:31 | Axiis: lmao
17:38 | (New member) Zia: mPreg...
17:39 | (New member) Rye Mountain: "impregnate" is the word you are looking for I think
17:39 | (New member) Rob G.: Bea was babiniku all along
17:41 | (New member) paiza: we will impregant him 
17:48 | (New member) Zia: You can in the future
17:51 | (New member) WizJR W: Anything is possible with the power of love
17:51 | (New member) The Flesh Is Weak: if there's a hole there's a way
17:52 | TheTarkus: you can
17:53 | (New member) No Body: god i wish that were me
17:54 | (New member) Ark K.: /ss/chads
17:54 | (New member) paiza: we stronk 
17:54 | (New member) Luginov: you underestimate her power
17:56 | Ontack: 草
17:57 | (New member) Tachi: Just share a delicious cream pie with him
18:03 | (New member) Zeng: you can impregnate shota if you believe in yourself
18:03 | (New member) Mister Eko: s-scary...
18:05 | (New member) Luginov: oh my god
18:08 | (New member) Ekusupuroshon: Yab
18:09 | (New member) RussianAnimeBot: LOL
18:09 | (New member) BasedBug: WOW
18:10 | coba cobra: this game is very lewd
18:10 | (New member) Mister Eko: lol
18:10 | (New member) Margrave: Scary...
18:12 | (New member) ThatVidyaGuy: LMAO
18:12 | stuffed idiot: LOL
18:12 | (New member) paiza: he will birth to your child
18:12 | (New member) Zia: I-I see
18:12 | (New member) Mister Eko: hahahahahaha
18:13 | (New member) Tuffee: oh nonononono
18:13 | (New member) WizJR W: kowai
18:13 | (New member) Ark K.: that's new
18:13 | (New member) TWAIN: WAT
18:13 | (New member) The Flesh Is Weak: UOOOOOOH
18:13 | (New member) Idle Bear: oh no
18:13 | (New member) Canna: Do you daughter a favor and hold him down 
18:14 | Axiis: what the fuck??
18:14 | (New member) Zhnigo: bea...
18:14 | (New member) 77Yuja_: s-sugoi
18:15 | (New member) Rob G.: what the
18:15 | (New member) Ekusupuroshon: what in the name of god
18:15 | TheTarkus: yab
18:15 | (New member) Rye Mountain: Jesus christ
18:16 | Sleep: holy fuck
18:17 | darukaru: mistakes into miracles
18:18 | (New member) Firstname Lastname: LOL
18:20 | Question Box: KEK
18:21 | (New member) No Body: naruhodo...
18:22 | ciapaty ciapacz: I alway wanted one
18:22 | (New member) BasedBug: That's a new one
18:22 | (New member) Raziel: So, anybody here for the first time?
18:24 | (New member) Zhnigo: cruel and unusual
18:26 | (New member) RussianAnimeBot: yabe
18:27 | Axiis: what the hell is wrong with you lmao
18:28 | (New member) XenMaster220: Oh no she's going overboard for wild and silly boys.:_sprdo:
18:28 | (New member) Shippo: u....ooh?
18:33 | (New member) TWAIN: UOOOOOOOOOOOOH CARRYING BEATANI'S WOMB
18:35 | (New member) Margrave: r+18 artists get on it....please don't.
18:35 | (New member) ZVN: Having my daughter's womb inside me uohhhhhhhhhhhhh
18:35 | stuffed idiot: s-sasuga beatani
18:39 | (New member) Xayn: (did not naruhodo at all)
18:42 | TheTarkus: sasuga beatani...
18:45 | (New member) Ludd: sasuga genius bear
18:48 | (New member) Rye Mountain: Please give womb onegai
18:50 | (New member) Mister Eko: biology reps...
18:53 | (New member) Ekusupuroshon: oioioioioioioi
18:54 | (New member) Zhnigo: tags: body modification, feminization, mpreg
19:02 | (New member) RussianAnimeBot: i want to carry beatani’s womb
19:04 | (New member) The Flesh Is Weak: excel?
19:04 | (New member) Rob G.: My Excel
19:05 | (New member) Ekusupuroshon: OIOOIOIOIOIOI
19:05 | (New member) Ark K.: uhm... beatani, your biology reps???
19:06 | (New member) Zia: So that's how it works
19:06 | (New member) Tachi: Lol
19:06 | (New member) Firstname Lastname: BEA...............
19:07 | (New member) WizJR W: yab
19:07 | (New member) Stray Wolf: what? 
19:08 | (New member) Transcendental_ColonThree: UOOOOHHH
19:11 | David Lopez: hahahaha
19:13 | (New member) Firstname Lastname: BEA
19:13 | (New member) Zhnigo: sleepy bea is scary
19:13 | Mizuki Arisu: This is true love
19:13 | Axiis: lol?
19:14 | (New member) Stray Wolf: excel? 
19:14 | ciapaty ciapacz: spam?
19:15 | (New member) paiza: he will bear the bear children
19:15 | Ontack: 草
19:15 | rev: spam
19:15 | (New member) RussianAnimeBot: lmao
19:16 | (New member) Ekusupuroshon: What is this?
19:16 | (New member) Stray Wolf: sperm 
19:16 | Brandcrisp: excuse me?
19:16 | (New member) CommanderMichael: >she actually said dick
19:18 | (New member) david johnston: □:_sprdo:
19:18 | Jokie: SPAM?
19:18 | (New member) Mister Eko: this stream is going places
19:19 | (New member) Stray Wolf: what ?
19:19 | (New member) BasedBug: This is awfully descriptive
19:22 | (New member) Raziel: that tts lmao
19:22 | Axiis: what fetish power is this?
19:22 | (New member) paiza: spam 
19:22 | Andrew Ryan: uoooooooohhh????
19:23 | (New member) Stray Wolf: what? 
19:23 | (New member) TWAIN: :_sprdo:
19:25 | (New member) The Flesh Is Weak: :_sprdo::_sprdo::_sprdo::_sprdo:
19:25 | (New member) paiza: sperm
19:26 | (New member) billy joe【liar】: はい
19:27 | (New member) Luginov: these really are the best streams
19:27 | (New member) MBmasher: what
19:30 | ciapaty ciapacz: sperm spam
19:30 | (New member) ThatVidyaGuy: Bear....
19:31 | (New member) david johnston: god i wish i was that shota...
19:31 | (New member) 77Yuja_: master plan
19:31 | stuffed idiot: UOOOOOOOOOOOOOOHHHHH
19:32 | (New member) Stray Wolf: what? 
19:33 | (New member) Ark K.: is this the final yab?
19:35 | (New member) WizJR W: is this the beginning of a new arc...
19:35 | (New member) paiza: :_sprdo:
19:35 | (New member) Zia: Biology reps
19:42 | (New member) LapanNaxela: :_yah:
19:42 | Sleep: beatanicock stronk
19:43 | (New member) Rye Mountain: This stream is already very interesting
19:43 | (New member) Rob G.: ah Bea the alchemist
19:45 | Axiis: this is pretty yab
19:46 | (New member) CommanderMichael: :yt:-kun, don't look
19:48 | (New member) Firstname Lastname: ............
19:48 | (New member) Ekusupuroshon: The Bear has fallen...
19:50 | (New member) BasedBug: Every further stream she gets more and more descriptive
19:52 | Nickbau5: well this is an interesting first stream to tune in on
19:54 | (New member) Stray Wolf: what 
19:55 | (New member) The Flesh Is Weak: benis in bogus :_sprdo:
19:57 | rev: byubyu
20:00 | (New member) No Body: ok.
20:02 | (New member) Tachi: Seieki
20:03 | (New member) Mister Eko: I understand enough to be embarrased...
20:03 | (New member) Ekusupuroshon: Youtube us going to Ban this bear
20:04 | (New member) CommanderMichael: educational stream with beatani :_sprdo: 
20:04 | (New member) WizJR W: Biology class with bea!
20:04 | TheTarkus: so this is it... the power of yab...
20:05 | (New member) Zia: I think we understood
20:10 | (New member) Zhnigo: no it's perfectly understandable
20:12 | (New member) Ark K.: no
20:14 | (New member) Rye Mountain: It was understandable
20:15 | (New member) Firstname Lastname: w-we understand...
20:15 | (New member) Lazm: this is getting really complicated 🥴
20:16 | (New member) ThatVidyaGuy: We understand enough to know how cringe it is
20:17 | ciapaty ciapacz: No no I think we get it
20:22 | (New member) paiza: self pregant
20:22 | (New member) TWAIN: 20 minutes in and she's warming up for her yabs already
20:26 | (New member) paiza: mitosis
20:31 | (New member) Stray Wolf: it's not that I don't understand your words...
20:36 | (New member) Ekusupuroshon: ... oh My god
20:36 | (New member) paiza: IRAQ
20:39 | (New member) Stray Wolf: I way what because I understand them 
20:42 | (New member) Raziel: The child from the self pregnancy will be the one to bring about the final yab
20:43 | (New member) Zia: Caillou
20:47 | (New member) Zia: Means rock in French
20:47 | (New member) anonEDM: kai yu
20:49 | (New member) paiza: *chopper*
20:51 | (New member) Mister Eko: it's a french word, I think
20:54 | Axiis: kai yu
20:57 | (New member) Ekusupuroshon: Kai yuu
20:57 | (New member) Margrave: Caillou run! 
20:58 | (New member) 77Yuja_: kai yu
21:00 | (New member) paiza: kai low
21:02 | (New member) ThatVidyaGuy: kai yu
21:12 | (New member) Stray Wolf: Kaiju
21:14 | (New member) Zia: Caillou means Pebble in french 
21:22 | (New member) Stray Wolf: Kaiju
21:22 | (New member) XenMaster220: Like "Kai-yuu"
21:23 | Axiis: thats right
21:27 | (New member) Xayn: Who is Cai(llou)
21:28 | (New member) RussianAnimeBot: caillou chama 
21:34 | (New member) paiza: hes dumb like a rock
21:35 | (New member) Stray Wolf: 怪獣 lmao
21:38 | (New member) Ekusupuroshon: here we go again...
21:43 | (New member) Rye Mountain: Buying beatanis womb uoooooh
21:43 | (New member) BasedBug: How much do you sell your womb for?
21:47 | (New member) Raziel: Caillou says put a baby in me onegai
21:50 | (New member) Stray Wolf: for free
21:52 | (New member) paiza: nothing is free
21:56 | darukaru: This is what’s known as late capitalism
22:00 | (New member) 77Yuja_: she does it for free
22:03 | (New member) max r: caillou would like to buy one beatani membearship
22:04 | (New member) Shippo: capitalism HO
22:04 | (New member) paiza: make him pay
22:12 | (New member) billy joe【liar】: This is peak capitalism
22:19 | (New member) Ekusupuroshon: she'll do it for free
22:21 | (New member) RussianAnimeBot: capitalism of the flesh
22:51 | (New member) paiza: based 
22:54 | rev: foolish bear
22:57 | (New member) The Flesh Is Weak: Foolish Bea
23:00 | (New member) Zeng: foolish bear
23:03 | (New member) CantDood: foolish Bea
23:04 | (New member) Ekusupuroshon: Foolish Bear!
23:07 | Sleep: foolish beatani
23:07 | (New member) Idle Bear: Shota questions your balon status.
23:10 | (New member) WizJR W: Foolish owner bear
23:16 | (New member) Stray Wolf: lol 
23:19 | (New member) Mister Eko: so foolish...
23:27 | (New member) Tuffee: high quality voice acting 
23:28 | (New member) Ark K.: we in for a fun stream
23:36 | (New member) ThatVidyaGuy: Tear wants to repo your house and own the store for herself!
23:53 | (New member) Shippo: what will ojisan do?
23:57 | (New member) max r: sasuga oil balon chama 
24:01 | (New member) paiza: all the money 
24:07 | (New member) paiza: ojisan is a simp 
24:16 | (New member) BasedBug: Based Louie
24:25 | (New member) max r: this guy is poor remote kid
24:30 | Nick Cage: Hey Hey People
24:34 | Alex _: is Chisato a Sseth fan?
