-1:02:05 | Voltage: LETSSS GOOO
4:09 | ThatVidyaGuy: Never heard of it.
4:09 | Peer: ohadayo
4:10 | ninehundred: never heard of it
4:10 | Hanabi: never heard of the game but it looks interesting
4:10 | hohoemikuma: make dads monsters
4:16 | RueTobas: Chicken
4:16 | thelastshinobi56: We don't know..
4:17 | Darthclone2: Like chicken
4:17 | ユーネ / Yuune: chicken
4:17 | HashSlash: First time hearing of it but it reminds me of Spore as well
4:18 | TWAIN: haven't seen it before
4:19 | Theblekedet: I heard about it a long time ago
4:20 | RueTobas: Chi Ken
4:21 | Moeniki: Chicken
4:22 | Voltage: same as chicken 
4:25 | Alexander Holzer: Chicken maybe?
4:26 | Randel Shurker: Ch-i-kan
4:28 | Theblekedet: chikin
4:36 | Randel Shurker: Or ch-i-ken
4:44 | Orange Princess: ohadayoo bear
4:53 | RueTobas: oh no scuff is back
4:54 | Monster hmc: chiquin
4:58 | Xayn: Magnificent 5fps
5:04 | Tachi: Sometimes there is low fps
5:04 | pakkanen: video is artifacting again
5:05 | Absolute Link: this is an odd looking game in general lol
5:10 | imalittle cupcake: Encoding again?
5:12 | Jackku Chan: I guess it was just a bit laggy
5:16 | HashSlash: Apologies for the jinx fellas
5:19 | BasedBug: What kind of dad is she gonna make
5:21 | coba cobra: can see! but lagging
5:31 | Transcendental_ColonThree: Delicious 5fps, THE S O U L
5:33 | pakkanen: audio is fine, but video has some FPS issues
5:33 | Hanabi: I don't think it's a stream issue, maybe the game's just got settings too high
5:34 | hohoemikuma: the frame is laggy 
5:37 | Jackku Chan: I don't think it's the encoding, it seems like framerate lag.
5:38 | Pechorin: donmai
5:45 | pakkanen: it's better now
5:50 | A A: The rain effects probably causing it to chug.
5:50 | TWAIN: i think encoding is fine and it's just the game being demanding on the hardware
5:54 | RueTobas: it seems like
5:57 | RueTobas: when she alt tabs it fixes itself
5:58 | Megiddo: looks better now
5:59 | Monster hmc: i think its better now
6:05 | Monkberry Moon: Weird
6:05 | TWAIN: it's not freezing or anything, just getting lower fps
6:11 | Tachi: Maybe it's the game! You can try changing the settings?
6:12 | TWAIN: now it's smooth for example
6:15 | Jackku Chan: It could be an active window thing?
6:25 | Hanabi: it's running fine now so it's almost 100% the game running hard on the PC
6:26 | Akka Oni: Yeah! Just in time for watching!
6:32 | CommanderMichael: look for graphic settings
6:33 | imalittle cupcake: Oh yeah the game settings?
6:35 | BasedBug: Darkwood had a similar problem, it was the graphics settings
6:41 | coba cobra: oh yt fault?
6:53 | RueTobas: yeah as soon as she tabs in it lags
6:56 | RueTobas: It's 100% the game
6:58 | Jackku Chan: Yeah it lags when she switches to the game.
7:03 | Transcendental_ColonThree: VSYNC OFF
7:05 | Megiddo: 720p kusa
7:06 | Jackku Chan: It's an active window problem
7:10 | RueTobas: Turn off AMBIENT OCCLUSION
7:12 | TWAIN: yeah it looks like the rain is what causes the lag
7:12 | Akka Oni: Lower quality now, I guess
7:18 | pakkanen: yeah. it's the game that causes it. even Live2D model lags
7:24 | BasedBug: Lower allllll of it
7:34 | RueTobas: Ambient occlusion off please
7:36 | ThePlatinumCan: Ohadayo~
7:38 | Megiddo: turn off volume lighting I think?
7:39 | Raziel: Graphics Preset reset
8:01 | Xayn: SOUL incoming
8:05 | Akka Oni: Real time reflections sounds hard on the computer
8:10 | RueTobas: Terrain quality -> Low 
8:10 | BasedBug: So now try reloading your game
8:12 | Megiddo: 256 mb wat
8:12 | RueTobas: Ambient occlusion -> Off
8:16 | Antonio Badilla: おはだよ
8:16 | james heller: Almost missed the stream, damn
8:28 | Akka Oni: That wasn't continue LOL
8:32 | Absolute Link: that's one strung-out cat box thing
8:43 | Theblekedet: cloud low
8:44 | BasedBug: Dads we gotta get her a better PC
8:45 | Theblekedet: cloud low
8:47 | coba cobra: oh much better
8:48 | Akka Oni: o-clue-shun
8:48 | ユーネ / Yuune: 草
8:52 | Hanabi: I think it's running better now
8:56 | Akka Oni: occlusion
8:58 | Jackku Chan: It might be better because she alt tabbed
8:58 | Megiddo: let's just try it and see I guess.
9:05 | imalittle cupcake: We love helping our daughter
9:05 | hohoemikuma: everything on low or off
9:34 | RueTobas: アンビエントオクルージョンは古いPCでは負担が大きい (deepL)
9:46 | RBZE7: Oh no I'm late !
9:47 | Raziel: I would reset the graphics preset from custom, the game should set appropriate settings
9:51 | Raziel: low preset otherwise
10:25 | Aggressive Quack: Ooo ive not seen this game before
10:26 | Akka Oni: Don't worry, you didn't miss much
10:30 | Mister Eko: It looks wonderful 
10:33 | RueTobas: Screen Effects
10:35 | Xayn: This game is still early access since 2016?
10:36 | Akka Oni: It's hard to describe
10:44 | Tachi: Menu monster is spooky
10:48 | Jackku Chan: I'm thinking it's the active window limiting the framerate as it goes laggy when she tabs back ingame.
10:52 | Megiddo: @Exeklap that's normal for "early access" sadly
11:03 | Theblekedet: chkn is still in early access?
11:04 | RueTobas: ^ possible
11:11 | gyroninja: ambient occlusion is the lighting of stuff when there are no lights around
11:12 | BasedBug: How did you find out about this game?
11:12 | HashSlash: @Exeklap A lot of the reviews say the game was abandoned by the devs unfortunately
11:16 | Mister Eko: Fortnite is still early access...
11:21 | Raziel: terrain quality low
11:21 | ThePlatinumCan: Wow, still in early acces...
11:29 | Theblekedet: chkn is still in early access?
11:30 | Jackku Chan: Seems a lot smoother now
11:33 | TWAIN: texture quality
11:42 | TWAIN: change texture quality from full
11:42 | Jackku Chan: Try going ingame Beatani
11:43 | coba cobra: lets try it
11:46 | Seiris: The title screen might just be laggy too, maybe it's better in game
11:53 | Akka Oni: OK now! Yah!
11:55 | Aggressive Quack: letsa go
11:58 | Zeng: ohadaoy
12:02 | RueTobas: according to steam topics: 
12:02 | BasedBug: Is that a dad?
12:02 | Tachi: Spooky
12:03 | Mister Eko: what the hell is that thing
12:03 | MentalCatastrophe: very spooky indeed
12:06 | Megiddo: it's her PC shuggin
12:09 | Megiddo: chuggin*
12:14 | RBZE7: he's kinda cute tho....
12:15 | Aggressive Quack: he looks like a dad
12:17 | Jackku Chan: Beatani needs a better PC yeah
12:18 | Zeng: its cute
12:19 | Transcendental_ColonThree: kawaii
12:21 | imalittle cupcake: Dad will buy you a cat instead
12:21 | Tachi: That's a weird dad
12:22 | Raziel: The bug just wants a hug
12:22 | Einaer: Those eyes though
12:22 | Transcendental_ColonThree: he needs some love too
12:23 | ユーネ / Yuune: sbooky
12:24 | hohoemikuma: spooky boogy
12:25 | ThePlatinumCan: 👁👁
12:29 | CommanderMichael: spooky
12:31 | thelastshinobi56: monster dad
12:34 | CommanderMichael: spoopi
12:37 | ユーネ / Yuune: kimoi is disgusting
12:37 | Monster hmc: thats how a peak dad looks like
12:43 | Aggressive Quack: Based
12:43 | Megiddo: kimoi.. disgusting no?
12:45 | Jackku Chan: A lot better though!
12:45 | Mister Eko: Much better!
12:46 | hohoemikuma: go goo
12:48 | Transcendental_ColonThree: FPS is better now
12:49 | Börk Börk: Isn't kimoi gross/disgusting?
12:49 | BasedBug: All good now!
12:52 | RueTobas: well her avatar aint lagging
12:53 | Meneltir: spooky or cringe, depending on context
13:03 | TWAIN: much smoother now
13:15 | Absolute Link: game released 2016, still early access? hmmm
13:18 | Megiddo: spooky is like a haunted house
13:20 | Tachi: Spooki is Kowai 
13:43 | Hanabi: spooky is more like 怖い
13:55 | RBZE7: it doesn't exist in real life
14:02 | Zaszz: lol
14:09 | thelastshinobi56: E
14:11 | Randel Shurker: I am feeling the Kino of this stream, fellow dads.
14:32 | max r: beatani becomes kami sama
14:33 | Voltage: bear is god
14:42 | BasedBug: Time to create a dad
14:44 | StrangerSeen: Monster dad?
14:50 | LordAziki: You don't need the life shaper. Your smile already gives us life!
15:10 | RBZE7: smooth Aziki I kneel
15:14 | Börk Börk: The Ultimate lifeform: a Dad
15:27 | Aggressive Quack: Bear God
15:37 | BasedBug: I'm looking forward to seeing what she can create
15:38 | Jackku Chan: Nice it's Spore
15:52 | max r: i'm looking forward to see what does dad look like
15:52 | AnomalousRaven: got off work just in time for the based bear stream
16:01 | thelastshinobi56: literally me
16:03 | Meneltir: Brad<Chad<Thad<Gad<Dad
16:03 | hohoemikuma: 🐔
16:09 | Aggressive Quack: Make the ultimate dad 💪
16:11 | BasedBug: DAD COMPLETE
16:21 | hohoemikuma: niwatori dad
16:26 | ThePlatinumCan: ww
16:26 | Matt: Riccio experience
16:37 | RBZE7: dad is a chicken....
16:37 | Mechanized Doge: ohadayo...
16:43 | Voltage: chicken dad
16:49 | BasedBug: What a dude
16:51 | Jackku Chan: Goliath online
16:52 | Zeng: behold the ultimate lifeform
16:56 | Börk Börk: Cool, kiara collab already
17:00 | Voltage: making exodia
17:03 | Absolute Link: it's beautiful
17:04 | thelastshinobi56: Am proud
17:05 | Aggressive Quack: Looks cute bear-daughter
17:13 | Shippo: uwa
17:14 | ThePlatinumCan: Amazing
17:21 | Shippo: Chihiro!
17:22 | Mister Eko: the lore
17:27 | HashSlash: Chicken-hiro
17:30 | BasedBug: CHKNhiro
17:31 | max r: Dad had a bear and a chicken?!
17:31 | Fettuccine フェットチーネ: ooh
17:33 | Jubes: Chickenhiro
17:34 | Tachi: ww
17:37 | Raziel: She trapped you on XP hill@
17:38 | Zeng: Chisato, Chihiro, Chicken
17:39 | Jackku Chan: Chihirobros!
17:40 | MentalCatastrophe: ah yes
17:49 | ThatVidyaGuy: Chicken Chihiro!
17:50 | Hanabi: chickhiro
17:53 | Voltage: Chihiro chickennnn
17:54 | thelastshinobi56: CUTE
17:54 | Aggressive Quack: You can finally get vengence
17:54 | Absolute Link: blessed laugh
17:57 | Einaer: big森
18:00 | hohoemikuma: cook chicken
18:01 | LordAziki: Is this why you got trapped in a computer?
18:02 | BasedBug: SHE put you in Windows XP??
18:03 | imalittle cupcake: It looks fast
18:04 | Jackku Chan: It's kimoi!
18:08 | Voltage: cute chicken
18:12 | Absolute Link: your sister is bishoujo
18:12 | Megiddo: anything my daughter makes is beautiful to me
18:18 | gyroninja: chihiroyuki
18:23 | thelastshinobi56: other daughter
18:28 | imalittle cupcake: I'll put this on the fridge door...
18:43 | max r: yes, this is my ideal bishoujo right here
18:48 | (Verified, Moderator) Streamlabs: Zaszz just tipped $25.00 dayo!
18:50 | Jackku Chan: Christmas Chihiro
18:53 | Shippo: will you invite your sister to your stream someday?
18:56 | CommanderMichael: dank chicken
18:56 | Transcendental_ColonThree: SLAP DA ONEECHAN
18:58 | Aggressive Quack: based
18:59 | Zeng: nade nade
18:59 | D3bugged: ha
19:05 | Voltage: it might peck youuuu
19:07 | BasedBug: Violent nadenade
19:10 | HashSlash: So our daughters are a chicken and bear... dad was proud, he didnt care how
19:11 | Tachi: Don't hit your sister
19:16 | Jackku Chan: Beatani sister Ryona!
19:18 | thelastshinobi56: Bear vs Chicken
19:21 | RBZE7: having another fight with your sister ? don't you remember what happened last time ?
19:26 | Börk Börk: Tough love
19:33 | Voltage: SHES TRYING TO RE TRAP YOU IN THIS REALM
19:35 | Xayn: Ryona stream
19:46 | max r: good chicken
19:52 | BasedBug: What amazing legs
20:00 | Voltage: psps
20:08 | TWAIN: CAM ON CHIHIRO
20:09 | Voltage: pspspsps to the chicken
20:24 | Jackku Chan: Score som fakin' goals
20:29 | Hanabi: revive - bring back to life
20:30 | BasedBug: Revive = Bring back from death
20:31 | Megiddo: bring back to life
20:32 | Rusty Shackleford: come back to life
20:35 | Zeng: 復活
20:35 | TWAIN: revive = bring back to life
20:39 | max r: is the chicken gonna die or something ?!
20:44 | RueTobas: if she is a bear and her sister is a chicken what are her parents like?
20:44 | Jubes: cute chicken
20:45 | Raziel: revive is return by death lol
20:46 | thelastshinobi56: YES
20:47 | Aggressive Quack: My ears are now blessed
20:47 | Voltage: chihiro lookin thiccc
20:49 | ThePlatinumCan: Cute~~
20:52 | imalittle cupcake: Your sister looks sleepy
20:52 | Börk Börk: Revive= Re:Zero
20:55 | hohoemikuma: is chihiro for meat day?
20:57 | Zeng: ride chicken
21:02 | BasedBug: You have to ride your sister now?
21:04 | Rusty Shackleford: MINE ABLE rock
21:14 | MentalCatastrophe: nice flip
21:18 | max r: Hand < Rock
21:19 | thelastshinobi56: lol wtf
21:20 | Megiddo: ninja bear
21:20 | CommanderMichael: that tumbling haha
21:29 | Tachi: Teamwork
21:32 | Alfa Ayed: illegal logging ikz
21:33 | imalittle cupcake: Sugoi
21:39 | Voltage: chihiro is useful
21:44 | Jackku Chan: Rainforest destroying ikz
21:53 | Megiddo: we got logs, woo
22:06 | max r: is she just eating it
22:16 | thelastshinobi56: lmao
22:16 | hohoemikuma: eat kusa
22:19 | Voltage: bush chicken
22:20 | ThePlatinumCan: lol
22:20 | imalittle cupcake: Beautiful laugh
22:24 | CommanderMichael: literal kusa eating
22:26 | Rusty Shackleford: Foghorn Leghorn wtf are you doing?
22:47 | LordAziki: It's like the developers combined Spore and Minecraft.
22:54 | RBZE7: ssg Lilith
23:09 | Megiddo: so it's a spore/crafter/survival thing eh?
23:16 | Rusty Shackleford: What about Pineapple on pizza...?
23:29 | Jackku Chan: Open world survival crafting spore-like...
23:30 | knife: you winning son
23:45 | TWAIN: game objective says so
23:58 | ThePlatinumCan: Huge e g g
24:09 | thelastshinobi56: she doesn't like eating rock
24:10 | TWAIN: lazy chihiro
24:13 | BasedBug: What the hell
24:21 | Mister Eko: oh no this is dark
24:27 | ThePlatinumCan: ??
24:27 | Tachi: ???
24:32 | Gamer: Hey cute and funny bear, you're so close to 2k now, I need to do homework, but I hope I can catch more of your streams soon
24:48 | Einaer: Pig mouth?? In an egg??
24:52 | (Verified, Moderator) Streamlabs: Chihiro just tipped $2.00 dayo!
25:07 | hohoemikuma: ganbare dad
25:15 | max r: oh chihiro is such a nice pet
25:32 | Börk Börk: ピザのうえにえPineappleの乗る、食べるか？
25:52 | BasedBug: Your sister likes to talk a lot
26:00 | max r: pig mouth is for dad
26:15 | Monkberry Moon: ?
26:16 | Voltage: chihiro bokbokbok
26:18 | Börk Börk: F
26:20 | max r: chicken broke the game
26:21 | Megiddo: hmm?
26:23 | BasedBug: F
26:24 | Jackku Chan: Crash~~~
26:28 | thelastshinobi56: nooooo
26:29 | Vic Kyorlo: rip
26:30 | TomHate: F
26:34 | Raziel: Chihiro no!
26:35 | scoutgamerfin: F
26:36 | Vitz: F
26:39 | Hanabi: game crashed?
26:40 | BasedBug: Chihiro why!
26:44 | Voltage: chihiro crashed the game
26:45 | james heller: Very dead
26:45 | Monkberry Moon: Chicken was too powerful...
26:46 | TWAIN: CHIHIROOOOOOOO ;-;
26:46 | Suukotto Funsha: No Chicken
26:59 | Monster hmc: chihiro what have you done!!
26:59 | Voltage: it’s al chickens fault
27:07 | LordAziki: "F to pay respects"
27:08 | max r: F is a meme from a video game, "Press F to pay respects" people say it when you die or lose
27:09 | thelastshinobi56: F = respect
27:10 | Hanabi: F is western meme for when things go bad (like game crashing)
27:14 | SpaceTalon:  PRESS - F - TO PAY RESPECT
27:14 | Megiddo: F is net slang for RIP basically
27:23 | Börk Börk: F= pay respect for the dead
27:26 | Aggressive Quack: F
27:26 | MentalCatastrophe: dang it, Chihiro
27:29 | imalittle cupcake: it's for "F to pay respects" so F = condolences, expression of sympathy
27:31 | ThatVidyaGuy: F
27:33 | Monster hmc: F
27:36 | Raziel: It's a meme, there was a videogame funeral where you had to press F to pay respects
27:36 | Tobi243: F
27:38 | CommanderMichael: F
27:40 | MentalCatastrophe: F
27:40 | max r: F
27:42 | Choryf: F
27:42 | ユーネ / Yuune: ganbare
27:43 | AkagamiBlack: f
27:51 | RBZE7: it comes from a call of duty game, you had to press F to pay respect to a dead person
27:52 | Alfa Ayed: efu
27:56 | BasedBug: F
28:01 | seroroinc: F
28:06 | Jackku Chan: >The word f
28:08 | Jackku Chan: Perfect
28:14 | Mister Eko: IS THAT A DINOSAUR SHOOTING LASERS FROM ITS EYES?
28:19 | Aggressive Quack: Are daughter is learning so fast, im proud
28:24 | max r: pronouciation is correct
28:27 | Absolute Link: just like that
28:28 | Börk Börk: Eff
28:30 | Voltage: yes it is 
28:30 | Zeng: you are pronouncing it right
28:33 | Vic Kyorlo: beatani you're getting really blurry
28:33 | ThatVidyaGuy: You're pronouncing it right. It's the letter F.
28:35 | imalittle cupcake: Yeah, just like the letter
28:35 | Monster hmc: like F
28:51 | Jackku Chan: The egg of the world
29:54 | BasedBug: What the hell?
29:59 | Mister Eko: what the hell is that
30:00 | Zeng: monster fight
30:03 | CantDood: wtf is that
30:03 | Einaer: 草
30:05 | hohoemikuma: chihiro protect!!
30:07 | Monster hmc: protect the bear chihiro!!
30:10 | TomHate: lol
30:12 | BasedBug: CHIHIRO HELP
30:15 | TWAIN: dabbed?
30:16 | seroroinc: THERES MORE
30:16 | Raziel: Let them fight!
30:17 | クラガリ葉月: Monster Hunter looking weird
30:26 | imalittle cupcake: Get 'em Chihiro!
30:29 | Jackku Chan: Chihiro is strong! Tsujoi!
30:29 | BasedBug: Your sister is super strong!
30:29 | thelastshinobi56: the flower pig attack
30:54 | Monster hmc: NICE
31:00 | Raziel: sasuga, Chihiro
31:05 | hohoemikuma: 👁👄👁
31:21 | Voltage: chihiro🐔
31:28 | Voltage: 🐣🐥🐔
31:32 | seroroinc: what was that
31:38 | Vitz: is that flowey?
32:16 | BasedBug: Scary bear roar
32:21 | Einaer: Punching a stump with a pig nose 草
32:22 | MentalCatastrophe: lel
32:42 | Xayn: I learned about meat day yesterday
32:53 | Verijero: i just came home, is this a surprise stream?
32:54 | RueTobas: now find a pen
32:58 | Hanabi: put that pineapple on a pizza
33:02 | Börk Börk: Now you just need an apple and a pen
33:07 | seroroinc: make stronger monsters
33:12 | BasedBug: The game said you can ride your creature
33:20 | Zhnigo: got the crazy eyes
33:37 | Voltage: If your reading this now and haven’t liked the stream and subscribed do it now!!
33:52 | Megiddo: might need to not be full health to eat?
34:01 | Zeng: Mosqullophant
34:03 | BasedBug: Power stance!
34:03 | Absolute Link: "mosquillophant" lmao
34:06 | Tachi: lol
34:08 | TWAIN: chihiro is terrified
34:10 | Mister Eko: chihiro is fucking scared 
34:12 | CantDood: lmao
34:14 | imalittle cupcake: Chihiro looks rightfully freaked out
34:17 | Zhnigo: bear is weak to body horror
34:18 | Margrave: lol
34:20 | thelastshinobi56: grass
34:22 | Monster hmc: LOL
34:22 | minus INT [マイナスイント]: wtf lmao
34:23 | TomHate: hahahha
34:40 | Voltage: weird lookin chihero
34:47 | BasedBug: Alright what the hell is this game
34:48 | Einaer: wtf is that thing lol
34:52 | Vic Kyorlo: goosebumps
34:55 | Börk Börk: Torihada= Goosebumps
35:02 | Voltage: those are eagles?
35:06 | Megiddo: yeah I eat chicken skin
35:07 | Voltage: it’ll dieeeee
35:08 | Monkberry Moon: mosquitophants
35:20 | ThePlatinumCan: This game is pretty creepy, ngl.
35:21 | Zhnigo: chicken skin = goosebumps
35:37 | Hanabi: this is the last thing I'll see before I die
35:40 | Voltage: elephant chicken hybrids 
35:46 | TWAIN: (fun thing is that some other languages do use chicken skin instead)
35:56 | Verijero: the bear fears the chicken army
36:02 | Megiddo: only one leg is messed up
36:08 | Voltage: one legged chihero
36:19 | LordAziki: Everything in this game is unlucky to be alive.
36:27 | CantDood: finally a game set in australia
36:31 | ユーネ / Yuune: 草
36:33 | ThePlatinumCan: Not really ^^;
36:34 | RBZE7: they're trying their best...
36:34 | Megiddo: I love Chihiro since you made her
36:36 | BasedBug: You have to create a dad!
36:37 | Canna: They better stay out of my yard 
36:38 | ThatVidyaGuy: Yes!
36:38 | Hanabi: s-sure
36:40 | Akka Oni: I would be a creature!
36:41 | Börk Börk: Dad will eat those cratures
36:41 | imalittle cupcake: I'll do anything for my daughter
36:42 | Einaer: Make us look fucked up
36:53 | Zhnigo: typical western artstyle
37:03 | Akka Oni: I will be lizard
37:04 | BasedBug: We are already creatures
37:10 | HashSlash: Chihiro and Dad must take over this world
37:14 | Verijero: those eggs are having a party
37:19 | Absolute Link: that's a small elephant body lol
37:34 | TWAIN: chihiro is evolving!
37:39 | Börk Börk: Chihiro Henshin!
37:41 | Megiddo: 3rd leg kusa
37:45 | thelastshinobi56: lol
38:07 | Friend: Elephant body as a hat
38:10 | imalittle cupcake: Totem pole?
38:11 | Idle Bear: little hat
38:12 | Zeng: nice hat
38:13 | Verijero: kek russian chicken
38:14 | Hanabi: it's like a hat made of elephant torso
38:14 | Megiddo: it has a hat
38:15 | Vitz: kek
38:19 | TWAIN: that;s a small elephant body
38:29 | RBZE7: kimoi
38:31 | Absolute Link: wow lol
38:31 | ThePlatinumCan: WTF
38:32 | Voltage: move it down maybe?
38:33 | Idle Bear: wat
38:33 | thelastshinobi56: bruh
38:33 | BasedBug: That's so BEAUTIFUL
38:39 | CommanderMichael: oh wow, now THAT's a hat
38:40 | Mister Eko: Give her a new eye!
38:40 | Megiddo: oh god
38:42 | Raziel: lol
38:45 | Verijero: the behelit
38:47 | Shippo: this animal crossing looks strange bros
38:47 | Absolute Link: what hath beatani wrought
38:48 | RBZE7: HAHAHAHA
38:52 | HashSlash: Chihiro is beautiful
38:52 | Monkberry Moon: lol
38:53 | CommanderMichael: pig chicken
38:55 | CommanderMichael: very dank
38:57 | Qwazola: Wow it's incredible
39:02 | RBZE7: she looks so sad to be alive
39:06 | thelastshinobi56: Chihiro...
39:10 | Antonio Badilla: I HAVE TWO MOUTHS AND I WILL SCREAM
39:10 | Zhnigo: vivisecting with bea!
39:21 | imalittle cupcake: oh god
39:25 | Friend: I love it....
39:29 | ThePlatinumCan: ...3 eyes... IMAGINE
39:31 | Börk Börk: Burn it 
39:34 | Tachi: Y-Yeah...
39:35 | CommanderMichael: nice
39:35 | Voltage: beautiful
39:35 | Hanabi: do you think god stays in heaven because he too fears what he's created
39:37 | james heller: Playing god with my daughter...
39:41 | CommanderMichael: add more eyes hahaha
39:47 | Choryf: KILL IT WITH FIRE
39:47 | Absolute Link: i was always taught, if you don't have anything nice to say, don't say anything at all
39:52 | Verijero: looks like the front of an american truck kek
39:53 | ThatVidyaGuy: Put it out of it's misery
39:53 | thelastshinobi56: Lovecraft would love it
39:56 | XeniVari: What a cute eldritch horror!
39:56 | stuffed idiot: oh lord
39:57 | ユーネ / Yuune: my bear can really make nice things
40:01 | Idle Bear: just a bit lopsided
40:01 | Megiddo: oooof
40:03 | Friend: Oh my god
40:03 | Einaer: What happened to it's leg lol
40:05 | Absolute Link: lmao the leeeegggs
40:07 | CantDood: more eyes = strong ask any spider
40:14 | Monkberry Moon: So abstract
40:15 | imalittle cupcake: Our daughter is a real artist
40:22 | Mister Eko: her leg is not working...
40:26 | Raziel: Paging Dr. Shou Tucker to the white courtesy phone, paging Dr. Shou Tucker
40:48 | Tachi: You need hearts?
41:00 | Megiddo: gotta obtain an upgrade it looks like?
41:06 | Zeng: you need to upgrade your Life Shaper
41:16 | Zhnigo: bea is a visionary
41:36 | Megiddo: you had them earlier
