-43:08 | Tachi: 🐻‍❄🍀
1:42 | marcosii: ohadayo!!!!
1:42 | hohoemikuma: ohadayo!
1:43 | Shippo: ohadayo
1:43 | Rye Mountain: I'm fine too
1:44 | BasedBug: We're good! And not dead or verbally abused yet!
1:48 | Megiddo: Ohadayo~
1:50 | A A: Good start today.
1:51 | Peer: i'm good, on vacation finally
1:56 | stuffed idiot: おはだよー
2:18 | Sunspots: ohadayo!
2:20 | TheCanti: Good morning Daughter
2:31 | Zia: Brother-wife, nice
2:34 | Monkberry Moon: Just in time, hello Beatani
2:36 | Jackku Chan: Whoah what the HELL is that
2:39 | Akka Oni: Ah, perfect to fall asleep to
2:44 | Jackku Chan: Dad has grown so much..
2:45 | Mew: What is that?
2:50 | Hanabi: I forgot how much of an unholy abomination we'd become
2:50 | BasedBug: We're MASSIVE now
2:53 | TWAIN: biblically accurate chicken
2:55 | Zhnigo: la creatura...
3:13 | Shippo: la creatura...
3:16 | Mew: aaaaaaaaaaaa
3:18 | ニヴィNivi the salmon: Hello :shelterin:
3:21 | A A: Off stream.
3:21 | Zhnigo: "UOOOOHH"
3:21 | Jackku Chan: Oh jesus...
3:22 | BasedBug: UUUUOOOOOHHH
3:22 | Sunspots: is that eldritch nightmare 'Dad'?
3:27 | hohoemikuma: dad became strong?
3:30 | Rye Mountain: Sexy dad
3:31 | Destoroyar Fortress: what in the name of...
3:32 | gyroninja: Did a "little" work off camera
3:33 | TheCanti: We're horrendous
3:34 | Monkberry Moon: Beautiful
3:34 | Steven Frati: dads are built to suffer
3:45 | Fettuccine フェットチーネ: Wow I didn't know dad was that handsome
3:47 | BasedBug: Is your dad still a NEET?
3:50 | Jackku Chan: Frankenstein's Dad.
3:54 | Theblekedet: ohadayo!
3:54 | imalittle cupcake: I love it
3:58 | Shippo: yes
3:58 | Zhnigo: three mouths
3:58 | Sunspots: stronger but at what cost?
4:00 | Raziel: Such power
4:00 | TheCanti: Yea... it's great..
4:01 | Rye Mountain: Of course!
4:03 | Voltage: handsome like looking in a mirror
4:03 | Mew: UUUUOOOOOHHH 
4:05 | Happli: el abominacion
4:10 | Theblekedet: of course!
4:11 | Destoroyar Fortress: what was that sound lmao
4:15 | thelastshinobi56: bruh
4:23 | Zaxonite: is that how americans are made
4:26 | Zhnigo: no longer a neet
4:28 | ニヴィNivi the salmon: Why does that have two heads?😂
4:34 | BasedBug: Forced to work... 
4:39 | Jackku Chan: Forced dad labour.
4:47 | Mew: It has 4 heads and 4 eyes
4:54 | Voltage: that’s a water buffalo sound affect don’t ask me how i know
4:56 | Zhnigo: biblically accurate
5:02 | Mew: 6 EYES?!!
5:09 | RADEON 360: two heads are better than one
5:14 | Nasty Yukari: La criatura...
5:15 | Hanabi: two heads are better than one
5:16 | Raziel: ruggedly handsome
5:18 | thelastshinobi56: yabai
5:18 | Kyle: He needs them to keep an eye on his daughter
5:21 | BasedBug: One head tells only truths, only head tells only lies
5:21 | Victor Cavina: Ohadayo based bear
5:24 | Destoroyar Fortress: It was dad's fault yah
5:34 | Karno Parno: two brains better then one
5:35 | Jackku Chan: More eyes to see Beatani with!
5:41 | Voltage: biblically accurate angel is dad
5:41 | Monkberry Moon: 6 eyes for maximum vigilance
5:45 | TWAIN: 6 eyes to see you better
5:46 | TheCanti: That cow mouth looks like a censor
5:48 | ThatVidyaGuy: He can see beatani in all angles!
5:51 | Zhnigo: kani mouth?
5:56 | Theblekedet: 6 eyes, all looking at his daughter
5:56 | Mew: Can it listen now? 
6:05 | BasedBug: UUUOOOOOHHH
6:06 | Tachi: Uooohhhhh
6:09 | imalittle cupcake: Let's goooo
6:11 | Raziel: DAD SMASH
6:20 | Mew: Dad the egg machine gun 
6:22 | Margrave: oh no...
6:22 | Kyle: Dad doesn't have very good pathfinding
6:22 | thelastshinobi56: we are trying
6:28 | Hanabi: nice to see dad is as worthless as ever
6:29 | ニヴィNivi the salmon: They are fighting! 🤣
6:30 | RBZE7: I see dad's intellect hasn't changed
6:31 | Voltage: dad is useless....
6:32 | BasedBug: Dad is still lazy!
6:32 | Fettuccine フェットチーネ: Nice dad!
6:34 | Rye Mountain: strong dad
6:37 | Jackku Chan: Dad super strong! Uooooh!
6:37 | Steven Frati: Strong dad!
6:38 | RADEON 360: wow
6:41 | Rye Mountain: Strong but lasy
6:50 | Theblekedet: JEZAS
6:52 | Mew: Ahahaha
6:54 | Shippo: dad's role is to protect the daughter
6:54 | stuffed idiot: we've become so strong
6:56 | thelastshinobi56: ouch
6:57 | TheCanti: It takes dad a little time to get going sometimes
6:57 | Ludd: 強いお父さんだよ！
6:59 | Karno Parno: one shot!
7:01 | LassesAffar: dad tueeeeee
7:02 | Raziel: feed creature beatings
7:03 | Nasty Yukari: Dad... is trying...
7:16 | A A: Don't eat in front of us.
7:28 | Raziel: ora ora ora
7:36 | ニヴィNivi the salmon: So cute chicken 
7:40 | Badilla: 360 vision
7:46 | TheCanti: 💪:dad: 💪
8:01 | BasedBug: We disappointed her so much last time, we had to go to the gym
8:23 | Theblekedet: we had an off-screen training arc
8:30 | L0rdJ0n3Z: ohadayo
8:39 | Kyle: Look at him go!
8:40 | BasedBug: *shits loudly* UUUUUOOOOOOOHHHHHHHH
8:43 | Zhnigo: this is disturbing
8:45 | Rye Mountain: Training dad
8:48 | thelastshinobi56: lmao
8:49 | Mew: So fast
8:50 | Jackku Chan: Please Beatani, a break from work..
8:51 | Tachi: Wow dad is finally exercising 
8:52 | Raziel: doing his reps
8:52 | TheCanti: This is what dad does at work
8:54 | Hanabi: dad's gonna earn his keep somehow
9:02 | Voltage: treadmill reps
9:07 | IARECAOPI: You can do it, dad!
9:11 | Mew: Nice sounds
9:11 | Karno Parno: training montage
9:20 | Theblekedet: dad is being industrialized
9:21 | TheCanti: Feed Us daughter
9:27 | Kyle: Yes, very nice chest
9:58 | Zhnigo: why is dad U shaped
10:05 | Tachi: Crab
10:13 | Jackku Chan: Eating Beatanis cooking!
10:26 | Hanabi: why does dad keep farting
10:28 | Rye Mountain: Forced to work, forced to eat pineapple
10:39 | Raziel: dad wants gyoza
10:47 | Mew: It's fine dad can hear now!
11:01 | Chloro [クロロ]: Dad have good bowel movements
11:03 | TheCanti: Time for our daughter's homemade cookingf
11:19 | Zhnigo: this is what peak performance looks like
11:21 | Badilla: does dad have ears?
11:25 | Hanabi: beatani please dad is starving
11:26 | BasedBug: Eating our food in front of us..
11:26 | TWAIN: are you pressing B?
11:34 | TheCanti: Daughter... we're starving
11:36 | Rye Mountain: Eating dads food right in front of him...
11:39 | imalittle cupcake: Beatani's homemade cooking...
11:44 | Raziel: Ultra Instinct Dad
11:44 | Mew: Why won't you eat the pineapple, keeps eating it 
11:49 | stuffed idiot: you'll probably have to use keyboard for that
11:51 | ThatVidyaGuy: Daughter we hunger
11:54 | Jackku Chan: Wow.... It's no problem...
11:57 | stuffed idiot: this game isn't well made for controller
11:57 | Tachi: Beatani ate the food in front of us...
12:03 | Zhnigo: what kind of advanced bullying is this
12:05 | Ludd: Press B
12:14 | Shippo: we're going to die, dont we
12:29 | Megiddo: lol
12:34 | BasedBug: She eats our food and hits us
12:35 | Fettuccine フェットチーネ: Lol
12:35 | TWAIN: starving us then hitting us...
12:35 | Theblekedet: ow
12:38 | gyroninja: Now beating us with the food?
12:41 | Ludd: Domestic voilence....
12:43 | Raziel: "You want to eat, how 'bout a knuckle sandwich?"
12:46 | Nasty Yukari: zangoku da...
13:05 | Mew: Why won't you eat, BAM, why won't you eat ?!
13:09 | Rye Mountain: Forced to eat bush instead
13:20 | TheCanti: She can't keep getting away with it!
13:20 | Theblekedet: we deserve only bushes
13:43 | Karno Parno: veggies are good
13:46 | Hanabi: maybe check your controls in settings?
13:50 | stuffed idiot: I can't believe beatani is going to starve us like this
13:50 | Happli: Getting abused by beatani !
13:56 | BasedBug: He's hungry!
14:00 | sleepy: Beatani, we're hungry....
14:06 | Jackku Chan: I don't think Pineapple grows like that.
14:18 | A A: Picky eater,
14:20 | TheCanti: Please daughter... feed us...
14:38 | Jackku Chan: It's not that good...
14:45 | BasedBug: We're starving and lazy now
14:51 | Mew: 😵
15:07 | Raziel: hit b to feed dad right?
15:09 | Peer: maybe pinapple on pizza should be better lol
15:10 | TWAIN: you are pressing B to feed, right?
15:19 | Ludd: Press B button to feed us or we are going to starve please 
15:22 | TheCanti: The more we don't get fed the more we fart
15:22 | Tachi: It's in pain
15:22 | Rye Mountain: Dads stomach is starting to rot from no food
15:22 | Mew: 😭 WE'RE STARVING
15:38 | BasedBug: THIS IS TORTURE
15:49 | Hanabi: please, just a crumb...
15:51 | TheCanti: We won't eat unless you feed us by hand daughter
15:52 | Nasty Yukari: Liver is in state of decomposition now
15:52 | Theblekedet: check the settings maybe?
15:54 | TWAIN: we're going to die...
15:56 | Peer: she's eating...
16:02 | Mew: Maybe target mouth press B?
16:07 | Zhnigo: cruel...
16:11 | Peer: before us starving...
16:11 | Jackku Chan: Uooohh.. Feed..
16:15 | BasedBug: I thought our daughter would treat us better now!
16:21 | MonquSurtonpif: I'm dieding let's gooooo
16:22 | パナナナダ: what a strange way of torture
16:28 | Megiddo: onegai....
16:39 | sleepy: senior abuse...
16:40 | Raziel: It is fine, we see our daughter during our last moments
16:50 | TheCanti: Please daughter hit the B button... we're going to die...
16:53 | パナナナダ: you should just cook us for your dinner already
17:07 | Raziel: interact
17:26 | BasedBug: Knowing the dads, we probably only eat crab
17:32 | TheCanti: Creature Feeding
17:34 | Sunspots: カニしか食べられないよ
17:40 | Raziel: Check the interact binding
17:46 | Arcus crundelic: i think you had interact set to E
17:48 | Zhnigo: B for Based
18:08 | Nasty Yukari: Feed dad, or put us out of our misery, jeezas
18:10 | Big Ron: Local dad not so tough since being forced to work, bullied & starved by his daughter 
18:14 | Raziel: hit e on your keyboard for dad
18:18 | Peer: she's beating us...
18:18 | stuffed idiot: B on the keyboard maybe?
18:19 | Tachi: Ouch
18:22 | BasedBug: We're dead..
18:25 | Fettuccine フェットチーネ: Noo
18:29 | Rye Mountain: Hitting us on the mouth, eating our food
18:30 | TheCanti: We're being starved and then beaten
18:38 | Chloro [クロロ]: Domestic violence...
18:42 | Sunspots: abused...
18:48 | BasedBug: PLEASE
18:50 | Mew: Pure torture
18:51 | Zhnigo: beaten and starved by bea...
18:51 | Tachi: lol
18:53 | Shippo: bros...
18:56 | パナナナダ: what the fuck lol
18:58 | Hanabi: please...
18:59 | hohoemikuma: 😭
19:08 | Sunspots: eats in front of starving dad...
19:10 | Raziel: we're going to fart ourselves to death
19:15 | RADEON 360: feed crabs ty
19:20 | Steven Frati: The treatment we deserve.
19:31 | BasedBug: This is so stressful
19:38 | TheCanti: Daughter is going to kill us
19:44 | BasedBug: WE'RE DEAD
19:48 | gyroninja: Noooo
19:52 | Mew: DAD IS DEAD
19:53 | Mew: it's over
20:01 | Jackku Chan: UOOOOHHH
20:04 | Mew: 😵‍💫😵‍💫
20:08 | Hanabi: RIP dad
20:08 | TWAIN: look at our sad eyes
20:13 | Raziel: omae wa mou shinderu daddy-o
20:15 | Big Ron: She's going to eat the body isn't she
20:16 | max r: Ohadayo! I'm a late dad today
20:20 | stuffed idiot: Nothing like dying from starvation and your daughter just eats the food in front of you
20:21 | RADEON 360: Like tears in the rain. Time to die
20:23 | stuffed idiot: very based bear
20:28 | Kyle: I think dad wants a cheeseburger 🍔
20:29 | Zhnigo: food icon is a hamburger because american game
20:38 | TheCanti: When I turned on the stream I didn't think I'd see torture
20:39 | パナナナダ: i need to call 110 soon
20:40 | BasedBug: Daughter.. why..
20:41 | gyroninja: Maybe we can't die
20:55 | Voltage: the eyes are becoming redder as dad goes. through advanced stages of hypoglycemia
21:00 | Zhnigo: physical AND psychological torture
21:08 | Tachi: Nooooo
21:15 | max r: Why is dad getting abused ?
21:42 | Mew: I Have No Mouth, and I Must Scream
21:50 | Sunspots: u...oooo...
22:10 | Zhnigo: small indie developer please understand
22:13 | BasedBug: DOG INCOMING
22:14 | Theblekedet: 75% less uoooh
22:28 | Ludd: Dad has a "crab" mouth u-u-uooooh?
22:41 | max r: I can't wait!
22:42 | Zia: Suffering...
22:43 | RBZE7: everything will be ogey dad
22:44 | Jackku Chan: T-T-T-TThhanks
22:45 | TheCanti: ...daughter... ...i'm dying...
22:48 | hohoemikuma: help
22:51 | Zhnigo: instead of feeding dad, just buy a new one when the old one starves
22:51 | Stray Wolf: lol 
22:56 | Hanabi: just one raspberry please...
23:01 | max r: Please get chihiro to save me
23:01 | Voltage: severe diarrhea dad
23:05 | Monkberry Moon: dad...
23:23 | hohoemikuma: tasukete...
23:30 | Mew: 🥵🥵🥵
23:32 | BasedBug: Sad dad noises
23:39 | Kyle: Try pressing X
23:42 | max r: This is a nightmare dad....
23:42 | Jackku Chan: Please...
23:45 | Hanabi: you've got "eat" and "feed" binded to the same button
23:46 | TheCanti: She's still doing it..
23:48 | Tachi: B doesnt work?
23:55 | Zhnigo: check your controls?
24:01 | max r: Poor Shippo
24:02 | TWAIN: your eat and feed button are both set to B
24:04 | Stray Wolf: *wheeze*
24:05 | Theblekedet: check the settings
24:06 | TWAIN: go into settings
24:06 | Raziel: Go to your controls again?
24:08 | Voltage: explosive diarrhea dad is going to get dehydrated any second
24:08 | Jackku Chan: Try other buttons Beatani
24:11 | gyroninja: Change controls
24:12 | Nasty Yukari: 死にたい
24:20 | Peer: lmao
24:26 | Happli: Getting abused and starved to death by Beatani !
24:27 | thelastshinobi56: that laugh is 10/10
24:27 | Mew: She so disguised she makes a backflip 
24:31 | BasedBug: She doesn't take care of us!
24:32 | Raziel: look for interact
24:53 | Ekusupuroshon: Tortured by my own daughter :(
24:55 | Mew: REMOVE
24:56 | BasedBug: Can we eat now?
24:57 | Mew: Use E
25:07 | Margrave: food please?
25:24 | Zhnigo: this game allows you to bind axes to actions? 
25:27 | imalittle cupcake: Daughter...feed me....
25:34 | Mew: Nice petting
25:39 | Raziel: food in hand first
25:41 | TheCanti: Finally.. she's petting us
25:47 | TWAIN: you don't have food in hand
25:47 | Jackku Chan: You need to select the food
25:50 | Ludd: put food in main hand first
25:52 | stuffed idiot: well atleast we're getting pets now
26:01 | Jackku Chan: Food in hand...
26:01 | max r: i hate dad sounds...
26:03 | Mew: select fod
26:04 | Rye Mountain: Hold the food
26:06 | TheCanti: Put food in hand daughter
26:07 | Mew: OH GOD
26:08 | BasedBug: YES WE'RE SAVED
26:09 | Mew: THANK YOU
26:09 | Jackku Chan: Yatta!
26:12 | Kyle: Nice!
26:12 | Theblekedet: she's comforting us in our last seconds...
26:14 | Hanabi: the best meal dad's had in decades
26:15 | Ekusupuroshon: Finally
26:15 | Rye Mountain: Finally food!
26:16 | Zhnigo: WE DID IT
26:18 | Ludd: YATAAA
26:18 | TWAIN: WE'RE EATING
26:22 | Karno Parno: TSKR!
26:23 | Mew: PUMPKIN FEED NOW
26:25 | Margrave: 😋
26:27 | ThatVidyaGuy: We're saved!
26:29 | Cool bug Fact's: finally some good food
26:30 | Peer: yeah! finally!
26:30 | Raziel: gordon ramsay: finally some good fcking food
26:30 | Chloro [クロロ]: Thank you daughter!
26:30 | Shippo: pog
26:33 | TWAIN: 1 HP...
26:35 | Nasty Yukari: Finally, food... for the first time in days
26:35 | gyroninja: Heal us beatani
26:37 | hohoemikuma: some good fuckin food
26:37 | Sunspots: back to forced labor now
26:40 | Theblekedet: it tastes so good
26:41 | max r: i am still not happy
26:42 | Voltage: farting noises ensues 
26:43 | Fettuccine フェットチーネ: Dad is sad
26:46 | BasedBug: UUUOOOOOH MORE FOOD
26:51 | Stray Wolf: finally some good f'ing food 
27:09 | Rye Mountain: Eating after starving tastes very good
27:11 | hohoemikuma: PROTECT
27:14 | Mew: 😭😭😭😭
27:14 | BasedBug: NOOOOOOOO
27:19 | Hanabi: F
27:20 | Shippo: bros...
27:21 | Kyle: RIP dad
27:22 | Peer: ded....
27:22 | Megiddo: F
27:24 | TWAIN: 😭
27:27 | Tachi: F
27:29 | gyroninja: F
27:29 | Shippo: can't believe we're dead
27:31 | ThatVidyaGuy: F
27:32 | Shippo: for real this time
27:33 | Theblekedet: F
27:34 | Peer: F
27:34 | Voltage: dying walrus noises from dad
27:36 | MonquSurtonpif: F
27:36 | TWAIN: F
27:36 | Nasty Yukari: F Fucking dead dad
27:36 | Chloro [クロロ]: F
27:37 | hohoemikuma: dad = dead
27:37 | BasedBug: F
27:37 | Raziel: F
27:38 | RBZE7: F
27:38 | Shippo: efu
27:39 | TheCanti: Look at what you've done daughter
27:41 | Stray Wolf: F 
27:42 | Rye Mountain: F
27:43 | max r: Daughter has made me even uglier than I am in real life. And then she killed me. How is it possible?
27:43 | Theblekedet: So that was our last meal
27:44 | Shippo: F
27:45 | imalittle cupcake: Onii-chan...save us...
27:45 | Sunspots: F
27:49 | D3bugged: dad no
27:50 | Voltage: *filthy frank sad violin plays*
27:53 | Steven Frati: F
27:54 | Voltage: F
27:59 | Kyle: Daughter became an orphan...
28:01 | Mister Eko: it's ok, we deserved it, probably
28:01 | Big Ron: Bullied to death 
28:04 | thelastshinobi56: Killed Chihiro, killed dad, who is next?
28:14 | max r: F is not for Forgive
28:15 | BasedBug: Life is pain, so is death
28:17 | Zhnigo: at least we died with a full stomach
28:32 | Ekusupuroshon: Karma attacks Beatani
28:35 | Rye Mountain: Night is dangerous in this game
28:37 | Cool bug Fact's: Atleast dad can eat all he wants in heaven
28:42 | Raziel: it's not so bad here in hell
28:49 | Mew: Bzzzzzz
28:50 | Zhnigo: very danjyarasu
29:07 | Fettuccine フェットチーネ: Wtf is that
29:24 | Nasty Yukari: punishment!
29:27 | Question Box: your mom
29:29 | Sunspots: that thing is scary
29:36 | BasedBug: We've failed dads, we've failed again
29:37 | Mew: What death machine is this
29:39 | Destoroyar Fortress: Retribution
29:40 | Tachi: !!!
29:41 | Hanabi: what hellspawn is this thing making UFO noises
29:44 | Balnus Panglord: Our daughter's gonna die ;(
29:49 | Shippo: we're going to meet Beatani in heaven
29:55 | max r: imagine this is chasing you in real life
29:57 | Shippo: together again
29:58 | Mew: Maybe dad will be as strong one day
30:03 | Nasty Yukari: Dad is taking you to hell with him
30:10 | BasedBug: WHO IS YOU
30:19 | Jackku Chan: Wooosh
30:23 | Mew: Glow Cat
30:28 | Zhnigo: walking angler fish
30:33 | Jackku Chan: If only dad were still here...
30:37 | imalittle cupcake: I'm sorry, daughter...
30:41 | thelastshinobi56: dad is dead
30:48 | Destoroyar Fortress: I'm dead
31:04 | BasedBug: Sister RIP, Father RIP
31:24 | Happli: adeios
31:24 | Nasty Yukari: Family...
31:28 | Steven Frati: Dad Revival Project
31:29 | Ludd: Getting revived only to be abused again.....
31:37 | Rye Mountain: How many times does dad have to die for daughter?
31:56 | Kaiser Kebab: Hi daughter
31:59 | imalittle cupcake: I'll die for our daughter as many times as necessary
32:05 | Destoroyar Fortress: Dad and Chihiro are watching over Beatani now
32:55 | Zhnigo: competitive control scheme
33:01 | Shippo: save us, daughter
33:02 | TheCanti: Maybe we can be made into a new more handsome dad
33:15 | Nasty Yukari: The suffering. It never ends.
33:30 | TWAIN: do you know the way back?
33:32 | Sunspots: we come back stronger
33:33 | Hanabi: beary smart
33:39 | Theblekedet: rebuild us
33:39 | Urakala: smartest bear
33:53 | TheCanti: Are "The Polish" an imaginary friend of yours daughter
34:02 | Mister Eko: it was hell...
34:21 | Raziel: Pokemon type: Dad
34:23 | LassesAffar: starvation
34:28 | Rye Mountain: because of hunger
34:30 | Zhnigo: dying because of hungry = starving
34:35 | Mew: そらしい
34:36 | LassesAffar: starving to death
34:42 | Inaba: ohadayo
34:56 | Mew: Don't Starve Together
35:05 | BasedBug: WE'RE BACK
35:12 | Zhnigo: i preferred being dead
35:13 | Ekusupuroshon: Thank you
35:20 | TheCanti: Mmm, daughter's home made food
35:21 | TheCanti: Delicious
35:23 | Mew: The suffering continues
35:26 | A A: Thank you for saving us.
35:27 | Peer: Finally some good food
35:28 | Ludd: mgmg delicious
35:30 | Nasty Yukari: I'm not sure dad appreciates being alive again
35:30 | Voltage: at least the suffering ends
35:33 | Sunspots: tastes like abuse
35:34 | Kaiser Kebab: I look handsome
35:40 | Theblekedet: carrot and stick huh
35:40 | stuffed idiot: Brought back just to be beaten by daughter
35:40 | thelastshinobi56: la creatura
35:45 | Chloro [クロロ]: Beatani sure loves abusing her dad ww
35:50 | Kaiser Kebab: Yes i do
35:51 | Rye Mountain: Dad must be hit atleast once every day
35:58 | Mew: 押しつぶす🥰
36:06 | thelastshinobi56: no animal farts that much
36:10 | Fettuccine フェットチーネ: At least dad gets to eat properly this time
36:13 | LassesAffar: DV daughter..
36:13 | Ekusupuroshon: Bear??!
36:15 | Happli: Getting inflicted eternal suffering by Beatani!
36:15 | Mew: SQUISH
36:27 | TWAIN: now she's dabbing on us
36:35 | Jackku Chan: Jump dab..
36:43 | blobos: not on purpose
36:44 | Fettuccine フェットチーネ: Not intentional
36:50 | Raziel: Monster dad is dizzy after the beatings, please understand
37:05 | Jackku Chan: If it's on accident, why did you do it..?
37:13 | Zia: Understandable
37:16 | Mew: Thats what they always say
37:16 | Ekusupuroshon: Baka musume
37:22 | max r: It was intentional!
37:22 | Hanabi: we just fell down the stairs
37:55 | Jackku Chan: Wew egg gun
38:00 | Mew: dad eggs
38:00 | Kyle: Dad can lay eggs⁉
38:07 | TheCanti: Now that we ate we can fight
38:10 | Jackku Chan: Deggs.
38:12 | Ekusupuroshon: Dad eggs...
38:20 | Voltage: DAD *dad farts
38:23 | Raziel: How many people's dads can lay eggs, based
38:38 | Shippo: father egg priority
38:54 | パナナナダ: egg + dad body = oyakodon
39:11 | LassesAffar: two gay dads??
39:12 | max r: how about grandfather ???
39:14 | TheCanti: Make momma, dad needs some action
39:34 | Mew: Make dad proud
39:36 | Rye Mountain: Will daughter build a wife for dad?!
40:09 | Raziel: Beatani getting her dad to beat up her boss
40:26 | RADEON 360: don't let dad die a virgin again
40:32 | Rye Mountain: Dad lazy again
40:41 | thelastshinobi56: dad is stuck
40:53 | Mew: oh no
41:00 | Nasty Yukari: Dad rebellion!
41:02 | Mew: uwaaaaaaaaaa
41:05 | stuffed idiot: this is revenge for letting us starve
41:08 | BasedBug: WE'VE FAILED
41:09 | Fettuccine フェットチーネ: Noooo
41:10 | Zhnigo: F
41:11 | Nasty Yukari: Kek, dad was just watching
41:12 | TheCanti: RIP Daughter
41:13 | Rye Mountain: noooooo
41:16 | Inaba: dad....
41:17 | パナナナダ: well played
41:19 | max r: F
41:20 | Ekusupuroshon: Beatani no!
41:25 | thelastshinobi56: Anarchism 101
41:36 | Ludd: we failed to protect our daughter...
41:54 | Jackku Chan: Even bigger!?
42:10 | Mister Eko: BIGGER
42:11 | Mew: How to make it stronger 
42:14 | Mister Eko: ANGRIER
42:16 | BasedBug: BIGGER DAD
42:17 | thelastshinobi56: Give him a brain Beatani
42:19 | Wheresmyeyebrow: She beautiful
42:21 | Mister Eko: EYER
42:22 | Zhnigo: perfect physique
42:25 | Theblekedet: at least we died together...
42:38 | Mew: 155 meter dad
42:53 | Zia: I-I see...
42:54 | Nasty Yukari: Pump up muscle dad. A creature built for efficiency.
43:36 | stuffed idiot: What is a dad that cant UOOOHH though?
44:02 | Rob G.: I just came in, what the hell is that cursed creature.
44:08 | RADEON 360: Acquire wepon
44:24 | Theblekedet: that's you
44:25 | TWAIN: please don't burn us
44:28 | RADEON 360: it's you
44:48 | BasedBug: Dad doesn't want to be hurt again
45:32 | Tachi: Teamwork!
45:33 | BasedBug: Nice!
45:37 | Raziel: Dad coming in clutch with those eggs
45:38 | Kyle: Rekt
45:44 | Peer: is dads on fire?
45:45 | Jackku Chan: Dad is poisoned!
45:46 | Theblekedet: good job!
45:46 | Zhnigo: gottem
45:53 | Raziel: Dad's drunk again
45:53 | Ludd: ナイス！！！！！
45:54 | Hanabi: dad's poisoned
45:54 | Ekusupuroshon: Dad has been poisoned
45:58 | BasedBug: HELP
46:04 | max r: Give more cowbell
46:07 | stuffed idiot: I'm sure dad will be fine
46:12 | Mister Eko: Dying... again...
46:13 | Tachi: Maybe dad needs to eat something to heal
46:14 | TWAIN: surely it will go away?
46:15 | Theblekedet: i feel sick
46:23 | stuffed idiot: oh that wasn't so bad
46:28 | Kyle: 👏👏👏
46:31 | Jackku Chan: Dad healed up!
46:32 | Ekusupuroshon: Dad survived!
46:35 | Mew: 8 life blocks
