-11:06 | Drachen: 10 minutes...
-1:10 | OverMagnet: ワクワク
-1:09 | Doctor Pavel: LET'S FUCKING IKIMASHOOOUUU
-1:08 | Mew: 150 people waiting
-1:06 | Mew: JESUS
-1:04 | Jor Leifur: Wonder if she plays with mods
-0:53 | kaiserschmarrn_: stop telling people about her or she'll become cringe
-0:50 | ユーネ / Yuune: くまくま
-0:50 | .sandrio: suffering from success
-0:45 | SkysNotTheLimit: LETS GOOOOO
-0:41 | kaiserschmarrn_: ^
-0:31 | Fluffy Fish: Based bear ikz!
-0:14 | O5060403: 誇大広告！！！
-0:13 | クラガリ葉月: クマくる
-0:13 | MonquSurtonpif: We wait quietly :^)
-0:07 | Spannish Palau: She is too based to become cringe!
-0:06 | ユーネ / Yuune: I hope Beatani becomes more popular! ♥️🐻
-0:04 | GrassHopperMouse: I hope she remembers us when she makes it
-0:01 | ThePlatinumCan: IKZ
0:10 | Shub Nee-chan: GMI
0:11 | mikkis: GAO GAO
0:14 | nicenature: おはだよー！
0:17 | Shuko: 🐻❤
0:17 | Simón: Hello!!
0:18 | フェットチーネ: Ohadayo!
0:19 | Marploah: hey!
0:19 | クラガリ葉月: クマ来た！
0:19 | Orange Princess: Ohadayo
0:20 | SkysNotTheLimit: おはよう！Looking forward to a ヌクモリテイ stream, I've never seen this game before
0:20 | OverMagnet: Yooo!
0:21 | ThePlatinumCan: Hello!!
0:21 | GrassHopperMouse: OHADAYO 👋👋👋👋
0:23 | Fluffy Fish: Hi Chisato!~
0:24 | Disgrace: Hello hello 
0:25 | O5060403: OHADAYO~~
0:26 | ユーネ / Yuune: 来た
0:28 | Ark K.: ohadayoo
0:28 | Doctor Pavel: Ohadayo!
0:28 | MonquSurtonpif: BASED
0:28 | Kisaragi: Ohadayo!
0:31 | Helma Lennartz: Ohadayo!
0:32 | Jor Leifur: Ohadayo!
0:32 | Drachen: おはだよ！
0:33 | SpaceCrab: おはだよ
0:34 | Reika: Hello!
0:34 | Kyle: OHAdayo~!
0:34 | Shuko: OHADAYO!
0:34 | ThePlatinumCan: Ohadayo~!
0:34 | Idle Bear: OHAdayo buddy 🐻
0:38 | Hertan: Ohadayo!
0:38 | Ukitsu2: Hi!
0:38 | Sirboot: OHAYOOOOO
0:39 | Atomized Atomizer: Ohadayo!
0:39 | MonquSurtonpif: Ohadayo
0:40 | Eika: ohadayo~
0:41 | ユーネ / Yuune: BEATANI 🐶
0:42 | knowsur: ohadayo!
0:42 | Tachi: おはだよ！
0:43 | OverMagnet: OHADAYO! Beatani!
0:44 | Icebox551 Anthony: hello
0:45 | ユーネ / Yuune: ♥️♥️♥️
0:46 | Bra: Ohadayo!
0:46 | Chloro [クロロ]: おはだよー!
0:46 | Nixo: UOHHHHHHHHH
0:48 | D3bugged: Ohadayo
0:49 | Doctor Pavel: CUTE and FUNNY and LOVES CLOVER
0:49 | NatrixNatrix: hi!
0:50 | Oliver Meloche: Ohadayo
0:52 | ThePlatinumCan: 🍀
0:52 | Karsh: Oha
0:54 | SkysNotTheLimit: CLOVER BROS WE MADE IT
0:55 | Raziel: Hello!
0:57 | Orange Princess: ohadayo!
1:01 | Sirboot: cute and funny bear, got it
1:01 | .sandrio: おはだよ
1:07 | Syrup: Ahoy!
1:08 | Neoneon: ohadayo!
1:08 | Yannik Ruhs: Heya
1:10 | Disgrace: Ohadayo beatani!
1:11 | MonquSurtonpif: 🍀🍀🍀🍀🍀🍀🍀🍀
1:12 | BakedBanana: oh?
1:13 | chang og: ohadayo-
1:18 | Jor Leifur: ok!
1:18 | Doctor Pavel: ogey
1:20 | Hertan: Ok!
1:21 | Ain't It: Ohadayo!
1:21 | kaiserschmarrn_: 🍀
1:22 | SkysNotTheLimit: ヌクモリテイ TIME
1:23 | Elicus: Good morning!!
1:23 | ThePlatinumCan: Sure
1:24 | Hanabi: ohadayo
1:24 | Sirboot: ok!
1:27 | OverMagnet: ❤❤❤
1:35 | hustler one: Ohadayo~
1:36 | moe crusader: 🍀
1:38 | Jubes: Ohadayo Beatani!
1:44 | ユーネ / Yuune: 神ゲ
1:49 | Ekigo: Ohadayo
1:57 | MiiMuu: ohadayo
1:59 | O5060403: 🐻🍀
2:02 | Dan0Gust _: Yo did she go to 4chan?
2:03 | Jackku Chan: Wow she's a wagie...
2:03 | Burzan: Ohadayo
2:04 | Doctor Pavel: NOT NEET
2:05 | OverMagnet: Yea!
2:06 | SkysNotTheLimit: >funny and cute bear has a job
2:07 | ワースト: NEET
2:07 | kaiserschmarrn_: yo wash she in the threads?? lmfao
2:07 | Peer: ohadayo
2:12 | Marploah: ww
2:13 | Mew: Aww NOT NEET
2:14 | Drachen: Oh?
2:14 | Fluffy Fish: she's a NOT-NEET!
2:15 | ThePlatinumCan: Not a NEET!
2:16 | Simón: 0.o
2:16 | Sirboot: not Neet confirmed
2:17 | Oliver Meloche: NOT NEET
2:20 | Ark K.: you are not NEET?
2:21 | Oliver Meloche: CAREGIVER OF INTERNET
2:22 | Nixo: >SHE IS READING THE THREADS
2:22 | Börk Börk: Your job is famous Vtuber
2:25 | クラガリ葉月: ...
2:25 | Drachen: Gatekeeper!
2:29 | ユーネ / Yuune: Gatekeeper Beatani
2:29 | Jackku Chan: Wow! Important job!
2:30 | chang og: neet
2:34 | Arcterion: Internet cerberus is a bear?
2:34 | Helma Lennartz: Gatekeeper is a very important job!
2:36 | SkysNotTheLimit: WATCH WHAT YOU SAY BROS
2:36 | Disgrace: No neet but the best gatekeeper 
2:37 | Spannish Palau: ENTERTAINER
2:39 | Kyle: Tireless bear
2:41 | Raziel: Final boss of the internet
2:44 | クラガリ葉月: Neat neet
2:46 | Atomized Atomizer: Damn that's quite a job
2:52 | knowsur: who pay you?
2:59 | Jackku Chan: Do you think she does it for free?
3:03 | Kemonomimi: Internet protector 
3:07 | Karsh: Does it pay well? Thinking about becoming a not-neet as well
3:09 | Project Seele: Ohadayo 👋
3:10 | Fluffy Fish: She's gatekeeping the cringe people out of the internet, doing the good work
3:11 | ユーネ / Yuune: 🐛🐛🐛🐛
3:15 | Dan0Gust _: Dooodaaaa
3:16 | SkysNotTheLimit: If she set up a Streamlabs she wouldn't do it for free
3:17 | Drachen: Good work!
3:17 | Shuko: I'm not a NEET either I'm a home security guard
3:21 | Oliver Meloche: she cleans up the internet 
3:24 | Sirboot: caterpillar genocide
3:25 | Bra: Thank you cute and funny gatekeeper
3:27 | Jor Leifur: Thank you for your hard work !
3:30 | Doctor Pavel: catapiller exterminator bear
3:30 | Kyle: Ah, Windows XP hill... I know it well
3:31 | クラガリ葉月: うんうん知りません
3:34 | Ark K.: nice job.
3:36 | Idle Bear: XP hill, best hill.
3:38 | Raziel: Getting rid of bugmen? BASED
3:39 | ユーネ / Yuune: naruhodo
3:41 | SkysNotTheLimit: CUTE JANNY
3:42 | Nixo: A futaba jannie
3:42 | Hertan: Eat caterpillar?
3:45 | OverMagnet: Based Gatekeeper!
3:45 | Oliver Meloche: Thank you for your service!
3:48 | Mew: Lots of cleaning to be done on 🍀
3:48 | O5060403: XP hill, home
3:53 | kaiserschmarrn_: its leaking...
3:54 | Drachen: Anti-virus bear
3:57 | Fluffy Fish: thank you for the good work
4:02 | hustler one: Getting rid of bugs?!
4:09 | Disgrace: She’s the best cleaner of the internet 
4:10 | ユーネ / Yuune: thank you for your service
4:11 | SkysNotTheLimit: Based Bug Exterminator Online Gatekeeper
4:13 | nicenature: internet maid gatekeeper
4:18 | david johnston: your work is well appreciated 
4:19 | OverMagnet: お疲れ様でした。
4:20 | Peer: Keep up the good job!
4:23 | Ark K.: thank you for keeping the internet clean
4:29 | moe crusader: shes a jannnie. but. likeable
4:34 | Drachen: Rain?
4:38 | destructself: 🍀 one of us?
4:39 | Angius: Hello, cute and funny bear!
4:41 | クラガリ葉月: 信じている
4:42 | kaiserschmarrn_: uoooooh over 100 viewers
4:42 | ユーネ / Yuune: interesting
4:42 | .sandrio: protecc the internet
4:46 | Jor Leifur: ☂Here, just in case
4:51 | moe crusader: @destructself yes
4:56 | A Guy Called Squid: Hello!
4:58 | ユーネ / Yuune: ☔
5:02 | Fluffy Fish: hope you have a virtual umbrella
5:08 | Aftertone: hello, gamers 
5:11 | Disgrace: She may need an umbrella! 
5:15 | Ukitsu2: I used to moderate and administrate forums, too. Many years ago.
5:20 | Seiris: Hi Beatani! Can you turn down the BGM a little bit?
5:26 | chang og: gold rain?
5:30 | kaiserschmarrn_: ^
5:33 | kaiserschmarrn_: bgm is loud
5:33 | Börk Börk: 雨が降るとき何起こる？
5:33 | ユーネ / Yuune: hard working bear!
5:34 | GrassHopperMouse: yeah, BGM a little loud
5:34 | Gamer: cute and funny
5:37 | Eika: yeah BGM is a little loud
5:43 | Aftertone: bgm a bit loud 
5:43 | SkysNotTheLimit: 🐛🚫 NO BUGS
5:45 | nicenature: ears bleeding 
5:51 | Raziel: Thank you for your service
5:55 | Gamer: 4chan gamers
6:03 | Ukitsu2: Yeah, music is bit loud today.
6:11 | Doctor Pavel: dementia bear
6:12 | King Weeb: Were you a janny?
6:14 | Oliver Meloche: BGM little loud 😞 
6:19 | SkysNotTheLimit: I've only just met this Based Bear but I want to give her money, what's going on?
6:23 | Doctor Pavel: BGMがうるさい
6:31 | クラガリ葉月: RAM少ないね。
6:33 | sleepy hue: learned about cute and funny bear from a 4chan thread, very happy i decided to stop by
6:34 | Chloro [クロロ]: 英語コメント多いねw
6:38 | Gamer: :buffering:
6:40 | Ain't It: Hey Beatani the background music is a little bit loud
6:43 | kaiserschmarrn_: stop leaking you're leaking
6:54 | Apu 2: Your music is a little to loud
6:58 | GrassHopperMouse: thankyouuuu
6:58 | BakedBanana: nice
7:01 | kaiserschmarrn_: thanks
7:02 | nue nue: just finished ascension 4 with poison Silent 
7:03 | ThePlatinumCan: Perfect
7:03 | ユーネ / Yuune: beatani is very cute
7:04 | Oliver Meloche: good now!
7:04 | OverMagnet: 👌
7:06 | GrassHopperMouse: It's good now
7:06 | Eika: Nice~~
7:06 | knowsur: ok
7:08 | Ain't It: perfect!
7:08 | Spannish Palau: its good now
7:08 | destructself: based xp bg
7:09 | Apu 2: thanks
7:09 | Börk Börk: daijoubu
7:10 | Disgrace: Thanks for turning down the bgm
7:10 | Idle Bear: Perfect
7:12 | Shuko: Good
7:13 | Ukitsu2: There, thanks.
7:13 | ユーネ / Yuune: いい
7:14 | PixelRush: its good now
7:16 | Mechanized Doge: ほんまWINXPのバックグラウンドだわ
7:17 | Apu 2: you are even more cute and funny now
7:17 | Theblekedet: thanks
7:18 | NatrixNatrix: nice
7:19 | Orange Princess: nice we hear your based voice
7:19 | Peer: it's good
7:19 | Apu 2: 😀
7:20 | Ark K.: so many 4 leaf clovers.
7:23 | フェットチーネ: Nice
7:23 | Juliet: Thank you, cute and funny bear 🍀
7:24 | King Weeb: Thanks!
7:26 | kaiserschmarrn_: yes
7:26 | Apu 2: yes
7:27 | nue nue: yes
7:28 | WizJR W: yes
7:28 | Bra: Yes!
7:28 | Jor Leifur: Better 👍
7:29 | Kyle: Yes!
7:29 | GrassHopperMouse: Yes!
7:30 | Doctor Pavel: yes
7:31 | Ain't It: Yes!
7:31 | Mechanized Doge: ちょうどいいぞ
7:31 | Peer: yeah, can hear
7:31 | SkysNotTheLimit: Yes
7:32 | PixelRush: yes
7:32 | Fluffy Fish: sound is good now! 👍
7:32 | Shuko: Yes!
7:33 | Darthclone2: Very clearly!
7:33 | Idle Bear: Yes
7:33 | Disgrace: We can hear you! 
7:35 | Gamer: yes mostly
7:36 | King Weeb: Yes!
7:36 | ThePlatinumCan: Yes
7:41 | .sandrio: Thank you, it is better now!
7:44 | Hertan: 大丈夫
7:47 | Apu 2: we can hear you
7:47 | クラガリ葉月: 聞こえていい
7:50 | Orange Princess: yes thank you
7:51 | OverMagnet: You are good now!
7:52 | knowsur: very nice
7:56 | hustler one: Good!
7:58 | Mechanized Doge: ノープロブレムだぜ
8:08 | soreteH: good
8:16 | Apu 2: do the kao
8:32 | kaiserschmarrn_: I LOVE YOU ALL UOOOOOHHH
8:35 | SkysNotTheLimit: You deserve it!
8:38 | Apu 2: based
8:40 | Drachen: You are doing very well!
8:41 | Apu 2: we love you bear
8:44 | Kemonomimi: awwww
8:46 | Jor Leifur: aww 🤗
8:46 | Fluffy Fish: You are doing great❤
8:50 | NatrixNatrix: )
8:52 | fuwuta gaming: love funny bear!
8:53 | ThePlatinumCan: Awww 💚
8:56 | Théo: ❤
8:58 | Jackku Chan: Yeah we're a very helpful and nice bunch!
9:09 | Shuko: ❤
9:10 | Nixo: Your English is very good!
9:13 | SkysNotTheLimit: Beatani can communicate really well with us overseas bros
9:14 | kaiserschmarrn_: the perfect level of ESL for maximum engagement from cringe social retards
9:15 | O5060403: 頑張ってるね！
9:20 | Apu 2: yeah
9:23 | Mechanized Doge: ほう、自分初心者なんすけど、色々愛してるじゃん
9:25 | Apu 2: she really is doing her best
9:26 | ユーネ / Yuune: your english is extremely good
9:29 | Ark K.: you speak english pretty well.
9:34 | Darthclone2: yaya
9:38 | Idle Bear: you are doing great with english.
9:39 | Shuko: I'm happy we could meet you, your English is good!
9:51 | Raziel: That's understandable. You seem to be learning very well though!
9:51 | Eika: 英語うますぎ
9:53 | りーちにゃーん: ファ！？同接すご！！
9:53 | kaiserschmarrn_: oh god
9:53 | Fluffy Fish: english jouzu
9:54 | SkysNotTheLimit: Talking is the best way to learn English, you are doing really well
9:57 | kaiserschmarrn_: dont fuck it up guys
9:57 | Drachen: You are a great student 
9:59 | destructself: We will feed you
9:59 | Nixo: o-otaku culture you say?
10:01 | OverMagnet: Eeh, you are probably 10x better than most streamers. 
10:02 | Karsh: Should we try speaking poor Japanese instead? I can... try.
10:10 | GrassHopperMouse: You picked up a lot more english internet culture than I expected.
10:17 | chang og: lol
10:18 | Apu 2: because you are cute and funny
10:19 | Börk Börk: かわいいから
10:21 | Hertan: かわいいから
10:24 | ユーネ / Yuune: you could teach us Japanese otaku culture
10:24 | kaiserschmarrn_: we help because UOOOOOHHHH
10:25 | SkysNotTheLimit: You have our support, Cute and Funny Bear
10:25 | Eika: Because cute bear!
10:30 | Shuko: Because you are cute and entertaining!
10:30 | GrassHopperMouse: because you are cute and funny
10:31 | PixelRush: because you are cute and funny
10:31 | ユーネ / Yuune: kawaii
10:32 | Theblekedet: You are already improving since last time!
10:32 | Orange Princess: teach us about slay the spire based bear
10:33 | Jackku Chan: Why not?
10:34 | Oliver Meloche: Cute and Funny
10:34 | Larvesta_Bot: かわいいから
10:37 | Darthclone2: She said it
10:38 | Juliet: cute and funny!
10:38 | Drachen: Cute and funny!
10:40 | グレイダス: 英語難しい私は分かる
10:42 | Raziel: Ganbatte!
10:42 | Théo: Based cute and funny bear
10:44 | Fluffy Fish: you are based
10:46 | Aldwin Ryder: berri berri kyuuto
10:46 | Karsh: Cute, also I happen to like StS quite a bit
10:48 | Apu 2: she did the thung
10:48 | ユーネ / Yuune: but beatani is the cutest!
10:48 | クラガリ葉月: Cute and Funnyっていいね
10:51 | りーちにゃーん: この伸びならスレスパ配信も伸びるな(^ω^)
10:52 | Admiral Smug: Cute and funny!
10:52 | SkysNotTheLimit: Hhahahahahahaha
10:52 | Lagalith: It's not only about being cute, they have to be funny too.
10:53 | fuwuta gaming: based bear!
10:55 | Apu 2: no i dont speak to girls
10:57 | Shub Nee-chan: kawaii and fanii uuoohh
10:58 | Marploah: not really
10:58 | kaiserschmarrn_: no the other ones are CRINGE beatani is BASED
10:59 | Ain't It: You are very cute and funny and we love your personality!
11:01 | SkysNotTheLimit: What is a girl
11:01 | A Guy Called Squid: Funny bear= Bunny
11:06 | ThePlatinumCan: Supporting cute vtubers is my passion
11:09 | OverMagnet: You came to us. Why not help.
11:13 | GrassHopperMouse: Our bear daughter is cutest and funniest
11:20 | Apu 2: ^
11:23 | Meneltir: Only 2channeler Vtuber I know
11:30 | Oliver Meloche: lol
11:31 | Shuko: lmao
11:32 | Doctor Pavel: crazy viewer
11:32 | Mew: あなたは正直で誠実です。また、あなたは最善を尽くしている。それは本物です。:yougotthis:
11:36 | kaiserschmarrn_: he is that guy is whack hes got six kids in his basement
11:36 | ThePlatinumCan: Ahaha
11:37 | Chloro [クロロ]: lol
11:38 | Apu 2: cute and funny 
11:40 | Hanabi: people like helping people. and bears'
11:40 | クラガリ葉月: Rip that guy
11:41 | SkysNotTheLimit: BASED
11:42 | Apu 2: the most important thing
11:44 | ユーネ / Yuune: 🐻♥️🐻♥️🐻
11:46 | Drachen: Oh no..
11:48 | Margrave: Do I help a lot of girls? Well I help like to help everyone I can. 
11:49 | Spannish Palau: Remember, don't be a yandere towards the bear.
11:50 | Apu 2: based bear
11:51 | Marploah: ?!?!
11:53 | PixelRush: your post went viral on English internet
11:55 | Fluffy Fish: you showed your bravery by approaching the site, you deserve the best reception~
11:56 | Doctor Pavel: SHE BROKE CONTAINMENT
11:58 | Nixo: You are welcome!
11:58 | WizJR W: based
11:59 | Kyle: You are so earnest, how could we ignore you?
11:59 | Oliver Meloche: oh no
12:00 | Mew: 🍀
12:00 | StrangerSeen: Just stream what you like cute and funny bear.
12:03 | Aldwin Ryder: anon lives to serve
12:04 | ユーネ / Yuune: 面白いね
12:06 | Apu 2: we love you beatani
12:07 | OverMagnet: KUSA
12:09 | Kemonomimi: based
12:10 | Jackku Chan: That's (you)!
12:10 | Raziel: I kneel.
12:11 | SkysNotTheLimit: Bros what's happening
12:12 | Theblekedet: oh no
12:14 | Peer: based
12:15 | Jacob: oh God I come into the stream to hear her break containment
12:15 | Eika: 🍀
12:16 | グレイダス: 可愛い女の子達好きww
12:16 | kaiserschmarrn_: i kneel.
12:19 | Arcterion: Anon isn't always a bunch of autists. Sometimes they're surprisingly nice, like this time.
12:20 | destructself: Uhhh
12:24 | ユーネ / Yuune: no problem!
12:26 | Oliver Meloche: lol
12:29 | MonquSurtonpif: BASED
12:29 | SkysNotTheLimit: BROS
12:30 | Nixo: >us
12:31 | soreteH: holy based
12:31 | Kurokami Friend: uuhhh
12:31 | Fluffy Fish: based daughter
12:35 | SkysNotTheLimit: PROTECT THE BEAR DAUGHTER
12:37 | ユーネ / Yuune: cute & funny!
12:39 | kaiserschmarrn_: UUUOOOOOOOOOOOOOHHH
12:39 | Doctor Pavel: /ourgirl/
12:40 | Orange Princess: BASED BEAR
12:40 | Ain't It: I am a proud dad. 
12:42 | Börk Börk: この子カッコいすぎるw
12:45 | Margrave: lol
12:47 | Théo: Beatani ToT
12:47 | Orange Princess: BASED BEAR DAUGHTER
12:47 | Shuko: Anon isn't as bad as some people think
12:51 | .sandrio: Thank you Beatani
12:51 | Apu 2: awwwww
12:52 | Ark K.: awww
12:53 | ユーネ / Yuune: wwwwwwww
12:53 | david johnston: beatani you are way too cute haha
12:54 | Wayne Kerr: based
12:55 | Shuko: CUTE
12:55 | The Mythical Wa Ge: hello!
12:56 | Drachen: We are a big family!
12:57 | Fluffy Fish: bros, I'm gonna cry....
12:57 | Admiral Smug: uohhhhhhhhhhh!!!!! 😭
12:58 | Mew: based
12:59 | OverMagnet: なでなで
13:02 | ユーネ / Yuune: wwwwww
13:02 | Raziel: ♥️♥️♥️
13:02 | Helma Lennartz: My bear daughter is too cute!
13:02 | Jackku Chan: Bros she's cute...
13:04 | SkysNotTheLimit: かわいいいいい
13:04 | Shub Nee-chan: Bros... I fear the bearcoins dropping...
13:05 | david johnston: so wholesome
13:05 | Karsh: I can be your father or your mother, whichever way you swing I guess
13:07 | Jor Leifur: ❤
13:07 | Apu 2: we are a big happy cute and funny family
13:09 | Apu 2: based ngl
13:11 | O5060403: 草草
13:13 | Mothman: ❤
13:14 | Ark Sword Misc.: え?
13:20 | King Weeb: Janny bear does it for free ❤
13:24 | moe crusader: 🍀 ITS BEEN CHECKED. ONE OF US
13:25 | ThePlatinumCan: Ohhh~
13:26 | SkysNotTheLimit: Wow, Beatani is so cute
13:27 | ShinHylus: ❤
13:29 | Shuko: awww
13:33 | Apu 2: /ourbear/
13:33 | りーちにゃーん: いつも同時接続1桁からこの伸びはすごいなあ
13:34 | Marploah: blessed
13:34 | Arcterion: So... Should we add BBD to the list of nicknames? For 'Based Bear Daughter'?
13:34 | Kyle: ❤
13:34 | SkysNotTheLimit: ❤ 
13:34 | Juliet: /ourbear/
13:36 | Chloro [クロロ]: I'm too young to be a father, but ok ww
13:36 | Bra: ❤
13:37 | Apu 2: ❤
13:38 | ユーネ / Yuune: かわいい
13:39 | Drachen: That's so sweet
13:39 | chang og: 🍀
13:42 | Admiral Smug: <3
13:44 | fuwuta gaming: beatani best bear!
13:45 | hustler one: I will take responsibility. 
13:45 | WizJR W: /ourbear/
13:45 | Ain't It: We love you daughter!
13:46 | Kemonomimi: ❤
13:47 | NatrixNatrix: ❤
13:48 | ユーネ / Yuune: ♥️
13:48 | james heller: ❤
13:49 | Apu 2: @Arcterion absolutely
13:51 | ThePlatinumCan: Risky but absolutely based ❤ 
13:52 | Arcterion: Oh no, she froze.
13:52 | Fluffy Fish: /ourbear/ ❤🐻
13:53 | Shuko: ❤
13:53 | Sunspots:  Halo
13:56 | OverMagnet: ❤
13:56 | SkysNotTheLimit: The Internet is many people's family
13:57 | Theblekedet: Uhh.... Okay!
13:57 | Aldwin Ryder: I wanted to hide my shame, but you showed me true kindness...
13:58 | Jubes: Dang. what a wholesome bear.
13:59 | D3bugged: that's very nice
14:00 | クラガリ葉月: ああ。この可愛いクマ守ていなさいね。
14:00 | Doctor Pavel: ❤
14:01 | Apu 2: /ourbear/
14:01 | MonquSurtonpif: 🍀
14:08 | GrassHopperMouse: My bear daughter and I are the same age and it's normal.
14:14 | Geister: Hello hello!
14:14 | Nixo: ❤
14:16 | King Weeb: 🍀🍀🍀
14:16 | Apu 2: damn this is themost wholesome chat ive seen in a while lol
14:20 | Shuko: lol
14:21 | Ark K.: ❤❤
14:21 | soreteH: ❤️
14:26 | The Mythical Wa Ge: ♥♥♥♥♥♥♥
14:28 | Drachen: Everyone take responsibility!
14:31 | Eika: lol
14:33 | Apu 2: ❤
14:34 | Nixo: kek
14:35 | kaiserschmarrn_: wwwwww
14:35 | Shub Nee-chan: my cute and funny daughterbear 
14:35 | Theblekedet: Well we gotta take responsibility now
14:36 | knowsur: lol
14:36 | Hertan: Lol
14:36 | Simón: lmao
14:38 | Kemonomimi: lol true
14:38 | Geister: 99% Dads
14:39 | Jackku Chan: We've been found out!
14:40 | Mew: Very probaby
14:41 | .sandrio: Its sad that the connection carries such a negative connototation, because we just want this cute bear to succeed
14:41 | Jor Leifur: wwwww yes
14:42 | Shuko: Yeah probably
14:43 | Bra: lol
14:46 | Oliver Meloche: More dads yeah.......
14:46 | Shuko: Very true
14:47 | ThePlatinumCan: KEK true
14:47 | Shuko: lol
14:48 | ユーネ / Yuune: big,草
14:48 | Admiral Smug: wwwwwwwwwww yeah
14:48 | SkysNotTheLimit: Most likely
14:49 | Fluffy Fish: yes lol
14:51 | Börk Börk: Hai otoosan desu
14:52 | SkysNotTheLimit: DAD GANG
14:52 | Ark K.: i'm a proud dad
14:54 | Nixo: 100%
14:54 | Karsh: Sorry.
14:54 | グレイダス: うんww
14:57 | Larvesta_Bot: probably true 
15:00 | Juliet: I can be a mom
15:00 | Apu 2: my bear daughter cant be that cute and funny\
15:00 | ユーネ / Yuune: MOM GANG
15:01 | Jubes: A family can be 10 dads and one cute and funny bear
15:02 | Doctor Pavel: 100%
15:02 | OverMagnet: ウホ！いい男だ。
15:03 | Oliver Meloche: There might be a mom here
15:03 | King Weeb: 99.9% lol
15:05 | Chloro [クロロ]: lol
15:05 | nicenature: 0.5% mom
15:07 | Sunspots: based called out kek
15:07 | ThePlatinumCan: We don't know
15:07 | WizJR W: 100%
15:08 | Burzan: DAD GANG
15:11 | david johnston: i could be your mom beatani
15:12 | Shub Nee-chan: DADCHADS RISE UP
15:13 | Eika: 1 mom 99 dads
15:13 | クラガリ葉月: あ。。。
15:13 | Juliet: mom here!
15:16 | SkysNotTheLimit: FEMANONS RISE UP
15:17 | Apu 2: dad gang dad gang
15:18 | Jackku Chan: Mom went to buy cigarettes
15:19 | Fluffy Fish: she took the house and left...
15:19 | Shuko: MOM PICK ME UP IM SCARED
15:21 | Börk Börk: 母がない音尾さんだけ
15:21 | Marploah: im sorry dad is single
15:23 | StrangerSeen: Mom went out to get cigarettes sorry bear.
15:24 | Admiral Smug: I wish I knew 😔
15:26 | Ain't It: There are a few moms I'm sure 
15:26 | Mew: very busy moms
15:27 | Drachen: あたしはママです！
15:28 | Ark K.: Mom doko?
15:30 | Arcterion: @Eika ಠ◡ಠ
15:33 | Oliver Meloche: 154 single dads 
15:41 | Apu 2: >tfw no bear mom
15:42 | WizJR W: mom just went to get some cigarettes... 
15:49 | ユーネ / Yuune: 草
15:50 | SkysNotTheLimit: Can we reach 1000 subscribers tonight?
15:52 | Drachen: はいです！
15:56 | Marploah: ojisan mama
15:57 | Arcterion: Alright, who's gonna wear the wig and become the mom?
15:58 | kaiserschmarrn_: the wolf in sheeps clothing mothers coming out of the woodwork...
16:02 | Gamer: where are the moms
16:13 | OverMagnet: We have failed bros... Not enough Moms.
16:14 | Apu 2: you will soon get to 1k
16:14 | Börk Börk: いや嘘ですあの人も父
16:17 | O5060403: 中にはおじいちゃんおばあちゃんもいます。
16:17 | Apu 2: congrats :DDDD
16:26 | Fluffy Fish: don't worry, we will find a mom for you
16:30 | Nixo: 1k subs next stream
16:31 | Admiral Smug: bros we need some moms STAT
16:38 | fuwuta gaming: need wife for my bear daughter
16:41 | Aftertone: almost 1k subs
16:49 | Karsh: ^ isekai title
16:52 | .sandrio: beatani love 🍀🐻
