-0:32 | (New member) BasedBug: rrats..
0:47 | (New member) BasedBug: She won after the stream ended!
0:56 | (New member) XenMaster220: :_oha::_dayo:
1:00 | (New member) Megiddo: she's in middle of fight still
1:03 | (New member) skrong: rratsbros...
1:04 | (New member) Sol Codguy: @darukaru that was a great show
1:05 | (New member) Mew: :_kita:
1:05 | Deeroya: I think she's still in he fight
1:07 | Denied: rrat happened
1:07 | (New member) Mister Eko: the final yab...
1:08 | (New member) CantDood: :_bea::_bea:
1:09 | (New member) Nasty Yukari: Capitalism won, that's what happened
1:12 | (New member) Ekusupuroshon: RRats killed the stream
1:12 | (New member) Antonio Badilla: I thought we we're going to twitch lel
1:19 | (New member) Rob G.: packet drop?
1:27 | (New member) Suukotto Funsha: hasn't lost yet, she can still stop the rrats
1:29 | stuffed idiot: this is what happens when you choose communism
1:43 | (New member) Megiddo: Beat the rrat!
1:48 | (New member) BasedBug: Better dead than red
1:48 | (New member) Moeniki: Capitalism, Ho! 
1:49 | (New member) LassesAffar: Communism gang!!
1:49 | (New member) Nasty Yukari: Oh no, I'm not taking any sides on this dumb debate
1:50 | (New member) Fake Name: Capitalism LOVE
1:51 | (New member) Raziel: Liberty Prime is the ultimate rrat destroyer
1:51 | (New member) クラガリ葉月: Capitalism is freedom
1:53 | (New member) Moeniki: Communism is evil
1:53 | (New member) CantDood: CAPITALISM LOVE COMMUNISM HATE
1:54 | stuffed idiot: communism is cringe, capitalism is based
1:56 | (New member) Ekusupuroshon: I love Capitalism as much as Yukari-san
1:56 | (New member) Nasty Yukari: I just wanna see cute girls selling cute item
1:57 | (New member) Mew: Middle!
1:58 | (New member) Herbie Cucumber: kumanism
1:58 | (New member) Lazm: das capital
1:59 | (New member) Tachi: Third position :_sprdo:
2:00 | eeo: I hate both🙂
2:01 | (New member) ThatVidyaGuy: Capitalism Ho!
2:02 | (New member) Suukotto Funsha: Capitalism love
2:03 | Mizuki Arisu: i simply hate the industrial revolution and its consequences
2:03 | (New member) Stray Wolf: Capitalism ho 
2:06 | (New member) Mastigos Wilkins: back again!
2:06 | Question Box: Capitalism 
2:09 | (New member) WizJR W: Capitalism UUUUUUUUOOOOOOOOOHHHHH
2:12 | (New member) sleepypwns: CAPITALISM LOVE!
2:15 | (New member) Fake Name: I love Beatani and her based Capitalism!
2:25 | (New member) Raziel: @Mizuki Arisu anprimchama?
2:29 | (New member) Rob G.: screw all of you, reject society go back to feudalism, long live the king!
2:37 | (New member) Ekusupuroshon: PING?
2:39 | (New member) Idle Bear: pretty much
2:40 | Denied: oink oink
2:40 | (New member) BasedBug: Pig pride!
2:40 | (New member) XenMaster220: uuuuooooohhh
2:43 | (New member) Moeniki: White pig:_dayo:
2:43 | Question Box: America No.1
2:43 | MrJc: lol
2:45 | (New member) Herbie Cucumber: 🐖
2:46 | (New member) skrong: rumao
2:47 | Mr. Gillespie: america pigu go homu
2:48 | Sheep: i see
2:48 | (New member) Luginov: buhii buhiii
2:50 | Question Box: no other like it
2:51 | (New member) LassesAffar: PIGGU GO HOMU
2:51 | (New member) ThatVidyaGuy: Pigs love!
2:51 | (New member) Nasty Yukari: "i am american pig i play bad game runescape"
2:54 | (New member) Mister Eko: oh no
2:54 | (New member) CommanderMichael: the bear has spoken
2:56 | (New member) Tachi: KEK sure
3:00 | (New member) Stray Wolf: yab
3:00 | (New member) Fake Name: Based Japanese CAPITALISTS
3:03 | (New member) Moeniki: China isn't communist
3:04 | DarkestPhoenix: oof
3:06 | (New member) Zhnigo: eat your hamburgers apollo
3:06 | Incsy: 🐖
3:07 | Mizuki Arisu: @Raziel black and green flag based
3:08 | (New member) Ekusupuroshon: I'm going to say the T WORD
3:11 | (New member) Xayn: I crush bugs every day
3:12 | (New member) クラガリ葉月: Lol uh-huh.
3:21 | (New member) XenMaster220: I'll never go home! you can't make me
3:23 | (New member) The Flesh Is Weak: ogadayo
3:26 | stuffed idiot: USA > the world
3:34 | (New member) Mew: Ragnarok Online now thats capitalist game
3:40 | (New member) Lazm: I love my foolish daughter anyway.
3:51 | (New member) クラガリ葉月: 24 year old girl = バカ
3:57 | (New member) Mister Eko: gyaru bear
3:59 | (New member) BasedBug: Apolitical is based
4:03 | (New member) Tachi: Normietani
4:03 | (New member) Fake Name: Better DEAD than RED
4:03 | (New member) skrong: based airhead
4:05 | (New member) A A: There are other options than those two.
4:06 | (New member) Tuffee: normie bear
4:06 | (New member) Moeniki: husband...
4:06 | (New member) Antonio Badilla: Based ignorance
4:08 | (New member) Megiddo: apple an dbread left
4:09 | (New member) Luginov: raziel..
4:11 | stuffed idiot: her husband (me)
4:14 | (New member) Ekusupuroshon: Fashion is also capitalism
4:14 | (New member) Idle Bear: family bear
4:19 | (New member) CantDood: おめでとう
4:20 | (New member) Herbie Cucumber: no, (me)
4:21 | (New member) ThatVidyaGuy: Riajitani
4:21 | Crown: >likes fashion but wears dasai
4:21 | (New member) XenMaster220: gyarutani is real....
4:30 | (New member) クラガリ葉月: オマエ
4:30 | (New member) WizJR W: There is capitalism in her heart
4:34 | (New member) Mister Eko: lol that change 
4:35 | (New member) Mew: Poor bakas
4:37 | stuffed idiot: ouch
4:43 | (New member) BasedBug: Fucks sake
4:55 | (New member) Nasty Yukari: hats off & I kneel rajiel-san
4:57 | Denied: raziel (me)
5:02 | (New member) Mister Eko: rrat
5:08 | (New member) Herbie Cucumber: rrat
5:10 | (New member) Mister Eko: almost there!
5:12 | (New member) LassesAffar: After the breakfast contest you're going to ask me to make your miso soup every mornin
5:13 | (New member) LassesAffar: g
5:15 | (New member) Rob G.: Razchama
5:16 | (New member) Ekusupuroshon: wtf I'm Raziel now
5:27 | (New member) Luginov: 88888
5:27 | (New member) Tuffee: erai
5:29 | RobDeLaMort: Rrat is kill
5:29 | (New member) CantDood: 88888888
5:29 | (New member) Mister Eko: STRONG BEAR
5:30 | (New member) Moeniki: :_kita::_kita::_kita::_kita::_yah::_kita:
5:31 | (New member) BasedBug: RRAT DEFEATED
5:32 | Incsy: 🐻❤🐷
5:33 | (New member) Megiddo: now go through the door!
5:33 | (New member) Herbie Cucumber: 888888
5:34 | (New member) Ekusupuroshon: THE RRATS WERE OGEYED
5:35 | Denied: erai
5:35 | (New member) Zhnigo: RRAT
5:36 | eeo: first try rrat!!
5:36 | (New member) Moeniki: RRAT AWAY
5:36 | TheFlyingWingNut: OGEY
5:37 | (New member) Mew: Rrats DESTROYED
5:37 | (New member) BRAD AEON 720: she defeated the rrats
5:37 | (New member) Stray Wolf: the rrat is kill 
5:38 | (New member) Tachi: :_kita::_kita::_kita:
5:38 | (New member) ThatVidyaGuy: DEAD RRAT
5:38 | (New member) The Flesh Is Weak: 888888
5:39 | stuffed idiot: IKZ
5:40 | (New member) XenMaster220: :_kita::_kita::_kita::_kita::_kita:
5:43 | (New member) Stray Wolf: ogey 
5:43 | (New member) CommanderMichael: RRAT DEAD
5:43 | (New member) The Flesh Is Weak: rrats AWAY
5:45 | (New member) Suukotto Funsha: Strong bear, rrat is kill
5:47 | (New member) Zhnigo: the rrat fears the bear
5:47 | Mr. Gillespie: ogey'd
5:48 | Crown: kitiraaaa
5:49 | Denied: rrat no more
5:51 | (New member) Raziel: The only good rrat is a dead rrat
5:52 | (New member) Xayn: R.RATMAN DEFEATED
5:54 | stuffed idiot: RRATs BTFO
5:55 | (New member) Megiddo: boss drop
5:55 | (New member) Suukotto Funsha: rrat AWAY
6:01 | (New member) sleepypwns: the rrat is dead
6:07 | (New member) BasedBug: She actually did it!
6:08 | (New member) Megiddo: Good job!
6:09 | (New member) BRAD AEON 720: the final yab has been cancelled
6:09 | (New member) Idle Bear: rrat tales
6:11 | (New member) Mister Eko: strong bear who does not fear any final yab and defeats all the rrats
6:43 | (New member) Moeniki: imagine how quick Tear would get drunk since her body is so small UOOOOHH
6:55 | RobDeLaMort: Pffff gave up reading
7:17 | Shuko: Tear so cute...
7:21 | (New member) Mister Eko: last day
7:24 | (New member) Megiddo: paying debt day
7:25 | (New member) Ekusupuroshon: Payday?
7:40 | RobDeLaMort: Who guys to a shop and buys a rrat tail
7:41 | (New member) WizJR W: last day sleeping indoors
7:47 | (New member) XenMaster220: We ended the rrat, let's hope for no more timeloops
8:02 | (New member) Megiddo: @RobDeLaMort A witch?
8:18 | RobDeLaMort: Good point
8:45 | (New member) CantDood: she's gmi
8:50 | (New member) Mechanized Doge: noice
9:14 | (New member) Mechanized Doge: >122% increase, wew
9:38 | Deeroya: The bluff was called well.
9:53 | (New member) Suukotto Funsha: pay attention to if you're buying or selling, you jsut bought candy for a lot of pix
10:18 | (New member) Nasty Yukari: naniwookoukana
10:32 | RobDeLaMort: Eeeyyy
10:42 | RobDeLaMort: OGEY
10:42 | stuffed idiot: she's an oil balon now, she just wanted to be generous
10:48 | (New member) Megiddo: He's a witch!
10:53 | (New member) Mister Eko: that's a very expensive tail
10:55 | (New member) BasedBug: Wow, she's making a killing now
10:59 | (New member) Mechanized Doge: ah... I get how this works now
11:11 | (New member) XenMaster220: Your doing so good!:_yah:
11:34 | (New member) Mechanized Doge: smooth sailing
11:43 | (New member) Mister Eko: I'm so proud, she finally embraced capitalism 
11:45 | (New member) ThatVidyaGuy: The bear is gmi bros. wagmi
11:54 | (New member) Tuffee: lol
11:57 | (New member) WizJR W: bear...
11:59 | (New member) Mechanized Doge: Are there taxes in this game?
12:00 | (New member) BasedBug: Is this proof that capitalism works?
12:11 | (New member) Moeniki: BASED
12:13 | (New member) max r: sorry communism bros
12:14 | (New member) CommanderMichael: >now she loves capitalism
12:15 | (New member) Moeniki: □:_bea:
12:15 | (New member) Zhnigo: gabidalism :_sprdo:
12:16 | (New member) Megiddo: communism HATE
12:19 | (New member) Luginov: hate communism, love slimes
12:19 | (New member) Antonio Badilla: communism cringe
12:20 | Axiis: BASED
12:20 | stuffed idiot: capitalist pigs inclining
12:21 | (New member) sleepypwns: Based
12:23 | (New member) Suukotto Funsha: Based bear
12:23 | Rossco: B+R
12:25 | (New member) Tuffee: □
12:27 | (New member) CommanderMichael: commrade Ivan, don't look!
12:29 | Mr. Gillespie: based
12:29 | (New member) Mister Eko: BASED
12:30 | (New member) CantDood: how many times has she switched sides in this stream
12:31 | WhiteWish DY: based
12:39 | eeo: based flip-flopper 
12:42 | (New member) XenMaster220: Capitalism Ho
12:42 | (New member) Nasty Yukari: Y-you can't change ideologies twice in a single day!!
12:42 | Mizuki Arisu: rip dead reds
12:45 | (New member) CantDood: absolutely□
12:52 | (New member) Mechanized Doge: political compass チェンジ～！
12:59 | (New member) Mister Eko: lol
13:02 | (New member) Mister Eko: my sides
13:13 | RobDeLaMort: Nearly 3x the required amount for the bill
13:18 | (New member) Mister Eko: She already did it 10 times so far
13:19 | (New member) Nasty Yukari: ogey then
13:23 | eeo: damn big profits
13:28 | (New member) Mechanized Doge: lmao
13:29 | (New member) Suukotto Funsha: first payment completed
13:35 | (New member) Raziel: Beatanism is the true way
13:36 | RobDeLaMort: Uooooohhhhhh \o/
13:40 | (New member) Herbie Cucumber: 8888888
13:41 | (New member) A A: Women can change their minds.
13:41 | stuffed idiot: @Nasty Yukari weak...
13:41 | (New member) Nasty Yukari: lmao ogey...
13:42 | (New member) BasedBug: Weekly Rent Paid
13:43 | Question Box: lets go
13:43 | (New member) Ekusupuroshon: All bears are equal, but some bears are more equal than others
13:46 | (New member) Rob G.: based schizophrenia
13:49 | Sheep: nice
13:49 | (New member) CommanderMichael: "don't compare me to (you)" -beatani
13:51 | eeo: sounds like a stupid power
13:53 | (New member) Tuffee: big bear brain capable of complex thought
13:55 | (New member) クラガリ葉月: Weekly rentoid..
14:03 | (New member) XenMaster220: You did it! :_kita::_kita:
14:04 | (New member) Megiddo: ojou is here
14:06 | (New member) Ekusupuroshon: CUTE
14:09 | (New member) CantDood: who is (You)?
14:10 | stuffed idiot: UOOHHH
14:14 | (New member) BasedBug: PLEBS
14:15 | (New member) The Flesh Is Weak: OJOU
14:19 | Denied: plebeian
14:25 | Question Box: oh god not her
14:26 | (New member) Zaszz: we back! □
14:32 | (New member) Suukotto Funsha: UOOHHHH
14:36 | (New member) Mister Eko: I LOVE BLONDE OJOUS
14:36 | (New member) Xayn: 姫柿
14:42 | (New member) Megiddo: rat
14:42 | (New member) Herbie Cucumber: prole HATE
14:42 | (New member) Raziel: It smells like poor over there
14:42 | (New member) Mister Eko: does she have the laugh?
14:44 | RobDeLaMort: Shrew is like a mouse
14:52 | (New member) Antonio Badilla: A small rodent animal
14:52 | darukaru: Aristocracy, the enemy everyone can agree on
14:57 | (New member) The Pope: A shrew is like a rrat
14:59 | (New member) Suukotto Funsha: shrew = rrat
15:02 | (New member) Mechanized Doge: ah.
15:04 | (New member) BRAD AEON 720: does she go desuwa
15:10 | (New member) BasedBug: ShrOoOo
15:16 | (New member) Mister Eko: SHE DID IT
15:16 | RobDeLaMort: Ooohohohoho
15:18 | (New member) CommanderMichael: slang for pipsqueak i think
15:19 | (New member) Mister Eko: she did the thing...
15:20 | (New member) BRAD AEON 720: the laugh
15:27 | stuffed idiot: the laugh
15:28 | RobDeLaMort: TANNED FAIRY UOOOHHHHH
15:32 | (New member) A A: Enter Chihiro.
15:42 | bejad007: bea-jou sama
15:58 | Crown: tan fairy ouuoohhhh
16:00 | (New member) Antonio Badilla: She is oil balon
16:00 | (New member) The Flesh Is Weak: uuuuoooohh
16:00 | Theodore Kaczynski: bear is broken
16:05 | Denied: uooooooh
16:06 | Axiis: >impregnate
16:06 | (New member) Fake Name: Good toy!
16:06 | (New member) Tuffee: grooming GO
16:06 | (New member) david johnston: I'm weak EU dad and can't stay up any longer enjoy the rest of the stream lads
16:07 | (New member) Mister Eko: ohohohoHOHOHOHO
16:08 | Theodore Kaczynski: what the fuck?
16:08 | (New member) Nasty Yukari: ohohohohohoho
16:09 | (New member) max r: desu wa ⬆
16:09 | (New member) XenMaster220: uuuuoooohhh
16:11 | (New member) CantDood: incredible
16:15 | (New member) BasedBug: NEW TARGET
16:15 | (New member) The Pope: Bea no, not the ojous
16:17 | (New member) Suukotto Funsha: New peropero targets aquired
16:19 | RobDeLaMort: METAL GAER
16:22 | (New member) Mister Eko: AMAZON LOVE
16:23 | (New member) ThatVidyaGuy: ohohohohohohohoho
16:24 | AH-64D: SNAAKE
16:25 | WhiteWish DY: uooohhhh
16:27 | Mr. Gillespie: !
16:33 | (New member) Mechanized Doge: MGS
16:34 | (New member) Xayn: ！
16:36 | (New member) Suukotto Funsha: Amazon spell cards must be inside
16:45 | (New member) Raziel: Jeff Bezos is a mesugaki?!
16:45 | (New member) Mister Eko: METAL... GEAR...?
16:47 | (New member) ThatVidyaGuy: spying
16:51 | (New member) Megiddo: spy
16:52 | (New member) Suukotto Funsha: espionage = spy
17:00 | Question Box: lol
17:01 | (New member) The Pope: Espionage = Sneaky spy mission
17:04 | (New member) Herbie Cucumber: lmao
17:05 | mayday: SNAAAKKKEEE!
17:06 | (New member) Ekusupuroshon: Spionwhat?
17:08 | (New member) Tuffee: uh
17:11 | (New member) Mister Eko: uuuuuuuuuuhm
17:13 | (New member) CommanderMichael: it's like spycraft
17:13 | (New member) gyroninja: The voice said it wrong
17:15 | Axiis: lol that pronunciation from google is wrong
17:26 | (New member) CantDood: ?
17:28 | (New member) Herbie Cucumber: es-pee-oh-nahj
17:32 | (New member) Mechanized Doge: エスビナーズ
17:37 | Crown: eng reps are hard today
17:42 | (New member) Mister Eko: is that the sound of doing reps?
17:43 | bejad007: rude
17:49 | (New member) Raziel: prole = proletarian
17:50 | MiiMuu: based thumbnail bea
17:55 | (New member) The Flesh Is Weak: prole = greynames
17:55 | (New member) BRAD AEON 720: this game seems fun. might buy it on sale
17:58 | (New member) Megiddo: working class
18:06 | (New member) Nasty Yukari: plebs...
18:13 | (New member) Mew: Dalmatian Dog?
18:15 | (New member) Mister Eko: grey...
18:22 | stuffed idiot: graychads rise up
18:25 | (New member) Luginov: lucky for you, its on sale RIGHT NOW
18:28 | Mizuki Arisu: grey neet proletariat
18:28 | (New member) CantDood: it's 80% off on steam right now
18:32 | (New member) The Pope: prole = remote kid, patricians = oil balons
18:47 | RobDeLaMort: What?!
18:47 | (New member) BasedBug: Be pregnant?
18:49 | (New member) Ekusupuroshon: whaaaaa...
18:52 | (New member) BRAD AEON 720: ??
18:52 | (New member) Xayn: ???
18:53 | (New member) Mister Eko: do NOT pregnant the ojou-sama
18:55 | (New member) The Flesh Is Weak: not old enough to be pregnant...
18:58 | Mr. Gillespie: YES
19:00 | (New member) Suukotto Funsha: UOOOHHHHH
19:00 | bejad007: daughter...
19:01 | (New member) Fake Name: え
19:02 | (New member) CantDood: how do you even
19:05 | Crown: mesugaki uoooooohhhh
19:05 | Axiis: YES DO IT UOHHH
19:06 | stuffed idiot: c-can she really just will her into pregnancy?
19:07 | (New member) LassesAffar: メスがきメスがき！
19:08 | (New member) ThatVidyaGuy: Bear...
19:13 | (New member) XenMaster220: :_sprdo::_sprdo:
19:15 | (New member) Rob G.: prrrrrrrrregante
19:15 | (New member) 77Yuja_: s-sugoi
19:28 | WhiteWish DY: jesas
19:34 | (New member) Nasty Yukari: Foolish and embarrassing, that's not how you ask a person, if they can have a child with you...
19:49 | Crown: 生みそうな体だ！
19:54 | (New member) Mister Eko: she realized it 
19:56 | (New member) Luginov: only the important things
19:57 | (New member) Megiddo: lmao
19:59 | (New member) Tachi: .....
20:01 | (New member) LassesAffar: SAFE
20:08 | (New member) Megiddo: she really wants to impregnate the ojou
20:09 | (New member) Ekusupuroshon: Wakaraseta bear...
20:10 | stuffed idiot: she cracked the code
20:17 | (New member) BRAD AEON 720: my Japanese reps fail me..
20:18 | (New member) Mister Eko: I mean, we still understand you...
20:35 | (New member) BasedBug: I'm too weak.. my reps
20:51 | (New member) Ekusupuroshon: You want to make her understand that she's a....
20:53 | Crown: mesugaki LOVE
20:59 | (New member) Ekusupuroshon: That's ilegal
21:08 | (New member) ThatVidyaGuy: "friends"
21:11 | eeo: "friends"
21:12 | (New member) CantDood: friends with benefits
21:13 | (New member) Megiddo: that's uh, not quite the same
21:15 | (New member) Mister Eko: cute ojou bear laugh
21:16 | presence is yabai: hhuuuuuh
21:19 | stuffed idiot: """"friends""""
21:20 | (New member) ZVN: Sex friends
21:21 | (New member) Stray Wolf: "laughs"
21:22 | (New member) BasedBug: KANI?
21:23 | (New member) Mister Eko: NOT KANI
21:23 | (New member) Luginov: lol
21:24 | (New member) The Flesh Is Weak: KANI
21:26 | stuffed idiot: HUH
21:27 | (New member) ZVN: LOL
21:27 | (New member) Nasty Yukari: Oh... oho oho... oho...
21:28 | (New member) Zyadarya: Yes only that nothing else just "friend"
21:29 | bejad007: canny?!
21:29 | (New member) Transcendental_ColonThree: KANI
21:29 | (New member) Tachi: lol
21:29 | (New member) Ekusupuroshon: Bea..
21:30 | RobDeLaMort: CANNY IS A DIFFERENT WORD
21:31 | (New member) Stray Wolf: canny 
21:31 | (New member) Zhnigo: hmmmMMM
21:32 | (New member) Herbie Cucumber: KANI
21:32 | (New member) Suukotto Funsha: kani?
21:32 | Crown: KANI
21:34 | (New member) CommanderMichael: YAB
21:34 | (New member) Randel Shurker: Canny?
21:37 | (New member) The Pope: CANNY OAAAAAAHHHH
21:37 | Mr. Gillespie: where did that child came from wtf???
21:38 | (New member) Randel Shurker: Cunning?
21:39 | (New member) Transcendental_ColonThree: QT AND KANI
21:39 | Rossco: chotto a minute...
21:40 | (New member) Luginov: its different :_sprdo:
21:41 | (New member) Mister Eko: SIRI NOOOOOO
21:41 | RobDeLaMort: Canny means like... Alert I think?
21:42 | stuffed idiot: she knows
21:43 | Brandcrisp: oh no...
21:44 | (New member) Nasty Yukari: (Sasuga)
21:45 | presence is yabai: canny
21:46 | (New member) Megiddo: canny = smart
21:49 | (New member) BasedBug: CAPITALISM UUOOOOHHHHHHH
21:49 | (New member) CommanderMichael: ⚠ YAB ALERT ⚠
21:52 | (New member) ThatVidyaGuy: CANNY UOOOOOOOOOOOOOH 😭😭😭
21:53 | (New member) XenMaster220: canny...
21:53 | (New member) Tachi: lol
21:54 | (New member) Herbie Cucumber: lmao
21:54 | (New member) Stray Wolf: she meant cunning
21:54 | (New member) Rob G.: kek
21:55 | (New member) Tachi: AHHH
21:58 | (New member) Zhnigo: cute and fanny
21:58 | (New member) CantDood: 🦀
22:00 | Raptor Aurion: canny = smart and funny
22:05 | (New member) Stray Wolf: she meant cunning
22:06 | (New member) Tuffee: lmao
22:10 | RobDeLaMort: YAB
22:12 | (New member) ZVN: LMFAO
22:12 | stuffed idiot: she have canny...
22:14 | presence is yabai: cute and nice cannny
22:14 | (New member) クラガリ葉月: Canny is very very different.
22:15 | Nar: cunning = smart
22:15 | (New member) Idle Bear: wat
22:18 | (New member) The Flesh Is Weak: Uoooooooh
22:19 | darukaru: uooooohhhhhhhhhh
22:19 | (New member) Moeniki: canny
22:24 | (New member) The Pope: Canny =/= cuh-nee
22:25 | Ontack: 草
22:26 | Sheep: yab....
22:28 | Alazur: 🦀🦀
22:31 | stuffed idiot: UOOOOOOOOOOOOOOHHHH
22:31 | (New member) Stray Wolf: cunning = smart 
22:31 | (New member) Transcendental_ColonThree: CAPITALISM UUOOOHHH
22:35 | (New member) BasedBug: Uncanny valley
22:35 | WhiteWish DY: uoooohhhhhh
22:40 | (New member) Mister Eko: she has a very cute and funny brain
22:41 | mayday: JANNIES
22:42 | (New member) Idle Bear: devious
22:45 | (New member) CantDood: I too love to make up words when explaining my fetishes
22:46 | (New member) ThatVidyaGuy: CAPITALISM UOOOOOOOOOOH
22:48 | (New member) Raziel: canny is also a valid word choice
22:49 | (New member) Stray Wolf: what? 
22:52 | (New member) Zhnigo: OI OI
22:57 | Axiis: lmao
23:04 | Mr. Gillespie: UuOOOOOOOH
23:07 | (New member) Andrew: capitalism is it okay????
23:07 | Sheep: kek
23:08 | presence is yabai: nice
23:09 | eeo: Okay?...
23:10 | (New member) CommanderMichael: cunning = 頭がいい
23:12 | Flux: UUUUOOOHHH
23:13 | (New member) Suukotto Funsha: UUOOOHHHH
23:19 | (New member) XenMaster220: smart, cute, and funny....□
23:25 | (New member) The Pope: This game is danjyarus for Bea lol
23:30 | (New member) BasedBug: The game is safe, but you aren't
23:31 | RobDeLaMort: ???????
23:35 | (New member) Transcendental_ColonThree: UUUUOOOOOOHHHH PERO PERO TAN TOY FAIRY TUMMY EROIII FUFUFUFUFU LETSS GOOOOOO~ 😭😭😭😭😭😭 🧚💦
23:38 | (New member) Mister Eko: TANNED FAIRY UUUUUUUUUUUUUOOOOOOOOOOOOOOOOHHHHHHHH
23:44 | RobDeLaMort: Tan fairy uoooh
23:46 | presence is yabai: crab / 10
23:47 | (New member) Randel Shurker: >Mistress
23:48 | (New member) Rob G.: should be ok as long as you take your brain out of gutter
23:49 | bejad007: med onegai!
23:49 | (New member) Randel Shurker: NANI?!
23:52 | (New member) Suukotto Funsha: it isn't eroge but it isn't safe for kumas that peropero cute girls
23:54 | darukaru: hehe~
23:57 | (New member) Theblekedet: ?!
24:10 | (New member) CommanderMichael: >delicious brown spotted
24:22 | stuffed idiot: 0/10 no visible tan lines
24:25 | WhiteWish DY: fairy tummies..
24:25 | (New member) Mister Eko: I can't believe the bear didn't notice the tanned tummy fairy 
24:30 | (New member) 77Yuja_: need tan fairy....
24:49 | (New member) Mister Eko: RESETTOOOO
24:55 | (New member) CantDood: reseto
24:56 | (New member) XenMaster220: uuuuuooooooooohhh tanned fairy with exposed belly erotic!!:_kita::_kita:□😭😭😭:washhands::washhands::washhands:
25:00 | presence is yabai: let's have fun
25:06 | (New member) Megiddo: Alouette, gentille alouetteAlouette, je te plumerai
25:30 | Mizuki Arisu: Tanned tummy is very prpr
25:47 | (New member) The Flesh Is Weak: don't run away to do your reps
25:58 | presence is yabai: ohohohohoho
26:08 | Crown: 全員妊娠 END
26:18 | MrJc: dose she know that when the area is flashing on the town screen it means their is an event there?
26:35 | presence is yabai: daijoubou desuwa?
26:40 | RobDeLaMort: Goodbye money
27:51 | bejad007: grey gaki
28:12 | rockjawz: she isnt giving candy for free to little girls anymore
28:13 | rockjawz: so proud
28:24 | (New member) Mister Eko: desuwa~
28:46 | presence is yabai: chu~~
28:50 | Raptor Aurion: Very good capitalist
28:59 | (New member) Mechanized Doge: えい！
29:44 | (New member) Mew: mama soso
29:45 | (New member) Mister Eko: you are doing well 
29:47 | Woop Woop: Get all the money beatani!
29:58 | presence is yabai: chu chu
30:03 | Crown: loli 売買開拓 when?
30:03 | (New member) Antonio Badilla: cheapstake
30:12 | (New member) Megiddo: big upgrade!
30:35 | stuffed idiot: where is louie getting all this money/
31:00 | pig!?: >next backrupt
31:02 | pig!?: lmao
31:07 | (New member) BRAD AEON 720: bankrupt day lol
31:14 | (New member) BasedBug: Based Louie
31:21 | presence is yabai: drink up
31:38 | eeo: Louie is selling his body to older women...
31:52 | (New member) BRAD AEON 720: oh this game is on 80% sale right now that's super cheap
32:05 | Mr. Gillespie: skip
32:07 | presence is yabai: beatani is too cute
33:11 | stuffed idiot: that loli is trying to crash the candy market
33:12 | presence is yabai: nice
33:54 | eeo: buy now!!!
34:08 | presence is yabai: life is no good even in english
34:18 | (New member) Mister Eko: buy low! sell high!
34:18 | (New member) BasedBug: Invest in Kumacoin before it gets expensive
34:26 | presence is yabai: but we are good
34:32 | Axiis: buy high! sell low!
34:35 | bejad007: she bought? dump it
34:36 | stuffed idiot: eko is right! buy high sell low!
34:41 | Mr. Gillespie: buy high sell low
34:55 | (New member) BasedBug: Louie...
34:58 | (New member) The Flesh Is Weak: [News] Bea is very cute :_sprdo:
35:04 | Cyshio: Louie...
35:04 | presence is yabai: invest in kuma coin
35:08 | (New member) Luginov: foolish louie
35:10 | (New member) Tuffee: louie is cool?
