-46:29 | Aggressive Quack: 2am gang rise up
19:36 | Tanaka - KFP Workers Union: you're strong!
19:39 | Moo: fission is strong when upgraded
20:24 | だる: レリックの引きは良くはないな
20:38 | Tanaka - KFP Workers Union: frozen core is good
20:40 | OverMagnet: WOOOO
20:54 | Lyrical Curry: おはだよ～konbanwa Beatani
21:01 | OverMagnet: 👏👏👏
21:24 | Chloro [クロロ]: ベアしか勝たん!
21:52 | だる: ベアタニ英語で書くとビートアニにしかみえんな
23:00 | Shippo: ｶﾜ(・∀・)ｲｲ!!
23:02 | Aggressive Quack: 🎵🐻‍❄
23:23 | だる: 🐻🎶
23:47 | OutRanged TV: Nice
23:53 | Shippo: 強いクマ
24:20 | ZAH: keep up the good work funny bear
24:23 | fooyouya: たまちゃん嫌い
24:25 | Globalnet626: CUTE BEATANI!
24:28 | ZAH: love the spire!
24:31 | Aggressive Quack: The strongest Bear
24:45 | OutRanged TV: BASED 
24:46 | Ikxi: nice!
24:56 | prim2: eyes is very good
25:20 | ZAH: book time!
25:25 | coba cobra: lol
25:28 | Almundan: take it
25:33 | Almundan: say the words
25:38 | だる: Necronomicon is pogchamp book
25:41 | Fecono: you have 2 curse relics
25:59 | ZAH: tripple good!
27:00 | だる: こっちのほうがきつい
27:07 | クラガリ葉月: 熊手性でしかな。
27:36 | だる: you dead
27:47 | OverMagnet: 逃げろ！
28:10 | だる: 乗るなエース戻れ！
28:23 | Doctor Pavel: このゲームは難しいようです
28:24 | Suukotto Funsha: Go Beatani!
28:31 | Ikxi: have confidence
28:33 | だる: 的確に呪いが邪魔なタイミングできててうける
28:40 | OutRanged TV: You got this
28:43 | Aggressive Quack: You got this
28:45 | Shippo: やったぜ
28:52 | Orange Princess: 申し訳ありませんが、ゲームをしていて遅くなりました
29:22 | james heller: I believe in you!
29:24 | だる: ドロソって言葉知ってるってことは割とカードゲームやってんの
29:35 | Cameron Clarke: this is the worst enemy ever, i hate it
29:35 | Sunspots: まだ終わってない、頑張ってｗ
29:50 | Suukotto Funsha: Go for victory
30:03 | だる: ぽたくに仕込まれちゃったかー
30:11 | クラガリ葉月: 熊送り
30:31 | Aggressive Quack: BELIEVE
31:09 | ayy lmao: hinder 妨害
31:12 | Superslow human: bonus = good effect
31:15 | Tachi: おはだよ！
31:27 | prim2: F
31:36 | だる: artifact is good option lul
31:49 | Doctor Pavel: bonus = 利点
31:49 | OutRanged TV: F
31:49 | Cameron Clarke: rip
31:50 | だる: ez
31:50 | james heller: ベアタニ...
31:52 | Ikxi: nuuuuu
31:53 | fooyouya: big 草
31:55 | Aggressive Quack: F
31:56 | クラガリ葉月: 残念
31:57 | Suukotto Funsha: rip
31:59 | Superslow human: F
32:18 | Transcendental_ColonThree: not like this....
32:18 | Orange Princess: 草
32:20 | Wayne Kerr: RIP
32:24 | coba cobra: positive bear
32:30 | Shippo: 頑張ってくれ
32:35 | Aggressive Quack: based
32:43 | Wayne Kerr: 💪🐻
32:46 | OutRanged TV: The bear is strong and very based
32:48 | james heller: This run will be the one
32:53 | OverMagnet: 😭
33:02 | だる: 💪🐻
33:12 | Almundan: boss relic
33:15 | fooyouya: I learned "big 草". Thank you
33:23 | Tachi: がんばて〜
33:28 | Aggressive Quack: 💪 🐻
34:10 | CPTpurrfect: Good morning chat, good morning bear
34:22 | OutRanged TV: 💪🐻
34:26 | Zhnigo: based, admirable, and worthy of respect
34:28 | OutRanged TV: Morning my dude
34:33 | Powerful Cod: 💪🐻
34:37 | だる: 💪 🐻 僕は強い i'm strong
34:49 | Mechanized Doge: 一応配信ぃいていますコンチワ
34:51 | OverMagnet: 🧑‍🎓
35:20 | fooyouya: 呪いでしたね
35:28 | Sunspots: 今度こそ必ず勝てる💪🐻
35:40 | Transcendental_ColonThree: 💪🐻 CUTE AND FUNNY 💪🐻
35:52 | だる: go
36:19 | Shippo: 今日も強い💪🐻
36:42 | OutRanged TV: 💪🐻 Very based 💪🐻
37:05 | Zhnigo: 💪🐻💪
37:23 | Orange Princess: 💪🐻
37:38 | knowsur: 💪🐻
38:10 | Ikxi: haha
38:10 | だる: 💪🐻👊defensive play is better
38:14 | Ikxi: emoji is fine
38:23 | Shippo: パンパタパンパン🎶
38:23 | Chloro [クロロ]: エモジあってる
38:26 | クラガリ葉月: 絵文字ていい
38:37 | Sunspots: emoticon or emote
38:46 | クラガリ葉月: 英語使う人は絵文字わかる
38:59 | Aggressive Quack: yee ether works
39:19 | Sunspots: そうそう
39:39 | OutRanged TV: 💪🐻 The bear will defeat all opponents 💪🐻
40:00 | fooyouya: muscle
40:11 | Aggressive Quack: This bear will flex out her foes
40:20 | Aggressive Quack: 💪
40:22 | Zhnigo: spire status: slain
40:28 | Doctor Pavel: 強い熊
40:35 | fooyouya: 💪🐻
40:45 | Transcendental_ColonThree: oh no
40:51 | だる: 💪🐻 the best defense is muscle
40:53 | クラガリ葉月: 無礼な敵かな。
41:18 | Shippo: 💪🐻
41:47 | Chloro [クロロ]: it's pronounced like fish-ion
41:48 | Orange Princess: マッスルベア
41:58 | Lyrical Curry: 💪🐻🤜
42:23 | だる: 💪🐻👊
42:27 | knowsur: 💪🐻🤜
43:05 | Lyrical Curry: 💪🐻🛡
43:25 | クラガリ葉月: 幸いなるかな、心の貧しき者
43:29 | だる: 膝に矢を受けてしまってな
44:09 | Lyrical Curry: 🏹🦵
44:37 | Skeleton Doomguy: THIS IS TJE ONE
44:45 | Chloro [クロロ]: ナイス!
44:50 | だる: 一応マナなくてもドローするとデッキの残り枚数調整できる
45:20 | james heller: あなたならできる!
45:38 | だる: 💪🐻💪🐻💪🐻💪🐻💪🐻
45:53 | Suukotto Funsha: I believe in you 💪🐻
46:07 | Peer: 💪🐻🤜
46:21 | Aggressive Quack: 💪 🐻 you got this boss
46:31 | fooyouya: とげ痛い
46:36 | Powerful Cod: 💪🐻
46:57 | Sunspots: cute and strong bear 💪🐻
47:39 | だる: 💪🐻 offense is the best defense
47:42 | Lyrical Curry: 🐢Mode
47:52 | だる: Thorns
48:30 | Sunspots: spikes is probably more accurate but both work
48:48 | Lyrical Curry: 💪🐻🛡
49:16 | Sam W: かわいいクマ 
49:33 | D3bugged: hi beatani
49:43 | クラガリ葉月: 💪🐻
49:44 | Lyrical Curry: 👏👏👏
49:46 | Patchpon: nice
49:47 | Suukotto Funsha: Victory
49:48 | だる: 💪🐻ez
49:55 | Chloro [クロロ]: ナイス!
49:55 | kevzor: 👏👏👏👏👏
49:58 | Tet: パチパチ
50:00 | Suukotto Funsha: 👏👏👏
50:00 | Superslow human: nice!
50:00 | james heller: スーパーベア!
50:14 | Transcendental_ColonThree: 💪💪💪💪💪💪💪
50:14 | Aggressive Quack: The cutest and STRONGEST bear 💪 🐻
50:45 | Transcendental_ColonThree: 🌈
50:51 | だる: seek is better
51:18 | Suukotto Funsha: Cute and funny AND strongest bear
51:31 | だる: 👁 
51:36 | Orange Princess: アイアンクラッド 難しい
51:39 | james olds: crazy run now
52:21 | Transcendental_ColonThree: Snecko eye runs are funny, good luck 💪🐻
52:31 | だる: 重いカードないからちょっと厳しい
52:50 | クラガリ葉月: 頑張った
53:05 | AngelMilk 42: praise snecko
53:09 | Transcendental_ColonThree: May the RNG gods be with you, Beatani
53:53 | Transcendental_ColonThree: m-masaka...
54:34 | クラガリ葉月: お金。。。
57:10 | Orange Princess: サイレントユーザーです
57:52 | 実験: またスネッコ取ってるこの人
58:31 | OutRanged TV: Nice
58:51 | Theblekedet: おはだよぺあたに
59:35 | (Verified) Nightbot: zzzzzz
1:00:32 | だる: 💪🐻
1:01:29 | Ikxi: kuma strong
1:01:43 | クラガリ葉月: 熊だった。
1:01:46 | Jackku Chan: Uh oh..
1:02:01 | だる: 足し算できず
1:02:13 | Suukotto Funsha: You can do this
1:02:18 | 実験: スキムで回して0コスを拾え
1:02:28 | Lyrical Curry: deth
1:02:35 | Ikxi: nice
1:02:44 | クラガリ葉月: 勝った！次は？
1:02:45 | Lyrical Curry: safe!
1:02:46 | Suukotto Funsha: 👏👏👏
1:02:49 | Aggressive Quack: close call
1:02:53 | Orange Princess: 鎧の人が嫌い
1:03:16 | 実験: 無形
1:03:20 | クラガリ葉月: 無体
1:03:23 | james olds: intangible is vey good
1:03:36 | Transcendental_ColonThree: good relic, the turns stack between fights
1:03:46 | だる: lul
1:04:04 | thelastshinobi56: ohadayo
1:04:18 | Lyrical Curry: muri
1:05:00 | だる: RIP💀
1:05:00 | Orange Princess: グッドラック
1:05:11 | Aggressive Quack: 13 hp? now the boss as a fighting chance 💪 🐻
1:05:25 | Sunspots: 厳しい
1:05:29 | Lyrical Curry: Yakikuma 🔥
1:05:33 | クラガリ葉月: 大丈夫って言っていない。
1:05:39 | Superslow human: oh no
1:05:48 | Ikxi: -.-
1:05:51 | hustler one: iyaaa
1:05:52 | ayy lmao: rip
1:05:55 | Aggressive Quack: F
1:05:55 | Transcendental_ColonThree: gg
1:05:57 | Doctor Pavel: 死んだ熊
1:05:58 | Suukotto Funsha: rip
1:06:00 | Lyrical Curry: Die jobu
1:06:01 | 実験: haha
1:06:04 | Suukotto Funsha: Good run though
1:06:09 | だる: 🐻🔜🥩
1:06:14 | Transcendental_ColonThree: Why only defect?
1:06:15 | fooyouya: 米津じゃん
1:06:16 | james heller: Rip
1:06:18 | james olds: saDGE
1:06:21 | Eika: その目はやばい
1:06:28 | Tianfang's Adventures: f
1:06:29 | Sunspots: いい勝負だった
1:06:34 | Sam W: f
1:06:55 | 高橋君: 上のクローバー邪魔じゃない？
1:06:57 | Cameron Clarke: 5 more runs!
1:07:17 | フェットチーネ: lol
1:07:20 | だる: 実際HPとか見えないところはある
1:07:22 | 高橋君: 階とかポーション見えない
1:07:27 | fooyouya: 確かにポーション見えないっすねｗｗ
1:07:28 | Zhnigo: aww
1:07:31 | Doctor Pavel: クローバーは大丈夫
1:07:31 | Sunspots: 酷い草
1:07:34 | 高橋君: ありがとう
1:07:37 | Orange Princess: ウォッチャー?
1:07:43 | knowsur: based
1:07:46 | だる: 高橋名人
1:07:49 | Lyrical Curry: Clover = 💖
1:07:52 | ayy lmao: based
1:08:00 | 実験: based
1:08:02 | Raziel: 日本語で話しているときの声は本当にかわいいですね。
1:08:10 | だる: ディフェクトにしか興味ないは特殊性癖
1:08:24 | Transcendental_ColonThree: 💰💰💰
1:08:35 | Aggressive Quack: Determind Bear
1:08:41 | Eika: 250はいい
1:08:49 | Moo: defect
1:08:58 | だる: やっぱり僕は王道を往くサイレントですね
1:09:00 | Superslow human: I like the silent
1:09:10 | Lyrical Curry: Silent = 🐢 = ❤
1:09:36 | Transcendental_ColonThree: 🐻‍❄💪
1:09:44 | Aggressive Quack: strong character for strong bear
1:10:07 | Doctor Pavel: はつらつとした熊
1:10:21 | Lyrical Curry: 「サイレント」は、私が好きな防御的な反撃プレイスタイルを持つことができます
1:11:34 | だる: silent is very defensive character
1:11:47 | yuuyuu: ナイス
1:12:40 | Transcendental_ColonThree: Silent is great for large hands with a lot of 0 cards
1:12:59 | Superslow human: Nice!
1:13:08 | Transcendental_ColonThree: Nice 💪🐻‍❄
1:14:21 | Will Dee: 💪🐻
1:14:33 | Superslow human: So many good relics!
1:14:33 | Sam W: こんにちは JP 兄弟 
1:14:37 | だる: 💪🐻
1:14:58 | だる: このショップカードも強いし悩むンゴねえ
1:15:01 | ayy lmao: mummy
1:15:02 | Transcendental_ColonThree: Another ball lighting cool too
1:15:06 | Lyrical Curry: Mommy Fied Hand
1:15:13 | Aggressive Quack: 💪 🐻
1:15:15 | Mew: まみふぁいど
1:15:26 | Transcendental_ColonThree: Truly a mommy find....
1:15:28 | クラガリ葉月: ミイラになった
1:15:33 | ayy lmao: エジプトのゾンビのヤツ
1:15:43 | Ikxi: ww
1:15:45 | james heller: Mommy bear...
1:15:52 | Lyrical Curry: ww
1:15:55 | james olds: mummy like egyptian
1:15:57 | 高橋君: ドラクエでもミイラのことマミーって言うね
1:15:58 | フェットチーネ: ミイラ化
1:16:01 | CannonGerbil: yes
1:16:01 | Lyrical Curry: No not okaasan
1:16:08 | Lyrical Curry: ww
1:16:11 | Suukotto Funsha: Big草
1:16:11 | Sunspots: 確かにそう、意味は違うけど
1:16:12 | だる: beatani's mother is mummy pogchamp
1:16:13 | Wayne Kerr: "mummy" -> bandaged corpse, like in egyptian temple
1:16:16 | Superslow human: ww
1:16:18 | Doctor Pavel: ミイラ
1:16:19 | Doctor Pavel: エジプト人
1:16:20 | Ikxi: mommy and mommy are pronounced slightly different, but it should be ok 😆
1:16:26 | クラガリ葉月: Mummyはミイラ、お母さんはMommy。同じ音かな。。
1:16:28 | Aggressive Quack: Pog
1:16:33 | Lyrical Curry: Dragon Quest Mummy ww
1:16:39 | Aggressive Quack: Mum me
1:16:39 | Transcendental_ColonThree: My mommy is a mummy who became puella mami
1:16:49 | Aggressive Quack: yee you got it
1:17:01 | Ikxi: @Transcendental_ColonThree oh no
1:17:17 | Mew: ですわ
1:17:18 | Transcendental_ColonThree: THIS POWER....!!!! 🐻‍❄💪💪💪💪💪
1:17:34 | だる: 実際ディフェクトの手はかなり強い
1:18:17 | Aggressive Quack: Her powerlevels are off the charts! 🐻 💪
1:18:32 | Mew: これわくまのちからか？
1:18:33 | hohoemikuma: hellokuma
1:18:50 | Superslow human: stronk!
1:19:23 | Sunspots: 熊は強いぞ、なめるな
1:19:24 | Suukotto Funsha: 🐻💪
1:19:28 | yuuyuu: 💪🐻
1:19:38 | Transcendental_ColonThree: Strong deck, but stay focused! 🐻‍❄💪
1:19:52 | Aggressive Quack: 🐻 💪 send her your energy!
1:20:04 | Raziel: オラオラオラオラオラオラオラオラオラ！！！
1:20:07 | Mew: あぶない
1:20:10 | Lyrical Curry: ww
1:20:11 | Alfa Ayed: oh no
1:20:22 | Mew: パニックもど
1:20:26 | Glave-San: Hello Cute and Funny bear
1:20:28 | Lyrical Curry: Overconfidence... is a slow and insidious killer
1:20:33 | クラガリ葉月: 熊力どこ？
1:20:47 | Alfa Ayed: omedetou
1:20:47 | クラガリ葉月: ああ、そこだ。
1:20:49 | だる: 💪🐻
1:20:55 | Superslow human: 👏
1:21:00 | Lyrical Curry: HP = ☠
1:21:03 | faction one: niasu 
1:21:09 | Suukotto Funsha: Go Beatani! You can win
1:21:10 | Transcendental_ColonThree: thunder!
1:21:22 | Doctor Pavel: 勝利 !
1:21:24 | Transcendental_ColonThree: Strong Beatani!
1:21:24 | Aggressive Quack: 💪 🐻 low health hero
1:21:24 | Sunspots: ぎりぎりだった。ナイス！
1:21:38 | Aggressive Quack: LETS GOOOOOOOO
1:22:38 | Transcendental_ColonThree: YOOOOOOOOO
1:22:47 | Superslow human: amazing!
1:22:59 | Suukotto Funsha: Kuma Power
1:22:59 | Lyrical Curry: ww
1:23:02 | Lyrical Curry: Happy Bear
1:23:38 | Shippo: さすが！
1:23:46 | Kirila Kristi: いいよもっとがんばって
1:23:53 | Aggressive Quack: Cute and Strong Bear
1:24:03 | yuuyuu: いいね
1:27:15 | Mew: :buffering:
1:27:25 | クラガリ葉月: :buffering:
1:27:28 | Peer: :buffering:
1:27:39 | Kaiser Kebab: :buffering:
1:27:39 | Tet: :buffering:
1:27:59 | Doctor Pavel: :buffering:
1:28:06 | Mew: youtubeくん死なないで
1:28:11 | Aggressive Quack: yea stream was slow for a bit
1:28:36 | Aggressive Quack: Youtube is too scared of your power
1:28:52 | james heller: 今ではすっかり良くなりました。
1:28:52 | Aggressive Quack: stream looks good now
1:28:59 | inconspicuous man: shape up youtube-kun smdh
1:29:00 | Ikxi: a bit of lag still, image freezes for a bit
1:29:18 | yuuyuu: え
1:30:09 | クラガリ葉月: 戻った。
1:30:16 | yuuyuu: いいよ
1:30:54 | Mew: 強いお
1:31:38 | クラガリ葉月: やばくない。。
1:31:50 | だる: really low hp
1:32:21 | Mew: それはハードなルートだった......
1:32:24 | だる: gg
1:32:40 | Doctor Pavel: クマは死んでいる
1:32:43 | Transcendental_ColonThree: ;~;
1:32:44 | Suukotto Funsha: You can do it
1:32:46 | james heller: またか...。
1:32:47 | だる: 😿
1:32:55 | Aggressive Quack: F
1:32:55 | だる: omae ha mou shindeiru
1:32:58 | Superslow human: F
1:32:59 | inconspicuous man: This is the future you chose
1:33:04 | Chloro [クロロ]: Bad luck, it happens
1:33:06 | Suukotto Funsha: rip
1:33:06 | クラガリ葉月: まあー。
1:33:07 | Jackku Chan: Defeat...
1:33:17 | Lyrical Curry: ww
1:33:25 | Momiji Channel: ドンマイ！
1:33:29 | Lyrical Curry: Overconfidence is a slow and insidious killer
1:33:38 | yuuyuu: 森
1:33:44 | fooyouya: むずかしいからしかたないね
1:33:45 | inconspicuous man: You could have prevented this
1:33:46 | 77Yuja_: 次回が勝ています
1:33:54 | だる: アセンション20　いけそうですか😁
1:34:35 | Aggressive Quack: Its ok, your still the strongest 💪 🐻
1:34:50 | yuuyuu: www
1:35:00 | だる: 💪🐻💪🐻💪🐻💪🐻💪🐻💪🐻
1:35:00 | Chloro [クロロ]: www
1:35:01 | yuuyuu: すげー
1:35:04 | Sunspots: 難しそうアセ20
1:35:07 | Momiji Channel: www
1:35:10 | フェットチーネ: 森
1:35:11 | hohoemikuma: yay
1:35:13 | クラガリ葉月: ああ
1:35:14 | Sunspots: 草
1:35:15 | Mew: そだ
1:35:21 | yuuyuu: 草
1:35:22 | inconspicuous man: www
1:35:23 | クラガリ葉月: べあたに！？
1:35:24 | thelastshinobi56: XP clouds...
1:35:24 | knowsur: 森
1:35:24 | 77Yuja_: big 森
1:35:24 | Shippo: 森
1:35:39 | Aggressive Quack: Oh? 
1:35:40 | james heller: 草
1:35:45 | Mew: 動物交差点 
1:35:47 | Suukotto Funsha: Big 草
1:35:48 | Powerful Cod: 森
1:35:58 | yuuyuu: animal crossing いいね
1:36:02 | Aggressive Quack:  草
1:36:08 | Kirila Kristi: DEKAI
1:36:13 | Aggressive Quack: Biggest Kuma
1:36:17 | Chloro [クロロ]: Beeg Beatani
1:36:17 | クラガリ葉月: オー大きい
1:36:19 | だる: big face
1:36:20 | james heller: Big bear...
1:36:23 | Sunspots: かわいい
1:36:24 | Globalnet626: キュートなくまちゃんこんにちは
1:36:25 | FATNEET: BIG
1:36:25 | yuuyuu: でか　くま
1:36:26 | Shippo: big クマ
1:36:28 | kevzor: big kuma
1:36:28 | Ikxi: bug kuma
1:36:31 | thelastshinobi56: smug
1:36:33 | Doctor Pavel: 大きな熊
1:36:33 | Suukotto Funsha: Big kuma is cute
1:36:35 | Mew: レアルサイズくま
1:36:37 | Aggressive Quack: This is true power
1:36:37 | inconspicuous man: cute and funny and big
1:36:41 | Zhnigo: very sizeable bear
1:36:43 | O5060403: big 森
1:36:43 | Raziel: 😄
1:36:50 | Superslow human: Giant Kuma!
1:36:54 | Tianfang's Adventures: Big!
1:36:55 | Nasty Yukari: I feel intimidated
1:36:57 | Cameron Clarke: HELLO
1:36:59 | Jackku Chan: Big!
1:37:02 | yuuyuu: 🐻
1:37:04 | 77Yuja_: big....
1:37:04 | thelastshinobi56: do your ears move?
1:37:05 | Kaiser Kebab: Big kuma
1:37:06 | Aggressive Quack: Im scared
1:37:08 | Kirila Kristi: Attack on Kumagai
1:37:09 | fooyouya: big kuma
1:37:10 | Doctor Pavel: big熊 big草
1:37:14 | hustler one: bigKuma
1:37:15 | Jackku Chan: Kuma ate too much...!
1:37:20 | MBmasher: big熊
1:37:21 | Powerful Cod: big and funny bear
1:37:27 | Aggressive Quack: gamecube time
1:37:28 | inconspicuous man: massive kuma
1:37:32 | Doctor Pavel: kowai
1:37:38 | Ikxi: gamecube? nice xD
1:37:39 | D3bugged: hi big kuma
1:37:39 | Shippo: ベアタニはチットを食べたいか？
1:37:50 | クラガリ葉月: 音ある！
1:37:55 | JayTheGreatest: 🐻👌
1:38:03 | yuuyuu: 草
1:38:19 | Mew: びぐくま終わり~
1:38:24 | gyroninja:  懐かし 
1:38:25 | Aggressive Quack: 🐻 💪
1:38:28 | Globalnet626: どうぶつの森？
1:38:35 | inconspicuous man: I miss when kuma was big
1:38:36 | yuuyuu: かわいい
1:38:49 | Globalnet626: ベースとエミュレーターのピル
1:38:51 | MBmasher: we love kuma no matter big or small
1:38:58 | Aggressive Quack: old school time
1:39:05 | fooyouya: 気を取り直して
1:39:06 | Powerful Cod: ベース　BGM
1:39:09 | Jackku Chan: Animal crossing is 20 years old..
1:39:30 | MBmasher: beatani do you have switch?
1:39:34 | Raziel: same
1:39:43 | Mew: "when I was a kid" sorry for correction
1:39:46 | yuuyuu: ゲームが好き？
1:39:59 | Chloro [クロロ]: ちょっと小さいかも
1:40:14 | fooyouya: もうちょっとだけ上げていいかな
1:40:15 | yuuyuu: 音がいい
1:40:20 | Jackku Chan: Music is nice and relaxing
1:40:31 | Ikxi: you like sports games?
1:40:32 | Sunspots: 全然聞こえません
1:40:43 | Aggressive Quack: Man this takes me back
1:40:45 | クラガリ葉月: 時間旅行
1:40:56 | Yannik Ruhs: cute and funny bear plays cute and funny game
1:41:02 | Doctor Pavel: 上級ゲーマー熊
1:41:09 | Sunspots: 丁度いい
1:42:02 | Aggressive Quack: Nice
1:42:13 | Lyrical Curry: Nice jams
1:42:15 | Shippo: かわいい
1:42:17 | Chloro [クロロ]: かわいい!
1:42:22 | yuuyuu: かわいい
1:42:25 | Tianfang's Adventures: Very cute
1:42:35 | Aggressive Quack: cute! and funny!
1:42:36 | Moo: soul
1:42:45 | Lyrical Curry: 🍓♪ (* 'ω' و) و "♪ 🍓
1:42:48 | Momiji Channel: 🍓
1:42:52 | クラガリ葉月: 味のある
1:42:57 | james heller: Clown bear 草
1:42:59 | Zhnigo: soul
1:43:01 | Mew: 威圧的な部屋 
1:43:06 | Atomized Atomizer: めちゃ かわいい
1:43:12 | Aggressive Quack: 🍓 🐻 💪
1:43:14 | ayy lmao: 懐かしい
1:43:23 | Raziel: 😆
