-1:06:17 | KappaMikeyTSF: cute and funny bear hit 1k subs! let's go!!!
4:20 | Hertan: I love the serious face when the model freezes!
4:34 | Meneltir: おはだよ！
4:34 | Apu 2: the music is a bit too loud
4:36 | yuuyuu: sbooky
4:41 | Apu 2: the music is a bit too loud
4:54 | Transcendental_ColonThree: 🍀 hello
4:54 | FerretParade: uuuoooooh
5:01 | Apu 2: better
5:10 | Apu 2: yes
5:11 | Apu 2: good
5:11 | yuuyuu: おk!
5:11 | NatrixNatrix: I made it on time, hello!
5:12 | LoneRanger25: good 👍
5:18 | Heretic: Yeah it's good now
5:27 | 1340 Smile: Hello Bear! 
5:27 | GrassHopperMouse: instead of "I made music smaller" you should say "I lowered the volume" or "I made the volume lower"
5:28 | SkysNotTheLimit: Playing as another dad?
5:39 | Jubes: Good luck Beatani
5:50 | Takyomi: S t r o n g
6:06 | Apu 2: strong bear
6:09 | Apu 2: is a cute bear
6:18 | Transcendental_ColonThree: S T R O N G
6:30 | StrangerSeen: Ah yes 4 am bear stream.
7:08 | 1340 Smile: 7am for me! 
7:19 | yuuyuu: interesting
7:26 | Hanabi: good morning (it's 6 AM here)
7:34 | Lerelee: 3pm where I live
7:35 | Theblekedet: oh it's top-down perspective
7:38 | SkysNotTheLimit: This stream time is better for the EU bros
7:40 | hustler one: 7AM
7:41 | yuuyuu: exploring with Beatan
7:47 | Orange Princess: 8 pm here 
7:49 | LoneRanger25: based cst bro
7:51 | Transcendental_ColonThree: 1pm for EU bros
7:59 | Theblekedet: 7pm here, comfy time for me
8:06 | SkysNotTheLimit: EST reporting in
8:07 | nicenature: おはだよー
8:08 | hustler one: Fuwa Fuwa Time
8:11 | Sunspots: ふわふわ
8:12 | Apu 2: beatani stalking through the wilderness
8:13 | Meneltir: ふわふわ時間
8:14 | Chloro [クロロ]: fluffy rug
8:16 | yuuyuu: fuwa fuwa~
8:19 | 1340 Smile: What is this game?
8:43 | Tunguska: now I'm thinking of renai circulation
8:45 | Theblekedet: oh no blood
9:00 | Zarafiel ザラフィール Ch.: Hello Chisato-chan!
9:11 | Otael: Good morning, Beatani! How are you?
9:35 | Stray Wolf: JWU
9:36 | GrassHopperMouse: It basically said the cursor changes color depending on if something is close enough or too far away.
9:40 | Mew: Monika
9:40 | SkysNotTheLimit: I wish she was lived when she reached 1000 subs, that would have been fun to watch
9:42 | ThePlatinumCan: Just Monika
9:43 | Börk Börk: Just monika
9:45 | フェットチーネ: DDLC?
9:46 | mikkis: hey hey monika
9:47 | Chloro [クロロ]: Monika!?
9:49 | Stray Wolf: Just Monika
9:55 | Kyle: 草
9:58 | 実験: Just Monika.
9:58 | Arthur C.: Just Monika
9:59 | GrassHopperMouse: Just Beatani!
10:01 | Eika: nice
10:01 | yuuyuu: my friends name is Monika www
10:01 | Marploah: just monika
10:02 | Tachi: ww
10:03 | Theblekedet: ww
10:05 | Sunspots: yes, red cursor means you are too far to interact
10:09 | Mew: I did not expect that refernece
10:10 | ThePlatinumCan: ww
10:18 | SuRge - Diceroll D.: That's the real horror.
10:24 | Marploah: just beatani
10:37 | Apu 2: strong bear
10:41 | Chloro [クロロ]: Beatani is brave bear!
10:50 | Kaiser Kebab: Booze!
10:50 | 1340 Smile: Strong bear
10:53 | Transcendental_ColonThree: Monika was popular radio model from PRL times in Poland, game is from Polish developers, JUST MONIKA
10:55 | SkysNotTheLimit: lets goooooooooo
10:57 | Orange Princess: u drink alcohol?
10:58 | Theblekedet: sweet!
10:58 | Kuyashii: Drunk bear
11:00 | yuuyuu: alcoholic bear 草
11:01 | GrassHopperMouse: do you know what moonshine is?
11:02 | Arthur C.: 🐻🍺
11:02 | Sunspots: 医者みたい
11:04 | Otael: Drunk bear??
11:05 | Apu 2: based colon
11:09 | Stray Wolf: we like bear 
11:09 | Idle Bear: Strong zero
11:10 | FerretParade: beer is the best
11:11 | Apu 2: alcoholic daughter
11:13 | Apu 2: bad
11:13 | yuuyuu: 🐻🍺
11:14 | LoneRanger25: drunk and funny
11:14 | Shuko: Alcohol is great
11:14 | 1340 Smile: Alcohol stream when???
11:18 | Hertan: 弱虫　= weakling
11:19 | Apu 2: beer is cringe
11:23 | D3bugged: hi Beatani
11:32 | nicenature: かんぱい
11:43 | Transcendental_ColonThree: Vodka stream ikz.
11:45 | Arthur C.: So you're a Beer Bear, huh?
11:52 | L0rdJ0n3Z: Germany here, did someone say beer?
11:55 | Chloro [クロロ]: Nice find!
12:05 | yuuyuu: こわっ
12:05 | Sunspots: shift + click lets you take all items at once 
12:18 | Sunspots: thats not english hahahaha
12:23 | Vic Kyorlo: that book is in polish, anyhow
12:26 | Transcendental_ColonThree: Wiedza lekarska = Doctor knowledge
12:27 | yuuyuu: more 🍺
12:28 | Stray Wolf: me too 
12:30 | Transcendental_ColonThree: roughly saying
12:47 | Otael: Beertani
12:51 | Apu 2: beatani stalking through polish villages 
12:53 | Apu 2: quite based
12:55 | Zarafiel ザラフィール Ch.: This bear is dynamite cute
13:16 | GrassHopperMouse: moonshine is a high alcohol drink that is home made.
13:22 | GrassHopperMouse: So this guy made his own alcohol to drink
14:00 | Transcendental_ColonThree: "I hope nothing happens" - Famous cute bear last words
14:41 | Apu 2: samogon gang 
14:58 | SkysNotTheLimit: Is this guy another dad?
14:58 | yuuyuu: www
15:01 | Transcendental_ColonThree: bimberek gang ikz
15:03 | Kuyashii: nice
15:08 | Chloro [クロロ]: lol
15:10 | GrassHopperMouse: moonshine was popular in America when alcohol was against the law.
15:17 | ThePlatinumCan: Bimberek ftw
15:26 | (Verified, Moderator) Nightbot: zzzzzz
15:27 | Theblekedet: sure Beatani
15:29 | yuuyuu: kowakunai!
15:31 | Apu 2: strong bear
15:32 | Jinhao: beatani is strong!
15:35 | zozozofun: You speak English well :)
15:47 | Arthur C.: Bear strong!
15:48 | Transcendental_ColonThree: Strong! Not afraid!
15:51 | Mew: yet
15:53 | Apu 2: bimbertani
16:26 | Theblekedet: for the moonshine
16:40 | FerretParade: Is homebrewing even a thing in Japan?
16:44 | SkysNotTheLimit: You make alcohol from potatoes
16:46 | yuuyuu: 🥔
16:57 | SuRge - Diceroll D.: Key for the door is in the wardrobe. Bottom room.
16:58 | Apu 2: you can make vodka out of potats
17:34 | GrassHopperMouse: don't backseat
17:39 | Kaiser Kebab: She has the key lol, she doesnt know what do to with it
17:47 | SuRge - Diceroll D.: Oh. Lmao
17:52 | yuuyuu: brave bear
17:54 | Apu 2: lmao
17:55 | Mew: In Poland Imoshochu 40% 
18:01 | Kazoo: having made moonshine, the taste can be rather harsh
18:03 | LoneRanger25: www
18:05 | Apu 2: brave bear doing cute and funny things
19:02 | Mew: It's in your inventory
19:07 | Mew: this is just a shortcut bar
19:18 | Apu 2: you have a key
19:22 | Hacooray: こんばんわ
19:23 | Apu 2: to the dodor
19:24 | yuuyuu: confused bear
19:25 | Apu 2: door
19:39 | Transcendental_ColonThree: I want make an offering to strong bear... Spirytus 96%....
20:03 | Peer: зенит, lol
20:25 | Transcendental_ColonThree: It's a ZENIT, very popular camera model from PRL too. Literally unbreakable.
20:43 | Apu 2: PRL momento 
20:48 | Kyle: Maybe you can unlock the front door from the action menu?
21:21 | Mew: Showa
21:43 | Heretic: basically when you are using an object (like opening a door) you can do more things by holding click if it the cursor has a plus next to it
21:46 | Kyle: You need to hold down the mouse button
21:57 | GrassHopperMouse: read the above text
22:00 | Apu 2: confused bear
22:13 | Apu 2: text above 
22:18 | Vitz: Hello Beatani.
22:23 | yuuyuu: naisu
22:23 | Kyle: :yougotthis:
22:26 | hustler one: Q?
22:27 | Transcendental_ColonThree: hold click
22:29 | Apu 2: nice
22:33 | LoneRanger25: やった！
22:34 | Apu 2: good job bear
22:43 | Transcendental_ColonThree: keep pressed
22:45 | Transcendental_ColonThree: yes!
22:48 | Transcendental_ColonThree: Smart bear!
22:50 | SkysNotTheLimit: Here we go boys
22:50 | LoneRanger25: Freedom!
22:55 | Theblekedet: Nice!
22:55 | LoneRanger25: The bear is loose!
22:56 | Arthur C.: 👏👏
23:02 | Sunspots: scary
23:03 | yuuyuu: bear is outside 草
23:04 | Apu 2: nice
23:09 | (Verified, Moderator) Nightbot: @Apu 2 -> Much better. [stop spamming caps] [warning]
23:11 | SkysNotTheLimit: Caterpillars watch out
23:11 | SuRge - Diceroll D.: Freedom.
23:13 | Zarafiel ザラフィール Ch.: Kuma goes whoa
23:18 | Orange Princess: bear in woods
23:21 | Mastigos Wilkins: hello kuma-chan
23:25 | yuuyuu: poor doggo
23:31 | Shuko: 😭
23:34 | Transcendental_ColonThree: P O G R E S S
23:40 | ThePlatinumCan: Noooo
23:40 | Transcendental_ColonThree: poor doggo
23:41 | Apu 2: poor doggie
23:42 | Kaiser Kebab: End his suffering
23:44 | Salamander: Let's gooo end his suffering
23:50 | Apu 2: its not cute lmao
23:57 | Kuyashii: rip dog
24:05 | Apu 2: the poor thing is dying
24:06 | Mew: ahahah
24:09 | Chloro [クロロ]: Doggo.. :(
24:10 | LoneRanger25: F
24:12 | Transcendental_ColonThree: 5 fps, soul stream
24:24 | gyroninja: lol
24:27 | Apu 2: based bear feeding alcohol to the dying dog
24:28 | LoneRanger25: no alcohol for dog lol
24:29 | Mew: lol
24:35 | フェットチーネ: lmao
24:44 | Orange Princess: alcoholic bear and dog
24:44 | GrassHopperMouse: probably not, you probably need a weapon
24:48 | ThePlatinumCan: lol
24:48 | Mew: Hold mouse button probably an end suffering option
25:14 | Mew: A real Russian Bear
25:15 | hustler one: 1fps
25:17 | StrangerSeen: Do you want the answer?
25:18 | Sunspots: probably need a weapon
25:25 | GrassHopperMouse: Does the game look fine for you? the stream is lagging for us.
25:34 | EryQ53: He's in this kind of pain that alcohol won't cure
25:38 | Mew: Poor bears laptop is melting 
25:55 | LoneRanger25: D:
25:56 | yuuyuu: 草
26:10 | Apu 2: kill him
26:21 | Theblekedet: is the stream okay? it's lagging over here
26:30 | yuuyuu: it's ok for me
26:32 | GrassHopperMouse: It's a little better now, but your face is frozen
26:35 | ThePlatinumCan: It works better now
26:36 | Null: Poor cute and funny bear trapped in a nightmare forest
26:37 | Chloro [クロロ]: it's fine now
26:44 | Outwith: Seems ok-ish to me
26:46 | Ray0: ganbatte Beatani, this game is scary. have a good stream everyone! o7
27:17 | SkysNotTheLimit: Take it easy man
27:19 | 弥華散尽: こんばんはー
27:26 | 弥華散尽: ダークウッドじゃんw
27:35 | 弥華散尽: 懐かしいw
27:36 | yuuyuu: ganbare
27:43 | Hanabi: if it keeps being an issue then you could try lowering the graphical settings?
27:43 | 弥華散尽: 意外と怖いよなこれw
27:51 | Kaiser Kebab: Polish!
27:52 | SkysNotTheLimit: Polandbros where you at?
27:53 | ThePlatinumCan: Wow, Trybuna Ludu
27:55 | Apu 2: lol
28:03 | (Verified, Moderator) Nightbot: @Transcendental_ColonThree -> Jackpot! [stop spamming caps] [warning]
28:09 | Vitz: Oh no
28:15 | Transcendental_ColonThree: oh no . w.
28:33 | mikkis: use board as weapon?
28:39 | Mew: Click and hold on the dog
28:42 | Mew: maybe then
28:50 | Hertan: Maybe add chat rules to the description?
29:00 | LoneRanger25: board seems like it should work
29:00 | yuuyuu: Beatani is figuring it out
29:01 | Kaiser Kebab: You can always kill it later, you should explore the area first
29:21 | LoneRanger25: Guess not RIP
29:59 | EryQ53: Look for a weapon around the house
30:03 | Mew: eating wood sasuga polish people
30:19 | LoneRanger25: I think the game wants you to use something different that you have to find
30:20 | GrassHopperMouse: maybe the board is not the solution
30:25 | (Verified, Moderator) Nightbot: zzzzzz
30:58 | yuuyuu: exploring forest with Beatani
30:58 | GrassHopperMouse: maybe go over the fence out front?
31:01 | StrangerSeen: Weapon is much more obvious than board.
31:11 | GrassHopperMouse: you can climb over the fence with [space]
31:13 | Apu 2: strong bear, king of the forest
32:12 | GrassHopperMouse: the fence in front of the dog
32:16 | LoneRanger25: We're enjoying it too. The dog, not so much
32:25 | Apu 2: on the right
32:36 | Chloro [クロロ]: Nice!
32:51 | Theblekedet: Here we go!
32:54 | LoneRanger25: Now you can axe the dog a question
33:18 | Mew: Hotbar is the thing to the left
33:23 | Mew: where you ahve 1 2 3
33:26 | GrassHopperMouse: I think you need to select the axe in your hotbar, (the numbers to the side), so you probably need to drag the axe into one of those spaces.
33:33 | Mew: So place the axe there
34:24 | GrassHopperMouse: your axe is in your inventory, try opening your inventory and drag the axe onto the hotbar
34:37 | Mew: No, Hotbar is a shortcut for your inventory
34:42 | GrassHopperMouse: Do you remember how to open inventory?
34:45 | Mew: You can have many things in the inventory
34:58 | Sunspots: TAB button if i recall correctly
35:10 | Sunspots: TAB to open inventory i think
35:15 | GrassHopperMouse: [TAB]
35:17 | Mew: TAB
35:39 | Apu 2: strong bear
36:03 | Sunspots: strong bear, weak doggo
36:06 | Kaiser Kebab: 3fps bear
36:22 | Apu 2: rip dg
36:24 | Kyle: The video is a little slow again. Do you have other programs running on your computer?
36:24 | Chloro [クロロ]: goodbye doggo..
36:32 | SkysNotTheLimit: RIP dog
36:32 | Peer: F
36:35 | GrassHopperMouse: oof
36:35 | Kuyashii: rip doggo
36:35 | LoneRanger25: RIP Koro...
36:36 | Kaiser Kebab: RIO
36:37 | ThePlatinumCan: F
36:37 | Salamander: Oh no 😭 
36:39 | Hertan: F
36:39 | Apu 2: he shall be forever remembered 
36:39 | Kyle: Rest in peace
36:40 | Arthur C.: R.I.P
36:40 | LoneRanger25: F
36:43 | ThePlatinumCan: ;__;
36:47 | Marc Bradford: F
36:49 | Mew: :thanksdoc:
36:49 | Transcendental_ColonThree: F
36:51 | GrassHopperMouse: What are your PC specs?
36:54 | Takeshi: RIP dog
36:55 | Mew: Eat dog?
36:58 | Transcendental_ColonThree: dog is broke, heart is too
37:00 | Theblekedet: RIP
37:07 | Sunspots: もう一回？！草
37:18 | Hertan: KSZK internet
37:22 | Mew: Are you on laptop? Is it hot?
37:25 | ThePlatinumCan: KSZK
37:27 | Apu 2: wel lthat explains everything
37:33 | GrassHopperMouse: I think it's the PC rather than internet, because we have no lag when you're inside the house
37:34 | LoneRanger25: Comcast JP lol
37:36 | Apu 2: internet in the buckets 
37:37 | yuuyuu: don't worry Beatani
37:40 | Chloro [クロロ]: it's probably internet problem, don't mind too much though
37:41 | SkysNotTheLimit: Keep playing!
37:44 | Kyle: We can hear your voice clearly, it's just the video that is breaking up
37:45 | Sunspots: its the internet lads not the computer
37:45 | Mew: Bad internet 😭
37:53 | Peer: I think its not your internet we can hear you perfectly
38:02 | Orange Princess: internet not a strong bear
38:05 | GrassHopperMouse: If it was internet problem we wouldn't hear her well, but we do
38:13 | Outwith: Depending on what software you are using to stream it might be worth turning down the bitrate?
38:20 | Transcendental_ColonThree: yes
38:23 | Arthur C.:  No one is safe from bad internet:buffering:
38:28 | Theblekedet: and your audio is clear
38:36 | MonquSurtonpif: Too much cute and funny downloads.
38:49 | Peer: no buffering on my bear isp btw
38:58 | Transcendental_ColonThree: If it's laptop with dedicated small GPU it might be it fault
39:00 | LoneRanger25: You can try playing the game in windowed mode instead of fullscreen
39:02 | StrangerSeen: What is bears bitrate?
39:02 | Apu 2: internet is weak, bear is strong
39:06 | LoneRanger25: That could help
39:09 | SkysNotTheLimit: Internet can't handle this game
39:09 | Transcendental_ColonThree: anyway I don't mind 1-3FPS soul stream ww
39:16 | Hanabi: you could try lowering the graphical settings of the game or the bitrate on the stream to improve framerate
39:46 | KappaMikeyTSF: good evening, Beatani, congrats on more than 1000 subscribers!
39:46 | Stray Wolf: 5 fps
39:52 | SkysNotTheLimit: It's better now, weird
39:59 | nicenature: グラフィック設定下げる
40:18 | GrassHopperMouse: ho, we stopped lagging now but your face is frozen. maybe having the game with live2d is too much for your PC?
40:21 | O5060403: 木でできたインターネット。草。
40:27 | Transcendental_ColonThree: Her computer wants her to stay indoors forever, aspiring NEET confirmed
40:38 | yuuyuu: 🐻 ganbare
40:42 | SkysNotTheLimit: Frozen bear?
41:20 | Mew: プレイしていてラグがあるのかな？
41:22 | Hanabi: gan-bear-e
41:23 | EryQ53: Video
41:24 | Kaiser Kebab: Video
41:24 | StrangerSeen: Video
41:26 | GrassHopperMouse: under video
41:26 | Transcendental_ColonThree: video
41:28 | Kuyashii: Video
41:35 | LoneRanger25: video
41:40 | Mew: Yes
41:50 | Transcendental_ColonThree: might be better
41:52 | Transcendental_ColonThree: we'll see
41:53 | GrassHopperMouse: BETTER!
41:55 | Apu 2: much better
41:59 | Arthur C.: Better now :yougotthis:
41:59 | yuuyuu: naruhodo
42:00 | Mew: If you don't it's the internet
42:03 | SkysNotTheLimit: A lot better
42:03 | Apu 2: its much better
42:05 | O5060403: Good now!
42:06 | Apu 2: good job bear
42:08 | FelixBrehh: 大丈夫です！
42:09 | Shuko: Much better so far
42:10 | Chloro [クロロ]: Thank you it's seems better now👍
42:11 | LoneRanger25: Problem solved
42:16 | フェットチーネ: nice very smooth
42:19 | LoneRanger25: Bear is strong in mind too
42:21 | Orange Princess: 宜しい 
42:25 | Sunspots: its perfect now
42:35 | NatrixNatrix: stream is very good now!
42:36 | yuuyuu: naisu
42:41 | Transcendental_ColonThree: Good job!
42:42 | Transcendental_ColonThree: . w.
42:54 | KappaMikeyTSF: maximum cute and funny time
42:56 | yuuyuu: spooky forest
42:57 | Börk Börk: cut it the axe
43:04 | RADEON 360: is her avatar supposed to be static?
43:05 | Skrul: Bear strong
43:08 | Mew: Strong bear
43:11 | O5060403: よくやった！
43:11 | SkysNotTheLimit: Here we go boys
43:12 | Transcendental_ColonThree: oraaaa!
43:19 | Sunspots: mauled the tree 
43:21 | yuuyuu: 草
43:24 | Hertan: Yab
43:24 | Transcendental_ColonThree: lol
43:26 | SkysNotTheLimit: Bear trap!
43:27 | ThePlatinumCan: >.<
43:27 | Ekigo: kusa
43:27 | LoneRanger25: www
43:28 | Kyle: Yabai
43:30 | Arthur C.: YAB
43:31 | Salamander: oh no! 
43:32 | SkysNotTheLimit: Watch out!
43:34 | Arcterion: Oh no, a Beatani trap.
43:34 | KappaMikeyTSF: yabeeeee
43:34 | O5060403: Bear trap, yabai
43:36 | Eika: www
43:36 | LoneRanger25: It's not set, it's safe
43:36 | Börk Börk: bear trap means it's a trap you can use
43:37 | Apu 2: bear trap caught in the bear trap
43:38 | Kyle: Who would put such a thing there?
43:38 | Apu 2: lol
43:38 | Transcendental_ColonThree: top kusa
43:39 | Kuyashii: oh no
43:40 | Мкqт: Beatani trap
43:41 | Theblekedet: oh no!
43:41 | Suukotto Funsha: Oh no
43:42 | Sunspots: やばい
43:42 | LoneRanger25: 草
43:42 | Stray Wolf: www
43:42 | Ikxi: hallo, I somehow found your channel
43:43 | yuuyuu: yab
43:43 | Orange Princess: beatani trap
43:45 | VampirkoO: Yabe 草
43:47 | D3bugged: oh n
43:49 | SkysNotTheLimit: Hahahaha
43:53 | Vitz: big やばい
43:54 | Hertan: Beatani too smart for the trap
43:56 | Chloro [クロロ]: Yabai
44:08 | SkysNotTheLimit: Be careful!
44:21 | Null: Worst enemy spotted
44:28 | Arthur C.: Smart bear!
44:30 | Sprongle: くま強い
44:32 | Sunspots: disarmed it, this bear is too smart
44:39 | SkysNotTheLimit: Bear is smarter than trap
44:41 | Theblekedet: the archnemesis
44:44 | O5060403: Beatani is strong and smart!
44:50 | russian bias: uoooooooooooooooooh
44:53 | Kyle: 草
44:56 | Theblekedet: This bear is unstoppable!
45:03 | russian bias: 😭
45:06 | yuuyuu: strong bear
45:07 | Suukotto Funsha: Beatani beats bear trap
45:17 | (Verified, Moderator) Nightbot: zzzzzz
46:02 | shadowmaverick15: Hello Bear
46:14 | O5060403: 怖い雰囲気のあるゲームです。
46:38 | GrassHopperMouse: devoured = eaten
46:55 | SkysNotTheLimit: Scared of scarecrows?
47:08 | Transcendental_ColonThree: . w.
47:53 | O5060403: Scary scarecrows scaring Beatani
47:54 | Börk Börk: Did you know that a group of crows is called a "murder"?
48:00 | yuuyuu: 🐻
48:07 | Ikxi: this is scary
48:16 | Transcendental_ColonThree: Everyone cute and funny gangsta till the monsters shows up . w.
48:20 | SkysNotTheLimit: Fearless face
48:22 | Apu 2: cute and funny
48:22 | Orange Princess: カラスが怖い？
48:25 | yuuyuu: 草
48:33 | hustler one: the look of determination
48:38 | Mew: A face unaffected by Fear
48:54 | Chloro [クロロ]: ほんとに..?
48:55 | yuuyuu: brave bear
49:10 | dblandgore: Beware the night
49:14 | Transcendental_ColonThree: www
49:17 | Apu 2: we passed 1k frens
49:20 | Apu 2: good job bear
49:25 | Mew: WoodCraft
49:29 | mikkis: let there be light
51:06 | Kaiser Kebab: ちさとは強いクマです
51:14 | RADEON 360: So, you got yourself 1000 friends.
51:18 | RADEON 360: What's the next step of your master plan?
51:35 | Kyle: An earlier message said there was a tractor to the east. You can craft a red torch with gasoline from it.
51:41 | Qwazola: she go
51:42 | Mew: It's when you pick up new items so you don't have to drag them
51:42 | Chloro [クロロ]: the sounds are pretty scary ngl
52:11 | Orange Princess: カラスに怯えるクマ
52:12 | O5060403: こんなに早く1000人の購読者を獲得できたことに驚いていますか？
52:28 | Transcendental_ColonThree: The audio engineering of this game is on the very high level, probably the strongest point, I played it before.
53:01 | Qwazola: I like how the model doesn't move half the time, very nice, subbed
53:05 | FelixBrehh: おめでとう! Next goal, 2000人！
53:13 | Transcendental_ColonThree: Strong bear 1000subs, 10000subs soon and 100000!
53:21 | Ikxi: you sem fun to watch
53:23 | SkysNotTheLimit: 2000 friends lets goo
53:53 | .sandrio: Both the audio and visual design are excellent. When you see things move outside of your cone of vision it gets very spooky
54:18 | Transcendental_ColonThree: It's worth mentioning the map is and locations are different and random with the every new game. 
54:36 | Apu 2: kill him
54:45 | Börk Börk: is a tree
54:45 | Transcendental_ColonThree: lol
54:46 | Nero: Its a tree
54:46 | Kyle: A tree trunk
54:49 | Chloro [クロロ]: it's a tree
54:51 | GrassHopperMouse: it looks like a tree
54:57 | mikkis: eat the man
55:10 | Transcendental_ColonThree: axe time
55:19 | FelixBrehh: お酒ｗｗｗ
55:20 | Chloro [クロロ]: Give him alcohol, that'll heal him ww
55:21 | L0rdJ0n3Z: got an exam, see you later
55:23 | Transcendental_ColonThree: wwwwww
55:24 | LoneRanger25: www
55:27 | LoneRanger25: Alcohol should help
55:31 | ThePlatinumCan: Alcohol www
55:31 | Gud Meme: ww
55:33 | GrassHopperMouse: I love that your solutions to anyone's suffering is alcohol
55:35 | O5060403: wwww
55:35 | LoneRanger25: 草
55:39 | SkysNotTheLimit:  Best Doctor Bear
55:40 | Transcendental_ColonThree: This.... flawless logic!
55:44 | Qwazola: Moonshine will wake him up
55:44 | Sunspots: wise bear
55:45 | VampirkoO: ww
55:46 | Will Dee: alcohol will make him drunk 😀
55:50 | Gud Meme: the true cure to all ailments
55:55 | Einaer: If alcohol not work there is always the axe
55:55 | Hanabi: alcohol is the solution to everything
55:59 | Nero: Good trade
56:01 | Kuyashii: alcohol is the cure for all ailments
56:02 | yuuyuu: naruhodo
56:08 | Transcendental_ColonThree: "Are you bleeding to death buddy? Don't worry! Here's some booze!"
56:38 | NatrixNatrix: How to cure a Polish person: offer alcohol.
56:40 | Wheresmyeyebrow: Yummy yummy 70% alcohol
56:41 | SkysNotTheLimit: He's not thirsty www
