-1:55 | BasedBug: Are we back?
1:23 | LassesAffar: おはだよ
1:23 | Stray Wolf: This is a new place 
1:24 | Chloro [クロロ]: Ohadayo!
1:25 | Matthew: Ohadayo!
1:25 | Canna: Ohadayo! 
1:27 | Nasty Yukari: It's been so long since the last stream!
1:28 | Hanabi: ohadayo for definitely the first time today
1:29 | Fake Name: Mata ohadayo
1:29 | Destoroyar Fortress: BEATAN
1:30 | Kyle: OHAdayo~!
1:30 | Juvisy: Ohadayo round 2 
1:30 | Zwelltic: hello beatani!
1:32 | Antonio Badilla: Ohadayo!
1:35 | クラガリ葉月: We're just starting from the top, huh?
1:35 | Stray Wolf: ohadayo!
1:36 | hohoemikuma: ohadayo version 2 !
1:37 | Raziel: It's been so long
1:37 | *MX$50.00* Sombrero: 💙
1:37 | Tachi: Ohadayo!
1:38 | Mizuki Arisu: Ohadayo 2!!!
1:40 | CantDood: ohadayo
1:40 | max r: i will forgive you this time
1:48 | Megiddo: Let's hope this is the correct timeline
1:50 | CantDood: based comp
1:55 | Stray Wolf: IKZ
2:03 | BasedBug: I hope there is no-
2:09 | Destoroyar Fortress: Oh no..
2:17 | Dest: Helloooo
2:17 | Megiddo: lagging when loading is normal
2:27 | stuffed idiot: laser monster wasn't all that bad
2:37 | Fake Name: Okay we should be good?
2:50 | max r: homeless dad AWAY!
2:54 | Raziel: Tell YouTube to stop (or start?) taking it's meds
2:57 | Matthew: Homeless?!
3:01 | Megiddo: we hope 🍀
3:02 | BasedBug: Well, we're back
3:08 | stuffed idiot: timewarp
3:14 | Sheep: comfy!
3:14 | Megiddo: comfy bear
3:15 | hohoemikuma: comfy~
3:17 | Destoroyar Fortress: Comfy bear
3:17 | Chloro [クロロ]: comfy bea
3:18 | Dest: Le comfy time
3:20 | StrangerSeen: Comfy!
3:23 | 123457474869: is this runescape
3:25 | Zwelltic: comfy
3:27 | Verijero: ah
3:29 | Ekusupuroshon: I LOVE YOU BEA
3:29 | stuffed idiot: comfy kuma
3:31 | Ludwig Moons: im very afraid by whats on my screen right now
3:31 | BasedBug: So, some of you should volunteer for Oniichan duty
3:35 | Simón: ʕ •ᴥ•ʔ
3:38 | Nasty Yukari: @123457474869 yes
3:49 | Raziel: I volunteer as tribute
4:16 | LassesAffar: I volunteer
4:19 | BasedBug: Dads eyes are tweaking out
4:23 | MBmasher: same
4:32 | Ekusupuroshon: Dad has too many eyes
4:43 | Megiddo: where is here indeed
4:47 | Salty Sola: Dad looks like he is in pain
4:53 | Raziel: Dad's eyes are red from blowing all that spinach
4:55 | Canna: He can see the horror that lies ahead
5:09 | Ekusupuroshon: We lost now
5:13 | BasedBug: Inb4 lasers
5:34 | Ekusupuroshon: Beatato PC??
5:37 | CantDood: something's a bit off with that left eye just sayin
5:40 | Matthew: Hold it together PC-kun
5:40 | Sheep: funds for pc...
5:43 | Chloro [クロロ]: ? chat is working just fine
5:50 | Raziel: PC has limb deficit
6:02 | Stray Wolf: chat has a slight delay 
6:07 | BasedBug: 11 pm Tech support stream
6:13 | Alfa Ayed: chat is smell
6:17 | james heller: It looks good though
6:18 | stuffed idiot: Kuma, your meds....
6:20 | Megiddo: oh I was wondering what was happening
6:22 | Nasty Yukari: :DDDD
6:22 | Dest: k
6:30 | Ekusupuroshon: Where are my meds?
6:56 | max r: abusive daughter
6:56 | BasedBug: UUUOOOOOOOOHHHHH
6:58 | Xayn: Being awake at night... It's the eurodad experience
6:58 | Megiddo: faq tempo
6:58 | Rye Mountain: Oh no i hear lazers
7:00 | MBmasher: not quite her tempo
7:01 | Stray Wolf: not quite my tempo
7:03 | gyroninja: whiplash
7:06 | Raziel: Move your ass dad!
7:12 | Tachi: Not quite Bea's tempo
7:16 | Ekusupuroshon: Where is mom?
7:27 | Matthew: Beatani > sleep
7:28 | AnomalousRaven: what int he world have i missed
7:29 | stuffed idiot: based europoor dad
7:32 | Rye Mountain: NO!
7:37 | Dest: Imagine sleeping
7:38 | Alfa Ayed: mom fixing her tempo
7:40 | Megiddo: mom is stored in a chkn ball for now
7:41 | Fake Name: 10PM chads here
7:44 | Tianfang's Adventures: No time for sleep. 
7:46 | LassesAffar: beatani reps are more important than sleep reps
7:46 | BasedBug: Who is /you/ EUdad?
7:54 | Mizuki Arisu: The sun isn't up yet, it's not that crazy
8:14 | Ekusupuroshon: Mom is dead...
8:25 | Stray Wolf: don't lose your way~
8:27 | Megiddo: lost bear
8:30 | あなり: You fixed the connection?
8:46 | Antonio Badilla: Can you build a compass?
9:09 | BasedBug: She's real far from everything, huh
9:22 | Chloro [クロロ]: I also don't know
9:28 | stuffed idiot: where is /here/?
9:32 | Canna: Are you good with directions? 
9:42 | Matthew: Bears are not good at navigation
9:42 | BasedBug: ULTRA CHICKEN
9:44 | Megiddo: big shoulders
9:47 | Ekusupuroshon: Fool bear...
9:50 | Canna: Gundam chicken 
9:57 | The Flesh Is Weak: big cock
9:57 | Stray Wolf: RobotChiken 
9:58 | BasedBug: Is this achievable natty?
10:06 | Tachi: Chad chiken
10:10 | Stray Wolf: is this adult swim? 
10:12 | Ekusupuroshon: Chicken robot??
10:12 | Megiddo: give it some pan
10:19 | Antonio Badilla: What a chad
10:41 | BasedBug: RUN DAD
10:42 | john: he had too much feed and seed
10:46 | Megiddo: usmmon mom
10:46 | stuffed idiot: no fear
10:51 | Ekusupuroshon: NOOOO DAAAAAD
10:59 | Tachi: Dad...
11:06 | Megiddo: oh god
11:09 | james heller: Dad is trying his best
11:10 | Megiddo: that is hideous
11:11 | Dest: Peace was never an option
11:15 | あなり: this game is cursed
11:18 | Chloro [クロロ]: Curiosity kills the bear..
11:19 | BasedBug: That doesn't sound good
11:27 | No Body: genocide route i see
11:28 | CantDood: lmao
11:31 | Mizuki Arisu: penguin of doom 😲
11:33 | Tachi: Fitting name
11:38 | Ekusupuroshon: why does everything want to kill Bea?
11:40 | shinra: yeesh
11:44 | Matthew: Kuma strong
11:50 | The Flesh Is Weak: imagine the smell
11:53 | Hayato san: hello there
12:02 | john: the weak should fear the strong
12:05 | あなり: no friendly animals to be found
12:07 | Kyle: Limb deficiency spider
12:14 | BasedBug: I wonder what animal parts oniichan is going to be made from
12:14 | Ekusupuroshon: Kumo kimoi
12:15 | Verijero: bea just keeps moving forward!
12:48 | MBmasher: cringe
12:49 | BasedBug: That is absolutely disgusting
12:52 | stuffed idiot: what the fuck is that thing
12:54 | Matthew: Mega cringe
12:56 | Verijero: furry spider kek
12:58 | MBmasher: "furry spider"
12:58 | Dest: Bruh
13:00 | Megiddo: everything cringe
13:05 | the ultimate windlord: fight
13:06 | Stray Wolf: "furry spider"
13:07 | Canna: Burn it 
13:09 | knull: creative name
13:09 | Horror: Jesas
13:09 | Verijero: run from the furries please
13:11 | あなり: oh no she found a furry in the wild
13:13 | Tianfang's Adventures: Run away~
13:15 | Stray Wolf: yes that's cringe 
13:16 | No Body: kill it with fireee
13:16 | Raziel: yiff in hell spider
13:16 | Nasty Yukari: Insect? Furry? Kill it with fire!
13:17 | Rodolfo, o geriatra: kill it with fire 
13:21 | CantDood: it's the furry part
13:21 | Ekusupuroshon: Yah it's better to stay away from furrys
13:23 | Antonio Badilla: Furrys are disgusting
13:26 | Mechanized Doge: ohadyo
13:26 | Nyanomancer: Beatani! You followed me on twitter!
13:41 | john: kill the furries
13:44 | BasedBug: Hang out with the Chad Robochickens, they won't hurt you
14:14 | Ekusupuroshon: So you did lost it... after all the work we did to give it to you...
14:25 | Matthew: RIP chihiro
14:26 | Simón: 0.o
14:27 | Alfa Ayed: riding dad...
14:28 | クラガリ葉月: Rip
14:29 | john: rip
14:32 | CantDood: shocking revelations
14:34 | Dest: "My sister is ded, i killed her"
14:35 | StrangerSeen: based bear killer
14:35 | Hayato san: F
14:37 | Tianfang's Adventures: woah
14:37 | james heller: Damn
14:41 | BasedBug: F
14:42 | Dest: Beatani without context
14:43 | Dest: lmao
14:43 | Antonio Badilla: F
14:43 | Ekusupuroshon: CHIHIRO LOVE
14:43 | Tianfang's Adventures: brutal
14:45 | Verijero: i cant believe chihiro is dead
14:48 | Rodolfo, o geriatra: based
14:50 | フェットチーネ: rip
14:55 | Mizuki Arisu: How can Chihiro let you out of XP hill when she's dead? ; _ ;
14:56 | Fake Name: CHIHIROOOO
15:02 | Tachi: Never forget Chihiro...
15:03 | The Sword Art Online Dickriding Association: LET'S GOOOOO
15:12 | No Body: we are witnessing another cain and abel right here lads
15:19 | stuffed idiot: CHKN is drug?
15:23 | john: give birth as much as possible
15:35 | Rodolfo, o geriatra: Cain and a bear 
15:41 | Nyanomancer: What horrible thing have you made, my daughter
15:41 | Canna: It's confirmed CHKN > Slay the spire 
15:48 | Tianfang's Adventures: Welcome to the new chat
15:50 | Mechanized Doge: She read the backlogs instead of the new chat lol
15:50 | BasedBug: Kusakuma
15:52 | Ekusupuroshon: This bear is too foolish
16:25 | Alfa Ayed: living in the past
16:35 | Ekusupuroshon: Violence!!
16:37 | Chloro [クロロ]: lol
16:39 | Absolute Link: kuma scream
16:48 | Dest: Bruh
16:48 | Nasty Yukari: Jeezas that "moo" sounds a bit unnerving with my headphones
16:51 | Antonio Badilla: Snakes can't be trusted
16:51 | Andrew Ryan: WHY
16:56 | CantDood: they're jealous
16:59 | Verijero: this is a hostile world
16:59 | Dest: The monsters are on a bad mood i see
17:13 | Matthew: Chicken sensei...
17:13 | BasedBug: Based professors!
17:19 | Hayato san: this game is... really interesting
17:31 | CantDood: wow laser looks OP
17:36 | No Body: chikm frens!
17:37 | Verijero: kek why did this turn into an x men battle
17:37 | Antonio Badilla: Are those mechs?
17:44 | Dest: Godzilla KOTM 2 looks nice
17:46 | MBmasher: ... what
17:48 | Ekusupuroshon: The chickens died lol
17:51 | CantDood: nevermind
17:55 | BasedBug: Hey, free stuff
18:01 | Raziel: professor shoop da whoop
18:02 | Andrew Ryan: rip professorchicken
18:06 | Ekusupuroshon: Loot!
18:06 | The Flesh Is Weak: eat it
18:08 | Rodolfo, o geriatra: RIP
18:10 | Mizuki Arisu: Will we get a laser oniichan?
18:25 | BasedBug: This is a horror stream
18:34 | Dest: R U N
19:04 | Ekusupuroshon: DAD! PROTECT!!
19:09 | BasedBug: Nice creatures finish last..
19:15 | Zhnigo: what massacre is this
19:36 | na no: go fight!! 戦い !
19:47 | BasedBug: Mom tagging in!
19:49 | Ekusupuroshon: NOOOOOO DAAAAAD
20:00 | Verijero: ogey
20:01 | Hayato san: too op
20:05 | No Body: does this game take place in australia
20:11 | Dest: Its was a tag battle all this time
20:20 | Ekusupuroshon: Lies
20:21 | Antonio Badilla: Lies
20:28 | MBmasher: peaceful bear
20:36 | Matthew: 草
20:42 | Raziel: sure
21:03 | Zhnigo: two tails... it's a nekomata
21:08 | Andrew Ryan: violent kuma
21:09 | BasedBug: Peaceful*
21:11 | Andrew Ryan: killer kuma
21:12 | john: perhaps
21:13 | Ekusupuroshon: ogayu...
21:16 | Hayato san: I see
21:22 | CantDood: that cyberchicken looked great
21:24 | Mechanized Doge: hate is a strong word bear...
21:25 | Zhnigo: only verbal violence for kuma
21:28 | Canna: I watched you murder 100 goslings in real time 
21:29 | あなり: are you sure?
21:40 | Megiddo: peaceful which is why Chihiro's carcass was eaten by ravenous monsters
21:45 | Andrew Ryan: beatani loves to watch us dads fight
21:46 | Raziel: a peaceful kuma that doesn't like guro at all
21:52 | john: you break your dads hearts
21:54 | Mechanized Doge: シューターゲームはどうかな
21:56 | Ekusupuroshon: The bear is going to have her mouth washed with soap for lying
21:57 | *$5.00* na no: thank you for stream! どうもありがとうございました。
21:58 | Dest: "This bear dont bite, but can hurt you on another ways"
22:06 | Cruzer: GOD DAMMIT
22:12 | (Verified, Moderator) Streamlabs: na no just superchatted $5.00!
22:18 | stuffed idiot: the goslingbros....
22:20 | Canna: Yah the profile stream 
22:23 | james heller: Dad genocide...
22:28 | Mechanized Doge: wait, double donation?!
22:29 | Ekusupuroshon: SUPACHATO ARIGATOU
22:31 | LassesAffar: gosling はガチ恋
22:48 | Megiddo: no not double, streamlabs bot just announces superchats as well
22:49 | BasedBug: Yo it's a little dude with a gun?
22:52 | Tachi: Small person ahhhh
22:53 | あなり: we should do streamlabs right?
22:53 | Ekusupuroshon: What is that??????
22:55 | Verijero: oh no the rage of the manlets
22:57 | CantDood: the fuck
22:57 | MBmasher: what is that??
23:03 | Matthew: manlet rage
23:03 | BasedBug: MANLET RAGE
23:05 | Stray Wolf: Who is (you)
23:09 | MBmasher: this game is cray cray dayo
23:13 | john: 5'11bros
23:15 | Megiddo: it's got a gun!
23:15 | No Body: its a trap
23:18 | Mechanized Doge: @Megiddo Yea, got spooked, thanks man
23:21 | Stray Wolf: manlet 
23:23 | Ekusupuroshon: Kowai little bros kowai
23:24 | Tachi: Manlets
23:32 | あなり: small hentai?
23:40 | Verijero: manlets
23:41 | BasedBug: Manlets, when will they learn?
23:49 | Ekusupuroshon: Call the reaper
23:54 | Verijero: manlets became too powerful
23:57 | Canna: Manlets = any man under 180 cm
24:00 | Raziel: somebody bring Beatani her Beretta to cap the little dude
24:36 | Destoroyar Fortress: @Raziel She probably forgot it at home...
25:00 | Xayn: Today we're hunting schizos
25:21 | あなり: look at your bed?
25:27 | The Flesh Is Weak: where does this game take place?
25:32 | Raziel: Meds as ammo
25:37 | james heller: Cutest bear
26:07 | BasedBug: Bear At Work
26:11 | LassesAffar: Finland
26:13 | MBmasher: in hell
26:15 | Stray Wolf: @The Flesh Is Weak Australia
26:30 | Ekusupuroshon: Bear lives in the land down under??
26:38 | あなり: yup bear is Finland
26:41 | Antonio Badilla: Behind xp hill
26:47 | Stray Wolf: she ate it 
27:33 | Ekusupuroshon: Wine
27:37 | Mizuki Arisu: This is xp hill if Beatani didn't do her weeding reps
28:31 | BasedBug: Wow, look at mom go
28:32 | Ekusupuroshon: Revive dad daughter
28:41 | john: slavery
28:44 | No Body: thanks mom
28:49 | Dest: Mom getting fit
28:57 | Raziel: mom doing his reps
28:58 | Matthew: Hard working mom
29:02 | knull: forcing your mom to work
29:05 | The Flesh Is Weak: she's just like me!
29:15 | Hanabi: blink twice if you're in trouble, mom
29:17 | Ekusupuroshon: She's literally me
29:33 | Megiddo: kusa
29:35 | stuffed idiot: the fear...
29:45 | No Body: just like real life...
29:53 | The Flesh Is Weak: smelly bear
29:56 | Ekusupuroshon: Put down the axe first
30:01 | Tachi: I understand her
30:10 | Raziel: because you're holding a huge cleaver
30:11 | Rye Mountain: A bed placed outside without a roof... It's going to rain on the bed
30:20 | BasedBug: They fight all night
30:27 | (Verified, Moderator) Streamlabs: Lamb just tipped $3.00 dayo!
30:56 | Ekusupuroshon: I love my daughter yes!
30:56 | あなり: cute chicken
31:06 | 123457474869: ogey
31:15 | Mechanized Doge: survival game eh
31:52 | Mechanized Doge: 言ってみな
32:06 | MBmasher: oniichan yay
32:12 | Ekusupuroshon: Let's kill the boss!
32:16 | Mechanized Doge: apparently she's afraid.
32:37 | Antonio Badilla: It looks like the mother has a black eye
32:40 | Matthew: Dad is strongest
32:47 | BasedBug: MechaOniichan
33:08 | LassesAffar: mom got a black eye from DV daughter
33:21 | Mechanized Doge: I too like mecha
33:41 | Hanabi: mechs are rad
33:46 | Ekusupuroshon: I'm a strong catchicken
34:03 | MBmasher: what
34:09 | Matthew: Brrrrrrr
34:16 | Ekusupuroshon: NOOOO DAAAAAD
34:18 | The Flesh Is Weak: ded
34:25 | Dest: The power
34:25 | BasedBug: One last UUUOOOOOOHHHH
34:25 | MBmasher: mecha dad?!
34:29 | Rye Mountain: mechadad
34:29 | CantDood: woa
34:36 | Raziel: ripping off limbs
34:40 | Verijero: so this is how the japanese tuned their cars in the 90s
34:42 | Dest: The ultimate killing machine is coming
34:46 | Ekusupuroshon: Ichiban Tsuyoi dakara
34:51 | Raziel: The six million dollar dad
35:00 | Stray Wolf: sixpack 
35:15 | Rivicen: Ohadayo Beatani
35:19 | Mechanized Doge: ぐろい
35:35 | BasedBug: Laser eye?
35:52 | Dest: Tesla dad
35:58 | Tachi: Upgraded dad
35:59 | stuffed idiot: MECHA DAD
36:08 | Ekusupuroshon: Dad is very very sexy now...
36:08 | stuffed idiot: my vision is augmented...
36:13 | The Flesh Is Weak: great
36:13 | BasedBug: OH
36:14 | Tachi: Uhh
36:15 | CantDood: hmmmm
36:19 | Canna: Suspicious placement 
36:23 | Dest: bruh
36:24 | Rye Mountain: uuuhhh
36:26 | Steven Frati: You must teach them to fear dad's claw.
36:28 | Stray Wolf: third leg
36:29 | Tachi: I love it LMAO
36:30 | BasedBug: Dad is feeling pretty good apparently
36:31 | Verijero: NICE
36:31 | Andrew Ryan: dad's thing
36:33 | Mechanized Doge: 悪くない？
36:35 | Stray Wolf: lmao
36:37 | Antonio Badilla: Austin Powers
36:40 | No Body: sick legs
36:41 | The Flesh Is Weak: leave it
36:51 | MBmasher: bea.....
36:52 | Ekusupuroshon: No fun allowed
36:54 | Dest: Damn dad
37:01 | Mechanized Doge: 恐竜ぽい？ Feels like dinosaur
37:03 | Matthew: Perfect
37:04 | Verijero: "they call me tripod" - dad
37:08 | Steven Frati: Dad approved arm.
37:11 | Stray Wolf: I like it it's metallic and all 
37:12 | Antonio Badilla: Mom is gonna love it
37:14 | CantDood: perfect
37:19 | BasedBug: DADBOT ONLINE
37:19 | Ekusupuroshon: Yes! I like the arm! Dad is sexy now!
37:22 | Nasty Yukari: "Forgive my interruption, I just wanted to say that my vision is augmented"
37:35 | MBmasher: they look weirdly cute
37:39 | max r: dad bot activate
37:48 | Verijero: imagine
37:50 | hohoemikuma: ochinchin
37:51 | Tachi: Yab
37:51 | Absolute Link: oh no
37:52 | Zhnigo: >the o-word
37:53 | MBmasher: bea.............
37:54 | Chloro [クロロ]: lmao
37:54 | james heller: Uoh
37:57 | knull: hung
37:58 | No Body: no its too big
37:59 | The Flesh Is Weak: too big...
38:00 | Mechanized Doge: ちがう。。。
38:00 | Canna: It's too late to be laughing this hard 
38:00 | max r: uhh i hope thats not dad's chinchin
38:01 | Ark Sword Misc.: え？？？？？？？
38:02 | Verijero: bea...
38:02 | Stray Wolf: augmented ochinchin
38:04 | Simón: yes
38:05 | Rye Mountain: ...
38:06 | Tachi: It's too big
38:06 | Horror: lmao bea pls 
38:07 | Mechanized Doge: dick
38:08 | Zhnigo: my ochinchin is augmented
38:10 | Joestar: Hello sister
38:10 | Raziel: Dad's got a metal one
38:20 | Tianfang's Adventures: wh..what
38:23 | CantDood: oof
38:24 | Steven Frati: Daughter insists dad must have a prehensile mechanical chinchin...
38:28 | MBmasher: i wish my ochinchin had mechatonic powers
38:30 | hohoemikuma: mecha chin
38:30 | james heller: Just like me
38:31 | BasedBug: This stream is magical
38:31 | Mechanized Doge: 恐竜の手だよこれ
38:32 | Canna: Add another one so it doesn't throw him off balance 
38:32 | Nasty Yukari: He's prepared for duty if you know what I mean
38:34 | Dest: XDDDDDDDDDDD
38:34 | Megiddo: this bear...
38:38 | Ekusupuroshon: I love my Hubby now yes!
38:39 | StrangerSeen: Dad lost his normal chinchin in the war
38:40 | No Body: oh god
38:47 | Raziel: I can see mom smiling
38:47 | Stray Wolf: it's accurate 
38:50 | max r: stop bullying your family
38:51 | Zhnigo: expand dong
38:55 | Tachi: Mom is happy
39:00 | Rye Mountain: She is afraid
39:07 | Megiddo: mom always has that 1000 yard stare in her eyes
39:08 | BasedBug: IT FOLLOWS YOU
39:11 | No Body: she said Why
39:14 | Mechanized Doge: ( ,,`･ω･´)ﾝﾝﾝ？
39:14 | gyroninja: she is scared
39:18 | Dest: Mom is concerned
39:19 | Dest: lmao
39:20 | Zhnigo: it's curved to the right a little bit
39:26 | Woop Woop: lmao
39:26 | CantDood: it's ok Bea is a professional shitposter
39:31 | Ekusupuroshon: CRINGE ON YOU DAUGHTER
39:33 | Nasty Yukari: She's bullying her family with her mechachinchin and you can do nothing to stop her
39:35 | Stray Wolf: cringe bear 
39:39 | Mechanized Doge: horny jail...
39:43 | BasedBug: Dad is yearning for mom
39:45 | Tachi: /right side/ 
39:46 | No Body: “Its just a phase Mom!“
39:47 | Verijero: that ochinchin has its own autonomy...
39:52 | Ekusupuroshon: SENSITIVE!!!
39:52 | The Flesh Is Weak: this is why I can't find a mom...
39:59 | Megiddo: lmao
40:01 | Dest: Lmao
40:05 | max r: can dad's chinchin stop the beam?
40:15 | No Body: mecha chinchin gooo!
40:23 | Andrew Ryan: laser dad
40:40 | Raziel: cawkslapping monsters
40:46 | Dest: Dad is flexing his powers 
40:52 | CommanderMichael: go laser go
41:00 | BasedBug: Victory!
41:05 | Chloro [クロロ]: Nice!
41:07 | Rye Mountain: Strong family
41:09 | MBmasher: nice work mom dad!
41:14 | Ekusupuroshon: I want lasers too!
41:17 | james heller: Powerful family
41:20 | CommanderMichael: based mum and dad
41:24 | The Flesh Is Weak: base
42:14 | Rinnosuke Morichika: I love bear.
43:31 | CantDood: is this tetris?
43:32 | Steven Frati: Mechanekomom
43:39 | Joestar: How is it going?
43:45 | Verijero: catbox?
43:48 | TWAIN: ohadayo
43:53 | Ekusupuroshon: Yes I'm a mecha now!
43:55 | LassesAffar: kawaii
44:04 | Dest: Mechamom
44:05 | BasedBug: Beautiful!
44:08 | Joestar: What happened to the other mother?
44:17 | Joestar: Also where is the brother?
44:27 | Nasty Yukari: Kirei mom!
44:47 | Raziel: mom's twerking again
45:27 | LassesAffar: LET'S GOOOOOOOOOOO
45:29 | BasedBug: Good luck mom and dad!
45:50 | BasedBug: Manlet!
46:00 | Ekusupuroshon: Little Creatures Hate!
47:11 | TWAIN: but i just woke up...
47:38 | Joestar: Mech mom and dad are helping?
48:20 | Hanabi: Wish i could stay around but I'm totally spent for the night, have a fun stream
48:23 | The Flesh Is Weak: Boss of the gym?
49:19 | Joestar: Maybe the boss will spawn soon
49:37 | Nasty Yukari: have a good one bro
49:38 | MBmasher: is there meant to be one
49:49 | Mizuki Arisu: Get out of that jabronie outfit
49:52 | Canna: Too easy for the mecha parents 
49:53 | CantDood: maybe you have to summon it?
50:24 | Joestar: Yeah maybe a way to summon it
50:29 | Mechanized Doge: night @Hanabi 
51:45 | TWAIN: is there a quest list or something?
52:08 | Steven Frati: Is the little guy the boss?
52:12 | Raziel: Dad getting into random fights
52:15 | Ekusupuroshon: Dad was abandoned...
52:20 | BasedBug: Poachers = manlets
52:36 | Joestar: Go back for dad
52:50 | Raziel: poachers are people who hunt unlawfully
52:51 | Nasty Yukari: Kowee guys
53:12 | Rye Mountain: Break the tent
53:36 | Ekusupuroshon: There was 2 moms??
53:49 | Tachi: Loot sack!
53:50 | Matthew: Laser dad is powerful
54:18 | Fake Name: MAMA
54:22 | Fake Name: JUST KILLED A MAN
54:23 | gyroninja: dead
54:31 | The Flesh Is Weak: drugs
54:32 | Ekusupuroshon: I'm died Thank you forever
54:39 | minoreo: put you to sleep
54:53 | Tachi: Mom is getting tranquilized 
55:00 | Raziel: mom got roofied
55:17 | minoreo: sedative = 鎮静剤
55:24 | Rye Mountain: I think the tent may cause them to spawn
55:27 | Fake Name: mom no
55:29 | Ekusupuroshon: That creature looked like mom?
55:37 | Raziel: her meds
56:05 | Chloro [クロロ]: isn't that the boss?
56:06 | Ark Sword Misc.: "safe"
57:08 | Ekusupuroshon: Summon Dad and mom
57:16 | Steven Frati: Maybe the mom clone on the other side is the boss.
58:12 | TWAIN: can't they eat raw meat?
58:37 | Ekusupuroshon: what are we monsters?
59:31 | Moeniki: I love brisket!
59:32 | Ark Sword Misc.: Steak
59:36 | Raziel: pulled pork
59:40 | Canna: BBQ ribs 
59:42 | Ekusupuroshon: Lamb
59:44 | Tianfang's Adventures: brisket 
59:48 | Antonio Badilla: Beef
59:51 | Wayne Kerr: sausages and onion
59:57 | Rinnosuke Morichika: We love you
59:57 | Nasty Yukari: Wings with spicy baabikyuu
59:58 | 77Yuja_: baby back ribs
59:59 | Chloro [クロロ]: sausages
59:59 | Tachi: Beef
1:00:04 | Rye Mountain: Grilled onion
1:00:06 | gyroninja: burger
1:00:10 | Raziel: brisket is the pectoral muscle of a cow
1:00:25 | Juvisy: Grilled peppers are really tasty 
1:00:37 | Stray Wolf: shrimp
1:00:38 | Mizuki Arisu: Chicken grilled by the seaside prpr
1:00:40 | Ekusupuroshon: I like grilled Chicken
1:00:47 | Antonio Badilla: Wasn't shrimp for little kids?
1:00:48 | Moeniki: Shrimp and steak is tasty
1:00:49 | Ark Sword Misc.: Grilled lobster is good
1:00:51 | Chloro [クロロ]: you like clams?
1:01:17 | Dest: The bear is vibin
1:01:35 | TWAIN: meow
1:02:06 | Rye Mountain: Clam is very nice
1:02:25 | Ark Sword Misc.: かに
1:02:31 | stuffed idiot: Beatani seems cuter than usual today
1:02:37 | Raziel: miso soup is really good, never tried it with clams though
1:02:49 | webm aristocrat: kani
1:02:51 | Sol Codguy: clam chowder is awesome
1:02:54 | The Flesh Is Weak: kani
1:02:56 | Ekusupuroshon: I love Kani too
1:03:02 | Simón: based
1:03:07 | hohoemikuma: kani
1:03:07 | Cruzer: kani oishii
1:03:13 | The Flesh Is Weak: hotate
1:03:13 | Tianfang's Adventures: oh dear
1:03:17 | skrong: based kani appreciator
1:03:18 | Horror: 🦀🦀
1:03:19 | Megiddo: supremely based
1:03:22 | stuffed idiot: kani connoisseur 
1:03:27 | Rinnosuke Morichika: I love kani too
1:03:31 | Hikimouto: i cant believe our daughter is a homo
1:03:34 | Mizuki Arisu: based kanikuma
1:03:49 | Raziel: @stuffed idiot kanisseur
1:04:15 | Stray Wolf: kanisseur 
