-13:39 | Bob: 🍀
-0:47 | Dr CEL: get the wojaks ready, this ig gonna be a pog stream
-0:45 | BasedBug: I'm so excited
-0:17 | MBmasher: who else is hyped af???
-0:03 | ThatVidyaGuy: I'm so happy for her.
-0:03 | Rye Mountain: I think everyone
0:05 | Destoroyar Fortress: Did she actually overslept? 
0:18 | Raziel: and we're live
0:21 | Mister Eko: LET'S
0:22 | Destoroyar Fortress: She didn't thanks god
0:22 | hohoemikuma: aaaaa
0:24 | MBmasher: yeh everyone should like
0:25 | ThatVidyaGuy: !!
0:30 | Shippo: she's here on time, pog
0:36 | RueTobas: lots of people here already
0:36 | Lagalith: Yah!
0:40 | pakkanen: It's 10am in Japan
0:43 | Theblekedet: Eyyy!
0:54 | BasedBug: Turn off that adblock while the stream's loadinh
0:56 | Vitz: IKZ
0:57 | Nasty Yukari: it's happening!
1:01 | Megiddo: ktkr
1:02 | stuffed idiot: bear is based for being on time
1:05 | Zhnigo: UOOOH LESSGOOO
1:13 | The Pope: Lofi XP beats to segfault/YOU_MUST_EXEC to
1:17 | Rob G.: UUOOOOOOHHH 😭
1:20 | Mister Eko: >32 watching
1:22 | Mister Eko: youtube...
1:31 | Shippo: >32 watching
1:34 | Shippo: thank you youtubesan
1:35 | Mew: it was 100 waiting
1:36 | Mew: huh?
1:44 | Jackku Chan: Yee yee yeee
1:47 | MBmasher: youtube-kun is no
1:48 | stuffed idiot: youtube-kun needs his meds
1:48 | The Pope: Sausage guh Susan
1:48 | Rye Mountain: Youtube cant count, dont worry
1:51 | Megiddo: just YT being YT
1:51 | CommanderMichael: weird system as always
1:52 | Monkberry Moon: Ohadayo!
1:58 | Rob G.: dads, shift+f5
1:59 | hohoemikuma: disable your adblock if you haven' already
2:10 | BakedBanana: oh!
2:12 | imalittle cupcake: I turn my adblock off just for this
2:13 | RueTobas: Youtube actually doesnt count a lot of ad blockers and a lot of western vewers
2:13 | Theblekedet: As long as her stream won't get scuffed...
2:16 | A A: Tweet daughter.
2:20 | Jackku Chan: Owo
2:20 | Destoroyar Fortress: ?
2:25 | SpaceTalon: Yah!
2:26 | The Pope: Mac dads, cmd+shift+R
2:31 | BasedBug: OHADAYOOOOOOO LETS GOOOOOOOOOOOO
2:34 | Tachi: おはだよ！！
2:35 | Megiddo: Ohadayo~
2:36 | フェットチーネ: Ohadayo!
2:36 | Cool bug Fact's: OHADAYO
2:37 | Kyle: OHAdayo~!
2:37 | pakkanen: Good day Beatani
2:38 | XeniVari: おはだよ！
2:38 | Margrave: Ohadayo yah! 
2:38 | Rye Mountain: Ohadayo!
2:38 | ThatVidyaGuy: Odadayo!
2:38 | Kofi: OHADAYO
2:38 | Hanabi: ohadayo
2:39 | stuffed idiot: youtube works in mysterious ways when it comes to counting live viewers
2:39 | Rob G.: Ohadayo~~
2:39 | hohoemikuma: ohadayo!
2:40 | Mister Eko: OHADAYOOOO
2:40 | Börk Börk: Ohadayo!
2:40 | Mothman: hi
2:41 | Ain't It: Yeeeaaaa baby! 
2:41 | gyroninja: おはだよ
2:41 | imalittle cupcake: Ohadayooo!
2:42 | Canna: Ohadayo!!!
2:43 | Destoroyar Fortress: BEAAAA OHADAYOOOOOOOO
2:43 | D3bugged: Ohadayo
2:43 | Theblekedet: Ohadayoooo!!!!!
2:43 | RueTobas: Ohadayo~
2:43 | Chloro [クロロ]: Ohadayo!!
2:43 | The Pope: OhaDAYOOOOO
2:43 | Bob: Ohadayo
2:43 | Ekigo: Ohadayo!
2:44 | Wayne Kerr: OHADAYO!
2:44 | MBmasher: ohadayooooo
2:44 | Vitz: おはだよ！
2:44 | CommanderMichael: Ohadayo~~~
2:45 | max r: ohadayo!
2:45 | Ain't It: Ohadayo!
2:46 | Steven Frati: Ohadayo yah!
2:46 | Raziel: hello!
2:46 | stuffed idiot: おはだよ！！！
2:47 | Nasty Yukari: ohadayooo!!!
2:47 | Neko Mikuri 寝込みくり: おはよう
2:47 | Jessica: Ohadayo!!
2:48 | Idle Bear: Ohadayo!
2:48 | Sprok: Ohadayo!
2:48 | パナナナダ: ohadayo!
2:49 | estratos13: ohadayo
2:49 | Simón: Hello
2:49 | Mew: Ohadayooo!
2:49 | Zhnigo: ohadayo
2:49 | Stray Wolf: hi Beatani 
2:50 | Jackku Chan: Wooow echoo
2:51 | Terra: Ohadayo!!!
2:53 | Inaba: ohadayo!
2:53 | m b: Ohadayo !
2:53 | Suukotto Funsha: OHADAYO!
2:55 | ccc cc: Ohadayo
2:56 | Jackku Chan: Genki dayoooo
2:57 | Cecilio: HIIII
2:57 | Absolute Link: good morning beatani!
2:58 | Mister Eko: yah!
2:59 | Neko Mikuri 寝込みくり: 元気!聞こえる
3:00 | Cake Cheese: おはだよ
3:01 | Rye Mountain: Genki dayo
3:01 | Theblekedet: genki dayo!
3:01 | Nasty Yukari: I'm excited AF
3:01 | CommanderMichael: yup, we are all genki
3:03 | Absolute Link: yeah we can hear you
3:04 | Xayn: おはだよぉぉぉぉ
3:05 | RueTobas: we can hear you
3:06 | SpaceTalon: Hello!
3:07 | Megiddo: Yoooo I see Black Rock Shooter
3:07 | Mechanized Doge: ちゃんと聞こえます
3:08 | BasedBug: THIS IS IT
3:11 | Rob G.: sound ok 👌
3:12 | Shippo: kikoeru
3:14 | OverMagnet: Ohadayo!
3:16 | Rye Mountain: We missed you
3:16 | Verijero: ohadayo
3:18 | Canna: Wouldnt miss it
3:18 | Jackku Chan: Wooow eleven songs!
3:19 | Suukotto Funsha: Excited to hear more cute kuma singing
3:22 | VampirkoO: Ohadayo!
3:23 | Ain't It: Glad I made it!
3:25 | The Pope: Okagesama de totemo sugoku subarashiku genki
3:32 | Rye Mountain: 11 songs hype
3:34 | LoneRanger25: おはだよ！！！
3:35 | Verijero: NICE
3:40 | Zhnigo: enter oil baron
3:43 | max r: 🎉🎉🎉
3:45 | Nasty Yukari: Oil baroning already!
3:50 | BasedBug: I KNEEL TO OIL BARONS
3:51 | Monkberry Moon: Omedetou again
3:52 | Theblekedet: this early? lmao
3:56 | Absolute Link: ohhh wow
3:59 | Shippo: there we go
4:00 | Megiddo: oh my goodness
4:02 | Rye Mountain: The party has already started
4:04 | Tachi: NICE Dad
4:04 | ThatVidyaGuy: Wow!
4:05 | Hanabi: and so begins the oil baron train
4:06 | Stray Wolf: there we go 
4:09 | Verijero: the oil barons
4:09 | MBmasher: rich dad 
4:10 | Chloro [クロロ]: based oil baron
4:10 | Vitz: I kneel as well
4:13 | The Pope: Mr Moneybags here
4:16 | Nasty Yukari: It's party, it's party time!
4:16 | パナナナダ: rich guy wow
4:17 | max r: today beatani can't say that it's not party
4:18 | Xayn: Dad is premature...
4:25 | Mew: 🚅Get on the donation shinaknsen
4:26 | ThatVidyaGuy: Its the party today!
4:26 | pakkanen: It's PARTY TIME
4:26 | stuffed idiot: based oil baron
4:31 | hohoemikuma: party!
4:32 | Bob: i kneel
4:35 | CommanderMichael: rich dude too eager haha
4:37 | Verijero: fiesta!
4:38 | AnomalousRaven: im late
4:41 | Wayne Kerr: based whale dad 
4:41 | Jackku Chan: Finally party!!
4:43 | LadyCaitlin0429: party time, wooo!
4:44 | Suukotto Funsha: It is PARTY TIME
4:44 | RueTobas: i hope 1k man will arrive today
4:58 | Shippo: yes party time🎉
5:22 | Absolute Link: so this time it's actually a party??
5:27 | RueTobas: Did you get a new mic? you sound a lot clearer
5:28 | Jackku Chan: Maybe rich dude had to go to bed early!
5:42 | stuffed idiot: oil barons are quick shots apparently
5:43 | SukiKirai: hello mom
5:44 | Verijero: better for (you)
5:45 | rev: Ohadayo
5:49 | Stray Wolf: it's better for (you) to wait 
5:56 | BasedBug: Oil Barons.. I can't compete..
5:57 | Suukotto Funsha: Let our daughter sing first dads
6:05 | Nasty Yukari: レッツらゴぉぅ!
6:12 | Joestar: Hello!
6:15 | RueTobas: that is definitely a new microphone
6:17 | Steven Frati: It's wanting to support beatani that counts!
6:21 | Mechanized Doge: ガタガタガタガタ
6:22 | Zhnigo: I hear a mech keyboard
6:30 | Stray Wolf: shy donor 
6:41 | Mister Eko: keyboard asmr...
6:41 | Rob G.: asserting dominance over chat
6:42 | MBmasher: shy dad
6:43 | Rye Mountain: He was going to be asleep during this stream
6:45 | Nasty Yukari: hazukashiiful guy...
6:45 | stuffed idiot: shy dad is cute
6:46 | Verijero: yah
6:46 | BasedBug: KARAOKEEEEEEEEE
6:46 | Sheep: lets goooo
6:49 | Mechanized Doge: いや、どんなモデルでしょうか
6:51 | imalittle cupcake: Yah!
6:53 | Chloro [クロロ]: Maybe that guy cannot watch the stream?
6:53 | Vitz: based shy dad
6:54 | Mister Eko: nice!
6:55 | The Pope: Clack click clack clack ASMR
7:00 | pakkanen: Keyboard with all the keys?
7:02 | Megiddo: depends which keys
7:07 | max r: it always sounds like you type pretty fast
7:07 | BasedBug: Mechincal Keyboards are peak ASMR
7:07 | Tachi: Nice 
7:08 | Rob G.: brrrrrrrrrr
7:09 | Mew: 350 WPM bear 
7:09 | Theblekedet: I like it
7:09 | MBmasher: typeracer with daughter?
7:11 | imalittle cupcake: The typing is calming 
7:13 | Zhnigo: H-HAYAI
7:13 | stuffed idiot: I saw the twitter post about it
7:14 | Verijero: tactactac
7:14 | RueTobas: typeracer with chat when?
7:14 | Megiddo: blues?
7:17 | Question Box: UUUUUUUUUUUUUOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOHHHH
7:17 | Sheep: speedy type
7:20 | OverMagnet: I need my "Yah!" fix! Hook it up to my veins!
7:22 | RueTobas: Do you know typeracer?
7:25 | パナナナダ: 7.7 word per second
7:25 | Margrave: :yougotthis:
7:27 | ThatVidyaGuy: What a fast bear!
7:27 | EvilBetty: cherry browns?
7:28 | CommanderMichael: mech keyboard asmr
7:32 | Jackku Chan: If you don't have 120wpm you're not a real game guy
7:36 | フェットチーネ: wow
7:37 | Lichzim The Great: Congrats on 2k subs :D
7:40 | Cool bug Fact's: Fast typer Bea
7:40 | imalittle cupcake: 🎉
7:44 | Hanabi: mechanical keyboard clacking is a very comfy noise
7:44 | Mister Eko: f-fast...
7:45 | LadyCaitlin0429: Imagine typing fast, I can't relate, lol
7:47 | BasedBug: Wow, she's a pro
7:50 | Lichzim The Great: Incredible!
7:53 | stuffed idiot: speedy bear
7:57 | Megiddo: words... so kanji?
7:57 | Bob: speed
7:58 | パナナナダ: i'm only 3.5 words :(
7:59 | A A: Bears are people too.
8:01 | Lichzim The Great: Hayai
8:01 | Kofi: speed bear
8:08 | Monkberry Moon: quick fingers bear
8:09 | Mechanized Doge: what's the brand of your new keyboard and model 👀
8:15 | OverMagnet: OL Bear Skills!
8:19 | BasedBug: Buckle up, dads
8:22 | stuffed idiot: Imagine the finger skills.....
8:23 | sp33d4l0l: my new headphones arrived just in time to hear beatani sing in the highest quality
8:26 | pakkanen: Here we go!
8:26 | hohoemikuma: yah!
8:28 | Mechanized Doge: okey
8:28 | Megiddo: LETS GO
8:29 | Verijero: what a blast from the past
8:30 | Destoroyar Fortress: LET'S GOOO
8:30 | Stray Wolf: Huke papa
8:31 | imalittle cupcake: Oh my god yesssss
8:32 | Mister Eko: LET'S GOOOO
8:32 | Canna: Nice!
8:34 | Theblekedet: BRS let's goooo!
8:34 | Nasty Yukari: Hea we goo!!
8:38 | Sheep: noice
8:38 | Zhnigo: LESSGOOO
8:38 | Terra: LETS GOO
8:41 | Monkberry Moon: Let's go
8:42 | Stray Wolf: Black Rock Shooter~
8:43 | CantDood: wooo just tuned in BRS??
8:49 | OverMagnet: IKZ!
8:50 | MBmasher: i missed this singing voice
8:53 | coba cobra: 🐻🎶
8:54 | Megiddo: Please don't time me out this time automod
8:57 | Margrave: ikuzo!
9:01 | BasedBug: The last karaoke left so long ago
9:05 | Simón: ❤❤❤
9:05 | Tachi: 🐻‍❄🎶🐻‍❄🎶🐻‍❄🎶
9:13 | ThatVidyaGuy: 🍀🎶🍀
9:14 | Shippo: 🧨🐻‍❄🧨
9:16 | Destoroyar Fortress: BEAAA ❤❤❤
9:18 | Mechanized Doge: pretty good
9:20 | imalittle cupcake: 🎤🐻‍❄🎶
9:22 | EryQ53: Your microphone is too high
9:26 | CommanderMichael: 🎶 🎶 🍀
9:26 | Mizuki Arisu: BEA!!!
9:29 | Margrave: 🐻‍❄🎶🐻‍❄🎶🐻‍❄🎶
9:31 | Verijero: her eyes sing very well!
9:32 | BasedBug: 🐻‍❄🍀🐻‍❄🎶🐻‍❄
9:33 | SpaceTalon: ❤
9:39 | RueTobas: Mic is a bit loud ye
9:39 | Börk Börk: 🌟🌟🐻🌟🌟
9:39 | Rye Mountain: 🎶🐻‍❄🎶
9:41 | LassesAffar: 🧨🐻‍❄🧨
9:41 | Wayne Kerr: 🖊🐻🖊
9:42 | Shippo: 🧨🐻‍❄🧨
9:43 | SpaceCrab: 🧨🐻🧨
9:48 | pakkanen: ❤❤❤
9:49 | Mister Eko: 3am gang, it was worth it
9:49 | Megiddo: 🍀🐻‍❄🎤🎵
9:50 | idreamofcorn: 🐻‍❄🎶🐻‍❄🎶🐻‍❄🎶
9:50 | ThatVidyaGuy: 🐻‍❄🍀🐻‍❄🎶🐻‍❄
9:50 | Flux: BEAAAAA!
9:53 | OverMagnet: 🎶🐻🎶
9:53 | Theblekedet: 🐻‍❄🎶🐻‍❄🎶🐻‍❄🎶
9:54 | Bob: 🎶🐻‍❄🍀🎶🍀🐻‍❄🎶
9:55 | Simón: ❤🎵❤🎵❤🎵
9:57 | BasedBug: 🐻‍❄🍀🐻‍❄🎶🐻‍❄!!!!
10:04 | Tachi: 🐻‍❄🎶🐻‍❄🎶🐻‍❄🎶🐻‍❄
10:05 | Suukotto Funsha: 🧨🐻‍❄🧨 Such a cute voice
10:05 | VampirkoO: 🧨🐻‍❄🧨
10:06 | rev: 🎶🎶🎶
10:07 | imalittle cupcake: I don't feel sleepy at all anymore! ❤❤
10:08 | LassesAffar: 🖊🐻‍❄🖊
10:10 | Hanabi: 🧨🐻‍❄🧨
10:10 | Shippo: 🧨🐻‍❄🧨
10:13 | Rye Mountain: Listening to her singing at 3am is magical
10:20 | Nasty Yukari: Pachi! Pachi! Pachi! Pachi! Pachi!
10:24 | Megiddo: so good!
10:25 | SpaceTalon: ❤
10:25 | ThatVidyaGuy: YES
10:26 | Tachi: We love it
10:26 | rev: yah!
10:28 | imalittle cupcake: 🧨🐻‍❄🧨
10:28 | Shippo: 888888
10:29 | Mechanized Doge: nice!
10:31 | pakkanen: It was worth to wake up and mess up sleeping schedules for this
10:31 | imalittle cupcake: I love this song!
10:31 | Simón: I love it!!
10:32 | BasedBug: HEAR THIS BEAR SING AROUND THE WORLD! 🐻‍❄🍀🐻‍❄🎶🐻‍❄
10:34 | estratos13: 🧨❄️🐻🧨
10:35 | Ain't It: Perfect singing!
10:35 | Destoroyar Fortress: I LOVE THIS SONG YAH
10:35 | Megiddo: 🍀🐻‍❄🎤🎵
10:36 | Suukotto Funsha: I love it
10:36 | Mew: 🖊🐻‍❄🖊
10:49 | Alexander Holzer: 🐻‍❄❤🐻‍❄❤🐻‍❄❤🐻‍❄❤
10:53 | Mechanized Doge: comfy 9PM eastern time period here
10:53 | Flux: GO BEA GO!!
10:59 | Shippo: 🧨🐻‍❄🧨
10:59 | Sheep: KINO
11:04 | Alexander Holzer: Just got here boys let's go. Hi daughter
11:05 | Mister Eko: 🐻‍❄🤘
11:06 | imalittle cupcake: 🧨🐻‍❄🧨 
11:08 | Megiddo: Singing so well!
11:12 | Alfa Ayed: based
11:12 | ThatVidyaGuy: 🐻‍❄🍀🐻‍❄🎶🐻‍❄
11:15 | rev: 🎶🎶🎶
11:18 | stuffed idiot: Bless this bear 🐻‍❄🍀
11:19 | Bob: 🎶🐻‍❄🍀🎶🍀🐻‍❄🎶
11:22 | Mechanized Doge: keep it up laddy
11:23 | Zakuichi: nice
11:26 | Megiddo: 🍀🐻‍❄🎤🎵
11:27 | Dp: 🖊🐻‍❄🖊
11:34 | Tachi: 🐻‍❄🎶🐻‍❄🍀🐻‍❄🎶🐻‍❄
11:37 | BasedBug: All that practice is paying off! 🐻‍❄🍀🐻‍❄🎶🐻‍❄
11:38 | imalittle cupcake: Our daughter is so good
11:40 | My wife left me: 🐻🍀 🎶
11:40 | Steven Frati: 🔉🍀🐻‍❄🍀🔊
11:42 | Sol Codguy: 🐻‍❄🎶🐻‍❄🎶
11:42 | SpaceTalon: ❤
11:44 | idreamofcorn: 🐻‍❄🎶🐻‍❄🎶🐻‍❄🎶
11:44 | SpaceTalon:  
11:46 | hohoemikuma: yah!!!
11:52 | CantDood: holy really feeling the karaoke spirit
11:53 | Suukotto Funsha: Such a talented daughter
11:54 | Jackku Chan: Sugeeeeee!
11:56 | Canna: What a nice singing voice 
11:57 | hohoemikuma: 💙 🐻‍❄💙 🐻‍❄💙 🐻‍❄💙 🐻‍❄
11:59 | Theblekedet: I love it!!
11:59 | Nasty Yukari: That was really nice!!
12:01 | Stray Wolf: 🎶🐻‍❄🎶
12:02 | imalittle cupcake: I'm in love again 
12:04 | Raziel: 🧨🐻‍❄🧨
12:04 | Absolute Link: wow she's seriously good
12:08 | Stray Wolf: 🎶🐻‍❄🎶
12:10 | Don L: 🎶🐻🎶
12:12 | Rye Mountain: 🎶🍀🐻‍❄🍀🎶
12:13 | Bob: 🎶🐻‍❄🍀🎶🍀🐻‍❄🎶
12:14 | VampirkoO: 🧨🐻‍❄🧨
12:14 | ThatVidyaGuy: SOUL
12:18 | The Sword Art Online Dickriding Association: 🎵🎶🎵🎶🎵🎶
12:19 | BasedBug: I never want this karaoke to end!
12:21 | Shippo: 🧨🐻‍❄🧨
12:27 | Simón: ❤🎵❤🎵
12:32 | Megiddo: 🍀🐻‍❄🎤🎵
12:34 | Mew: 🖊🐻‍❄🖊🧨🐻‍❄🧨
12:37 | Sheep: her voice goes well with this song
12:42 | Ain't It: YEAA!
12:44 | FoolyQ: yo lets go
12:45 | Cool bug Fact's: 🐻🍀🎵🎶
12:54 | A A: YAH
12:57 | Börk Börk: 888888888888888
12:58 | Tachi: 🐻‍❄🎶🐻‍❄🍀🐻‍❄🎶🐻‍❄
13:01 | imalittle cupcake: 🧨🐻‍❄🧨
13:01 | Megiddo: remember to like the stream dads
13:01 | Chloro [クロロ]: 🐻❄️🎶
13:01 | rev: 🎶🎶🎶
13:03 | BasedBug: We're the proudest group of dads, moms, sisters and ONIIII-chans
13:06 | Wayne Kerr: 🎶🍀🐻‍❄🎶
13:07 | Rob G.: Let's gooooo yaaaaaah~~
13:11 | Mew: TFW when shes better then we expected 
13:14 | Mizuki Arisu: Beatani is on fire today!!!
13:17 | Rob G.: 👏👏👏👏👏👏👏
13:17 | Kyle: 👏👏👏
13:17 | Tachi: 👏👏👏👏👏
13:17 | hohoemikuma: 💙 🐻‍❄💙 🐻‍❄💙 🐻‍❄
13:18 | Megiddo: 88888888888888888
13:18 | idreamofcorn: yeaahhh!
13:18 | CallMe: 🐻🍀🍀🍀
13:19 | pakkanen: 👏👏👏
13:20 | Inaba: 88888888
13:20 | Mister Eko: 🐻‍❄🎤🐻‍❄🎤🐻‍❄🎤
13:21 | Absolute Link: 👏👏👏👏👏
13:21 | ElectroGeek007: 👏👏👏👏👏
13:22 | Rye Mountain: 👏👏👏
13:22 | Sheep: 👏👏👏👏👏👏👏
13:22 | FoolyQ: 👏👏👏👏
13:23 | Hanabi: 10/10
13:25 | Theblekedet: 👏👏👏👏👏👏👏
13:25 | Börk Börk: umai!
13:25 | Mechanized Doge: よかったです！
13:25 | Mew: 👏👏👏👏
13:25 | Verijero: 8888888888
13:26 | Ain't It: That was amazing!
13:26 | Rye Mountain: Very good!
13:26 | Chloro [クロロ]: 👏👏👏👏👏👏
13:26 | Suukotto Funsha: 👏👏👏👏👏 Amazing
13:26 | BasedBug: 👏👏👏👏👏👏
13:26 | Margrave: sasuga beatani!!! 
13:26 | SpaceTalon: ❤
13:27 | hohoemikuma: 8888888
13:27 | My wife left me: 👏👏👏👏👏
13:27 | CantDood: 88888888
13:28 | imalittle cupcake: I love you daughter! ❤
13:28 | XeniVari: 88888
13:29 | The Sword Art Online Dickriding Association: UOOOOOHH 👏👏👏👏👏👏👏
13:29 | idreamofcorn: 👏👏👏👏
13:30 | Raziel: 10/10
13:30 | RueTobas: 👏👏👏👏👏
13:30 | Cool bug Fact's: 👏👏👏👏👏👏
13:31 | Wayne Kerr: 👏👏👏👏
13:31 | Mister Eko: pachi pachi pachi pachi pachi
13:31 | Alexander Holzer: !!!!❤❤❤❤
13:32 | gyroninja: 88888888888888
13:34 | パナナナダ: nice!
13:34 | imalittle cupcake: 👏👏👏👏👏👏
13:35 | LadyCaitlin0429: woooooooo! 👏👏👏
13:35 | Mechanized Doge: Highschool time period
13:35 | Nasty Yukari: 888888888
13:37 | Monkberry Moon: yaaaaaaay
13:37 | Stray Wolf: 👏👏👏👏👏👏👏
13:37 | stuffed idiot: Almost got an encore lol
13:37 | estratos13: 🧨🐻❄️🧨👏👏👏👏👏
13:38 | Kofi: 👏👏👏👏👏👏
13:40 | Stray Wolf: 👏👏👏👏👏👏
13:42 | Sol Codguy: 👏👏👏👏
13:44 | Simón: 👏 beautifu!! 
13:46 | Kyle: Well done!
13:48 | World of Fiction: 👏👏👏👏
13:49 | Mayor Martin: 👏👏👏👏👏👏
13:51 | Stray Wolf: I still have most of the figmas 
13:55 | Mechanized Doge: 俺が高校出たばかりの時です、草
13:55 | Verijero: JK bear!
14:01 | Bob: 88888888888
14:01 | Destoroyar Fortress: :yougotthis:
14:02 | Raziel: a bear of culture
14:04 | Shippo: 8888
14:06 | Steven Frati: Great performance kuma!
14:09 | Sheep: time flies
14:10 | Alex santos: 👏👏👏
14:11 | Dp: 👏👏👏
14:15 | Destoroyar Fortress: I feel old too
14:20 | Tachi: Sure
14:21 | BasedBug: Boy that was only the first song too, this is gonna be great
14:21 | Stray Wolf: goodsmile never released the motorbike... 
14:22 | Mechanized Doge: いや、俺25歳だよ今
14:23 | A A: Old dads.
14:30 | The Sword Art Online Dickriding Association: 👏👏👏👏👏
14:31 | Absolute Link: it would be weird if your dad was younger
14:31 | Theblekedet: That was a long time ago...
14:33 | Wayne Kerr: ojisan dad?
14:33 | Nasty Yukari: lol
14:44 | Nasty Yukari: The upgrade, it shows!
14:46 | Mechanized Doge: Nice!
14:50 | Mister Eko: it sounds great!
14:51 | BasedBug: The audio equipment sounds great!
14:53 | Rye Mountain: It sounds very good!
14:55 | Raziel: It sounds really good!
14:55 | imalittle cupcake: This is the power of Amazon spell cards!
14:57 | Hanabi: sounds incredible
14:57 | Megiddo: I have two BRS scale figures, still look great
14:57 | VampirkoO: Nice!
14:58 | hohoemikuma: sounds awesome!
14:59 | Mew: :yougotthis::yougotthis:
15:01 | RueTobas: Yes you sound great
15:02 | Theblekedet: That's great! It definitely shows!
15:02 | stuffed idiot: the mic sounds great
15:03 | Absolute Link: yes!
15:05 | Sheep: yeah, it had a nice effect
15:05 | Kyle: Sounds great!
15:06 | CantDood: sounds much better yea
15:06 | Vitz: Yah!
15:06 | Chloro [クロロ]: That's great!
15:07 | Nasty Yukari: Yeah, we noticed!
15:09 | Rye Mountain: I noticed it was different but it is better yes
15:10 | ElectroGeek007: it sounds great!
15:10 | Marploah: !!!
15:13 | Mechanized Doge: yea, it's crystal clear
15:14 | XeniVari: Aye, a lot cleaner.
15:15 | Megiddo: your voice is so much clearer
15:17 | Flux: we could tell you sound alot better
15:18 | The Sword Art Online Dickriding Association: Yeah, it does sound better I think
15:18 | Alexander Holzer: lol
15:26 | Marploah: cuter than ever
15:28 | フェットチーネ: So that's why you sounded different 
15:29 | max r: level up
15:54 | stuffed idiot: this bear just keeps winning
15:54 | SpaceTalon: ❤
16:01 | Canna: Big improvement 
16:04 | BasedBug: Wow, high-tech bear
16:07 | Mechanized Doge: ah, the filters
16:07 | Steven Frati: High production bear!
16:11 | Verijero: you are singing from the bathroom!
16:20 | Marploah: a bear in its cave
16:22 | BasedBug: Windows XP hill has everything!
16:30 | Faja2485: Cave Bear
16:32 | minus INT [マイナスイント]: Studio daughter!
16:33 | Destoroyar Fortress: Yes I noticed that lol
16:45 | RueTobas: Thank the homeless and starving people that donated last stream too
16:46 | knowsur: I don't think it makes much difference over the Internet.
16:48 | Rob G.: cave bear scary
16:48 | imalittle cupcake: I'm smiling so widely tonight
16:52 | Verijero: based
16:53 | RueTobas: poor homeless japanese man
16:55 | Jackku Chan: That's cool!
16:55 | Jessica: Crisp Bear
16:57 | ThatVidyaGuy: She singing from her cave
17:03 | Megiddo: kusa
17:10 | Steven Frati: No income dads pitching in.
17:11 | Mister Eko: lol
17:13 | Mechanized Doge: 草
17:15 | Rob G.: homeless dad in our hearts forever
17:17 | hohoemikuma: ww
17:21 | max r: he is starving tonight, but beatani sounds great
17:22 | stuffed idiot: only true dads put themselves in financial ruin for Beatani
17:22 | coba cobra: lmaoo
17:22 | BasedBug: >HE DIED
17:23 | A A: Oh no.
17:24 | Mew: It's fine Toilet Ramen is tasty
17:25 | Hanabi: every dad gotta pitch in what he can
17:26 | Chloro [クロロ]: lol
17:29 | Mister Eko: DARK
17:30 | D3bugged: o
17:30 | Nasty Yukari: Ohh noo! lol
17:32 | Raziel: Doing without food and alcohol so their daughter sounds great, I appreciate their sacrifice
17:32 | CantDood: F
17:32 | Sheep: lol
17:33 | Börk Börk: HE can hear from the great beyond
17:37 | Jackku Chan: F.....
17:37 | Simón: rip
17:38 | ThatVidyaGuy: He got kicked off of the public wifi.
17:38 | Bob: rest well
17:39 | Absolute Link: daamn lol
17:39 | Tachi: F
