-7:43 | (New member) XeniVari: 待機
3:33 | (New member) Theblekedet: :_oha::_dayo:□:_bea:
3:33 | (New member) Hanabi: :_oha::_dayo:
3:33 | (New member) Kofi: :_oha::_dayo:
3:34 | (New member) Tachi: :_oha::_dayo:
3:34 | SpaceTalon: aaaaaaaaaaaAAAAAAAAAAAAAAAA
3:35 | (New member) Mister Eko: muted bear
3:35 | (New member) Nanashi: :_oha::_dayo:
3:35 | 123457474869: お肌よ
3:35 | (New member) クラガリ葉月: Mute bear.
3:36 | (New member) Sol Codguy: :_oha::_dayo:
3:36 | (New member) Zia: Nice sound
3:36 | (New member) Megiddo: Ohadayo~ muted bear
3:36 | (New member) Stray Wolf: muted
3:36 | (New member) ThatVidyaGuy: :_oha::_dayo:
3:37 | (New member) ThePlatinumCan: :_oha::_dayo:
3:37 | (New member) skrong: ohadayo
3:37 | Sheep: muted, ohadayo
3:37 | (New member) ユーネ: muted?
3:38 | RobDeLaMort: There's that cheeky Kumagai
3:38 | (New member) Zeng: mute?
3:38 | (New member) Verijero: muted
3:39 | stuffed idiot: おはだよ！
3:39 | (New member) Margrave: Good morning! :_oha::_dayo:
3:40 | 「Loru Apollo」: muted
3:40 | (New member) Antonio Badilla: おはだよ
3:41 | (New member) Kyle: :_oha::_dayo:
3:41 | (New member) OverMagnet: :_oha::_dayo::_bea::_bea:
3:41 | (New member) Heretic: :_oha::_dayo:
3:41 | (New member) Ekigo: Ohadayo
3:41 | (New member) The Pope: Muted
3:41 | (New member) No Body: :_oha::_dayo:
3:41 | (New member) Moeniki: :_oha::_dayo:
3:41 | (New member) Raziel: :_oha::_dayo: muted
3:41 | (New member) Fake Name: O H A D A Y O 
3:42 | (New member) Tachi: Mutes...
3:42 | (New member) Koruru: :_oha::_dayo:
3:42 | (New member) 77Yuja_: :_oha::_dayo:
3:42 | (New member) gyroninja: mute?
3:42 | (New member) Luginov: muted :_oha::_dayo:
3:43 | (New member) Mister Eko: lol
3:43 | (New member) hohoemikuma: :_oha: :_dayo:
3:44 | Your Local Weeb: ohayou!
3:44 | (New member) Shippo: :_oha::_dayo:
3:44 | (New member) Fake Name: MUTED
3:45 | Herbie Cucumber: bear muted
3:45 | (New member) Theblekedet: muted bear lol
3:45 | (New member) Zia: So this is the punishement, not mic.
3:46 | (New member) Stray Wolf: Ohadayo
3:47 | (New member) CantDood: muted bear
3:47 | Arcus crundelic: ohadayo
3:47 | Axiis: ya yeet
3:48 | AtomicBanana 55: Mute daughter
3:48 | (New member) Matthew: lol
3:49 | (New member) OverMagnet: MUTE?
3:49 | (New member) Silverion: :_oha::_dayo:
3:50 | (New member) Suukotto Funsha: :_oha::_dayo: Beatani
3:50 | (New member) BasedBug: Good start!
3:50 | VerticalCloud: おはだよ
3:50 | (New member) Verijero: kek
3:50 | (New member) RBZE7: ohadayo
3:51 | (New member) ユーネ: :_oha::_dayo:
3:51 | (New member) TWAIN: :_oha::_dayo::_sprdo:🍀
3:52 | (New member) Idle Bear: ohadayo!
3:52 | (New member) CantDood: :_oha::_dayo:
3:52 | (New member) Takahama Nuuta: :_oha::_dayo:□:_bea:
3:53 | (New member) Mechanized Doge: guten morgen dayo
3:53 | (New member) クラガリ葉月: :_oha::_dayo:
3:54 | 「Loru Apollo」: ohadayo
3:54 | 123457474869: お肌よ
3:54 | (New member) Mister Eko: :_oha::_dayo:
3:54 | ZVN: Good morning!
3:54 | SpaceTalon: Hello!
3:57 | (New member) Tianfang's Adventures: Good morning~ 
3:58 | AtomicBanana 55: Morning Bea!
4:00 | (New member) Steven Frati: :_oha::_dayo:
4:01 | TheHighestNativeGod: OHADAYO
4:02 | (New member) Mechanized Doge: :_oha::_dayo::_dayo::_dayo:
4:02 | (New member) XenMaster220: HAI BEA!!
4:02 | (New member) Mister Eko: GOOD START
4:03 | (New member) Absolute Link: good morning
4:04 | Herbie Cucumber: ohadayo!
4:05 | H.P.'s Cat: what up yubicraft
4:05 | (New member) ThePlatinumCan: How are you doing today?
4:07 | KaiserKrieger: GOOD MORNING CUTE DAUGHTER
4:07 | (New member) Canna: :_oha::_dayo:
4:08 | (New member) gyroninja: I am doing better
4:10 | (New member) Riptide Maurader: :_oha::_dayo:
4:10 | (New member) Xayn: :_oha::_dayo:
4:11 | Voltage: can i post the streamlabs link here?
4:11 | libi13levi: good morning
4:11 | Sheep: awkward
4:12 | (New member) OverMagnet: Oh god Iv'e gone deaf!
4:12 | (New member) XenMaster220: :_oha::_dayo:
4:13 | (New member) ユーネ: BEATANI LOVE
4:13 | RobDeLaMort: Add punishment for being muted
4:13 | Woop Woop: Hello bea
4:14 | Brandon21: >scuff from the get go | lmao
4:15 | D3bugged: Ohadayo
4:16 | Prinny Baal: :thanksdoc:
4:17 | (New member) CommanderMichael: ohadayo~~
4:18 | davidjl: welcome
4:20 | (New member) Nasty Yukari: Ohadayo!
4:21 | (New member) ユーネ: BEATANI LOVE
4:21 | Voltage: HELLOOO
4:22 | (New member) david johnston: :_oha::_dayo::_sprdo:
4:22 | (New member) Stray Wolf: donations turned off? 
4:25 | (New member) OverMagnet: :_oha::_dayo::_bea::_bea:
4:25 | (New member) TWAIN: ganbeatte!
4:28 | Mizuki Arisu: Ohadayo!
4:30 | KaiserKrieger: Daughter looks even cuter today
4:31 | (New member) No Body: ohabea
4:34 | sp33d4l0l: it's not a bear stream without scuff
4:34 | Voltage: OHADAYOO
4:40 | (New member) Nasty Yukari: Cringe and horny bear...
4:41 | Dr CEL: HI Honey 😭😭😭😭😭😭😭😭
4:41 | (New member) ユーネ: OHABEA
4:45 | (New member) ThatVidyaGuy: BEATANI LOVE
4:45 | Brandon21: Meds check! 
4:58 | (New member) BasedBug: OhadayUUOOOOHHH
5:01 | (New member) クラガリ葉月: Good stream
5:01 | (New member) Theblekedet: it is inevitable
5:02 | (New member) Stray Wolf: I'm inacent 
5:02 | (New member) ThePlatinumCan: Broken bear
5:04 | RobDeLaMort: Very giggly today aren't you?
5:04 | (New member) Margrave: lol
5:04 | (New member) A A: Asking for pity.
5:05 | (New member) Megiddo: Bear's giggles give me joy
5:06 | Sheep: you killed them, the goslings...
5:09 | (New member) LassesAffar: beatani LOVE
5:09 | (New member) CantDood: you need to listen to sad songs it helps
5:10 | Voltage: ohadayUoooHHH
5:10 | Herbie Cucumber: your heart meds....
5:11 | Andrew Ryan: no links allowed in the chat as of last time
5:14 | (New member) No Body: what happen?
5:15 | RobDeLaMort: Has this bear been at the whisky already?
5:17 | (New member) Zia: Why indeed
5:18 | (New member) ユーネ: what is Bea planning?
5:18 | AtomicBanana 55: Blessed giggles
5:19 | Viking: Beeeeeear
5:20 | (New member) Raziel: Beatani cuter than usual today
5:20 | KaiserKrieger: BEA'S BROKEN LETS GOOOOOOOOOO
5:22 | (New member) 77Yuja_: must watch
5:23 | Arcus crundelic: k
5:23 | (New member) skrong: baka bea
5:24 | (New member) max r: why shouldn't I watch ?
5:25 | stuffed idiot: sadist family and friends
5:26 | (New member) ユーネ: I'm addicted
5:26 | (New member) Rye Mountain: Why would I not?
5:26 | (New member) Margrave: Another good question 
5:27 | (New member) BasedBug: 🙌 CLEAN HANDS CHECK LETS GOOOOOO
5:27 | (New member) Tachi: Silly Bea, we always watch you
5:28 | Δ:  did stream start early or what
5:29 | 123457474869: idk gotta do something
5:30 | (New member) Fake Name: Why wouldn't I be watching
5:31 | (New member) Zia: Watching as punishment
5:31 | TheHighestNativeGod: cause bear is fun to watch
5:33 | (New member) Sol Codguy: To see somebody get punished
5:33 | (New member) ユーネ: BEA = DRUGS
5:34 | (New member) Tianfang's Adventures: I dunno why not
5:34 | (New member) OverMagnet: Beatani is CUTE!
5:35 | (New member) Ark K.: bears are endangered species
5:35 | (New member) imalittle cupcake: I love my daughter
5:36 | (New member) CantDood: oh I shouldn't?
5:37 | (New member) The Flesh Is Weak: 🦀and 💊
5:39 | (New member) CommanderMichael: :_sprdo:💔:_sprdo:
5:40 | (New member) gyroninja: I am watching because it is live
5:41 | (New member) Zia: Making sure punishment is done
5:42 | (New member) ThatVidyaGuy: Because this bear is entertaining.
5:43 | (New member) Luginov: Can't miss cute and funny bear..
5:45 | sp33d4l0l: bear is DRUG
5:47 | (New member) TWAIN: smug bear
5:50 | SpaceTalon: CUTE AND FUNNY UOOOOOAAAHHHHHH
5:51 | (New member) ThePlatinumCan: Why wouldn't I? 
5:53 | Woop Woop: BONK
5:53 | (New member) The Pope: Beatani LOVE
5:54 | AtomicBanana 55: Because Bea love
5:55 | (New member) Theblekedet: don't drag this bea
5:57 | (New member) Moeniki: UOOOH
5:59 | (New member) ユーネ: :_sprdo::_sprdo::_sprdo:
5:59 | (New member) Margrave: So who is getting punished? Is it (you)? 
6:03 | (New member) Raziel: She's cute, she's funny, 'simple as
6:04 | (New member) Mister Eko: I just like Omori...:_sprdo:
6:04 | Sheep: because I enjoy your streams
6:07 | KaiserKrieger: Bea a cute. CUTE!
6:10 | Horror: Beatani Love !
6:11 | (New member) BasedBug: How is (you)?
6:11 | (New member) CantDood: obligatory NAKED DOGEZA NOW
6:13 | (New member) Zia: ...
6:16 | RobDeLaMort: So much giggling o.o
6:17 | (New member) OverMagnet: :_sprdo:fugg
6:20 | Δ: the ritalin is wearing off bros
6:29 | (New member) ユーネ: what is kusogaki doing
6:31 | KaiserKrieger: TASUKETE KOKUJIN
6:36 | (New member) Xayn: Did you drink at 8am again?
6:42 | (New member) The Pope: Tasukete Nigerian cat man
6:48 | (New member) Stray Wolf: why? 
6:49 | (New member) Matthew: Beatani LOVE
6:49 | (New member) Absolute Link: who isn't these days?
6:50 | (New member) Margrave: Ah..yes.
6:54 | (New member) CommanderMichael: really? why? what's wrong?
6:55 | (New member) Tachi: A bit
6:55 | (New member) クラガリ葉月: Yeah, you sound depressed with all the giggling.
6:56 | AtomicBanana 55: Only a little
6:57 | (New member) imalittle cupcake: Everyone feels blue sometimes
6:58 | (New member) Mechanized Doge: 配信やツイットが面白い、べあしかやってない、とか。エンティティとして天才かな？
6:58 | (New member) BasedBug: The Twitter Shitposts changed, that was the first sign
6:58 | (New member) Raziel: :_nukutea:
6:59 | (New member) Zeng: you shitpost on twitter when you're depressed
7:00 | Your Local Weeb: depressed bear?
7:01 | (New member) Theblekedet: stfu Dr CEL
7:03 | (New member) No Body: time to dm her guys!
7:03 | (New member) Shippo: sad
7:04 | stuffed idiot: AAAAAAAAAAAA IT'S ALL OUR FAULT
7:05 | Sheep: time to block
7:06 | (New member) Mew: It's cringe yes
7:06 | (New member) ユーネ: 💊💊💊
7:06 | (New member) SukiKirai: ah yeah same but actually very depressed
7:07 | SpaceTalon: BUT WHY?
7:08 | (New member) max r: don't be sad. here , I will concern just for u
7:09 | Horror: it do be like that sometimes
7:10 | (New member) Tachi: Destroyed
7:10 | (New member) Raziel: Cringemas came early this year
7:11 | knull: based
7:11 | (New member) Nasty Yukari: We are all a little depressed and retarded, don't worry about it
7:12 | (New member) The Flesh Is Weak: cringe AWAY
7:13 | Δ: about what
7:13 | SpaceTalon: but why?
7:14 | (New member) ThatVidyaGuy: Everyone feels depressed sometimes.
7:15 | KaiserKrieger: Bea is sad. NOOOO
7:16 | (New member) Zia: Any reason in particular?
7:16 | (New member) Verijero: im gonna, IM GONNA REPLAY
7:17 | (New member) OverMagnet: 😢
7:19 | (New member) Fake Name: Punished bear
7:23 | (New member) max r: lol
7:24 | D3bugged: based
7:28 | (New member) Mister Eko: oh boy
7:28 | (New member) ThePlatinumCan: Okay
7:31 | (New member) Mechanized Doge: ドンマイっす。
7:31 | (New member) Jacob: beatani your antidepression reps Onegai...
7:31 | (New member) Theblekedet: let's talk!
7:31 | (New member) Margrave: Lol
7:33 | (New member) Mechanized Doge: >ban
7:34 | (New member) hohoemikuma: bang
7:34 | Joestar: Who is getting punishment?
7:35 | (New member) ユーネ: 草
7:35 | (New member) CantDood: :_sprdo:
7:36 | KaiserKrieger: based
7:38 | (New member) BasedBug: If it's about the Goslings, they need a stern talking-to
7:39 | (New member) billy joe【liar】: Can we beat up what made you sad?
7:39 | (New member) Mister Eko: this cringe is too strong
7:39 | (New member) クラガリ葉月: She's been lying to us. She's actually a guy.
7:39 | (New member) Margrave: cringe AWAY
7:40 | (New member) ユーネ: :_sprdo:
7:41 | (New member) skrong: grass
7:42 | (New member) ThePlatinumCan: KEK
7:43 | (New member) Xayn: IIIIT'S PUNISHMENT TIME
7:43 | (New member) Fake Name: Bang!
7:46 | Voltage: BEA EXPLAINN
7:46 | (New member) Mew: 🔨:_sprdo:
7:48 | (New member) Luginov: they're dead. cringe is dead.
7:48 | (New member) max r: :_sprdo:
7:49 | (New member) gyroninja: :_sprdo:
7:51 | KaiserKrieger: 車
7:53 | (New member) The Flesh Is Weak: 🦀
7:56 | (New member) ThePlatinumCan: :_sprdo:
7:57 | (New member) ユーネ: :_sprdo:
8:00 | (New member) 77Yuja_: Don’t debress :_sprdo:
8:02 | (New member) Stray Wolf: Bang! You're gonna carry that weight
8:05 | (New member) Tianfang's Adventures: :_sprdo: punished dad
8:06 | Dr CEL: ToT ToT ToT ToT ToT ToT HI HONEY ToT ToTToTToT
8:06 | Andrew Ryan: we are inoccent ! 無罪です
8:07 | (New member) The Pope: It's all our faults, dads
8:08 | Boogaloo Weed: among? us?
8:08 | (New member) Xayn: amogus
8:10 | (New member) Zia: I'd have med suggestions but..
8:10 | (New member) Stray Wolf: among us? 
8:13 | (New member) BasedBug: So, concernfriends and schizos
8:16 | (New member) OverMagnet: 🥺🔨:_sprdo:
8:18 | (New member) Margrave: Ok ok.
8:18 | (New member) Matthew: Viewer chan did nothing wrong
8:18 | (New member) No Body: sus..
8:19 | (New member) Suukotto Funsha: Not our fault dads, we're good
8:21 | AtomicBanana 55: Pog
8:22 | (New member) ユーネ: not (you)
8:23 | Boogaloo Weed: sus sus sus sus
8:24 | (New member) ユーネ: :_sprdo:
8:25 | Joestar: So wait
8:25 | (New member) CommanderMichael: safe
8:26 | (New member) Zia: Innocent, all of us?
8:27 | Sheep: oh ogey
8:27 | (New member) Theblekedet: Not (us)?
8:28 | (New member) Stray Wolf: SUS
8:28 | (New member) Ekusupuroshon: susu...
8:28 | (New member) Mister Eko: (we)
8:29 | TheHighestNativeGod: innocent moms, as expected
8:29 | webm aristocrat: amogsus
8:29 | (New member) RBZE7: of coursze I'm pure and innocent
8:31 | (New member) Shippo: the dads are never innocent...
8:31 | (New member) クラガリ葉月: I don't know that I'd call myself innocent.
8:31 | Joestar: Who isn’t innocent “
8:33 | (New member) CantDood: no way
8:33 | Voltage: listenerchan___
8:34 | Arcus crundelic: hmmm
8:35 | stuffed idiot: right...
8:37 | (New member) Margrave: Yes...
8:38 | (New member) ThatVidyaGuy: Yes
8:39 | (New member) Verijero: no
8:39 | (New member) ユーネ: dads are safe
8:39 | (New member) Zia: Always been innocent
8:40 | (New member) Canna: Vividly 
8:41 | (New member) BasedBug: How could I forget the last stream
8:42 | (New member) Kyle: Indeed
8:43 | (New member) Tachi: Yah
8:44 | Sheep: yes I remember...
8:44 | (New member) Mew: 🍻🍻
8:44 | (New member) The Flesh Is Weak: apology kiss:_sprdo:
8:45 | (New member) ThePlatinumCan: Yeah...
8:45 | (New member) Fake Name: All I know is that dads were on fire all the last couple days
8:46 | (New member) ユーネ: I don't remember...
8:47 | Arcus crundelic: drinking is very nicce
8:47 | (New member) Theblekedet: Oh I remember it alright
8:47 | (New member) 77Yuja_: yea drinking on a sunday at 7am...
8:48 | (New member) Luginov: Serious drunk bear..
8:49 | 123457474869: >at 7am
8:49 | (New member) Moeniki: drunk bear
8:50 | (New member) skrong: my memory was erased
8:52 | (New member) hohoemikuma: !!!??
8:52 | (New member) ThePlatinumCan: Oh no
8:52 | (New member) Verijero: KEK
8:53 | Boogaloo Weed: noo dont take your meds
8:53 | Voltage: yah
8:55 | (New member) hohoemikuma: yabaiii
8:56 | (New member) Theblekedet: lol
8:56 | (New member) Nasty Yukari: Yabai combination
8:56 | (New member) Suukotto Funsha: Oh, that is bad
8:57 | (New member) Mister Eko: what
8:57 | Cheese: oh no
8:57 | (New member) Zia: Terrible idea
8:57 | (New member) ユーネ: :_sprdo:💊
8:58 | (New member) Matthew: 🍺💊oh no
8:58 | AtomicBanana 55: Yabe
8:58 | (New member) Margrave: Meds with drink is death...
8:58 | stuffed idiot: the golden combo
8:59 | RobDeLaMort: As usual I have no idea what's going on
8:59 | VerticalCloud: ah not so good
8:59 | (New member) Fake Name: Don't take your meds with alcohol
8:59 | Sheep: oh damn
9:00 | (New member) No Body: oh yeah thats bad
9:00 | knull: yabe
9:01 | Brandon21: LMAO
9:01 | (New member) CantDood: but of course
9:01 | Your Local Weeb: >mixing meds with alcohol
9:01 | (New member) Sol Codguy: Bea 😞
9:02 | (New member) クラガリ葉月: あー
9:03 | (New member) Zed: kek
9:03 | (New member) ThatVidyaGuy: dangerous
9:04 | (New member) Mechanized Doge: good lord
9:04 | (New member) The Pope: Oh lmao no don't do that
9:04 | (New member) Theblekedet: what the heck bea
9:04 | (New member) Mew: 5 am beer medicine :_sprdo::_sprdo:
9:06 | (New member) Rye Mountain: ...
9:06 | (New member) Stray Wolf: kusuri away 
9:07 | (New member) CommanderMichael: >she's drinking sake
9:07 | (New member) Zia: Why tho
9:07 | (New member) Atomsk: やばい
9:08 | (New member) XenMaster220: MEDS AWAY!
9:13 | webm aristocrat: >ritalin
9:13 | (New member) TWAIN: 🍺💊
9:15 | Δ: oooooh i got it right bros
9:16 | (New member) Jacob: I'm pretty sure your meds say NOT to do that bea...
9:17 | Brandon21: >vitamin and alcohol
9:22 | David Lopez: that's not a good idea lol
9:22 | (New member) Tianfang's Adventures: wha wha
9:26 | Your Local Weeb: >downers with uppers
9:26 | (New member) ユーネ: わかる
9:27 | (New member) Verijero: >partying at 7 am in japan
9:27 | AtomicBanana 55: I understand
9:34 | (New member) Fake Name: DON'T TAKE THE MEDS
9:34 | Horror: AWAY
9:35 | (New member) SukiKirai: yeah concerta also used to mess up my mod 
9:36 | Boogaloo Weed: >take meds >stream disappears 
9:37 | (New member) Mechanized Doge: えええ
9:44 | (New member) Mister Eko: so you DID take your meds
9:46 | (New member) Margrave: Never drink alcohol with meds...that's really bad!
9:46 | (New member) Stray Wolf: you shouldn't take meds with alcohol
9:48 | (New member) Tachi: Self destructive bear
9:48 | sp33d4l0l: meds AWAY
9:48 | (New member) ユーネ: 薬 away!
9:48 | (New member) BasedBug: That certainly explains why the stream took a different turn
9:50 | Herbie Cucumber: meds and booze; the breakfast of champions
9:53 | (New member) SukiKirai: specially if I took them with alcohol
9:53 | webm aristocrat: mixing alcohol and ritalin isnt a good idea...
9:54 | (New member) Stray Wolf: yabai 
9:55 | (New member) OverMagnet: No 🍺 ONLY :_nukutea:
9:56 | (New member) Raziel: Knew a guy who took his meds with alcohol, stabbed his brother
10:00 | Brandon21: silly old bear....
10:10 | sp33d4l0l: no med
10:13 | sp33d4l0l: only drink
10:18 | (New member) Mister Eko: It was the drugs fault...
10:19 | Sheep: so the alcohol+your meds removed all your filters lol
10:20 | (New member) CantDood: excuses excuses
10:23 | (New member) Mechanized Doge: なるほど。。。
10:25 | (New member) クラガリ葉月: Poor Bea.
10:29 | SpaceTalon: so tl;dr from now on: alcohol AWAY!
10:35 | Arcus crundelic: :(
10:36 | Zaxonite: take your meds
10:38 | Boogaloo Weed: doesn't that defeat the point of taking ritalin
10:41 | (New member) RBZE7: once took meds with alcohol by accident, had sleep paralysis for weeks after that
10:44 | (New member) ユーネ: emobear
10:45 | (New member) The Flesh Is Weak: Ritalin + Bacardi = Bakalin:_sprdo:
10:47 | (New member) Hanabi: mixing meds with alcohol is a very yabai thing
10:47 | (New member) Zia: All the med's fault hmm
10:50 | (New member) ユーネ: :_sprdo:
