-46:48 | Tachi: 🐻‍❄🍀
5:03 | Raziel: Waifu collecting
5:08 | SukiKirai: good evening bea and my wife aubrey
5:10 | Alfa Ayed: cute as always
5:18 | Ark Sword: father in law?!
5:27 | Verijero: good evening western hemisphere chads
5:30 | Fekin Peysy: so we are father-in-law now
5:33 | Absolute Link: well of course, that would be incest
5:35 | 92Pesonen: its 1:106 am for me 😪
5:39 | stuffed idiot: Omari was actually a wife gacha game this whole time
5:41 | TheCanti: I'm happy as a father in law
5:47 | imalittle cupcake: Our daughter is so energetic in the morning 
5:59 | BasedBug: We are NEET dads
6:04 | Destoroyar Fortress: That was so cute...
6:06 | TheCanti: Dog fence
6:11 | TWAIN: is that a hotdog
6:16 | Absolute Link: lmao
6:21 | Alfa Ayed: diggity diggity
6:24 | Zeng: hotdog blocks the suez canal
6:27 | Destoroyar Fortress: Eat the dog!!
6:30 | thelastshinobi56: lol
6:30 | TheCanti: Mmm, hot dog
6:34 | imalittle cupcake: Revenge time
6:34 | Derekであります !: long dog
6:35 | SpaceTalon: what?xD
6:40 | Absolute Link: maybe you need a poke-flute
6:43 | HashSlash: Eat the dog for revenge
6:55 | Ikxi: hallo!
6:55 | TheCanti: Time for you to get revenge, this time YOU eat the dog
7:00 | thelastshinobi56: more doge lore
7:06 | Alfa Ayed: is that snorlax?
7:33 | Hanabi: aren't those the guys that stole our candy last time?
7:43 | Zhnigo: tetherball = ball on a rope
7:47 | TheCanti: Ball you attach to the pole and you smack it to each other
8:23 | Voltage: attach the snorlax guy to the tether
8:50 | TheCanti: Hard head means stubborn!
9:25 | Mechanized Doge: ohadayo...
9:49 | SukiKirai: you get a great skill for aubrey if you help them though
10:02 | Fettuccine フェットチーネ: Ohadayo~
10:18 | Verijero: i want more aubrey love
10:27 | CommanderMichael: ohadayo~~~
10:57 | TheCanti: Dads are stronger together
11:07 | webm aristocrat: ohadayo~
11:08 | imalittle cupcake: Don't headbutt your dad, please...
11:09 | thelastshinobi56: cute headbutt
11:11 | Destoroyar Fortress: ouch
11:13 | Idle Bear: strong bear head
11:18 | TheCanti: Powerful headbutt..
11:24 | Derekであります !: yes
11:29 | Zeng: yes that is headbutt
11:54 | imalittle cupcake: Based bear
11:55 | TheCanti: You must forgive daughter!
12:15 | Destoroyar Fortress: Bear...
12:42 | Derekであります !: oh no
12:56 | Shippo: ohadayo
13:32 | TheCanti: They're going to see Beatani in concert
13:44 | TheCanti: Four front row tickets for the karaoke
14:08 | thelastshinobi56: Kill them Beatan
14:26 | Destoroyar Fortress: Beatani concert yah!
14:28 | Megiddo: lucky moles
14:29 | BasedBug: How much is a ticket?
14:37 | Voltage: dancing bear is best bear
14:42 | Raziel: can't wait for the karaoke party
14:46 | Peer: ohadayo
14:48 | Absolute Link: exciting
14:56 | Mew: membership Y A H when
14:56 | Mechanized Doge: ギターも楽しみだね
15:03 | Idle Bear: Take your time
15:26 | TWAIN: sweetheart bear
15:37 | SukiKirai: sweetheart is cute you are going to like her bea
15:59 | TheCanti: Now we need fanart of Princess sweetheart/beatani
16:19 | 92Pesonen: you are on the correct path
16:48 | Verijero: aaaa
17:02 | Tachi: Ooh
17:06 | TWAIN: come at me spiders
17:19 | Derekであります !: Spiders are cute!
17:21 | Destoroyar Fortress: Kumo kirai
17:21 | Zeng: I like spiders too
17:23 | Kyle: Spiders eat flies so they are based in my book
17:26 | cycochaos2: I like spiders too
17:27 | Inaba: idk about that
17:31 | 92Pesonen: are all spiders cute? even big ones?
17:36 | Absolute Link: tarantula yes
17:37 | Verijero: wtf
17:45 | SukiKirai: spiders are friends
17:47 | Mew: big ones are less harmful
17:47 | cycochaos2: ah the talantula 
17:48 | TheCanti: Spider ramen is scary..
18:09 | TheCanti: Hard you to catch flies with your bear paws, we understand
18:11 | Mothman: hello
18:13 | estratos13: based you know hachaama
18:35 | TheCanti: Spider Web
18:41 | thelastshinobi56: spider web?
18:41 | Destoroyar Fortress: Spider's nest
18:42 | Hanabi: spider web?
18:43 | LassesAffar: spider nest?
18:43 | Inaba: spider web?
18:51 | Vitz: Spider's web
18:53 | cycochaos2: Web
19:02 | Mechanized Doge: ああ、なるほど
19:15 | cycochaos2: Spider nest is pretty cute, though
19:17 | imalittle cupcake: Time for funny dad jokes
19:20 | Verijero: you write memes like gondola there
19:21 | Raziel: cobweb is an old web
19:23 | Stray Wolf: "蜘蛛を食べた なにか？"
19:27 | TheCanti: Spider nest is understandable too
19:31 | thelastshinobi56: Beatani you know some jokes?
19:58 | Zhnigo: tentacle...
20:13 | Mechanized Doge: どんなジョークが入ているでしょう
20:16 | Destoroyar Fortress: like vibrating?
20:28 | Zeng: lake tax
20:29 | TheCanti: Good luck in US to throw money into fountains
20:31 | Akka Oni: Wishing Pond?
20:33 | thelastshinobi56: to feed the fish
20:33 | Zhnigo: why would you throw money into the lake
20:36 | Hanabi: like a wishing well or something maybe?
20:38 | Destoroyar Fortress: Wish
20:46 | Voltage: tribute group the clams to the gods
21:10 | imalittle cupcake: Wish for something, daughter
21:16 | Destoroyar Fortress: Maybe you'll get a magical sword out of the lake+
21:18 | Voltage: called it
21:21 | Canna: Loli of the lake 
21:33 | TheCanti: Daughter, can you introduce me to Weeping Willow she's cute
21:49 | Zeng: the joke book is empty
21:49 | Voltage: oh loli of the lake what is your wisdom?
21:52 | 92Pesonen: This looks a jobs for a Hero!
22:01 | stuffed idiot: scammed
22:34 | Hanabi: minecart
22:43 | Mechanized Doge: めかくれ?
22:44 | Kazoo: strange women lyin' in ponds distributin'swords is no basis for a system of government
23:07 | Verijero: when the hair covers the eyes?
23:11 | Destoroyar Fortress: No excalibur for the bear 😞
23:15 | imalittle cupcake: Thank you bear for teaching dad
23:20 | Mechanized Doge: 目隠れかな?
23:55 | Verijero: i love long bangs
24:01 | Mew: what a confusing forest
24:09 | Verijero: kakure = something about hiding right?
24:25 | Destoroyar Fortress: The're a lot of characters like that yah
24:30 | Stray Wolf: mekakure = blindfold 
24:49 | Verijero: thanks
24:56 | Mechanized Doge: I see... I learn new terms everyday
24:56 | imalittle cupcake: oh that's where the name in mekakucity actors comes from?
24:57 | TWAIN: did someone eat the doggo
25:07 | TheCanti: Here's a joke for you daughter: "Why did the Golfer bring two pairs of pants? In case he got a hole in one!"
25:43 | Voltage: daisy daisy
25:59 | BasedBug: I never heard that one before, that's a good joke
26:53 | Stray Wolf: now that I think about it mekakure is common in H protagonists lol 
26:57 | Kazoo: my cat's name is daisy
27:08 | Kaiser Kebab: Hi my daughter
27:38 | Destoroyar Fortress: It's a golf joke
27:43 | Voltage: she lacks the required context lol
27:54 | TheCanti: A hole in one is the best score in gold, and if you had a hole in your pant, you'd want an extra one
28:09 | Absolute Link: lmao
28:15 | Suukotto Funsha: Daisy might be a charm, that's in your equipment menu
28:29 | LassesAffar: Hole in one = いっぱつであたる
28:30 | Destoroyar Fortress: dads...
28:41 | Mechanized Doge: 何でゴルフのおじさんがズボンを2つも持っていますか?
28:42 | TheCanti: Lol
28:46 | Kazoo: also you may poop your pants if you get a hole in one
28:46 | Voltage: punny
29:11 | Raziel: your golf reps, Beatani
29:24 | Destoroyar Fortress: @Kazoo don't
29:33 | MBmasher: helloooo
29:40 | Kazoo: from excitement
29:53 | Boogaloo Weed: golf is an old man's gam
29:54 | Verijero: kek
30:18 | TWAIN: was that a noose
30:33 | Mechanized Doge: それはねボールが穴に入れたらの理由、
30:35 | Verijero: never played it
30:38 | Zeng: I golf sometimes
30:38 | Tachi: Nah
30:39 | BasedBug: Minigolf is a lot better
30:46 | Absolute Link: haven't been golfing in a long time
30:49 | thelastshinobi56: nobody playes golf
30:55 | Generic Guy: I like golf but I suck
30:59 | Idle Bear: Yes. Minigolf is fun.
31:01 | Fake Name: I only played mini golf with my grandpa before
31:05 | imalittle cupcake: I liked playing golf in Ryu ga Gotoku 3 but haven't played it in real life
31:07 | Zhnigo: these pinwheels not looping properly give me an aneurism
31:13 | Boogaloo Weed: Minigolf is fun when you're drunk
31:16 | TheCanti: Mini golf is fun
31:18 | Stray Wolf: not common in my country
31:29 | Idle Bear: Proper golf is for businesses deals, & drinking.
31:42 | Absolute Link: ever play Mario Golf?
31:48 | Destoroyar Fortress: Ryu ga gotoku is life
31:48 | Kazoo: Mario golf?
31:53 | imalittle cupcake: They are really fun games, I love them 
31:54 | Generic Guy: good games
32:01 | Zhnigo: ryu ga gotoku is quite good
32:04 | Stray Wolf: Ryu ga gotoku is nice 
32:12 | Hanabi: ryu ga gotoku is is pretty interesting but the story is pretty ridiculous
32:13 | Zhnigo: good mix of slapstick and drama
32:18 | Boogaloo Weed: Playstationbros... we won
32:19 | Tachi: Based
32:26 | Idle Bear: Did you have PC Engine?
32:28 | Absolute Link: ohhh gameboy advance was one of the best
32:29 | Zhnigo: ryu ga gotoku games are called "Yakuza" in the west
32:29 | Fekin Peysy: based playstation user
32:31 | HashSlash: Based consoles
32:36 | Mechanized Doge: へー
32:44 | Verijero: based retro bear
32:55 | Juvisy: GBA was the best 
33:06 | TheCanti: Gamecube was a very fun system
33:24 | Raziel: Incredibly based!
33:42 | Verijero: we had a fake version of the famicon called family
33:43 | BasedBug: Gamecube had so many fun games. Phantasy Star Online, Kirby Air Ride and lots more
33:47 | Kazoo: Did EA release Tiger Woods golf in Japan I wonder
33:52 | Boogaloo Weed: I love the PS2
33:52 | LassesAffar: mom said gamecubes are for kids?
33:55 | Idle Bear: 😞
33:58 | Nue Houjuu: 😢
33:59 | Kaiser Kebab: Small Bea voice is cute!
34:03 | Mechanized Doge: GameCube is too childish lol
34:03 | HashSlash: 😞
34:06 | thelastshinobi56: Normie mom
34:07 | Absolute Link: oh no!
34:07 | Generic Guy: too childish?!
34:13 | cycochaos2: lol Nintenbros BTFO
34:17 | TheCanti: This is why Dad is better
34:20 | Voltage: based bea 
34:21 | Mechanized Doge: おもろい
34:21 | Ontack: 草
34:23 | AnomalousRaven: holy based
34:24 | Zhnigo: nintoddlers...
34:26 | CommanderMichael: haha nintendown
34:27 | Boogaloo Weed: mom is based
34:31 | Idle Bear: Is Mother a gamer?
34:35 | Fake Name: It feels good to be the same age as my daughter so when she talks about her childhood I can say "あるある"
34:36 | D3bugged: based mon
34:37 | TWAIN: bearmom has great taste
34:41 | BasedBug: Gamer bear mom???
34:42 | Mechanized Doge: this is like the opposite of most parents' thinking lmao
34:43 | Kazoo: did your mom work for Sony?
34:46 | CommanderMichael: PS2 does what nintendont
34:49 | Doran's Shield: most kino stream in the game
34:50 | cycochaos2: Bear mom raised you well 
34:54 | Hanabi: a lot of parents (mine included) wanted PS2s instead of gamecubes because they could play DVDs
34:58 | Zeng: your mom is wrong
35:00 | Verijero: i still have a working sega genesis i think
35:09 | thelastshinobi56: Trees are pretty strong
35:11 | Boogaloo Weed: @Hanabi that might be why lol
35:12 | Zhnigo: can you run from the tree though
35:16 | Jackku Chan: Drunk from a dinner evening and Beatani is streaming hell yeah
35:33 | Ukitsu2: Last thing I played was F-Zero for Super Famicon/SNES. Emulator, but I do own it.
35:36 | imalittle cupcake: Were there any games on PS2 you liked?
35:36 | TheCanti: A tree should be very easy to run from
35:37 | Verijero: follow your heart
35:40 | Zhnigo: PS2 costed about as much as a decent DVD player at launch
35:43 | Destoroyar Fortress: The bear is lost
35:59 | (Verified, Moderator) Streamlabs: AnomalousRaven just tipped $20.00 dayo!
36:03 | HashSlash: Since you were a Playstation kid, I know you said you liked Crash, but did you ever play Spyro?
36:04 | TheCanti: A bear is lost in the woods
36:20 | Jackku Chan: Yah PS2 >>>> Gamecube for sure
36:24 | Tachi: PS2 is cooler and better
36:33 | Absolute Link: if you only could get one, PS2 is a good choice... shame to miss out on the gamecube though
36:36 | Boogaloo Weed: Playstation is for coooool kids
36:43 | WizJR W: Gamecube > PS2
36:56 | Zia: Well in Japan, of course it would be playstation ahah
37:07 | Jackku Chan: Itchin' = Slang word for really wanting to
37:08 | Hanabi: itchin - have an itch
37:09 | Boogaloo Weed: itching=you want to do it
37:10 | Fake Name: "itching to play": wanting to play
37:10 | HashSlash: Itching is slang for excited
37:11 | Verijero: who is (you)?
37:12 | Zhnigo: at least it's not xbox
37:22 | Zia: Gamecube shape is funny tho
37:26 | imalittle cupcake: A flowerbud 
37:30 | Destoroyar Fortress: Who is me?
37:33 | Zeng: flower bud
37:36 | Zhnigo: flowerbud
37:42 | Fake Name: Itching like itchy
37:51 | Voltage: scratching 
37:56 | Voltage: medically
37:57 | TheCanti: Flower baby is cute tho
38:04 | Kazoo: bud means friend
38:05 | Destoroyar Fortress: Baby flower
38:11 | Zeng: its bulbasaur
38:11 | Boogaloo Weed: i like flower baby
38:31 | Zeng: buddy
38:38 | Boogaloo Weed: I dont think a flower bud means friend tho lol
38:38 | Mew: baby flower
38:47 | Fake Name: Well, bud meaning "friend" is short for buddy
39:02 | Kazoo: another pun?
39:07 | Voltage: context reps are needed bros
39:10 | Destoroyar Fortress: Usagi kirai...
39:13 | TheCanti: To the East daughter!
39:15 | TheCanti: -->
39:31 | Verijero: creepy song!
40:00 | Boogaloo Weed: "to the east" but goes west actually
40:16 | Fake Name: Is she going the wrong way?
40:29 | Fake Name: I guess not
40:33 | TWAIN: no it;s fine
40:43 | Zia: Classic
40:46 | Verijero: cute
40:47 | Zhnigo: see you in a while, crocodile
40:47 | imalittle cupcake: In a while, crocodile!
40:50 | thelastshinobi56: Berly was not the fat dude?
40:53 | HashSlash: In a while, crocodile!
40:54 | Ontack: かわいい
40:56 | LassesAffar: After a while, crocodile!
40:59 | TheCanti: In a while, crocodile!
40:59 | Voltage: later alligator
41:42 | Boogaloo Weed: interior crocodile alligator
41:50 | Raziel: after awhile crocodile
41:57 | Zia: In an Hour, Sunflower
42:16 | Destoroyar Fortress: Wani sounds like kani
42:25 | Voltage: the reply to see you later alligator is in a while crocodile or after a while crocodile
42:33 | BasedBug: What's shakin', bacon?
43:01 | Verijero: i feel like im learning a lot of a boomer young life with this game
43:04 | Verijero: from the us
43:12 | Kazoo: hopefully the skill is joke telling
43:17 | BasedBug: Actually, it's funny because a Kanji learning website is called WaniKani
43:20 | Derekであります !: wakey wakey eggs and bakey
43:26 | imalittle cupcake: Wait, so what do kids do now? Not play in parks?
43:32 | TheCanti: OUCH
43:35 | Destoroyar Fortress: Ouch
43:38 | Idle Bear: bearbut
43:52 | Voltage: headbut the chat bea!
43:52 | Boogaloo Weed: Kids stay inside and talk to strangers online these days
43:59 | Verijero: kek
44:06 | MBmasher: i never learned headbutt and i kinda regretted it
44:09 | LassesAffar: kids pokemon go to the park
44:23 | Hanabi: "brush"
44:27 | TheCanti: ...uh oh
44:29 | Destoroyar Fortress: Hair touching bear...
44:43 | Inaba: here we go
44:45 | Verijero: brush her by peropero
44:45 | TWAIN: intense hair brushing sessions
44:52 | Boogaloo Weed: you too
44:54 | imalittle cupcake: I want to brush Beatani's hair...
44:58 | Kazoo: learned in the game or real life?
45:12 | Voltage: peropero
45:13 | Tachi: Peropero
45:15 | D. D.: what's happening
45:16 | Verijero: aubrey headbutting is fucking cute
45:19 | Derekであります !: LOL
45:20 | TheCanti: Calm down daughter
45:24 | Destoroyar Fortress: bear... control...
45:31 | LassesAffar: purple hair prpr
45:42 | 92Pesonen: Hello police? there is a bear licking a young girl
45:42 | Jackku Chan: R-Relax Beatani
45:47 | Des Dichado: grass
45:47 | Raziel: grooming time
45:52 | Alfa Ayed: yes, come to the dark side
46:00 | BasedBug: Oh god
46:02 | Absolute Link: slurp
46:02 | Des Dichado: Very excited bear
46:04 | TWAIN: live peropero
46:04 | Boogaloo Weed: beatani is a creeper
46:09 | MBmasher: oh god
46:12 | Fake Name: CUTE
46:13 | Destoroyar Fortress: Bear....
46:19 | Mew: CUTE
46:27 | Alexander Holzer: Lol
46:29 | Inaba: kuma...
46:32 | Tachi: lol
46:39 | TheCanti: Someone get a spray bottle for our daughter
46:45 | Jackku Chan: Uooooh
46:58 | Canna: The faster she talks the more suspicious she gets. 
46:59 | Voltage: it’s natural for bears to peropero
47:12 | Destoroyar Fortress: Bad bear
47:19 | Boogaloo Weed: 😭
47:39 | Alfa Ayed: dad jokes...
47:49 | Fake Name: Peropero is perfectly healthy for a bear to do, especially with Aubrey
48:41 | Boogaloo Weed: for you
48:46 | Verijero: he doesnt get to bring friends
49:22 | thelastshinobi56: Bullying
49:32 | Boogaloo Weed: Berly is an M
49:34 | TWAIN: so violent
49:37 | Zeng: does Van get a say in this
49:39 | LassesAffar: reverse ryona?
49:45 | Voltage: bullying
49:45 | TWAIN: don't become like him beatani
49:46 | Verijero: god i wish aubrey hit me like that
49:49 | Tachi: S&M play...
49:52 | Derekであります !: S M A S H
50:25 | Destoroyar Fortress: I want Aubrey to step on me...
50:28 | Kazoo: Van looks like Baymax
50:42 | 92Pesonen: woah!
50:45 | Jackku Chan: Eropg..
50:46 | Verijero: hentai rpg stream when?
50:58 | CommanderMichael: yamero beatani
51:00 | Boogaloo Weed: kinky shit
51:12 | D3bugged: lewd
51:19 | Fake Name: A little suspicious
51:24 | TheCanti: She practicing her headbutt
51:31 | Verijero: kek
51:38 | hohoemikuma: juice???
51:39 | Destoroyar Fortress: WAIT
51:40 | Suukotto Funsha: uh...
51:42 | stuffed idiot:  NTR!?
51:44 | thelastshinobi56: lmao
51:51 | Zeng: aubrey juice
51:53 | skrong: lol
51:54 | BasedBug: Man what is this game
51:58 | Fake Name: Ummmmm
52:05 | Derekであります !: JUSHIE
52:06 | Boogaloo Weed: j-juice???
52:09 | stuffed idiot: 🤔
52:11 | Ludd: J U I C E 
52:15 | TheCanti: It was just practice for her headbutt!
52:16 | thelastshinobi56: the toilet ramen wasn't enough
52:18 | Destoroyar Fortress: Sensitive....
52:24 | Raziel: Poor Teddy getting NTR'd
52:25 | Destoroyar Fortress: BEAR
52:26 | Canna: lmao
52:27 | BasedBug: WHAT
52:27 | Absolute Link: it's ok by me
52:30 | Jackku Chan: Beatani ecchiii aaa Beatani hentaaiii
52:39 | Fake Name: What on Earth was that scene
52:43 | HashSlash: 👀💦
52:49 | Canna: Stay away from that juice 
52:59 | stuffed idiot: I didn't think beatani was brave enough to play an eroge on stream
53:06 | Nick Jarmusz: what day is this guys
53:18 | TheCanti: NTR is bad
53:19 | Tachi: based
53:20 | Zhnigo: phew
53:20 | Destoroyar Fortress: In front of Bea's eyes...
53:25 | Fake Name: Baseball bat Aubrey is best Aubrey
53:37 | Zia: Well of course
53:45 | HashSlash: @Nick Jarmusz I think theres 3 days left
53:46 | Zia: There's always netori I guess
53:52 | thelastshinobi56: Aubrey headbutt ...
53:56 | Jackku Chan: Your girlfriend is Berlys girlfriend now
54:06 | TheCanti: Don't worry Beatani your Dads won't NTR you with a different daughter
54:06 | Derekであります !: mistakes were made
54:14 | Raziel: she must take r
54:18 | Destoroyar Fortress: Stole your gf lmao
54:19 | LassesAffar: what if beatani clone cheats on beatani with another beatani clone?
54:21 | Raziel: responsibility
54:40 | スヌープさん: why are you guys talking about ntr? lol
55:00 | Tachi: Trauma
55:08 | TWAIN: poor bunny got abused
55:13 | Nick Jarmusz: thanks hash
55:18 | thelastshinobi56: it's Berley's fault
55:21 | Zia: Game's fault..
55:25 | TheCanti: Don't think about it daughter!
55:28 | Mechanized Doge: 「彷徨いている」は wandering らしい
55:31 | TWAIN: oh it was a tyre not a noose ok
55:31 | Jackku Chan: Aubrey is my girlfriend now, actually.
55:44 | スヌープさん: aaaahhh naruhodo
55:44 | Mew: PAIN 
55:45 | david johnston: l-lewd...
55:46 | Tachi: Pain yah...
55:46 | Destoroyar Fortress: Explaining it makes it worse bea
56:02 | Hanabi: I can't believe aubrey would do this to our daughter
56:06 | BasedBug: Juice... from a man?
56:26 | HashSlash: Beatani dont forget to water the flowers!
56:30 | Destoroyar Fortress: stop..
56:35 | TheCanti: You can water the flower with the watering can if you want
56:47 | Derekであります !: juice is healthy so it's all good
56:59 | スヌープさん: oh...
57:23 | TheCanti: Our daughter is very forgiving
57:24 | thelastshinobi56: but the juice
57:32 | Mew: Yanderelove
57:49 | Fake Name: Do you love Aubrey as a delinquent?
58:05 | stuffed idiot: I think beatani was mind broken by the NTR scene
58:16 | Destoroyar Fortress: It was so traumatic she forgot what to do
58:49 | Verijero: we still need to find basil?
59:00 | Zeng: ask about Weeping Willow
59:01 | TheCanti: New joke for your daughter "What do you call an alligator detective? An Investi-gator!"
59:07 | thelastshinobi56: PTSD bear..
59:11 | Zeng: we need to find jokes first
59:15 | Defenestrator: It doesn't look like BASIL is anywhere in VAST FOREST after all...
59:31 | Voltage: gator is short for alligator bea
59:35 | KamackIllidan: Our daughter, marrying... I'm crying :')
59:43 | TWAIN: It doesn't look like BASIL is anywhere in VAST FOREST after all... I wonder where he could have wandered off to.
59:44 | Fake Name: I wonder where he could have wandered off to.
59:50 | Rusty Shackleford: wholesome daughter
59:54 | Ysoseerius: It's ok daughter
59:54 | Nick Jarmusz: it doesn't look like basil is anywhere in vast forest after all... I wondered where he wandered off to
1:00:34 | Alfa Ayed: okee~y
1:00:38 | Rusty Shackleford:  autotune bear
1:01:02 | Mew: dad jokes Aubrey related 片思いで肩重い
1:01:28 | Destoroyar Fortress: Bear is still upset...
1:01:28 | Jackku Chan: So rude!
1:01:32 | TheCanti: Bear daughter is mean to her friends
1:02:33 | Mechanized Doge: what's a more polite version of useless lol
1:02:33 | Mew: Observing is OK 
1:02:34 | Mew: :yougotthis:
1:03:20 | Derekであります !: not helpful maybe is more polite than useless
1:04:10 | Derekであります !: I like NOSE
1:04:50 | Fake Name: I'm really bad at remembering names to be honest
1:05:48 | TheCanti: Our daughter is refreshed!
1:05:49 | Hanabi: only names that matter are the wive's names
1:06:24 | 92Pesonen: dumb question but did you go to left yet?
1:06:38 | Nick Jarmusz: joke is on big yellow signs
1:07:06 | TheCanti: Must continue game to find jokes!
1:08:10 | Mew: Can polar bears even drown?
1:08:38 | Zeng: they're not fish
1:09:14 | TheCanti: You find jokes on the field daughter!
1:09:23 | TheCanti: They'll be on yellow boards/signs
1:09:40 | Akka Oni: The jokes are in the world! On big signa
1:09:48 | Akka Oni: signs
1:09:52 | Voltage: gametips chads
1:10:02 | TheCanti: You're going to get a cavity 
1:10:12 | Hanabi: that's a lot of candy
1:10:22 | HashSlash: Bless
1:10:22 | coba cobra: bless you
1:10:24 | Inaba: cute
1:10:25 | MBmasher: cute
1:10:26 | TheCanti: tskr?
1:10:28 | Canna: Bless you
1:10:29 | stuffed idiot: blessed bear sneeze
1:10:31 | Idle Bear: bless you
1:10:32 | Mew: So begins the sneeze compliation
1:10:33 | Zhnigo: tskr
1:10:33 | thelastshinobi56: Cute Cute cuuuuuuuuuuuuute
1:10:38 | TheCanti: Is that what daughter taught us last time?
1:10:41 | ellescer: imagine all her snot on your face
1:10:41 | Fake Name: Bless you
1:10:43 | gyroninja: TSKR
1:10:46 | coba cobra: kushami tskr
1:11:03 | Vitz: TSKR
1:11:05 | Destoroyar Fortress: Beatani TSKR
1:11:13 | coba cobra: lol there's a yabai dad here
1:11:21 | Fake Name: くしゃみTSKR
1:12:06 | Destoroyar Fortress: Kinda gross yah
1:12:14 | Vitz: it's cute
1:12:21 | Zeng: some people are cute no matter what they do
1:12:30 | gyroninja: It's a cute noise
1:12:40 | Inaba: I get hayfever too
1:12:41 | Fake Name: It's cute, at least in concept
1:12:51 | TheCanti: It looks like that board with the princess poster on it in the playground, except it will look yellow.
1:12:55 | Fake Name: Does the XP hill have pollen
1:13:03 | stuffed idiot: I found out about the sneeze fetish a while back, it was unsettling
1:13:22 | Derekであります !: very hentai
1:13:52 | Fake Name: It's not a fetish, it's just cute
1:13:53 | Mew: Ambrosia Grass in XP hill
1:14:05 | Voltage: blessed bear
1:14:12 | Voltage: 🍀🐻‍❄️🍀🐻‍❄️🍀🐻‍❄️🍀
1:14:15 | TheCanti: Space rabbit
1:15:07 | Hanabi: omori looks mindbroken
1:15:07 | TheCanti: I want an orange
1:15:37 | Derekであります !: not orange lol
1:15:37 | Destoroyar Fortress: Orange??
1:15:56 | Zia:  unidentified flying orange!
1:15:57 | Verijero: yes
1:16:01 | TheCanti: I do, theyre very tasty
1:16:05 | imalittle cupcake: Yeah, I'd peel some for my bear daughter
1:16:05 | Zhnigo: orange is cool and good
1:16:10 | Verijero: they are awesome after working out
1:16:18 | HashSlash: Mandarin oranges are one of my favs
1:16:27 | Hanabi: not a fan of orange, prefer banana personally
