-1:32:02 | Voltage: time to eat lunch and then watch beatani
20:51 | max r: Don't send Akasupa in YT... send it in streamlabs
20:53 | Fake Name: People say spiders are good bugs, but...
20:54 | Rye Mountain: Basedus bugus
21:12 | webm aristocrat: scary bear
21:15 | BasedBug: The not-bad kind of bug
21:18 | Megiddo: yeah, YT taking 30% of supers, so better to use streamlabs where the only cut is 3-5% to cover processing
21:18 | Hanabi: if you send an akasupa beatani will only get like $70, streamlabs is the way to go especially for larger ones
21:22 | (Verified, Moderator) Streamlabs: Dick_Pound just tipped $1.00 dayo!
21:27 | Zhnigo: supacha is omoshiroiful
21:49 | Alfa Ayed: evil kuma...
21:53 | max r: It's nice to have the colorful messages in chat, but it's nicer to have you get extra 30% money 
21:54 | *RSD 5,463* XeniVari: Sending large amounts through superchat is bad, ok?
21:59 | (Verified, Moderator) Streamlabs: XeniVari just superchatted RSD 5,463!
22:08 | BasedBug: OHH MAH MEE MAH
22:09 | Megiddo: based Xeni
22:12 | Mew: Xeni ahahaha
22:12 | Theblekedet: lmao
22:13 | Noon C.: lol
22:17 | Fake Name: This guy
22:20 | Flux: HOLYBASED
22:22 | Ikxi: lol
22:23 | BasedBug: Oil barons this early in the morning?
22:30 | Alfa Ayed: rebels dad...
22:33 | max r: RSD= Serbian money
22:34 | Rye Mountain: Serbian dinar
22:35 | フェットチーネ: 👀
22:38 | hustler one: is RSD the new ARS
22:42 | max r: he is actually an oil baron
22:43 | Zhnigo: that's 6055.35 JPY
22:43 | Tachi: Serbia money
22:43 | ニシキ: Based serb
22:44 | Mew: O JEBEM TI BOGA
22:45 | CommanderMichael: serb
22:48 | thelastshinobi56: lol
22:50 | Ikxi: "why is it red" LOL
22:53 | Sunspots: Based serb dad
22:56 | BasedBug: Red superchat = the big bucks
23:02 | Rye Mountain: May god be with this serb
23:06 | Zhnigo: based nigerian prince
23:07 | CommanderMichael: red = very high amount
23:09 | BasedBug: OIL BARON CHAN
23:11 | max r: its about yen 5,000 or so i think
23:18 | Wheresmyeyebrow: Oh yeah boooooys
23:25 | max r: I will tell you--- The bear is optional, you don't need to kill it
23:38 | CommanderMichael: OIL BARON SAMA
23:41 | Mew: Serbia
23:42 | Theblekedet: OIL BARON-CHAN
23:47 | Dick Smith: based serb
23:47 | BasedBug: Sasuga, oil baron sensei
23:56 | max r: its oil money
24:09 | Mew: Ahahaha Europe
24:12 | ニシキ: Bog blagoslovi
24:15 | Mew: It's above greece 
24:20 | Zhnigo: serbia is yabai
24:22 | thelastshinobi56: lol
24:23 | BasedBug: Serbia strong!
24:24 | CommanderMichael: europe
24:24 | hustler one: europe
24:25 | RueTobas: Eastern Europe
24:27 | russian bias: KOSOVO
24:29 | Zhnigo: Serbia is in eastern Eiurope
24:29 | NatrixNatrix: southern europe
24:30 | Tachi: Eastern europe
24:33 | Fake Name: North of Greece
24:33 | Megiddo: it's cold
24:42 | Mew: Technically south eastern europe geographically 
24:42 | RueTobas: Most people at this time are probably eurodads
24:44 | Arthur: dont fight yourself bear!
24:44 | Rye Mountain: North of greece, east of Italy
24:44 | XeniVari: South-east Europe.
24:47 | CPTpurrfect: Eastern Europe
24:47 | RBZE7: based eastern europeans
24:54 | CPTpurrfect: yes I am @RueTobas 
24:57 | Theblekedet: southeast europe
25:18 | CPTpurrfect: greetings from Germany, my dear daughter btw
25:33 | Megiddo: Beatani is legit
25:35 | BasedBug: Beatani is a big-time vtuber now
25:42 | RBZE7: she made it !
25:44 | Monkberry Moon: lol
25:52 | webm aristocrat: beatani is big
25:57 | Theblekedet: WE DID IT DADS
26:00 | max r: You are now a real vtuber!
26:02 | Zhnigo: the real deal
26:07 | *RON 50.00* TWAIN
26:13 | CommanderMichael: more like BASEDvtuber
26:25 | Mew: Eastern Europe chads 
26:26 | TWAIN: ah
26:29 | (Verified, Moderator) Streamlabs: TWAIN just superchatted RON 50.00!
26:35 | Mew: Romania now
26:35 | Megiddo: Eastern Euros showing up
26:36 | max r: The bear is too hard
26:40 | Rye Mountain: Romanian currency
26:40 | BasedBug: Wow, romanians in the chat
26:42 | Mew: Right next to Serbia to the right
26:44 | TWAIN: would've been a good idea to enter some text before pressing the buy button
26:44 | Megiddo: Romaninan
26:46 | webm aristocrat: romanian
26:50 | CommanderMichael: romania
26:52 | Rye Mountain: Romania is close to serbia actually
26:53 | max r: romania
26:55 | hustler one: Beatani... your eastern europe reps...
26:58 | Ikxi: lol
27:07 | Sunspots: Is this how war begins?
27:10 | Dick Smith: oh man, we going to have a thing between the baltics now?
27:12 | Mastigos Wilkins: gypsy
27:15 | webm aristocrat: slavbucks
27:27 | Antonio Badilla: blood money
27:29 | thelastshinobi56: beary strong
28:05 | A A: @Dick Smith I hope not.
28:08 | *SEK 20.00* Rye Mountain: Hello is this thing on
28:13 | *HRK 25.00* Mew: BALKAN TEAM ASSEMBLE
28:34 | BasedBug: Based swedes and croats
28:45 | (Verified, Moderator) Streamlabs: Rye Mountain just superchatted SEK 20.00!
28:45 | (Verified, Moderator) Streamlabs: Mew just superchatted HRK 25.00!
28:48 | *BGN 5.00* RueTobas
28:49 | webm aristocrat: kek
28:57 | Rye Mountain: SEK = swedish money
28:57 | RueTobas: Hello Eastern European dads
28:59 | Tachi: Based
29:04 | Megiddo: Daughter gotta learn more about currencies
29:09 | webm aristocrat: swedish krone
29:14 | フェットチーネ: lmao
29:18 | Dick Smith: bulgarians croats and swedes
29:20 | RADEON 360: Ms. World Wide
29:22 | CommanderMichael: sek = Swedish
29:29 | Hanabi: I know these are EU-friendly times but I didn't expect the entire european union to come out in force
29:29 | (Verified, Moderator) Streamlabs: RueTobas just superchatted BGN 5.00!
29:30 | *RUB 40.00* VampirkoO: Greetings from Russia!
29:32 | Ikxi: wwb
29:35 | Theblekedet: hentai ryona kuma lol
29:48 | Rye Mountain: HRK = croatian money
29:59 | Mastigos Wilkins: discard EU, establish BEA union
29:59 | webm aristocrat: bgn = big now
30:02 | Voltage: superchats look nice ngl
30:05 | *¥200* knowsur: I wanted to throw a spacha.
30:14 | Megiddo: BGN is Bulgarian
30:17 | Zhnigo: economist bear
30:17 | (Verified, Moderator) Streamlabs: VampirkoO just superchatted RUB 40.00!
30:19 | (Verified, Moderator) Streamlabs: knowsur just superchatted ¥200!
30:21 | webm aristocrat: sugoi
30:29 | Mew: HRK is Croatian Money it's called Kuna it's a cute animal Marteen 
30:38 | RueTobas: HRK is probably from hrvatska
30:40 | Rye Mountain: Hravtska = croatian name for croatia i think
30:46 | RueTobas: HR(vatska)
30:51 | Mew: クーナはクロアチア語で動物のテンを意味し、リパは同じくクロアチア語でリンデンを意味する。
30:54 | Megiddo: kuna close to kuma
30:57 | *CA$5.00* _NFK: Canadians rise up
30:59 | BasedBug: Oh wow, it really is called Kuna
31:15 | RueTobas: BGN - Bulgarian 
31:42 | Ikxi: rushia?
31:45 | (Verified, Moderator) Streamlabs: _NFK just superchatted CA$5.00!
31:47 | russian bias: day of the rake when
31:52 | Rye Mountain: Currency learning stream lmao
31:53 | max r: Beatani, did you get the item in game, "SELF HELP GUIDE" ? You should read it. It explains important concept for combat.
32:02 | TWAIN: ¥1000 = 40 RON
32:03 | Siruva: who is this?
32:08 | BasedBug: I live close to Canada, you guys are alright sometimes
32:11 | *$5.00* Original Japes: Canadians, do not rise up.
32:27 | *$10.00* Margrave: oh right. I can do this now..
32:29 | (Verified, Moderator) Streamlabs: Original Japes just superchatted $5.00!
32:33 | Mew: Blue = 100~200 yen, Light blue 200 ~500 yen, green 500~1000 yen, yellow 1000~2000 yen, orange 2000 ~ 5000 yen, megenta 5000~10000, red 10,000~50,000 yen
32:36 | BasedBug: I have an idea of how much money a donation is based on its color
32:36 | *PLN 10.00* NatrixNatrix: Cheers from Poland <3
32:44 | Fake Name: The Americans strike back
32:45 | Rye Mountain: I know most of Europes currencies but not many else except dollars and yen.
32:45 | *€2.00* Ikxi: Germans rise up
32:56 | *€5.00* RBZE7
32:58 | max r: @Mew that's not really true because the colors change based on the local economies
33:07 | RBZE7: First lame currency...
33:10 | *ARS 200.00* Tachi: Move aside
33:17 | (Verified, Moderator) Streamlabs: Margrave just superchatted $10.00!
33:18 | (Verified, Moderator) Streamlabs: NatrixNatrix just superchatted PLN 10.00!
33:19 | (Verified, Moderator) Streamlabs: Ikxi just superchatted €2.00!
33:21 | (Verified, Moderator) Streamlabs: RBZE7 just superchatted €5.00!
33:21 | Mew: well it's usually around that much
33:21 | Margrave: ars lol
33:22 | (Verified, Moderator) Streamlabs: Tachi just superchatted ARS 200.00!
33:24 | *₹40.00* BRAD AEON 720
33:25 | max r: Like, ARS for example, is the cheapest orange superchat
33:32 | Rye Mountain: Finns use euro €
33:40 | My wife left me: Finland isn't real
33:42 | Mew: Finland Uses Euro
33:46 | XeniVari: ARS is the cheapest everything.
33:46 | Megiddo: ARS is same as yen now, kusa
33:48 | Antonio Badilla: "Germans rise up" not again please...
33:50 | BasedBug: This stream turned into Financial Advice and Discussion
33:52 | thelastshinobi56: lol
33:59 | ccc cc: Lots of Eastern Europeans turning out. I’d be curious as to the breakdown of fans by country. 
33:59 | (Verified, Moderator) Streamlabs: RADEON360 just superchatted ₹40.00!
34:01 | RueTobas: Finland = vittu saatana perkele
34:02 | *BGN 20.00* Einaer
34:03 | (Verified, Moderator) Streamlabs: Zhnigo just tipped $1.00 dayo!
34:05 | Megiddo: 200 ARS is like 200 yen
34:09 | Zhnigo: bullying with superchats here we goooo
34:18 | webm aristocrat: argentiñan peso..
34:32 | CommanderMichael: oi she's overwhelmed, keep it cool dads
34:37 | Tachi: Lmao
34:38 | RADEON 360: Beatani's brain's broken
34:42 | Megiddo: Argentina money is in freefall
34:42 | Mew: Argentina South America 
34:45 | (Verified, Moderator) Streamlabs: Einaer just superchatted BGN 20.00!
34:55 | Mew: Ahahahah gondola nooo
34:56 | Megiddo: based bear
34:58 | BasedBug: FAQed?
35:04 | Fake Name: Finland is too funny to be real
35:07 | NatrixNatrix: based kazakh watcher
35:10 | Ikxi: Finland doesn't exist
35:11 | russian bias: based bear
35:13 | My wife left me: based
35:15 | Zhnigo: Finland is statistically probable to not be real
35:29 | RBZE7: Finland is indeed a fictional utopia
35:30 | Rye Mountain: There is a common meme that Finland is fake. It's quite funny, but Finland does exist, but it is very small country with only 5 million people.
35:34 | webm aristocrat: pretty poplar bear
35:37 | BasedBug: Gimi
35:47 | (Verified, Moderator) Streamlabs: max just tipped $5.00 dayo!
36:45 | max r: Beatani, Did you get the item "SELF HELP GUIDE" ? It's important to read it.
37:02 | Zaxonite: yah
37:35 | max r: It will teach you about the follow up attacks
37:35 | Mew: Wait Finland is only 5Mil? 
37:43 | max r: Follow up is what you need to know
37:54 | webm aristocrat: finggolia
38:17 | max r: You owant to read the follow up
38:38 | Antonio Badilla: lel
38:40 | max r: Follow up
39:14 | max r: When you get 10 energy you can do ultimate attack
39:20 | CPTpurrfect: Who would oyu want to do a collab with?
39:28 | Alfa Ayed: her english is better then me...
39:35 | max r: It's the blue bar in the bottom middle of the combat
39:49 | max r: Omori has the best follow up attacks
39:52 | Verijero: nice
40:18 | Verijero: congrats on membership!
40:21 | Verijero: 🙂
40:30 | max r: A good rule-- for small enemies use Omori attack again, for bosses, save for "Release energy"
40:43 | Verijero: monetization i mean
40:49 | Mew: Soon~
41:01 | Verijero: i meant monetization im retarded sorry kek
41:15 | *SEK 100.00* Heretic: Cheers from Sweden
41:17 | max r: Thanks for reading, i hope it was helpful
41:29 | (Verified, Moderator) Streamlabs: Heretic just superchatted SEK 100.00!
41:31 | Verijero: its a nice step 
41:55 | Hanabi: Streamlabs is superior because the streamer gets a larger cut
42:27 | max r: Mush likes guro...
42:50 | Mew: we're memeing currenices don't worry 
42:54 | max r: Finns, if you are real, send a superchat
43:05 | BasedBug: It's a shame Finland doesn't actually exist, that sucks
43:12 | Hanabi: The fact you aren't getting any finnish money should be proof enough that Finland isn't real
43:13 | Rye Mountain: A finn may have donated already, their currency is euro
43:16 | Mew: Suka?
43:26 | Megiddo: yeah, they use Euro I thought
43:34 | Theblekedet: сука?
43:35 | Mew: Finland uses the Euro it's €
43:36 | max r: spurdollars
43:47 | Rye Mountain: Finland shares the EURO € with germany, france, spain etc
44:09 | Dick Smith: heard it here first, Finns are fictional
44:28 | Ikxi: if Finland was real, it would be funny
44:38 | Zhnigo: guma :DDDDDD
44:47 | CPTpurrfect: wait did she just say she is a boomer?
44:49 | Rye Mountain: Why have atleast 1 finnish regular, pakkanen, but he is not here today
44:57 | BasedBug: 10/10 bretty gud
45:00 | Hanabi: I am going to get so much use out of the guma :DDDDD emote
45:00 | Mew: Finland is as real as Omori Headspace~
45:03 | CPTpurrfect: ok boomer.
45:23 | *€2.00* scoutgamerfin: 2 spurdollars for you
45:36 | Mizuki Arisu: Welcome to gumaspace
45:44 | Mew: :DDDDDDDD
45:57 | Rye Mountain: Based finn
46:00 | (Verified, Moderator) Streamlabs: scoutgamerfin just superchatted €2.00!
46:15 | NatrixNatrix: finns exsist after all wtf?!?!
46:36 | The Pope: ebin suberchad :DDDD
46:42 | Fake Name: Shit she called his bluff
46:44 | Mew: :€€€€
46:45 | Rye Mountain: Finland shares the EURO € with germany, france, spain etc
46:45 | BasedBug: Gimi Raiggonen in the chat
47:14 | Fake Name: Beatani tells it like it is
47:27 | D3bugged: beatani is right
47:32 | Tachi: SM time
47:33 | RADEON 360: lol
47:34 | Mew: Shibari
47:40 | max r: He likes to do SM play and walk away
47:48 | The Pope: It's true, there's not enough S&M in games
47:49 | BasedBug: No more NTR, only SM now
47:50 | Theblekedet: uoh
48:00 | Mew: Do enjoy 縛りkuma?
48:04 | Rye Mountain: Finland had a currency before joining the european union, the finnish markka, but yeah it does not exist anymore.
48:46 | Mew: Tie her back up!
49:11 | thelastshinobi56: run from the bugs
49:22 | Mew: くまねこ 
49:37 | Hanabi: omori really needs a can of RAID
49:58 | The Pope: Bows are CUTE
50:07 | Mew: Does raid kill cats?
50:15 | Theblekedet: thristy Beatani
50:18 | coba cobra: sad girls are cute
50:24 | Tachi: Bea is enjoying this
50:29 | BasedBug: Oh god
50:31 | thelastshinobi56: rare peropero
50:32 | Fake Name: Oh no
50:39 | Tachi: YAB
50:51 | coba cobra: lmao wat
50:53 | Flux: Bea No
51:05 | The Pope: How
51:14 | BasedBug: She's gonna lose her monetization!
51:22 | Salty Sola: What a wonderfully cursed bear.
51:26 | RADEON 360: this is a girl after my own heart
52:15 | CPTpurrfect: what a cool spiderkitten
52:16 | The Pope: Very spooky
52:22 | Mew: Ahahaha
52:52 | The Pope: Y-yeah haha
52:53 | max r: wow i feel great
53:32 | max r: UOOOOOOHHH
53:43 | Mew: -5 hp -5hp
54:03 | Fake Name: It's terrifying
54:29 | TWAIN: twitchy rock
54:32 | thelastshinobi56: NICE
54:41 | BasedBug: Let's gooooooooo
54:45 | TWAIN: oh it's because of the fog
54:45 | RADEON 360: what are those candles for?
55:04 | coba cobra: rip keyboard
55:06 | Mew: So close
55:07 | max r: maybe they dont like light
55:12 | Fake Name: calm down, BEATAN
55:20 | Dick Smith: come on kuma, show them what you've got
55:39 | TWAIN: is bea bigger than usual today or am i imagining?
55:45 | quinn: try lighting them
55:50 | max r: BEATAN used CALM DOWN
56:12 | Hanabi: oh, it slowed down the spidercat
56:21 | RADEON 360: looks like they give you a bit of time
56:31 | RADEON 360: while the spider goes to put it out
56:38 | coba cobra: yeah bear is bigger than usual
57:15 | max r: who is (you)
57:20 | BasedBug: Who is (you)?
57:56 | Fake Name: I think you're going backwards
57:56 | Mew: It's the superchats we feed her so she grows stronk
58:08 | max r: i think you can get the watermelon ?
58:13 | max r: top right of the screen right now
58:16 | Mew: Pretty cocky running in spider cat land
58:18 | BasedBug: There's a web you can cut
58:29 | Mew: Faux = Fake 
58:32 | HashSlash: Pronounced foe, means fake
58:35 | BasedBug: Faux = imitation
58:41 | Hanabi: faux - fake. pronounced like "foe"
58:50 | max r: equipment i think
58:54 | Fake Name: Faux is pronounced "フォウ", means fake
59:06 | BasedBug: Ew, fr*nch words
59:14 | Mew: it's a french word
59:16 | RueTobas: It's from french so no x
59:19 | HashSlash: Silent X
59:22 | max r: Faux tail is in equipment i believe
59:23 | coba cobra: nisemono
59:23 | Hanabi: I think faux is french? I don't know it's a loan word from some other language anyway.
59:39 | Rye Mountain: All french words are spelled weird
59:51 | Tachi: 🍀
59:56 | RBZE7: yeah faux means fake
1:00:02 | Mew: Did anyone catch what the tail did lol 
1:00:04 | RADEON 360: 🍀
1:00:10 | coba cobra: better late than never
1:00:17 | TWAIN: 🍀
1:00:20 | A A: Clover always leads to good things.
1:00:49 | RADEON 360: How do you equip a tail?
1:00:53 | estratos13: good morning our Daughter
1:01:16 | Mew: Well umm you umm... 
